Time,Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A)
0.0,6.92606e-06,6.85453e-06,6.77109e-06,6.74725e-06,6.91414e-06,7.236e-06,7.80821e-06,8.80957e-06
0.04,6.86646e-06,6.86646e-06,6.7234e-06,6.71148e-06,6.84261e-06,7.21216e-06,7.86781e-06,8.89301e-06
0.08,6.90222e-06,6.85453e-06,6.74725e-06,6.74725e-06,6.87838e-06,7.25985e-06,7.90358e-06,8.90493e-06
0.12,6.91414e-06,6.84261e-06,6.74725e-06,6.73532e-06,6.90222e-06,7.24792e-06,7.9751e-06,8.96454e-06
0.16,6.9499e-06,6.84261e-06,6.78301e-06,6.73532e-06,6.93798e-06,7.29561e-06,7.95126e-06,9.03606e-06
0.2,6.9499e-06,6.85453e-06,6.78301e-06,6.73532e-06,6.90222e-06,7.29561e-06,7.98702e-06,8.97646e-06
0.24,6.91414e-06,6.85453e-06,6.80685e-06,6.75917e-06,6.92606e-06,7.29561e-06,7.95126e-06,9.04799e-06
0.28,6.93798e-06,6.85453e-06,6.81877e-06,6.73532e-06,6.93798e-06,7.33137e-06,8.02279e-06,9.05991e-06
0.32,6.97374e-06,6.87838e-06,6.83069e-06,6.73532e-06,6.97374e-06,7.34329e-06,8.05855e-06,9.07183e-06
0.36,7.00951e-06,6.91414e-06,6.81877e-06,6.80685e-06,6.92606e-06,7.34329e-06,8.07047e-06,9.14335e-06
0.4,6.96182e-06,6.91414e-06,6.85453e-06,6.78301e-06,6.9499e-06,7.39098e-06,8.08239e-06,9.14335e-06
0.44,6.93798e-06,6.86646e-06,6.80685e-06,6.79493e-06,6.96182e-06,7.36713e-06,8.09431e-06,9.17912e-06
0.48,6.97374e-06,6.8903e-06,6.85453e-06,6.77109e-06,6.97374e-06,7.36713e-06,8.11815e-06,9.14335e-06
0.52,6.97374e-06,6.91414e-06,6.87838e-06,6.80685e-06,6.99759e-06,7.35521e-06,8.11815e-06,9.15527e-06
0.56,7.02143e-06,6.92606e-06,6.83069e-06,6.78301e-06,6.99759e-06,7.33137e-06,8.08239e-06,9.17912e-06
0.6,6.99759e-06,6.96182e-06,6.81877e-06,6.78301e-06,6.97374e-06,7.34329e-06,8.13007e-06,9.17912e-06
0.64,6.9499e-06,6.91414e-06,6.81877e-06,6.75917e-06,7.02143e-06,7.36713e-06,8.08239e-06,9.17912e-06
0.68,6.93798e-06,6.91414e-06,6.91414e-06,6.80685e-06,6.96182e-06,7.33137e-06,8.08239e-06,9.19104e-06
0.72,6.99759e-06,6.93798e-06,6.85453e-06,6.78301e-06,6.9499e-06,7.4029e-06,8.10623e-06,9.23872e-06
0.76,6.99759e-06,6.93798e-06,6.87838e-06,6.81877e-06,6.96182e-06,7.37906e-06,8.08239e-06,9.20296e-06
0.8,6.99759e-06,6.96182e-06,6.8903e-06,6.81877e-06,6.9499e-06,7.37906e-06,8.08239e-06,9.20296e-06
0.84,7.02143e-06,6.91414e-06,6.81877e-06,6.77109e-06,6.98566e-06,7.41482e-06,8.11815e-06,9.23872e-06
0.88,6.93798e-06,6.9499e-06,6.84261e-06,6.80685e-06,6.98566e-06,7.4029e-06,8.11815e-06,9.17912e-06
0.92,6.98566e-06,6.9499e-06,6.86646e-06,6.79493e-06,6.97374e-06,7.42674e-06,8.09431e-06,9.2268e-06
0.96,7.00951e-06,6.96182e-06,6.8903e-06,6.79493e-06,6.98566e-06,7.37906e-06,8.11815e-06,9.23872e-06
1.0,6.99759e-06,6.96182e-06,6.92606e-06,6.81877e-06,6.98566e-06,7.41482e-06,8.13007e-06,9.26256e-06
1.04,6.98566e-06,6.97374e-06,6.91414e-06,6.78301e-06,6.99759e-06,7.4029e-06,8.16584e-06,9.2268e-06
1.08,6.96182e-06,6.91414e-06,6.91414e-06,6.79493e-06,7.00951e-06,7.39098e-06,8.07047e-06,9.20296e-06
1.12,7.00951e-06,6.96182e-06,6.92606e-06,6.79493e-06,6.99759e-06,7.39098e-06,8.08239e-06,9.20296e-06
1.16,6.98566e-06,6.93798e-06,6.90222e-06,6.80685e-06,6.99759e-06,7.39098e-06,8.08239e-06,9.26256e-06
1.2,7.00951e-06,6.93798e-06,6.91414e-06,6.81877e-06,7.05719e-06,7.39098e-06,8.14199e-06,9.23872e-06
1.24,6.98566e-06,7.04527e-06,6.8903e-06,6.81877e-06,7.02143e-06,7.42674e-06,8.09431e-06,9.26256e-06
1.28,6.96182e-06,6.99759e-06,6.9499e-06,6.80685e-06,6.99759e-06,7.42674e-06,8.13007e-06,9.2864e-06
1.32,6.99759e-06,6.93798e-06,6.93798e-06,6.79493e-06,6.98566e-06,7.42674e-06,8.08239e-06,9.27448e-06
1.36,6.98566e-06,6.96182e-06,6.8903e-06,6.80685e-06,7.03335e-06,7.4029e-06,8.09431e-06,9.25064e-06
1.4,6.96182e-06,7.00951e-06,6.92606e-06,6.85453e-06,7.03335e-06,7.4029e-06,8.10623e-06,9.26256e-06
1.44,6.97374e-06,6.96182e-06,6.91414e-06,6.86646e-06,7.03335e-06,7.39098e-06,8.08239e-06,9.31025e-06
