Time,Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A)
0.0,1.39117e-05,1.37806e-05,1.36971e-05,1.36375e-05,1.36852e-05,1.35899e-05,1.36256e-05
0.100001,1.3721e-05,1.36375e-05,1.35541e-05,1.34706e-05,1.35422e-05,1.33872e-05,1.33991e-05
0.200002,1.37329e-05,1.36495e-05,1.36018e-05,1.34706e-05,1.34945e-05,1.33991e-05,1.34349e-05
0.300003,1.37329e-05,1.36495e-05,1.35779e-05,1.34945e-05,1.35064e-05,1.3423e-05,1.34468e-05
0.400004,1.37568e-05,1.36614e-05,1.36137e-05,1.35064e-05,1.35064e-05,1.34349e-05,1.34468e-05
0.500005,1.37925e-05,1.36852e-05,1.36375e-05,1.34945e-05,1.35183e-05,1.34587e-05,1.34587e-05
0.600006,1.37687e-05,1.36852e-05,1.36495e-05,1.35303e-05,1.35183e-05,1.34945e-05,1.34468e-05
0.700007,1.37687e-05,1.37091e-05,1.36495e-05,1.35422e-05,1.35303e-05,1.34826e-05,1.34349e-05
0.800008,1.37925e-05,1.36971e-05,1.36495e-05,1.35541e-05,1.35541e-05,1.34826e-05,1.34468e-05
0.900009,1.37687e-05,1.37329e-05,1.36733e-05,1.35183e-05,1.35541e-05,1.34587e-05,1.3411e-05
1.00001,1.38164e-05,1.37448e-05,1.36375e-05,1.35779e-05,1.3566e-05,1.34468e-05,1.34706e-05
1.10001,1.37806e-05,1.37329e-05,1.36495e-05,1.35779e-05,1.3566e-05,1.34587e-05,1.34706e-05
1.20001,1.37925e-05,1.37329e-05,1.36614e-05,1.36375e-05,1.36256e-05,1.34945e-05,1.34349e-05
1.30001,1.38044e-05,1.37448e-05,1.36614e-05,1.35779e-05,1.36375e-05,1.34826e-05,1.34349e-05
1.40001,1.37806e-05,1.37687e-05,1.36733e-05,1.35779e-05,1.36137e-05,1.34945e-05,1.3411e-05
1.50001,1.38164e-05,1.37568e-05,1.36733e-05,1.36375e-05,1.36256e-05,1.35183e-05,1.34826e-05
1.60002,1.38164e-05,1.3721e-05,1.36852e-05,1.36256e-05,1.36137e-05,1.35303e-05,1.34945e-05
1.70002,1.38283e-05,1.37568e-05,1.36852e-05,1.36018e-05,1.36256e-05,1.35064e-05,1.35183e-05
1.80002,1.38402e-05,1.37568e-05,1.36971e-05,1.36495e-05,1.36018e-05,1.34945e-05,1.35183e-05
1.90002,1.38402e-05,1.37568e-05,1.3721e-05,1.36733e-05,1.36137e-05,1.35303e-05,1.35183e-05
2.00002,1.38521e-05,1.37687e-05,1.3721e-05,1.36733e-05,1.36256e-05,1.35422e-05,1.34706e-05
2.10002,1.38283e-05,1.37448e-05,1.3721e-05,1.36614e-05,1.36256e-05,1.35064e-05,1.34826e-05
2.20002,1.38521e-05,1.37329e-05,1.36971e-05,1.36852e-05,1.36137e-05,1.35541e-05,1.34826e-05
2.30002,1.3864e-05,1.37568e-05,1.36971e-05,1.36733e-05,1.36256e-05,1.35303e-05,1.34826e-05
2.40002,1.38521e-05,1.37687e-05,1.37568e-05,1.36733e-05,1.36256e-05,1.35541e-05,1.35064e-05
2.50002,1.38402e-05,1.37448e-05,1.3721e-05,1.36971e-05,1.36256e-05,1.35183e-05,1.34826e-05
2.60003,1.38402e-05,1.37448e-05,1.37448e-05,1.36852e-05,1.36375e-05,1.35899e-05,1.35064e-05
2.70003,1.3876e-05,1.37687e-05,1.37448e-05,1.36971e-05,1.36256e-05,1.35541e-05,1.34945e-05
2.80003,1.38402e-05,1.37568e-05,1.37687e-05,1.36614e-05,1.36495e-05,1.3566e-05,1.34945e-05
2.90003,1.38283e-05,1.37448e-05,1.37925e-05,1.36971e-05,1.36733e-05,1.35541e-05,1.35183e-05
3.00003,1.38402e-05,1.37448e-05,1.37806e-05,1.37091e-05,1.36733e-05,1.3566e-05,1.35183e-05
3.10003,1.38521e-05,1.37687e-05,1.37687e-05,1.36733e-05,1.36852e-05,1.35779e-05,1.35303e-05
3.20003,1.3864e-05,1.37806e-05,1.3721e-05,1.36733e-05,1.36375e-05,1.35779e-05,1.35064e-05
3.30003,1.3864e-05,1.37448e-05,1.37448e-05,1.36852e-05,1.36971e-05,1.35779e-05,1.35422e-05
