Time,Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A)
0.0,2.59161e-05,2.59399e-05,2.59519e-05,2.59638e-05,2.58923e-05
0.100001,2.54512e-05,2.54869e-05,2.54631e-05,2.54512e-05,2.53677e-05
0.200002,2.54989e-05,2.55704e-05,2.55466e-05,2.54989e-05,2.54393e-05
0.300003,2.55942e-05,2.563e-05,2.563e-05,2.55823e-05,2.55108e-05
0.400004,2.56896e-05,2.57254e-05,2.56658e-05,2.56538e-05,2.55585e-05
0.500005,2.57492e-05,2.57969e-05,2.57373e-05,2.57134e-05,2.563e-05
0.600006,2.58446e-05,2.58207e-05,2.57969e-05,2.57611e-05,2.56538e-05
0.700007,2.58684e-05,2.58446e-05,2.58327e-05,2.5773e-05,2.57134e-05
0.800008,2.59042e-05,2.58803e-05,2.5928e-05,2.58327e-05,2.57492e-05
0.900009,2.5928e-05,2.58923e-05,2.59519e-05,2.58565e-05,2.57611e-05
1.00001,2.59995e-05,2.59399e-05,2.59638e-05,2.58327e-05,2.5773e-05
1.10001,2.60115e-05,2.59519e-05,2.60115e-05,2.59042e-05,2.57969e-05
1.20001,2.60592e-05,2.60234e-05,2.60115e-05,2.59042e-05,2.58088e-05
1.30001,2.60711e-05,2.60353e-05,2.60115e-05,2.59519e-05,2.58207e-05
1.40001,2.60711e-05,2.60353e-05,2.60353e-05,2.59995e-05,2.58565e-05
1.50001,2.61188e-05,2.60711e-05,2.60711e-05,2.60115e-05,2.58803e-05
1.60002,2.60949e-05,2.60949e-05,2.60592e-05,2.60472e-05,2.59399e-05
1.70002,2.61426e-05,2.61068e-05,2.60949e-05,2.6083e-05,2.59519e-05
1.80002,2.61545e-05,2.61068e-05,2.61426e-05,2.60592e-05,2.59638e-05
1.90002,2.61664e-05,2.61545e-05,2.61664e-05,2.60711e-05,2.59638e-05
2.00002,2.61903e-05,2.61664e-05,2.61664e-05,2.60949e-05,2.59638e-05
2.10002,2.61784e-05,2.61545e-05,2.61903e-05,2.60949e-05,2.60115e-05
2.20002,2.62022e-05,2.62022e-05,2.61903e-05,2.61068e-05,2.60353e-05
2.30002,2.62141e-05,2.62141e-05,2.62022e-05,2.61426e-05,2.60115e-05
2.40002,2.6226e-05,2.6238e-05,2.6226e-05,2.61426e-05,2.60353e-05
2.50002,2.6238e-05,2.62022e-05,2.6238e-05,2.61664e-05,2.60234e-05
2.60003,2.63214e-05,2.62141e-05,2.62737e-05,2.61545e-05,2.60949e-05
2.70003,2.63333e-05,2.6226e-05,2.62618e-05,2.62022e-05,2.60592e-05
2.80003,2.63333e-05,2.62499e-05,2.62618e-05,2.62141e-05,2.61188e-05
2.90003,2.63214e-05,2.62618e-05,2.62737e-05,2.6226e-05,2.60592e-05
3.00003,2.63214e-05,2.62737e-05,2.62856e-05,2.6238e-05,2.61188e-05
3.10003,2.63333e-05,2.62856e-05,2.62856e-05,2.62737e-05,2.61188e-05
3.20003,2.62976e-05,2.63214e-05,2.63333e-05,2.62618e-05,2.61307e-05
3.30003,2.63453e-05,2.62976e-05,2.62976e-05,2.63095e-05,2.61307e-05
3.40003,2.63572e-05,2.62976e-05,2.63095e-05,2.62737e-05,2.61307e-05
3.50004,2.63453e-05,2.63095e-05,2.63453e-05,2.62618e-05,2.61545e-05
3.60004,2.63453e-05,2.62856e-05,2.63214e-05,2.62499e-05,2.61188e-05
3.70004,2.63691e-05,2.63572e-05,2.63572e-05,2.62737e-05,2.61426e-05
3.80004,2.63691e-05,2.63214e-05,2.63333e-05,2.62737e-05,2.61903e-05
