Time,Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A)
0.0,2.93255e-06,2.93255e-06,3.27826e-06,2.80142e-06,3.016e-06,3.65973e-06,2.93255e-06,3.31402e-06
0.002,3.27826e-06,3.06368e-06,2.71797e-06,2.71797e-06,2.3365e-06,3.016e-06,2.98023e-06,3.14713e-06
0.004,3.09944e-06,3.3617e-06,3.09944e-06,3.3617e-06,2.71797e-06,2.88486e-06,2.98023e-06,3.14713e-06
0.006,3.44515e-06,2.93255e-06,2.93255e-06,2.76566e-06,2.98023e-06,3.19481e-06,2.76566e-06,3.016e-06
0.008,2.80142e-06,3.14713e-06,2.93255e-06,2.88486e-06,2.71797e-06,3.19481e-06,3.19481e-06,2.98023e-06
0.01,3.06368e-06,3.14713e-06,2.76566e-06,2.76566e-06,2.58684e-06,2.88486e-06,3.09944e-06,2.93255e-06
0.012,2.98023e-06,2.98023e-06,3.31402e-06,2.93255e-06,3.19481e-06,3.14713e-06,2.80142e-06,2.93255e-06
0.014,2.8491e-06,3.09944e-06,2.98023e-06,3.06368e-06,2.58684e-06,3.31402e-06,2.93255e-06,2.80142e-06
0.016,3.016e-06,3.09944e-06,3.016e-06,2.58684e-06,2.88486e-06,3.23057e-06,2.8491e-06,2.98023e-06
0.018,2.8491e-06,2.5034e-06,2.98023e-06,3.016e-06,2.71797e-06,2.8491e-06,2.93255e-06,3.09944e-06
0.02,2.63453e-06,3.06368e-06,3.016e-06,2.98023e-06,2.80142e-06,3.016e-06,2.67029e-06,3.27826e-06
0.022,3.19481e-06,3.016e-06,2.88486e-06,2.8491e-06,2.93255e-06,2.80142e-06,2.58684e-06,2.88486e-06
0.024,2.98023e-06,2.71797e-06,2.5034e-06,2.93255e-06,2.76566e-06,2.88486e-06,2.88486e-06,3.06368e-06
0.026,3.19481e-06,3.016e-06,2.98023e-06,2.98023e-06,2.71797e-06,2.93255e-06,3.14713e-06,2.93255e-06
0.028,3.27826e-06,3.3617e-06,2.98023e-06,3.14713e-06,3.09944e-06,2.71797e-06,2.58684e-06,3.06368e-06
0.03,2.88486e-06,2.63453e-06,2.93255e-06,3.09944e-06,2.76566e-06,2.98023e-06,2.8491e-06,2.80142e-06
0.032,2.93255e-06,3.19481e-06,2.8491e-06,2.93255e-06,2.98023e-06,3.06368e-06,3.44515e-06,2.80142e-06
0.034,3.14713e-06,3.09944e-06,3.06368e-06,2.63453e-06,2.93255e-06,2.63453e-06,2.8491e-06,2.8491e-06
0.036,3.09944e-06,2.93255e-06,2.71797e-06,2.80142e-06,3.14713e-06,3.09944e-06,3.06368e-06,2.88486e-06
0.038,2.67029e-06,3.19481e-06,3.016e-06,2.98023e-06,3.016e-06,2.71797e-06,2.63453e-06,2.88486e-06
0.04,3.016e-06,3.19481e-06,2.8491e-06,2.28882e-06,2.88486e-06,3.14713e-06,2.71797e-06,2.76566e-06
0.042,3.06368e-06,2.41995e-06,2.88486e-06,2.93255e-06,2.88486e-06,2.98023e-06,3.06368e-06,3.09944e-06
0.044,2.98023e-06,3.016e-06,3.31402e-06,2.8491e-06,2.80142e-06,2.93255e-06,2.76566e-06,2.5034e-06
0.046,3.06368e-06,3.27826e-06,2.37226e-06,2.71797e-06,2.88486e-06,2.93255e-06,2.8491e-06,2.8491e-06
0.048,3.19481e-06,2.93255e-06,3.016e-06,2.71797e-06,2.71797e-06,2.63453e-06,3.016e-06,3.19481e-06
0.05,3.09944e-06,3.016e-06,3.09944e-06,3.09944e-06,2.88486e-06,2.80142e-06,2.93255e-06,2.93255e-06
0.052,3.23057e-06,3.49283e-06,2.67029e-06,2.80142e-06,3.016e-06,2.76566e-06,2.76566e-06,2.88486e-06
0.054,3.016e-06,3.06368e-06,2.63453e-06,3.14713e-06,3.06368e-06,3.06368e-06,3.09944e-06,2.76566e-06
0.056,2.88486e-06,3.14713e-06,3.016e-06,3.016e-06,2.71797e-06,2.80142e-06,3.23057e-06,2.58684e-06
0.058,3.23057e-06,3.19481e-06,2.98023e-06,2.93255e-06,2.80142e-06,2.93255e-06,3.06368e-06,3.06368e-06
0.06,3.23057e-06,3.09944e-06,3.09944e-06,3.06368e-06,3.06368e-06,2.76566e-06,2.88486e-06,2.8491e-06
0.062,2.67029e-06,3.19481e-06,2.80142e-06,2.98023e-06,3.27826e-06,2.8491e-06,2.8491e-06,2.88486e-06
0.064,3.09944e-06,3.31402e-06,3.06368e-06,2.76566e-06,2.98023e-06,3.06368e-06,2.88486e-06,2.71797e-06
0.066,3.09944e-06,2.93255e-06,3.40939e-06,3.016e-06,2.8491e-06,3.016e-06,2.88486e-06,3.09944e-06
0.068,3.09944e-06,3.23057e-06,2.5034e-06,3.14713e-06,2.8491e-06,2.98023e-06,2.58684e-06,2.63453e-06
0.07,2.98023e-06,3.09944e-06,2.93255e-06,3.14713e-06,2.76566e-06,3.06368e-06,2.88486e-06,3.09944e-06
0.072,3.016e-06,3.06368e-06,3.016e-06,3.016e-06,2.3365e-06,2.67029e-06,3.016e-06,3.14713e-06
0.074,3.06368e-06,3.27826e-06,2.98023e-06,3.016e-06,3.016e-06,3.14713e-06,3.016e-06,2.63453e-06
0.076,2.98023e-06,3.19481e-06,3.14713e-06,3.016e-06,2.76566e-06,2.63453e-06,2.71797e-06,2.88486e-06
0.078,3.14713e-06,3.016e-06,2.8491e-06,2.98023e-06,2.80142e-06,2.93255e-06,2.93255e-06,3.23057e-06
0.08,2.93255e-06,3.016e-06,3.09944e-06,2.80142e-06,2.45571e-06,2.8491e-06,2.88486e-06,2.45571e-06
0.082,2.98023e-06,3.09944e-06,3.09944e-06,2.8491e-06,2.71797e-06,2.98023e-06,2.88486e-06,2.8491e-06
0.084,3.19481e-06,3.016e-06,2.88486e-06,2.80142e-06,2.63453e-06,2.80142e-06,2.93255e-06,2.88486e-06
0.086,2.93255e-06,3.19481e-06,3.09944e-06,2.76566e-06,2.93255e-06,2.55108e-06,2.88486e-06,2.76566e-06
0.088,3.016e-06,2.80142e-06,3.09944e-06,2.98023e-06,2.8491e-06,3.09944e-06,3.14713e-06,2.88486e-06
0.09,2.8491e-06,3.3617e-06,2.41995e-06,2.71797e-06,2.8491e-06,2.98023e-06,2.24113e-06,3.19481e-06
0.092,3.14713e-06,3.31402e-06,2.93255e-06,2.8491e-06,2.63453e-06,2.88486e-06,3.19481e-06,2.71797e-06
0.094,2.98023e-06,3.06368e-06,3.14713e-06,2.55108e-06,2.93255e-06,2.98023e-06,2.71797e-06,2.98023e-06
0.096,3.016e-06,2.98023e-06,2.71797e-06,2.88486e-06,2.67029e-06,2.71797e-06,2.5034e-06,3.23057e-06
0.098,3.14713e-06,3.44515e-06,3.06368e-06,2.71797e-06,3.09944e-06,2.98023e-06,2.80142e-06,2.76566e-06
0.1,3.06368e-06,3.19481e-06,3.23057e-06,3.06368e-06,2.88486e-06,2.58684e-06,3.09944e-06,2.88486e-06
0.102,3.14713e-06,2.88486e-06,2.93255e-06,2.8491e-06,2.58684e-06,2.58684e-06,2.80142e-06,2.88486e-06
0.104,3.09944e-06,2.98023e-06,2.88486e-06,3.016e-06,2.98023e-06,2.58684e-06,2.93255e-06,2.80142e-06
0.106,2.93255e-06,3.23057e-06,2.80142e-06,3.06368e-06,3.23057e-06,3.19481e-06,3.09944e-06,2.8491e-06
0.108,2.93255e-06,2.98023e-06,3.19481e-06,3.14713e-06,2.58684e-06,2.76566e-06,2.98023e-06,3.06368e-06
0.11,2.71797e-06,2.80142e-06,3.23057e-06,2.5034e-06,2.98023e-06,2.71797e-06,3.23057e-06,2.67029e-06
0.112,3.06368e-06,2.80142e-06,2.58684e-06,2.8491e-06,2.88486e-06,2.80142e-06,2.67029e-06,3.06368e-06
0.114,3.14713e-06,3.23057e-06,3.09944e-06,3.06368e-06,2.88486e-06,2.98023e-06,2.93255e-06,2.98023e-06
0.116,3.23057e-06,3.016e-06,3.06368e-06,3.016e-06,3.016e-06,2.80142e-06,2.8491e-06,3.06368e-06
0.118,3.016e-06,2.93255e-06,2.88486e-06,3.016e-06,3.23057e-06,3.23057e-06,2.71797e-06,3.09944e-06
0.12,3.14713e-06,2.98023e-06,3.09944e-06,3.016e-06,2.8491e-06,2.8491e-06,2.80142e-06,2.93255e-06
0.122,3.09944e-06,3.23057e-06,3.09944e-06,2.93255e-06,2.98023e-06,3.14713e-06,3.016e-06,2.98023e-06
0.124,3.40939e-06,3.23057e-06,3.06368e-06,2.76566e-06,2.98023e-06,2.8491e-06,3.27826e-06,3.09944e-06
0.126,2.98023e-06,3.27826e-06,3.23057e-06,2.8491e-06,2.80142e-06,2.80142e-06,3.3617e-06,2.58684e-06
0.128,3.49283e-06,3.09944e-06,2.88486e-06,2.88486e-06,2.80142e-06,2.8491e-06,2.63453e-06,2.98023e-06
0.13,3.016e-06,3.23057e-06,2.98023e-06,3.09944e-06,2.80142e-06,3.09944e-06,2.80142e-06,2.8491e-06
0.132,3.14713e-06,3.06368e-06,3.3617e-06,2.67029e-06,2.93255e-06,2.58684e-06,2.93255e-06,2.8491e-06
0.134,2.93255e-06,3.3617e-06,2.5034e-06,3.016e-06,2.88486e-06,2.8491e-06,3.06368e-06,2.76566e-06
0.136,2.76566e-06,2.45571e-06,3.14713e-06,2.93255e-06,2.76566e-06,2.88486e-06,2.45571e-06,2.93255e-06
0.138,3.09944e-06,2.8491e-06,3.19481e-06,2.71797e-06,3.06368e-06,2.71797e-06,3.016e-06,3.3617e-06
0.14,3.27826e-06,3.14713e-06,3.19481e-06,2.80142e-06,2.88486e-06,2.88486e-06,2.93255e-06,3.016e-06
0.142,2.93255e-06,2.80142e-06,2.98023e-06,3.23057e-06,2.71797e-06,2.88486e-06,2.58684e-06,3.06368e-06
0.144,3.09944e-06,2.8491e-06,3.06368e-06,2.63453e-06,3.016e-06,2.71797e-06,2.93255e-06,2.93255e-06
0.146,3.14713e-06,3.016e-06,3.06368e-06,2.80142e-06,2.88486e-06,3.14713e-06,2.93255e-06,2.76566e-06
0.148,2.93255e-06,2.71797e-06,3.09944e-06,2.98023e-06,3.14713e-06,3.23057e-06,2.80142e-06,2.98023e-06
0.15,3.31402e-06,3.14713e-06,3.06368e-06,2.88486e-06,2.80142e-06,2.58684e-06,3.09944e-06,2.76566e-06
0.152,3.14713e-06,3.23057e-06,3.23057e-06,3.06368e-06,3.09944e-06,2.67029e-06,2.8491e-06,2.80142e-06
0.154,2.93255e-06,3.016e-06,3.016e-06,3.06368e-06,3.14713e-06,2.8491e-06,3.19481e-06,2.71797e-06
0.156,3.016e-06,3.44515e-06,3.14713e-06,2.63453e-06,3.016e-06,2.58684e-06,2.93255e-06,2.80142e-06
