Time,Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A)
0.0,6.6638e-06,6.53267e-06,6.44922e-06,6.36578e-06,6.44922e-06,6.18696e-06,6.58035e-06,6.61612e-06
0.002,6.53267e-06,6.1512e-06,6.53267e-06,6.40154e-06,6.28233e-06,6.31809e-06,6.74725e-06,6.44922e-06
0.004,6.49691e-06,6.44922e-06,5.80549e-06,5.85318e-06,6.31809e-06,6.44922e-06,6.23465e-06,6.36578e-06
0.006,6.31809e-06,6.40154e-06,6.36578e-06,6.18696e-06,6.40154e-06,5.98431e-06,6.02007e-06,6.31809e-06
0.008,6.10352e-06,5.6386e-06,6.23465e-06,6.10352e-06,6.28233e-06,5.98431e-06,6.31809e-06,6.18696e-06
0.01,6.53267e-06,6.28233e-06,6.06775e-06,6.10352e-06,6.36578e-06,6.10352e-06,6.40154e-06,6.23465e-06
0.012,5.85318e-06,6.06775e-06,6.18696e-06,6.1512e-06,6.23465e-06,5.93662e-06,6.23465e-06,6.53267e-06
0.014,6.28233e-06,6.02007e-06,6.31809e-06,6.28233e-06,6.06775e-06,6.18696e-06,6.28233e-06,6.31809e-06
0.016,6.10352e-06,5.88894e-06,6.44922e-06,6.49691e-06,6.31809e-06,6.49691e-06,6.40154e-06,6.36578e-06
0.018,6.18696e-06,6.28233e-06,6.36578e-06,6.02007e-06,5.98431e-06,5.98431e-06,5.93662e-06,6.28233e-06
0.02,5.98431e-06,6.28233e-06,6.1512e-06,6.49691e-06,6.31809e-06,6.06775e-06,6.53267e-06,6.53267e-06
0.022,6.23465e-06,6.23465e-06,6.06775e-06,5.85318e-06,6.40154e-06,6.06775e-06,6.28233e-06,6.40154e-06
0.024,6.44922e-06,6.02007e-06,6.40154e-06,5.88894e-06,6.23465e-06,6.02007e-06,6.1512e-06,6.53267e-06
0.026,5.80549e-06,6.18696e-06,6.18696e-06,6.10352e-06,6.18696e-06,6.31809e-06,6.44922e-06,6.44922e-06
0.028,6.28233e-06,6.23465e-06,5.76973e-06,6.28233e-06,6.23465e-06,6.49691e-06,6.28233e-06,6.31809e-06
0.03,6.36578e-06,6.10352e-06,6.02007e-06,5.50747e-06,6.40154e-06,5.67436e-06,5.76973e-06,6.44922e-06
0.032,6.28233e-06,6.36578e-06,6.28233e-06,6.28233e-06,6.36578e-06,6.06775e-06,6.31809e-06,6.71148e-06
0.034,6.1512e-06,5.80549e-06,5.98431e-06,6.18696e-06,6.23465e-06,6.23465e-06,6.40154e-06,5.93662e-06
0.036,6.36578e-06,6.10352e-06,6.1512e-06,5.98431e-06,6.10352e-06,6.06775e-06,6.02007e-06,6.49691e-06
0.038,6.36578e-06,6.1512e-06,6.06775e-06,6.02007e-06,6.49691e-06,6.36578e-06,6.1512e-06,6.28233e-06
0.04,5.85318e-06,5.98431e-06,6.44922e-06,6.53267e-06,6.36578e-06,6.06775e-06,6.53267e-06,6.06775e-06
0.042,6.23465e-06,6.18696e-06,5.85318e-06,5.80549e-06,6.10352e-06,5.85318e-06,6.23465e-06,6.23465e-06
0.044,6.28233e-06,6.10352e-06,6.02007e-06,6.1512e-06,6.1512e-06,6.23465e-06,6.28233e-06,6.79493e-06
