Time,Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A)
0.0,3.77893e-06,3.79086e-06,3.74317e-06,3.77893e-06,3.75509e-06,3.75509e-06,3.83854e-06,4.02927e-06
0.100001,3.75509e-06,3.76701e-06,3.68357e-06,3.75509e-06,3.74317e-06,3.75509e-06,3.8147e-06,3.94583e-06
0.200002,3.71933e-06,3.79086e-06,3.68357e-06,3.76701e-06,3.75509e-06,3.74317e-06,3.82662e-06,3.95775e-06
0.300003,3.79086e-06,3.80278e-06,3.67165e-06,3.77893e-06,3.73125e-06,3.76701e-06,3.8147e-06,4.00543e-06
0.400004,3.76701e-06,3.8147e-06,3.6478e-06,3.77893e-06,3.74317e-06,3.76701e-06,3.8147e-06,4.00543e-06
0.500005,3.77893e-06,3.79086e-06,3.63588e-06,3.76701e-06,3.75509e-06,3.73125e-06,3.83854e-06,4.00543e-06
0.600006,3.76701e-06,3.79086e-06,3.6478e-06,3.79086e-06,3.75509e-06,3.74317e-06,3.82662e-06,3.98159e-06
0.700007,3.79086e-06,3.79086e-06,3.68357e-06,3.76701e-06,3.74317e-06,3.77893e-06,3.8147e-06,3.99351e-06
0.800008,3.80278e-06,3.75509e-06,3.6478e-06,3.77893e-06,3.76701e-06,3.76701e-06,3.83854e-06,4.00543e-06
0.900009,3.79086e-06,3.79086e-06,3.69549e-06,3.76701e-06,3.76701e-06,3.75509e-06,3.83854e-06,3.99351e-06
1.00001,3.76701e-06,3.77893e-06,3.70741e-06,3.76701e-06,3.74317e-06,3.74317e-06,3.8147e-06,4.01735e-06
1.10001,3.77893e-06,3.77893e-06,3.67165e-06,3.75509e-06,3.77893e-06,3.77893e-06,3.83854e-06,4.0412e-06
1.20001,3.76701e-06,3.75509e-06,3.67165e-06,3.79086e-06,3.79086e-06,3.73125e-06,3.8743e-06,4.01735e-06
1.30001,3.76701e-06,3.77893e-06,3.69549e-06,3.8147e-06,3.77893e-06,3.73125e-06,3.86238e-06,4.02927e-06
1.40001,3.8147e-06,3.79086e-06,3.6478e-06,3.77893e-06,3.77893e-06,3.74317e-06,3.85046e-06,4.06504e-06
1.50001,3.79086e-06,3.80278e-06,3.65973e-06,3.77893e-06,3.80278e-06,3.71933e-06,3.88622e-06,4.05312e-06
1.60002,3.80278e-06,3.80278e-06,3.69549e-06,3.75509e-06,3.79086e-06,3.73125e-06,3.91006e-06,4.06504e-06
1.70002,3.77893e-06,3.76701e-06,3.68357e-06,3.80278e-06,3.77893e-06,3.73125e-06,3.8743e-06,4.06504e-06
1.80002,3.76701e-06,3.74317e-06,3.70741e-06,3.80278e-06,3.76701e-06,3.69549e-06,3.88622e-06,4.01735e-06
1.90002,3.76701e-06,3.76701e-06,3.71933e-06,3.80278e-06,3.76701e-06,3.71933e-06,3.91006e-06,4.0412e-06
2.00002,3.77893e-06,3.76701e-06,3.69549e-06,3.8147e-06,3.79086e-06,3.71933e-06,3.89814e-06,4.05312e-06
2.10002,3.77893e-06,3.76701e-06,3.70741e-06,3.80278e-06,3.76701e-06,3.70741e-06,3.86238e-06,4.02927e-06
2.20002,3.8147e-06,3.8147e-06,3.69549e-06,3.80278e-06,3.74317e-06,3.73125e-06,3.8743e-06,4.02927e-06
2.30002,3.80278e-06,3.80278e-06,3.68357e-06,3.8147e-06,3.79086e-06,3.71933e-06,3.88622e-06,4.0412e-06
2.40002,3.80278e-06,3.77893e-06,3.69549e-06,3.80278e-06,3.77893e-06,3.75509e-06,3.83854e-06,4.01735e-06
2.50002,3.8147e-06,3.79086e-06,3.68357e-06,3.8147e-06,3.8147e-06,3.76701e-06,3.89814e-06,4.01735e-06
2.60003,3.80278e-06,3.83854e-06,3.69549e-06,3.83854e-06,3.79086e-06,3.75509e-06,3.86238e-06,4.0412e-06
2.70003,3.80278e-06,3.8147e-06,3.68357e-06,3.8147e-06,3.80278e-06,3.76701e-06,3.88622e-06,4.02927e-06
2.80003,3.8147e-06,3.80278e-06,3.69549e-06,3.80278e-06,3.75509e-06,3.74317e-06,3.89814e-06,4.00543e-06
2.90003,3.80278e-06,3.77893e-06,3.68357e-06,3.82662e-06,3.79086e-06,3.74317e-06,3.88622e-06,4.01735e-06
3.00003,3.79086e-06,3.77893e-06,3.68357e-06,3.8147e-06,3.77893e-06,3.73125e-06,3.91006e-06,4.02927e-06
3.10003,3.8147e-06,3.77893e-06,3.70741e-06,3.80278e-06,3.74317e-06,3.71933e-06,3.91006e-06,4.0412e-06
3.20003,3.82662e-06,3.79086e-06,3.70741e-06,3.82662e-06,3.75509e-06,3.71933e-06,3.92199e-06,4.06504e-06
3.30003,3.83854e-06,3.79086e-06,3.73125e-06,3.80278e-06,3.75509e-06,3.75509e-06,3.88622e-06,4.05312e-06
3.40003,3.80278e-06,3.79086e-06,3.71933e-06,3.79086e-06,3.77893e-06,3.74317e-06,3.88622e-06,4.05312e-06
3.50004,3.76701e-06,3.80278e-06,3.73125e-06,3.8147e-06,3.79086e-06,3.69549e-06,3.8743e-06,4.0412e-06
3.60004,3.76701e-06,3.82662e-06,3.70741e-06,3.82662e-06,3.76701e-06,3.73125e-06,3.8743e-06,4.06504e-06
3.70004,3.77893e-06,3.8147e-06,3.70741e-06,3.8147e-06,3.74317e-06,3.75509e-06,3.89814e-06,4.0412e-06
3.80004,3.80278e-06,3.8147e-06,3.71933e-06,3.80278e-06,3.80278e-06,3.71933e-06,3.91006e-06,4.05312e-06
3.90004,3.8147e-06,3.82662e-06,3.75509e-06,3.76701e-06,3.82662e-06,3.77893e-06,3.91006e-06,4.05312e-06
4.00004,3.8147e-06,3.80278e-06,3.74317e-06,3.79086e-06,3.8147e-06,3.76701e-06,3.91006e-06,4.0412e-06
4.10004,3.82662e-06,3.79086e-06,3.74317e-06,3.8147e-06,3.80278e-06,3.75509e-06,3.89814e-06,4.02927e-06
4.20004,3.8147e-06,3.79086e-06,3.77893e-06,3.82662e-06,3.8147e-06,3.76701e-06,3.85046e-06,4.0412e-06
4.30004,3.85046e-06,3.77893e-06,3.76701e-06,3.80278e-06,3.8147e-06,3.76701e-06,3.8743e-06,4.0412e-06
4.40004,3.82662e-06,3.80278e-06,3.71933e-06,3.80278e-06,3.8147e-06,3.79086e-06,3.85046e-06,4.0412e-06
4.50005,3.80278e-06,3.79086e-06,3.71933e-06,3.82662e-06,3.83854e-06,3.76701e-06,3.89814e-06,4.06504e-06
4.60005,3.79086e-06,3.80278e-06,3.71933e-06,3.8147e-06,3.82662e-06,3.76701e-06,3.8743e-06,4.02927e-06
4.70005,3.77893e-06,3.8147e-06,3.70741e-06,3.83854e-06,3.8147e-06,3.74317e-06,3.86238e-06,4.02927e-06
4.80005,3.79086e-06,3.82662e-06,3.74317e-06,3.80278e-06,3.80278e-06,3.75509e-06,3.83854e-06,4.0412e-06
4.90005,3.8147e-06,3.80278e-06,3.74317e-06,3.8147e-06,3.77893e-06,3.76701e-06,3.86238e-06,4.06504e-06
5.00005,3.80278e-06,3.77893e-06,3.74317e-06,3.8147e-06,3.80278e-06,3.75509e-06,3.85046e-06,4.02927e-06
5.10005,3.8147e-06,3.80278e-06,3.75509e-06,3.8147e-06,3.79086e-06,3.79086e-06,3.86238e-06,4.05312e-06
5.20005,3.8147e-06,3.80278e-06,3.71933e-06,3.79086e-06,3.8147e-06,3.76701e-06,3.85046e-06,4.02927e-06
5.30005,3.79086e-06,3.8147e-06,3.76701e-06,3.80278e-06,3.77893e-06,3.76701e-06,3.86238e-06,4.00543e-06
5.40005,3.76701e-06,3.8147e-06,3.73125e-06,3.82662e-06,3.80278e-06,3.76701e-06,3.8743e-06,4.02927e-06
5.50005,3.80278e-06,3.77893e-06,3.70741e-06,3.83854e-06,3.77893e-06,3.79086e-06,3.86238e-06,4.01735e-06
5.60006,3.79086e-06,3.8147e-06,3.75509e-06,3.8147e-06,3.80278e-06,3.79086e-06,3.8743e-06,4.05312e-06
5.70006,3.80278e-06,3.79086e-06,3.76701e-06,3.85046e-06,3.80278e-06,3.77893e-06,3.86238e-06,4.02927e-06
5.80006,3.82662e-06,3.79086e-06,3.75509e-06,3.83854e-06,3.8147e-06,3.79086e-06,3.88622e-06,4.01735e-06
5.90006,3.82662e-06,3.75509e-06,3.76701e-06,3.82662e-06,3.79086e-06,3.80278e-06,3.86238e-06,4.05312e-06
6.00006,3.8147e-06,3.80278e-06,3.75509e-06,3.80278e-06,3.80278e-06,3.8147e-06,3.88622e-06,4.02927e-06
6.10006,3.85046e-06,3.77893e-06,3.74317e-06,3.79086e-06,3.80278e-06,3.79086e-06,3.92199e-06,4.05312e-06
