Time,Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A)
0.0,5.29289e-06,5.36442e-06,5.32866e-06,5.32866e-06,5.34058e-06,5.3525e-06,5.36442e-06,5.42402e-06
0.100001,5.24521e-06,5.30481e-06,5.26905e-06,5.28097e-06,5.26905e-06,5.28097e-06,5.25713e-06,5.3525e-06
0.200002,5.26905e-06,5.31673e-06,5.24521e-06,5.28097e-06,5.23329e-06,5.29289e-06,5.26905e-06,5.38826e-06
0.300003,5.30481e-06,5.31673e-06,5.26905e-06,5.25713e-06,5.29289e-06,5.29289e-06,5.26905e-06,5.36442e-06
0.400004,5.28097e-06,5.30481e-06,5.28097e-06,5.29289e-06,5.26905e-06,5.32866e-06,5.29289e-06,5.36442e-06
0.500005,5.29289e-06,5.34058e-06,5.29289e-06,5.28097e-06,5.31673e-06,5.30481e-06,5.32866e-06,5.38826e-06
0.600006,5.25713e-06,5.36442e-06,5.29289e-06,5.30481e-06,5.30481e-06,5.30481e-06,5.34058e-06,5.37634e-06
0.700007,5.25713e-06,5.31673e-06,5.28097e-06,5.32866e-06,5.28097e-06,5.29289e-06,5.29289e-06,5.37634e-06
0.800008,5.25713e-06,5.30481e-06,5.28097e-06,5.29289e-06,5.30481e-06,5.30481e-06,5.31673e-06,5.37634e-06
0.900009,5.29289e-06,5.32866e-06,5.28097e-06,5.32866e-06,5.30481e-06,5.32866e-06,5.30481e-06,5.38826e-06
1.00001,5.26905e-06,5.32866e-06,5.29289e-06,5.28097e-06,5.31673e-06,5.31673e-06,5.30481e-06,5.43594e-06
1.10001,5.28097e-06,5.3525e-06,5.29289e-06,5.32866e-06,5.31673e-06,5.30481e-06,5.32866e-06,5.4121e-06
1.20001,5.29289e-06,5.36442e-06,5.29289e-06,5.31673e-06,5.30481e-06,5.3525e-06,5.29289e-06,5.42402e-06
1.30001,5.26905e-06,5.34058e-06,5.28097e-06,5.32866e-06,5.28097e-06,5.34058e-06,5.30481e-06,5.42402e-06
1.40001,5.29289e-06,5.34058e-06,5.28097e-06,5.34058e-06,5.30481e-06,5.3525e-06,5.30481e-06,5.42402e-06
1.50001,5.29289e-06,5.37634e-06,5.29289e-06,5.34058e-06,5.26905e-06,5.31673e-06,5.32866e-06,5.42402e-06
1.60002,5.25713e-06,5.3525e-06,5.30481e-06,5.34058e-06,5.29289e-06,5.32866e-06,5.30481e-06,5.40018e-06
1.70002,5.31673e-06,5.3525e-06,5.30481e-06,5.31673e-06,5.28097e-06,5.31673e-06,5.32866e-06,5.38826e-06
1.80002,5.28097e-06,5.37634e-06,5.32866e-06,5.30481e-06,5.28097e-06,5.3525e-06,5.3525e-06,5.38826e-06
1.90002,5.30481e-06,5.38826e-06,5.32866e-06,5.32866e-06,5.30481e-06,5.36442e-06,5.34058e-06,5.43594e-06
2.00002,5.30481e-06,5.40018e-06,5.37634e-06,5.30481e-06,5.28097e-06,5.31673e-06,5.3525e-06,5.43594e-06
2.10002,5.31673e-06,5.38826e-06,5.3525e-06,5.32866e-06,5.30481e-06,5.32866e-06,5.3525e-06,5.4121e-06
2.20002,5.3525e-06,5.40018e-06,5.30481e-06,5.3525e-06,5.30481e-06,5.32866e-06,5.3525e-06,5.38826e-06
2.30002,5.36442e-06,5.3525e-06,5.31673e-06,5.36442e-06,5.31673e-06,5.34058e-06,5.37634e-06,5.4121e-06
2.40002,5.3525e-06,5.36442e-06,5.34058e-06,5.32866e-06,5.32866e-06,5.3525e-06,5.38826e-06,5.44786e-06
2.50002,5.3525e-06,5.34058e-06,5.32866e-06,5.3525e-06,5.30481e-06,5.36442e-06,5.34058e-06,5.36442e-06
