Time,Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A)
0.0,2.79665e-05,2.77519e-05,2.77042e-05,2.7597e-05,2.75016e-05
0.01,2.46644e-05,2.44498e-05,2.41876e-05,2.4116e-05,2.40684e-05
0.02,2.41399e-05,2.3973e-05,2.38419e-05,2.36392e-05,2.35558e-05
0.03,2.39968e-05,2.36869e-05,2.36034e-05,2.3365e-05,2.32935e-05
0.04,2.3818e-05,2.35915e-05,2.34485e-05,2.33889e-05,2.32816e-05
0.05,2.37823e-05,2.36392e-05,2.35319e-05,2.32935e-05,2.33173e-05
0.06,2.38419e-05,2.36392e-05,2.35319e-05,2.33531e-05,2.32935e-05
0.07,2.38657e-05,2.35319e-05,2.34723e-05,2.33054e-05,2.31862e-05
0.08,2.38419e-05,2.35558e-05,2.34604e-05,2.33054e-05,2.31743e-05
0.09,2.38895e-05,2.3663e-05,2.352e-05,2.33173e-05,2.31624e-05
0.1,2.37465e-05,2.35915e-05,2.35081e-05,2.33531e-05,2.31624e-05
0.11,2.38657e-05,2.36154e-05,2.35081e-05,2.34127e-05,2.32577e-05
0.12,2.39015e-05,2.36154e-05,2.35677e-05,2.33531e-05,2.33054e-05
0.13,2.38657e-05,2.36392e-05,2.35438e-05,2.32935e-05,2.33173e-05
0.14,2.38419e-05,2.36154e-05,2.35319e-05,2.32339e-05,2.32935e-05
0.15,2.38657e-05,2.35915e-05,2.35319e-05,2.33531e-05,2.32935e-05
0.16,2.38657e-05,2.35796e-05,2.36273e-05,2.34485e-05,2.3222e-05
0.17,2.39611e-05,2.36869e-05,2.36034e-05,2.34485e-05,2.32458e-05
0.18,2.39491e-05,2.37107e-05,2.35915e-05,2.34485e-05,2.33054e-05
0.19,2.38895e-05,2.3663e-05,2.3663e-05,2.34246e-05,2.33412e-05
0.2,2.39372e-05,2.37465e-05,2.36273e-05,2.33889e-05,2.32816e-05
0.21,2.38657e-05,2.37584e-05,2.35558e-05,2.34485e-05,2.32935e-05
0.22,2.39134e-05,2.37346e-05,2.36392e-05,2.35438e-05,2.32577e-05
0.23,2.3973e-05,2.36273e-05,2.37226e-05,2.35319e-05,2.32935e-05
0.24,2.3973e-05,2.37226e-05,2.36869e-05,2.34842e-05,2.33889e-05
0.25,2.3973e-05,2.37823e-05,2.36511e-05,2.35081e-05,2.33889e-05
0.26,2.39372e-05,2.37584e-05,2.36988e-05,2.352e-05,2.34485e-05
0.27,2.39611e-05,2.37226e-05,2.36869e-05,2.34604e-05,2.33531e-05
0.28,2.39968e-05,2.38776e-05,2.35796e-05,2.35081e-05,2.33531e-05
0.29,2.40445e-05,2.37942e-05,2.37942e-05,2.35915e-05,2.32816e-05
0.3,2.40207e-05,2.37226e-05,2.36988e-05,2.35081e-05,2.32577e-05
0.31,2.39968e-05,2.37823e-05,2.37107e-05,2.35558e-05,2.34127e-05
0.32,2.39015e-05,2.38657e-05,2.37226e-05,2.35319e-05,2.34485e-05
0.33,2.40922e-05,2.38419e-05,2.37703e-05,2.35796e-05,2.34485e-05
0.34,2.41399e-05,2.38419e-05,2.36869e-05,2.36154e-05,2.35081e-05
0.35,2.40803e-05,2.38538e-05,2.37942e-05,2.36392e-05,2.34008e-05
0.36,2.40803e-05,2.39491e-05,2.38061e-05,2.35081e-05,2.34246e-05
0.37,2.40564e-05,2.38061e-05,2.38061e-05,2.36034e-05,2.34723e-05
0.38,2.41399e-05,2.37942e-05,2.38061e-05,2.3663e-05,2.35081e-05
0.39,2.41637e-05,2.38061e-05,2.38299e-05,2.37226e-05,2.34842e-05
0.4,2.41756e-05,2.39253e-05,2.38776e-05,2.37465e-05,2.35319e-05
0.41,2.40803e-05,2.3973e-05,2.3818e-05,2.36154e-05,2.34365e-05
0.42,2.40207e-05,2.39372e-05,2.38061e-05,2.36869e-05,2.35319e-05
0.43,2.40445e-05,2.39134e-05,2.38299e-05,2.3663e-05,2.34485e-05
0.44,2.41399e-05,2.39253e-05,2.38061e-05,2.37107e-05,2.35677e-05
0.45,2.4128e-05,2.38895e-05,2.37703e-05,2.37107e-05,2.35677e-05
0.46,2.40684e-05,2.3818e-05,2.38419e-05,2.36869e-05,2.35438e-05
0.47,2.40684e-05,2.40088e-05,2.38657e-05,2.35915e-05,2.35081e-05
0.48,2.4116e-05,2.39372e-05,2.38419e-05,2.36988e-05,2.34962e-05
0.49,2.41399e-05,2.39491e-05,2.38061e-05,2.37703e-05,2.35558e-05
0.5,2.41876e-05,2.38895e-05,2.38657e-05,2.37465e-05,2.35915e-05
0.51,2.41756e-05,2.39849e-05,2.38419e-05,2.3663e-05,2.36392e-05
0.52,2.41518e-05,2.40207e-05,2.39015e-05,2.36869e-05,2.35677e-05
0.53,2.40922e-05,2.39015e-05,2.39253e-05,2.3663e-05,2.35319e-05
0.54,2.41518e-05,2.39015e-05,2.38657e-05,2.37703e-05,2.34365e-05
0.55,2.4271e-05,2.40803e-05,2.38061e-05,2.38061e-05,2.35081e-05
0.56,2.4271e-05,2.39968e-05,2.3818e-05,2.37346e-05,2.34842e-05
0.57,2.41876e-05,2.40207e-05,2.38657e-05,2.36988e-05,2.36154e-05
0.58,2.41637e-05,2.39372e-05,2.38657e-05,2.35677e-05,2.36154e-05
0.59,2.42233e-05,2.40564e-05,2.38419e-05,2.3675e-05,2.35677e-05
