Time,Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A)
0.0,3.53217e-05,3.44992e-05,3.38197e-05,3.38554e-05,3.32952e-05
0.002,2.9397e-05,2.90155e-05,2.82407e-05,2.78115e-05,2.76327e-05
0.004,2.87533e-05,2.69532e-05,2.66075e-05,2.65718e-05,2.61426e-05
0.006,2.79427e-05,2.68698e-05,2.61784e-05,2.53677e-05,2.55346e-05
0.008,2.72512e-05,2.6226e-05,2.57492e-05,2.54035e-05,2.4724e-05
0.01,2.73824e-05,2.60472e-05,2.54035e-05,2.51055e-05,2.45452e-05
0.012,2.66552e-05,2.60949e-05,2.52843e-05,2.4724e-05,2.43783e-05
0.014,2.68698e-05,2.60949e-05,2.53677e-05,2.46763e-05,2.39015e-05
0.016,2.68221e-05,2.54512e-05,2.52366e-05,2.46763e-05,2.4116e-05
0.018,2.66075e-05,2.55823e-05,2.51889e-05,2.46406e-05,2.40326e-05
0.02,2.63095e-05,2.54512e-05,2.5022e-05,2.4426e-05,2.38657e-05
0.022,2.6691e-05,2.52843e-05,2.47598e-05,2.42114e-05,2.37823e-05
0.024,2.6226e-05,2.53677e-05,2.46406e-05,2.42114e-05,2.39968e-05
0.026,2.65241e-05,2.50697e-05,2.45452e-05,2.42472e-05,2.40803e-05
0.028,2.64406e-05,2.53677e-05,2.41637e-05,2.4116e-05,2.38657e-05
0.03,2.6226e-05,2.52843e-05,2.45452e-05,2.36511e-05,2.37346e-05
0.032,2.66075e-05,2.51889e-05,2.45094e-05,2.40803e-05,2.36511e-05
0.034,2.61784e-05,2.51889e-05,2.45094e-05,2.39968e-05,2.37346e-05
0.036,2.63095e-05,2.52843e-05,2.43306e-05,2.39015e-05,2.39491e-05
0.038,2.6226e-05,2.54035e-05,2.46406e-05,2.39491e-05,2.30551e-05
0.04,2.63095e-05,2.51889e-05,2.42114e-05,2.4426e-05,2.36869e-05
0.042,2.6226e-05,2.51889e-05,2.45094e-05,2.36869e-05,2.36511e-05
0.044,2.66552e-05,2.50697e-05,2.43783e-05,2.39968e-05,2.36511e-05
0.046,2.60115e-05,2.51532e-05,2.44617e-05,2.39968e-05,2.35677e-05
0.048,2.64764e-05,2.50697e-05,2.45929e-05,2.39015e-05,2.39491e-05
0.05,2.63572e-05,2.47598e-05,2.42949e-05,2.39491e-05,2.35677e-05
0.052,2.6226e-05,2.51055e-05,2.39491e-05,2.39015e-05,2.37823e-05
0.054,2.65241e-05,2.52366e-05,2.43783e-05,2.39491e-05,2.36034e-05
0.056,2.59638e-05,2.51532e-05,2.45452e-05,2.40326e-05,2.34723e-05
0.058,2.62618e-05,2.50697e-05,2.4426e-05,2.4116e-05,2.36034e-05
0.06,2.61426e-05,2.56181e-05,2.43306e-05,2.39491e-05,2.33531e-05
0.062,2.63929e-05,2.49743e-05,2.48075e-05,2.40803e-05,2.3222e-05
0.064,2.64764e-05,2.53201e-05,2.42472e-05,2.41637e-05,2.34723e-05
0.066,2.66075e-05,2.51055e-05,2.45452e-05,2.4116e-05,2.34723e-05
0.068,2.60949e-05,2.49743e-05,2.45094e-05,2.40326e-05,2.36511e-05
0.07,2.64764e-05,2.52366e-05,2.43783e-05,2.38657e-05,2.35677e-05
0.072,2.63095e-05,2.48075e-05,2.45452e-05,2.40326e-05,2.36869e-05
0.074,2.63929e-05,2.51532e-05,2.42949e-05,2.42114e-05,2.36034e-05
0.076,2.64764e-05,2.52843e-05,2.42949e-05,2.33889e-05,2.36869e-05
0.078,2.61426e-05,2.51889e-05,2.44617e-05,2.39015e-05,2.36869e-05
0.08,2.61784e-05,2.48909e-05,2.45452e-05,2.40326e-05,2.34365e-05
0.082,2.65718e-05,2.52366e-05,2.45094e-05,2.3818e-05,2.36034e-05
0.084,2.63572e-05,2.52843e-05,2.44617e-05,2.39968e-05,2.34723e-05
0.086,2.63929e-05,2.51889e-05,2.45929e-05,2.42949e-05,2.35677e-05
0.088,2.66075e-05,2.50697e-05,2.45094e-05,2.37823e-05,2.352e-05
0.09,2.60949e-05,2.5022e-05,2.4426e-05,2.39968e-05,2.352e-05
0.092,2.65241e-05,2.51889e-05,2.45452e-05,2.4116e-05,2.35677e-05
0.094,2.63929e-05,2.51532e-05,2.4426e-05,2.39491e-05,2.3818e-05
0.096,2.64764e-05,2.46406e-05,2.44617e-05,2.40326e-05,2.33889e-05
0.098,2.65241e-05,2.52843e-05,2.42472e-05,2.38657e-05,2.36034e-05
0.1,2.60949e-05,2.51055e-05,2.4426e-05,2.37346e-05,2.36511e-05
0.102,2.63572e-05,2.51055e-05,2.45094e-05,2.4116e-05,2.36511e-05
0.104,2.63095e-05,2.51532e-05,2.45094e-05,2.39968e-05,2.36034e-05
0.106,2.6226e-05,2.54035e-05,2.45929e-05,2.3818e-05,2.36869e-05
0.108,2.63929e-05,2.49386e-05,2.45452e-05,2.40326e-05,2.33531e-05
0.11,2.67863e-05,2.52843e-05,2.4724e-05,2.40803e-05,2.36034e-05
0.112,2.63095e-05,2.51532e-05,2.46763e-05,2.41637e-05,2.34365e-05
0.114,2.66075e-05,2.51055e-05,2.44617e-05,2.39968e-05,2.34365e-05
0.116,2.64764e-05,2.51889e-05,2.44617e-05,2.40803e-05,2.34365e-05
0.118,2.62618e-05,2.49386e-05,2.43306e-05,2.37823e-05,2.39015e-05
0.12,2.66075e-05,2.51055e-05,2.45452e-05,2.39968e-05,2.33054e-05
0.122,2.62618e-05,2.51532e-05,2.42949e-05,2.36869e-05,2.36511e-05
0.124,2.63095e-05,2.52366e-05,2.46763e-05,2.40326e-05,2.36869e-05
0.126,2.66552e-05,2.50697e-05,2.44617e-05,2.40326e-05,2.352e-05
0.128,2.64764e-05,2.53201e-05,2.45929e-05,2.39015e-05,2.37346e-05
0.13,2.63929e-05,2.54512e-05,2.44617e-05,2.38657e-05,2.37823e-05
0.132,2.6691e-05,2.51889e-05,2.45452e-05,2.42472e-05,2.33889e-05
0.134,2.63095e-05,2.53677e-05,2.42949e-05,2.3818e-05,2.36869e-05
0.136,2.6691e-05,2.52366e-05,2.45929e-05,2.41637e-05,2.36869e-05
0.138,2.66075e-05,2.51532e-05,2.45452e-05,2.40326e-05,2.33889e-05
0.14,2.63095e-05,2.5022e-05,2.45094e-05,2.40803e-05,2.35677e-05
0.142,2.6691e-05,2.4724e-05,2.47598e-05,2.4116e-05,2.36034e-05
0.144,2.64406e-05,2.50697e-05,2.48075e-05,2.40326e-05,2.34365e-05
0.146,2.64764e-05,2.52843e-05,2.40326e-05,2.36869e-05,2.3818e-05
0.148,2.66552e-05,2.50697e-05,2.45929e-05,2.4116e-05,2.36034e-05
0.15,2.63572e-05,2.51889e-05,2.44617e-05,2.4116e-05,2.35677e-05
0.152,2.64764e-05,2.54512e-05,2.43783e-05,2.39491e-05,2.37823e-05
0.154,2.6691e-05,2.52366e-05,2.43783e-05,2.4116e-05,2.34365e-05
0.156,2.63095e-05,2.54512e-05,2.45452e-05,2.42114e-05,2.36511e-05
