Time,Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A)
0.0,2.37226e-05,2.37107e-05,2.36511e-05,2.36273e-05,2.3663e-05
0.100001,2.31743e-05,2.31266e-05,2.3067e-05,2.30312e-05,2.30551e-05
0.200002,2.32458e-05,2.3222e-05,2.31504e-05,2.31028e-05,2.31743e-05
0.300003,2.33293e-05,2.32935e-05,2.321e-05,2.31862e-05,2.31862e-05
0.400004,2.33769e-05,2.33531e-05,2.33054e-05,2.32577e-05,2.32339e-05
0.500005,2.34127e-05,2.34127e-05,2.33412e-05,2.32816e-05,2.33173e-05
0.600006,2.35081e-05,2.34604e-05,2.33889e-05,2.33293e-05,2.33531e-05
0.700007,2.35319e-05,2.35081e-05,2.34485e-05,2.33769e-05,2.34246e-05
0.800008,2.35677e-05,2.35319e-05,2.34723e-05,2.34365e-05,2.34485e-05
0.900009,2.36034e-05,2.35796e-05,2.34723e-05,2.34842e-05,2.34842e-05
1.00001,2.36034e-05,2.36034e-05,2.35558e-05,2.352e-05,2.35319e-05
1.10001,2.36392e-05,2.36154e-05,2.35319e-05,2.35319e-05,2.35558e-05
1.20001,2.36392e-05,2.35915e-05,2.35438e-05,2.35558e-05,2.35677e-05
1.30001,2.3663e-05,2.36392e-05,2.35677e-05,2.35915e-05,2.35915e-05
1.40001,2.36988e-05,2.36988e-05,2.36034e-05,2.36034e-05,2.36273e-05
1.50001,2.37346e-05,2.37226e-05,2.36392e-05,2.36154e-05,2.36034e-05
1.60002,2.37346e-05,2.37226e-05,2.3663e-05,2.36511e-05,2.36511e-05
1.70002,2.37823e-05,2.37226e-05,2.36869e-05,2.36154e-05,2.36392e-05
1.80002,2.37823e-05,2.37703e-05,2.36988e-05,2.3663e-05,2.36869e-05
1.90002,2.3818e-05,2.37465e-05,2.36869e-05,2.36392e-05,2.36988e-05
2.00002,2.3818e-05,2.37226e-05,2.37703e-05,2.3663e-05,2.36988e-05
2.10002,2.38061e-05,2.37942e-05,2.37346e-05,2.36988e-05,2.37226e-05
2.20002,2.38299e-05,2.38061e-05,2.37703e-05,2.3675e-05,2.37703e-05
2.30002,2.38419e-05,2.3818e-05,2.37703e-05,2.37465e-05,2.37584e-05
2.40002,2.38419e-05,2.38538e-05,2.37823e-05,2.37465e-05,2.37823e-05
2.50002,2.38776e-05,2.38299e-05,2.37465e-05,2.37465e-05,2.38061e-05
2.60003,2.38776e-05,2.38419e-05,2.37584e-05,2.37346e-05,2.3818e-05
2.70003,2.38895e-05,2.38419e-05,2.37942e-05,2.37703e-05,2.37942e-05
2.80003,2.39134e-05,2.38776e-05,2.3818e-05,2.37942e-05,2.3818e-05
2.90003,2.39134e-05,2.38776e-05,2.3818e-05,2.37823e-05,2.37942e-05
3.00003,2.39372e-05,2.38776e-05,2.3818e-05,2.37942e-05,2.38061e-05
3.10003,2.39253e-05,2.38895e-05,2.37823e-05,2.3818e-05,2.3818e-05
3.20003,2.39253e-05,2.38895e-05,2.38061e-05,2.38061e-05,2.3818e-05
3.30003,2.39372e-05,2.38895e-05,2.37942e-05,2.37942e-05,2.38419e-05
3.40003,2.39611e-05,2.39015e-05,2.37942e-05,2.37942e-05,2.38538e-05
3.50004,2.39611e-05,2.38776e-05,2.38299e-05,2.3818e-05,2.38657e-05
3.60004,2.39611e-05,2.39134e-05,2.38419e-05,2.38538e-05,2.39015e-05
3.70004,2.39372e-05,2.39611e-05,2.38657e-05,2.38538e-05,2.39015e-05
3.80004,2.39372e-05,2.39372e-05,2.38776e-05,2.38419e-05,2.38895e-05
3.90004,2.39968e-05,2.39015e-05,2.38776e-05,2.38657e-05,2.39372e-05
4.00004,2.39849e-05,2.39253e-05,2.39015e-05,2.38538e-05,2.39372e-05
4.10004,2.40326e-05,2.39491e-05,2.38895e-05,2.38419e-05,2.39253e-05
4.20004,2.40207e-05,2.39372e-05,2.38895e-05,2.38776e-05,2.3973e-05
4.30004,2.40088e-05,2.3973e-05,2.39015e-05,2.38895e-05,2.39611e-05
4.40004,2.40088e-05,2.39849e-05,2.39134e-05,2.38895e-05,2.39491e-05
4.50005,2.40564e-05,2.39611e-05,2.39015e-05,2.38895e-05,2.39015e-05
4.60005,2.40684e-05,2.3973e-05,2.39134e-05,2.38776e-05,2.39491e-05
4.70005,2.40684e-05,2.39849e-05,2.39372e-05,2.39134e-05,2.39491e-05
4.80005,2.40445e-05,2.40088e-05,2.39611e-05,2.39134e-05,2.39253e-05
4.90005,2.40564e-05,2.40207e-05,2.3973e-05,2.39372e-05,2.39372e-05
5.00005,2.40684e-05,2.40088e-05,2.39968e-05,2.39491e-05,2.3973e-05
5.10005,2.40803e-05,2.40445e-05,2.39849e-05,2.39372e-05,2.39611e-05
5.20005,2.41041e-05,2.40445e-05,2.39968e-05,2.39372e-05,2.3973e-05
5.30005,2.4128e-05,2.40326e-05,2.39849e-05,2.39611e-05,2.39611e-05
5.40005,2.41041e-05,2.40684e-05,2.40088e-05,2.39491e-05,2.39968e-05
5.50005,2.4128e-05,2.40803e-05,2.40207e-05,2.39611e-05,2.39968e-05
5.60006,2.4128e-05,2.40445e-05,2.40326e-05,2.3973e-05,2.39849e-05
5.70006,2.41399e-05,2.40207e-05,2.39968e-05,2.39849e-05,2.39611e-05
5.80006,2.41399e-05,2.40564e-05,2.39849e-05,2.40088e-05,2.3973e-05
5.90006,2.41876e-05,2.40684e-05,2.40207e-05,2.40207e-05,2.40207e-05
6.00006,2.41637e-05,2.40922e-05,2.40207e-05,2.40326e-05,2.40207e-05
6.10006,2.41518e-05,2.40803e-05,2.40445e-05,2.40564e-05,2.40445e-05
6.20006,2.41637e-05,2.40803e-05,2.40326e-05,2.40564e-05,2.40445e-05
6.30006,2.41637e-05,2.41041e-05,2.40564e-05,2.40684e-05,2.39968e-05
6.40006,2.41876e-05,2.40684e-05,2.40684e-05,2.40088e-05,2.40684e-05
6.50006,2.41756e-05,2.41041e-05,2.40684e-05,2.40088e-05,2.40564e-05
6.60007,2.41637e-05,2.4116e-05,2.40564e-05,2.40445e-05,2.40684e-05
6.70007,2.41995e-05,2.41041e-05,2.40684e-05,2.40207e-05,2.40803e-05
6.80007,2.42114e-05,2.4116e-05,2.40684e-05,2.40326e-05,2.40684e-05
6.90007,2.42233e-05,2.4128e-05,2.40803e-05,2.40326e-05,2.40684e-05
7.00007,2.42233e-05,2.4116e-05,2.40803e-05,2.40207e-05,2.40564e-05
7.10007,2.42352e-05,2.4128e-05,2.4116e-05,2.40326e-05,2.40445e-05
7.20007,2.42352e-05,2.4116e-05,2.40922e-05,2.40207e-05,2.40564e-05
7.30007,2.42472e-05,2.41518e-05,2.4116e-05,2.40326e-05,2.40803e-05
