Time,Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A)
0.0,2.94447e-06,3.00407e-06,3.14713e-06,2.90871e-06,3.06368e-06,3.02792e-06,2.96831e-06,3.02792e-06
0.01,2.92063e-06,2.95639e-06,3.06368e-06,2.8491e-06,2.90871e-06,2.90871e-06,2.88486e-06,2.90871e-06
0.02,3.00407e-06,2.99215e-06,2.98023e-06,2.90871e-06,2.87294e-06,2.92063e-06,2.83718e-06,3.016e-06
0.03,2.95639e-06,3.02792e-06,2.99215e-06,2.8491e-06,2.96831e-06,2.8491e-06,2.93255e-06,2.93255e-06
0.04,2.95639e-06,2.81334e-06,2.99215e-06,2.83718e-06,2.86102e-06,2.94447e-06,2.89679e-06,2.92063e-06
0.05,2.98023e-06,2.90871e-06,2.96831e-06,2.8491e-06,2.99215e-06,2.87294e-06,2.8491e-06,2.96831e-06
0.06,2.90871e-06,3.02792e-06,3.02792e-06,2.8491e-06,2.94447e-06,2.94447e-06,2.96831e-06,2.99215e-06
0.07,2.93255e-06,2.96831e-06,2.98023e-06,2.83718e-06,2.8491e-06,2.94447e-06,2.94447e-06,2.89679e-06
0.08,2.92063e-06,2.95639e-06,2.93255e-06,2.87294e-06,2.96831e-06,2.98023e-06,2.87294e-06,2.93255e-06
0.09,2.89679e-06,2.98023e-06,2.96831e-06,2.89679e-06,3.016e-06,2.90871e-06,2.93255e-06,2.95639e-06
0.1,2.87294e-06,2.93255e-06,3.02792e-06,2.7895e-06,2.93255e-06,2.98023e-06,2.88486e-06,3.02792e-06
0.11,2.90871e-06,2.98023e-06,3.016e-06,2.86102e-06,2.90871e-06,2.98023e-06,2.89679e-06,3.02792e-06
0.12,2.96831e-06,2.98023e-06,3.0756e-06,2.92063e-06,2.93255e-06,2.95639e-06,2.99215e-06,2.92063e-06
0.13,2.83718e-06,2.93255e-06,3.05176e-06,2.81334e-06,2.95639e-06,2.87294e-06,2.96831e-06,3.08752e-06
0.14,2.88486e-06,2.98023e-06,2.99215e-06,2.80142e-06,2.95639e-06,2.99215e-06,2.8491e-06,3.06368e-06
0.15,2.83718e-06,2.94447e-06,2.99215e-06,2.89679e-06,2.98023e-06,2.99215e-06,2.89679e-06,3.02792e-06
0.16,2.95639e-06,2.95639e-06,3.02792e-06,2.89679e-06,2.96831e-06,2.86102e-06,2.88486e-06,3.016e-06
0.17,2.93255e-06,2.93255e-06,2.99215e-06,2.94447e-06,3.00407e-06,2.8491e-06,3.02792e-06,2.90871e-06
0.18,2.8491e-06,2.94447e-06,2.99215e-06,2.93255e-06,2.94447e-06,2.83718e-06,2.93255e-06,2.99215e-06
