Time,Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A)
0.0,3.55244e-06,3.42131e-06,3.40939e-06,3.46899e-06,3.37362e-06,3.3617e-06,3.44515e-06,3.57628e-06
0.04,3.48091e-06,3.3617e-06,3.40939e-06,3.42131e-06,3.31402e-06,3.31402e-06,3.39746e-06,3.5286e-06
0.08,3.55244e-06,3.40939e-06,3.37362e-06,3.42131e-06,3.32594e-06,3.29018e-06,3.37362e-06,3.54052e-06
0.12,3.55244e-06,3.39746e-06,3.37362e-06,3.39746e-06,3.33786e-06,3.21865e-06,3.40939e-06,3.55244e-06
0.16,3.54052e-06,3.39746e-06,3.38554e-06,3.40939e-06,3.31402e-06,3.3021e-06,3.40939e-06,3.50475e-06
0.2,3.51667e-06,3.43323e-06,3.37362e-06,3.42131e-06,3.33786e-06,3.3021e-06,3.43323e-06,3.51667e-06
0.24,3.51667e-06,3.45707e-06,3.43323e-06,3.40939e-06,3.33786e-06,3.29018e-06,3.44515e-06,3.50475e-06
0.28,3.46899e-06,3.44515e-06,3.38554e-06,3.44515e-06,3.33786e-06,3.32594e-06,3.46899e-06,3.51667e-06
0.32,3.55244e-06,3.40939e-06,3.38554e-06,3.42131e-06,3.33786e-06,3.3021e-06,3.44515e-06,3.5286e-06
0.36,3.51667e-06,3.43323e-06,3.37362e-06,3.42131e-06,3.3617e-06,3.31402e-06,3.45707e-06,3.5286e-06
0.4,3.50475e-06,3.48091e-06,3.34978e-06,3.43323e-06,3.37362e-06,3.3021e-06,3.43323e-06,3.51667e-06
0.44,3.51667e-06,3.45707e-06,3.37362e-06,3.43323e-06,3.31402e-06,3.31402e-06,3.42131e-06,3.51667e-06
0.48,3.50475e-06,3.44515e-06,3.39746e-06,3.43323e-06,3.33786e-06,3.3021e-06,3.43323e-06,3.5286e-06
0.52,3.51667e-06,3.43323e-06,3.38554e-06,3.44515e-06,3.32594e-06,3.31402e-06,3.43323e-06,3.5286e-06
0.56,3.54052e-06,3.42131e-06,3.34978e-06,3.45707e-06,3.33786e-06,3.31402e-06,3.48091e-06,3.5286e-06
