Time,Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A)
0.0,1.1003e-05,1.08361e-05,1.07527e-05,1.08123e-05,1.0705e-05,1.06454e-05,1.06454e-05
0.01,1.01089e-05,9.95398e-06,9.75132e-06,9.93013e-06,9.9659e-06,9.71556e-06,9.88245e-06
0.02,1.00136e-05,9.89437e-06,9.83477e-06,9.70364e-06,9.77516e-06,9.83477e-06,9.77516e-06
0.03,9.89437e-06,9.85861e-06,9.77516e-06,9.66787e-06,9.76324e-06,9.7394e-06,9.72748e-06
0.04,1.00493e-05,9.85861e-06,9.799e-06,9.72748e-06,9.77516e-06,9.7394e-06,9.799e-06
0.05,9.9659e-06,9.83477e-06,9.78708e-06,9.75132e-06,9.63211e-06,9.71556e-06,9.65595e-06
0.06,9.89437e-06,9.7394e-06,9.77516e-06,9.76324e-06,9.7394e-06,9.60827e-06,9.7394e-06
0.07,1.00374e-05,9.799e-06,9.76324e-06,9.69172e-06,9.7394e-06,9.65595e-06,9.71556e-06
0.08,9.91821e-06,9.7394e-06,9.76324e-06,9.70364e-06,9.84669e-06,9.65595e-06,9.69172e-06
0.09,9.93013e-06,9.799e-06,9.7394e-06,9.799e-06,9.78708e-06,9.71556e-06,9.7394e-06
0.1,9.97782e-06,9.77516e-06,9.76324e-06,9.67979e-06,9.75132e-06,9.67979e-06,9.64403e-06
0.11,9.88245e-06,9.78708e-06,9.7394e-06,9.71556e-06,9.71556e-06,9.77516e-06,9.71556e-06
0.12,9.85861e-06,9.85861e-06,9.70364e-06,9.71556e-06,9.69172e-06,9.66787e-06,9.67979e-06
0.13,9.91821e-06,9.7394e-06,9.75132e-06,9.71556e-06,9.72748e-06,9.69172e-06,9.67979e-06
0.14,9.85861e-06,9.799e-06,9.64403e-06,9.71556e-06,9.76324e-06,9.69172e-06,9.799e-06
0.15,9.77516e-06,9.799e-06,9.78708e-06,9.71556e-06,9.71556e-06,9.69172e-06,9.62019e-06
0.16,1.00017e-05,9.71556e-06,9.7394e-06,9.71556e-06,9.70364e-06,9.71556e-06,9.71556e-06
