Time,Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A)
0.0,9.85861e-06,9.77516e-06,9.72748e-06,9.62019e-06,9.66787e-06,9.58443e-06,9.52482e-06
0.100001,9.75132e-06,9.60827e-06,9.58443e-06,9.48906e-06,9.52482e-06,9.42945e-06,9.36985e-06
0.200002,9.71556e-06,9.62019e-06,9.52482e-06,9.42945e-06,9.5129e-06,9.40561e-06,9.35793e-06
0.300003,9.69172e-06,9.60827e-06,9.54866e-06,9.4533e-06,9.52482e-06,9.39369e-06,9.38177e-06
0.400004,9.66787e-06,9.59635e-06,9.57251e-06,9.4533e-06,9.5129e-06,9.36985e-06,9.35793e-06
0.500005,9.67979e-06,9.59635e-06,9.58443e-06,9.46522e-06,9.47714e-06,9.40561e-06,9.36985e-06
0.600006,9.67979e-06,9.59635e-06,9.54866e-06,9.4533e-06,9.50098e-06,9.39369e-06,9.39369e-06
0.700007,9.65595e-06,9.60827e-06,9.53674e-06,9.4533e-06,9.50098e-06,9.36985e-06,9.40561e-06
0.800008,9.67979e-06,9.59635e-06,9.58443e-06,9.46522e-06,9.48906e-06,9.39369e-06,9.36985e-06
0.900009,9.65595e-06,9.63211e-06,9.57251e-06,9.48906e-06,9.50098e-06,9.40561e-06,9.36985e-06
1.00001,9.66787e-06,9.57251e-06,9.54866e-06,9.48906e-06,9.52482e-06,9.42945e-06,9.36985e-06
1.10001,9.69172e-06,9.60827e-06,9.53674e-06,9.47714e-06,9.50098e-06,9.44138e-06,9.35793e-06
1.20001,9.7394e-06,9.60827e-06,9.56059e-06,9.4533e-06,9.5129e-06,9.44138e-06,9.36985e-06
1.30001,9.70364e-06,9.60827e-06,9.54866e-06,9.4533e-06,9.5129e-06,9.44138e-06,9.36985e-06
1.40001,9.69172e-06,9.62019e-06,9.59635e-06,9.47714e-06,9.56059e-06,9.44138e-06,9.34601e-06
1.50001,9.70364e-06,9.62019e-06,9.58443e-06,9.47714e-06,9.56059e-06,9.40561e-06,9.41753e-06
1.60002,9.70364e-06,9.59635e-06,9.56059e-06,9.47714e-06,9.52482e-06,9.44138e-06,9.40561e-06
1.70002,9.71556e-06,9.64403e-06,9.56059e-06,9.48906e-06,9.53674e-06,9.46522e-06,9.41753e-06
1.80002,9.71556e-06,9.65595e-06,9.56059e-06,9.46522e-06,9.53674e-06,9.42945e-06,9.39369e-06
1.90002,9.69172e-06,9.66787e-06,9.53674e-06,9.46522e-06,9.5129e-06,9.40561e-06,9.41753e-06
2.00002,9.69172e-06,9.64403e-06,9.56059e-06,9.50098e-06,9.50098e-06,9.38177e-06,9.40561e-06
2.10002,9.71556e-06,9.62019e-06,9.57251e-06,9.50098e-06,9.53674e-06,9.40561e-06,9.40561e-06
2.20002,9.72748e-06,9.62019e-06,9.57251e-06,9.53674e-06,9.54866e-06,9.41753e-06,9.42945e-06
2.30002,9.71556e-06,9.64403e-06,9.58443e-06,9.52482e-06,9.54866e-06,9.40561e-06,9.41753e-06
2.40002,9.67979e-06,9.60827e-06,9.56059e-06,9.52482e-06,9.56059e-06,9.44138e-06,9.4533e-06
2.50002,9.66787e-06,9.62019e-06,9.57251e-06,9.52482e-06,9.53674e-06,9.4533e-06,9.44138e-06
2.60003,9.71556e-06,9.65595e-06,9.57251e-06,9.52482e-06,9.5129e-06,9.44138e-06,9.44138e-06
2.70003,9.69172e-06,9.64403e-06,9.57251e-06,9.56059e-06,9.52482e-06,9.44138e-06,9.4533e-06
2.80003,9.70364e-06,9.66787e-06,9.59635e-06,9.53674e-06,9.56059e-06,9.4533e-06,9.47714e-06
2.90003,9.71556e-06,9.65595e-06,9.58443e-06,9.54866e-06,9.52482e-06,9.4533e-06,9.4533e-06
3.00003,9.7394e-06,9.65595e-06,9.60827e-06,9.52482e-06,9.53674e-06,9.46522e-06,9.46522e-06
3.10003,9.70364e-06,9.66787e-06,9.58443e-06,9.57251e-06,9.56059e-06,9.44138e-06,9.44138e-06
3.20003,9.72748e-06,9.63211e-06,9.58443e-06,9.54866e-06,9.53674e-06,9.44138e-06,9.44138e-06
3.30003,9.7394e-06,9.65595e-06,9.59635e-06,9.54866e-06,9.56059e-06,9.44138e-06,9.42945e-06
3.40003,9.71556e-06,9.63211e-06,9.59635e-06,9.5129e-06,9.57251e-06,9.44138e-06,9.42945e-06
3.50004,9.7394e-06,9.63211e-06,9.58443e-06,9.52482e-06,9.54866e-06,9.39369e-06,9.44138e-06
3.60004,9.72748e-06,9.64403e-06,9.58443e-06,9.5129e-06,9.54866e-06,9.39369e-06,9.4533e-06
3.70004,9.72748e-06,9.66787e-06,9.59635e-06,9.52482e-06,9.53674e-06,9.41753e-06,9.41753e-06
3.80004,9.7394e-06,9.64403e-06,9.60827e-06,9.53674e-06,9.53674e-06,9.41753e-06,9.44138e-06
3.90004,9.76324e-06,9.65595e-06,9.58443e-06,9.5129e-06,9.54866e-06,9.40561e-06,9.44138e-06
4.00004,9.72748e-06,9.63211e-06,9.57251e-06,9.50098e-06,9.52482e-06,9.44138e-06,9.44138e-06
4.10004,9.75132e-06,9.64403e-06,9.56059e-06,9.57251e-06,9.52482e-06,9.40561e-06,9.42945e-06
4.20004,9.7394e-06,9.69172e-06,9.62019e-06,9.53674e-06,9.50098e-06,9.4533e-06,9.42945e-06
4.30004,9.75132e-06,9.65595e-06,9.62019e-06,9.5129e-06,9.52482e-06,9.4533e-06,9.42945e-06
4.40004,9.70364e-06,9.64403e-06,9.59635e-06,9.52482e-06,9.5129e-06,9.42945e-06,9.44138e-06
4.50005,9.7394e-06,9.60827e-06,9.62019e-06,9.5129e-06,9.50098e-06,9.44138e-06,9.41753e-06
4.60005,9.7394e-06,9.60827e-06,9.60827e-06,9.54866e-06,9.50098e-06,9.44138e-06,9.42945e-06
4.70005,9.72748e-06,9.64403e-06,9.63211e-06,9.54866e-06,9.53674e-06,9.42945e-06,9.40561e-06
4.80005,9.72748e-06,9.65595e-06,9.65595e-06,9.56059e-06,9.52482e-06,9.40561e-06,9.41753e-06
4.90005,9.7394e-06,9.67979e-06,9.66787e-06,9.57251e-06,9.53674e-06,9.44138e-06,9.42945e-06
5.00005,9.7394e-06,9.64403e-06,9.64403e-06,9.58443e-06,9.54866e-06,9.46522e-06,9.44138e-06
5.10005,9.75132e-06,9.63211e-06,9.63211e-06,9.57251e-06,9.57251e-06,9.47714e-06,9.42945e-06
5.20005,9.76324e-06,9.66787e-06,9.67979e-06,9.58443e-06,9.54866e-06,9.4533e-06,9.46522e-06
5.30005,9.7394e-06,9.66787e-06,9.63211e-06,9.57251e-06,9.56059e-06,9.47714e-06,9.4533e-06
5.40005,9.72748e-06,9.65595e-06,9.62019e-06,9.59635e-06,9.57251e-06,9.47714e-06,9.40561e-06
5.50005,9.71556e-06,9.69172e-06,9.64403e-06,9.62019e-06,9.54866e-06,9.5129e-06,9.44138e-06
5.60006,9.7394e-06,9.70364e-06,9.60827e-06,9.63211e-06,9.57251e-06,9.47714e-06,9.44138e-06
5.70006,9.72748e-06,9.67979e-06,9.63211e-06,9.63211e-06,9.56059e-06,9.48906e-06,9.46522e-06
5.80006,9.72748e-06,9.67979e-06,9.60827e-06,9.64403e-06,9.56059e-06,9.47714e-06,9.4533e-06
5.90006,9.70364e-06,9.69172e-06,9.62019e-06,9.62019e-06,9.54866e-06,9.50098e-06,9.47714e-06
6.00006,9.7394e-06,9.65595e-06,9.58443e-06,9.62019e-06,9.53674e-06,9.5129e-06,9.47714e-06
6.10006,9.72748e-06,9.67979e-06,9.58443e-06,9.62019e-06,9.56059e-06,9.48906e-06,9.44138e-06
6.20006,9.72748e-06,9.69172e-06,9.59635e-06,9.59635e-06,9.57251e-06,9.48906e-06,9.44138e-06
6.30006,9.72748e-06,9.71556e-06,9.63211e-06,9.58443e-06,9.57251e-06,9.47714e-06,9.4533e-06
6.40006,9.71556e-06,9.69172e-06,9.64403e-06,9.57251e-06,9.60827e-06,9.50098e-06,9.46522e-06
6.50006,9.69172e-06,9.71556e-06,9.64403e-06,9.59635e-06,9.53674e-06,9.5129e-06,9.46522e-06
6.60007,9.72748e-06,9.64403e-06,9.63211e-06,9.54866e-06,9.53674e-06,9.5129e-06,9.42945e-06
6.70007,9.75132e-06,9.70364e-06,9.64403e-06,9.57251e-06,9.54866e-06,9.52482e-06,9.48906e-06
6.80007,9.75132e-06,9.65595e-06,9.63211e-06,9.59635e-06,9.57251e-06,9.52482e-06,9.50098e-06
6.90007,9.7394e-06,9.71556e-06,9.63211e-06,9.58443e-06,9.57251e-06,9.5129e-06,9.47714e-06
7.00007,9.7394e-06,9.69172e-06,9.64403e-06,9.57251e-06,9.56059e-06,9.48906e-06,9.48906e-06
7.10007,9.7394e-06,9.69172e-06,9.60827e-06,9.62019e-06,9.56059e-06,9.46522e-06,9.48906e-06
7.20007,9.77516e-06,9.69172e-06,9.63211e-06,9.59635e-06,9.54866e-06,9.46522e-06,9.50098e-06
7.30007,9.76324e-06,9.71556e-06,9.58443e-06,9.57251e-06,9.57251e-06,9.4533e-06,9.47714e-06
7.40007,9.78708e-06,9.69172e-06,9.59635e-06,9.57251e-06,9.56059e-06,9.47714e-06,9.50098e-06
7.50007,9.78708e-06,9.69172e-06,9.64403e-06,9.59635e-06,9.56059e-06,9.5129e-06,9.50098e-06
7.60008,9.76324e-06,9.67979e-06,9.62019e-06,9.60827e-06,9.57251e-06,9.5129e-06,9.47714e-06
7.70008,9.77516e-06,9.71556e-06,9.62019e-06,9.62019e-06,9.53674e-06,9.50098e-06,9.50098e-06
7.80008,9.76324e-06,9.72748e-06,9.60827e-06,9.62019e-06,9.58443e-06,9.53674e-06,9.4533e-06
