Time,Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A)
0.0,9.32217e-06,9.25064e-06,9.16719e-06,9.23872e-06,9.5129e-06,1.00136e-05,1.08957e-05
0.04,8.9407e-06,8.86917e-06,8.80957e-06,8.88109e-06,9.14335e-06,9.70364e-06,1.05262e-05
0.08,8.91686e-06,8.84533e-06,8.76188e-06,8.86917e-06,9.15527e-06,9.63211e-06,1.04785e-05
0.12,8.91686e-06,8.82149e-06,8.72612e-06,8.85725e-06,9.14335e-06,9.59635e-06,1.05143e-05
0.16,8.92878e-06,8.82149e-06,8.7142e-06,8.86917e-06,9.09567e-06,9.63211e-06,1.04547e-05
0.2,8.92878e-06,8.80957e-06,8.73804e-06,8.83341e-06,9.07183e-06,9.59635e-06,1.04427e-05
0.24,8.91686e-06,8.79765e-06,8.74996e-06,8.84533e-06,9.08375e-06,9.56059e-06,1.04547e-05
0.28,8.90493e-06,8.78573e-06,8.74996e-06,8.80957e-06,9.05991e-06,9.58443e-06,1.04427e-05
0.32,8.88109e-06,8.76188e-06,8.70228e-06,8.80957e-06,9.03606e-06,9.57251e-06,1.04427e-05
0.36,8.89301e-06,8.83341e-06,8.73804e-06,8.84533e-06,9.02414e-06,9.56059e-06,1.04427e-05
0.4,8.90493e-06,8.84533e-06,8.7142e-06,8.84533e-06,9.03606e-06,9.57251e-06,1.0407e-05
0.44,8.88109e-06,8.83341e-06,8.69036e-06,8.84533e-06,9.04799e-06,9.53674e-06,1.04666e-05
0.48,8.88109e-06,8.82149e-06,8.70228e-06,8.82149e-06,9.03606e-06,9.60827e-06,1.04547e-05
0.52,8.91686e-06,8.82149e-06,8.69036e-06,8.79765e-06,9.03606e-06,9.58443e-06,1.04427e-05
0.56,8.92878e-06,8.80957e-06,8.7142e-06,8.85725e-06,9.04799e-06,9.59635e-06,1.04785e-05
0.6,8.89301e-06,8.7738e-06,8.73804e-06,8.80957e-06,9.03606e-06,9.63211e-06,1.04547e-05
0.64,8.91686e-06,8.79765e-06,8.69036e-06,8.84533e-06,9.02414e-06,9.63211e-06,1.04189e-05
0.68,8.86917e-06,8.79765e-06,8.7142e-06,8.82149e-06,9.03606e-06,9.62019e-06,1.04308e-05
0.72,8.89301e-06,8.7738e-06,8.7142e-06,8.83341e-06,9.03606e-06,9.65595e-06,1.04427e-05
0.76,8.90493e-06,8.78573e-06,8.7142e-06,8.80957e-06,9.01222e-06,9.60827e-06,1.04547e-05
0.8,8.86917e-06,8.84533e-06,8.66652e-06,8.79765e-06,9.07183e-06,9.59635e-06,1.04308e-05
0.84,8.86917e-06,8.83341e-06,8.69036e-06,8.78573e-06,9.05991e-06,9.62019e-06,1.04189e-05
0.88,8.89301e-06,8.79765e-06,8.70228e-06,8.82149e-06,9.01222e-06,9.60827e-06,1.04427e-05
0.92,8.85725e-06,8.80957e-06,8.73804e-06,8.83341e-06,9.07183e-06,9.58443e-06,1.04189e-05
0.96,8.88109e-06,8.80957e-06,8.74996e-06,8.85725e-06,9.03606e-06,9.64403e-06,1.04427e-05
1.0,8.84533e-06,8.7738e-06,8.72612e-06,8.83341e-06,9.03606e-06,9.64403e-06,1.04427e-05
1.04,8.89301e-06,8.7738e-06,8.73804e-06,8.84533e-06,9.03606e-06,9.62019e-06,1.04427e-05
1.08,8.90493e-06,8.78573e-06,8.7142e-06,8.82149e-06,9.03606e-06,9.59635e-06,1.04904e-05
1.12,8.88109e-06,8.79765e-06,8.72612e-06,8.89301e-06,9.03606e-06,9.59635e-06,1.04308e-05
1.16,8.88109e-06,8.78573e-06,8.67844e-06,8.83341e-06,9.05991e-06,9.59635e-06,1.04547e-05
1.2,8.88109e-06,8.82149e-06,8.66652e-06,8.89301e-06,9.01222e-06,9.64403e-06,1.04547e-05
