Time,Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A)
0.0,2.10404e-05,2.08139e-05,2.07901e-05,2.05517e-05,2.05159e-05
0.01,1.86801e-05,1.8394e-05,1.83463e-05,1.82509e-05,1.80602e-05
0.02,1.83582e-05,1.82033e-05,1.80006e-05,1.7941e-05,1.78099e-05
0.03,1.81675e-05,1.81675e-05,1.79172e-05,1.77503e-05,1.77383e-05
0.04,1.82867e-05,1.80721e-05,1.79291e-05,1.78099e-05,1.76787e-05
0.05,1.81913e-05,1.78933e-05,1.78576e-05,1.7786e-05,1.76787e-05
0.06,1.82271e-05,1.80364e-05,1.78218e-05,1.77026e-05,1.7643e-05
0.07,1.81317e-05,1.79768e-05,1.78218e-05,1.76549e-05,1.75953e-05
0.08,1.81079e-05,1.79172e-05,1.78576e-05,1.77264e-05,1.75238e-05
0.09,1.81079e-05,1.79529e-05,1.78337e-05,1.77026e-05,1.75118e-05
0.1,1.81079e-05,1.79529e-05,1.77622e-05,1.76787e-05,1.7488e-05
0.11,1.81913e-05,1.79529e-05,1.78337e-05,1.76787e-05,1.75595e-05
0.12,1.8084e-05,1.78576e-05,1.78337e-05,1.7643e-05,1.75238e-05
0.13,1.81079e-05,1.79768e-05,1.77979e-05,1.76907e-05,1.74761e-05
0.14,1.80125e-05,1.79768e-05,1.77383e-05,1.77026e-05,1.73569e-05
0.15,1.81437e-05,1.77622e-05,1.77622e-05,1.75953e-05,1.74761e-05
0.16,1.81556e-05,1.78933e-05,1.7786e-05,1.75238e-05,1.7488e-05
0.17,1.81317e-05,1.79052e-05,1.77026e-05,1.75595e-05,1.74046e-05
0.18,1.81079e-05,1.79172e-05,1.77264e-05,1.76191e-05,1.74403e-05
0.19,1.80721e-05,1.78218e-05,1.77026e-05,1.75238e-05,1.74642e-05
0.2,1.80125e-05,1.78933e-05,1.77503e-05,1.75238e-05,1.74642e-05
0.21,1.81079e-05,1.78576e-05,1.77979e-05,1.75953e-05,1.74284e-05
0.22,1.8084e-05,1.77741e-05,1.76787e-05,1.76191e-05,1.7333e-05
0.23,1.81079e-05,1.78099e-05,1.76549e-05,1.75834e-05,1.75238e-05
0.24,1.80721e-05,1.78099e-05,1.77026e-05,1.75834e-05,1.74284e-05
0.25,1.80006e-05,1.78337e-05,1.77145e-05,1.75357e-05,1.74165e-05
0.26,1.80721e-05,1.78218e-05,1.76191e-05,1.76668e-05,1.74046e-05
0.27,1.81079e-05,1.7786e-05,1.76787e-05,1.76191e-05,1.74642e-05
0.28,1.80364e-05,1.78337e-05,1.76907e-05,1.75715e-05,1.74522e-05
0.29,1.81079e-05,1.78099e-05,1.76668e-05,1.75238e-05,1.73688e-05
0.3,1.80602e-05,1.77979e-05,1.7643e-05,1.75834e-05,1.72615e-05
0.31,1.80125e-05,1.77741e-05,1.76311e-05,1.76668e-05,1.74642e-05
0.32,1.80244e-05,1.78576e-05,1.76787e-05,1.75476e-05,1.74165e-05
0.33,1.81317e-05,1.7786e-05,1.77383e-05,1.75834e-05,1.73926e-05
0.34,1.8084e-05,1.77622e-05,1.76191e-05,1.75476e-05,1.73926e-05
0.35,1.80721e-05,1.78337e-05,1.74999e-05,1.76072e-05,1.74165e-05
0.36,1.80721e-05,1.77979e-05,1.76787e-05,1.76311e-05,1.75238e-05
0.37,1.79172e-05,1.78337e-05,1.77622e-05,1.76072e-05,1.74642e-05
0.38,1.80483e-05,1.77503e-05,1.7643e-05,1.74642e-05,1.74403e-05
0.39,1.8096e-05,1.78218e-05,1.76668e-05,1.7643e-05,1.74522e-05
0.4,1.81079e-05,1.78576e-05,1.76191e-05,1.75595e-05,1.74642e-05
0.41,1.80364e-05,1.7786e-05,1.76549e-05,1.75357e-05,1.73926e-05
0.42,1.79887e-05,1.77383e-05,1.75834e-05,1.75238e-05,1.7333e-05
0.43,1.79768e-05,1.78933e-05,1.75953e-05,1.76311e-05,1.74761e-05
0.44,1.80364e-05,1.78218e-05,1.76907e-05,1.76072e-05,1.74284e-05
0.45,1.80125e-05,1.77622e-05,1.7643e-05,1.75238e-05,1.74165e-05
0.46,1.80125e-05,1.78695e-05,1.76072e-05,1.75953e-05,1.72853e-05
0.47,1.80483e-05,1.78814e-05,1.75595e-05,1.75476e-05,1.7488e-05
0.48,1.80244e-05,1.78099e-05,1.76668e-05,1.75953e-05,1.74284e-05
0.49,1.8084e-05,1.77026e-05,1.77026e-05,1.76072e-05,1.74046e-05
0.5,1.80125e-05,1.78576e-05,1.76668e-05,1.76072e-05,1.73926e-05
0.51,1.80483e-05,1.78099e-05,1.75953e-05,1.7643e-05,1.74403e-05
0.52,1.80364e-05,1.77741e-05,1.77741e-05,1.76311e-05,1.74284e-05
0.53,1.80244e-05,1.7786e-05,1.77026e-05,1.76191e-05,1.74165e-05
0.54,1.79887e-05,1.78576e-05,1.7643e-05,1.75238e-05,1.7345e-05
0.55,1.80721e-05,1.77503e-05,1.75715e-05,1.75476e-05,1.73926e-05
0.56,1.80483e-05,1.77503e-05,1.76191e-05,1.76549e-05,1.74284e-05
0.57,1.80364e-05,1.78456e-05,1.7643e-05,1.75715e-05,1.74165e-05
0.58,1.80125e-05,1.78456e-05,1.75834e-05,1.75715e-05,1.7345e-05
0.59,1.79768e-05,1.77622e-05,1.77026e-05,1.75238e-05,1.74403e-05
0.6,1.79172e-05,1.78218e-05,1.76787e-05,1.75953e-05,1.7488e-05
0.61,1.8084e-05,1.78099e-05,1.77264e-05,1.76072e-05,1.73926e-05
0.62,1.8096e-05,1.78337e-05,1.7643e-05,1.75595e-05,1.7333e-05
0.63,1.79768e-05,1.77264e-05,1.7643e-05,1.74761e-05,1.75238e-05
0.64,1.79887e-05,1.7786e-05,1.76668e-05,1.75238e-05,1.74642e-05
0.65,1.79529e-05,1.78576e-05,1.77026e-05,1.75953e-05,1.73569e-05
0.66,1.80244e-05,1.77383e-05,1.7643e-05,1.75238e-05,1.74165e-05
0.67,1.80244e-05,1.77503e-05,1.75595e-05,1.7488e-05,1.73926e-05
0.68,1.79768e-05,1.77741e-05,1.76072e-05,1.74761e-05,1.74046e-05
0.69,1.79768e-05,1.78456e-05,1.77026e-05,1.75834e-05,1.74046e-05
0.7,1.79648e-05,1.77503e-05,1.7643e-05,1.76191e-05,1.73211e-05
0.71,1.79887e-05,1.7786e-05,1.76668e-05,1.75595e-05,1.74046e-05
0.72,1.8084e-05,1.78576e-05,1.76787e-05,1.74284e-05,1.74165e-05
0.73,1.81079e-05,1.78456e-05,1.77622e-05,1.75595e-05,1.73688e-05
0.74,1.79768e-05,1.78695e-05,1.7643e-05,1.7643e-05,1.73569e-05
0.75,1.80364e-05,1.78099e-05,1.76191e-05,1.75595e-05,1.74046e-05
0.76,1.79648e-05,1.78456e-05,1.75953e-05,1.75476e-05,1.74165e-05
0.77,1.80483e-05,1.78933e-05,1.77145e-05,1.76191e-05,1.74284e-05
0.78,1.80602e-05,1.77622e-05,1.77383e-05,1.76311e-05,1.72973e-05
0.79,1.80602e-05,1.77622e-05,1.77145e-05,1.76191e-05,1.75595e-05
0.8,1.8084e-05,1.78576e-05,1.77026e-05,1.75834e-05,1.74761e-05
0.81,1.80483e-05,1.78218e-05,1.77264e-05,1.74761e-05,1.74046e-05
0.82,1.78814e-05,1.77979e-05,1.77026e-05,1.7643e-05,1.7345e-05
0.83,1.80364e-05,1.78337e-05,1.76787e-05,1.7643e-05,1.74642e-05
0.84,1.80721e-05,1.78576e-05,1.76787e-05,1.75834e-05,1.7488e-05
0.85,1.80364e-05,1.78099e-05,1.77503e-05,1.75357e-05,1.74046e-05
0.86,1.80364e-05,1.78099e-05,1.77264e-05,1.76072e-05,1.74165e-05
0.87,1.80244e-05,1.78456e-05,1.76668e-05,1.76549e-05,1.74046e-05
0.88,1.80125e-05,1.78933e-05,1.76787e-05,1.76191e-05,1.74165e-05
0.89,1.80721e-05,1.78337e-05,1.77741e-05,1.7643e-05,1.73688e-05
0.9,1.8096e-05,1.79172e-05,1.77503e-05,1.75595e-05,1.73092e-05
0.91,1.80721e-05,1.78695e-05,1.76787e-05,1.7643e-05,1.73807e-05
0.92,1.80602e-05,1.77979e-05,1.76072e-05,1.75953e-05,1.74642e-05
0.93,1.80364e-05,1.76668e-05,1.77145e-05,1.75595e-05,1.73688e-05
0.94,1.8084e-05,1.78337e-05,1.76907e-05,1.76668e-05,1.72496e-05
0.95,1.80721e-05,1.78576e-05,1.7643e-05,1.76191e-05,1.73688e-05
