Time,Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A)
0.0,1.80602e-05,1.79052e-05,1.80125e-05,1.83821e-05,1.87397e-05
0.04,1.70589e-05,1.69396e-05,1.70469e-05,1.74403e-05,1.78099e-05
0.08,1.69635e-05,1.68443e-05,1.69396e-05,1.73211e-05,1.76907e-05
0.12,1.6892e-05,1.67966e-05,1.69396e-05,1.72853e-05,1.76549e-05
0.16,1.68681e-05,1.67608e-05,1.69277e-05,1.72734e-05,1.75834e-05
0.2,1.68681e-05,1.67489e-05,1.68562e-05,1.72377e-05,1.75715e-05
0.24,1.68443e-05,1.67251e-05,1.68324e-05,1.719e-05,1.75357e-05
0.28,1.68443e-05,1.67131e-05,1.68085e-05,1.71304e-05,1.75715e-05
0.32,1.68324e-05,1.67251e-05,1.68324e-05,1.71065e-05,1.75118e-05
0.36,1.68204e-05,1.67131e-05,1.67966e-05,1.71065e-05,1.75238e-05
0.4,1.67966e-05,1.66774e-05,1.68562e-05,1.71661e-05,1.75357e-05
0.44,1.67847e-05,1.67131e-05,1.68324e-05,1.71423e-05,1.75357e-05
0.48,1.67727e-05,1.67251e-05,1.68085e-05,1.71423e-05,1.75357e-05
0.52,1.68085e-05,1.67251e-05,1.68085e-05,1.71304e-05,1.75476e-05
0.56,1.67847e-05,1.67012e-05,1.68204e-05,1.71542e-05,1.75476e-05
0.6,1.67727e-05,1.66893e-05,1.67966e-05,1.71065e-05,1.75476e-05
0.64,1.67847e-05,1.67131e-05,1.68324e-05,1.71542e-05,1.75595e-05
0.68,1.67608e-05,1.67012e-05,1.68562e-05,1.71781e-05,1.75953e-05
0.72,1.67847e-05,1.67131e-05,1.68324e-05,1.719e-05,1.75834e-05
0.76,1.67727e-05,1.6737e-05,1.68324e-05,1.71781e-05,1.75834e-05
0.8,1.67608e-05,1.67131e-05,1.68204e-05,1.71542e-05,1.75834e-05
0.84,1.67847e-05,1.67131e-05,1.68085e-05,1.71661e-05,1.76191e-05
0.88,1.68085e-05,1.67251e-05,1.68443e-05,1.71661e-05,1.75834e-05
0.92,1.68324e-05,1.67608e-05,1.68204e-05,1.72257e-05,1.75715e-05
0.96,1.67966e-05,1.6737e-05,1.68562e-05,1.72496e-05,1.75595e-05
1.0,1.68085e-05,1.67251e-05,1.68324e-05,1.72496e-05,1.75953e-05
1.04,1.68324e-05,1.67251e-05,1.68443e-05,1.72496e-05,1.75953e-05
1.08,1.68204e-05,1.67489e-05,1.68324e-05,1.72138e-05,1.76191e-05
1.12,1.67966e-05,1.67251e-05,1.688e-05,1.72377e-05,1.75953e-05
1.16,1.67847e-05,1.67489e-05,1.68681e-05,1.72734e-05,1.75953e-05
1.2,1.68204e-05,1.67608e-05,1.68681e-05,1.72496e-05,1.75953e-05
1.24,1.67966e-05,1.67608e-05,1.68443e-05,1.72496e-05,1.76072e-05
1.28,1.68562e-05,1.67608e-05,1.68085e-05,1.72615e-05,1.7643e-05
1.32,1.67847e-05,1.67489e-05,1.68681e-05,1.72138e-05,1.7643e-05
1.36,1.68324e-05,1.67489e-05,1.68324e-05,1.72138e-05,1.76191e-05
1.4,1.68204e-05,1.67489e-05,1.68443e-05,1.72377e-05,1.7643e-05
1.44,1.68204e-05,1.67727e-05,1.68324e-05,1.72853e-05,1.76668e-05
1.48,1.68324e-05,1.67727e-05,1.69039e-05,1.72615e-05,1.7643e-05
1.52,1.68324e-05,1.67489e-05,1.69396e-05,1.72615e-05,1.76787e-05
1.56,1.68562e-05,1.67251e-05,1.69277e-05,1.72853e-05,1.76907e-05
1.6,1.68324e-05,1.6737e-05,1.69277e-05,1.72734e-05,1.76668e-05
1.64,1.68443e-05,1.67727e-05,1.6892e-05,1.72615e-05,1.76787e-05
1.68,1.68681e-05,1.6737e-05,1.69158e-05,1.72734e-05,1.76668e-05
1.72,1.68204e-05,1.67727e-05,1.69039e-05,1.72615e-05,1.76668e-05
1.76,1.68324e-05,1.67727e-05,1.69277e-05,1.73092e-05,1.76668e-05
1.8,1.68562e-05,1.67608e-05,1.69158e-05,1.72973e-05,1.77145e-05
1.84,1.68562e-05,1.67489e-05,1.69396e-05,1.72853e-05,1.76549e-05
1.88,1.688e-05,1.67966e-05,1.69635e-05,1.72496e-05,1.76549e-05
1.92,1.688e-05,1.67727e-05,1.69516e-05,1.72853e-05,1.7643e-05
1.96,1.68681e-05,1.67608e-05,1.69516e-05,1.73092e-05,1.77026e-05
2.0,1.6892e-05,1.67727e-05,1.69277e-05,1.73211e-05,1.77264e-05
2.04,1.68681e-05,1.68085e-05,1.69516e-05,1.72853e-05,1.76787e-05
2.08,1.68681e-05,1.67966e-05,1.69277e-05,1.72853e-05,1.77145e-05
2.12,1.6892e-05,1.68085e-05,1.69396e-05,1.73092e-05,1.77026e-05
2.16,1.688e-05,1.67966e-05,1.69516e-05,1.73211e-05,1.77026e-05
2.2,1.6892e-05,1.6737e-05,1.69635e-05,1.7333e-05,1.77264e-05
2.24,1.69039e-05,1.67727e-05,1.69754e-05,1.7333e-05,1.76907e-05
2.28,1.69277e-05,1.67608e-05,1.69516e-05,1.7333e-05,1.77622e-05
2.32,1.69158e-05,1.6737e-05,1.69754e-05,1.73211e-05,1.77622e-05
2.36,1.69277e-05,1.67608e-05,1.69873e-05,1.72973e-05,1.77145e-05
2.4,1.6892e-05,1.67727e-05,1.69873e-05,1.73211e-05,1.77503e-05
2.44,1.69039e-05,1.68085e-05,1.69516e-05,1.73092e-05,1.77145e-05
2.48,1.69396e-05,1.68443e-05,1.69873e-05,1.7333e-05,1.77383e-05
2.52,1.69277e-05,1.68562e-05,1.69873e-05,1.73211e-05,1.77264e-05
