Time,Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A)
0.0,3.98159e-06,3.89814e-06,3.86238e-06,3.8147e-06,3.80278e-06,4.14848e-06,4.70877e-06,5.26905e-06
0.04,3.89814e-06,3.8147e-06,3.76701e-06,3.75509e-06,3.79086e-06,4.05312e-06,4.6134e-06,5.19753e-06
0.08,3.91006e-06,3.82662e-06,3.77893e-06,3.74317e-06,3.74317e-06,4.06504e-06,4.6134e-06,5.22137e-06
0.12,3.91006e-06,3.83854e-06,3.79086e-06,3.75509e-06,3.71933e-06,4.00543e-06,4.6134e-06,5.23329e-06
0.16,3.91006e-06,3.8147e-06,3.79086e-06,3.76701e-06,3.71933e-06,4.01735e-06,4.56572e-06,5.19753e-06
0.2,3.89814e-06,3.82662e-06,3.80278e-06,3.80278e-06,3.80278e-06,4.05312e-06,4.60148e-06,5.20945e-06
0.24,3.89814e-06,3.85046e-06,3.80278e-06,3.8147e-06,3.80278e-06,4.05312e-06,4.57764e-06,5.22137e-06
0.28,3.85046e-06,3.86238e-06,3.85046e-06,3.80278e-06,3.83854e-06,4.06504e-06,4.64916e-06,5.19753e-06
0.32,3.91006e-06,3.85046e-06,3.80278e-06,3.80278e-06,3.82662e-06,4.05312e-06,4.62532e-06,5.24521e-06
0.36,3.92199e-06,3.89814e-06,3.8147e-06,3.80278e-06,3.83854e-06,4.05312e-06,4.66108e-06,5.24521e-06
0.4,3.88622e-06,3.86238e-06,3.79086e-06,3.77893e-06,3.85046e-06,4.0412e-06,4.63724e-06,5.28097e-06
0.44,3.93391e-06,3.82662e-06,3.77893e-06,3.75509e-06,3.8147e-06,4.05312e-06,4.6134e-06,5.25713e-06
0.48,3.89814e-06,3.83854e-06,3.80278e-06,3.75509e-06,3.8147e-06,4.05312e-06,4.58956e-06,5.23329e-06
