Time,Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A)
0.0,8.98838e-06,8.89301e-06,8.83341e-06,8.67844e-06,8.82149e-06,8.76188e-06,8.79765e-06
0.01,7.27177e-06,7.1764e-06,7.15256e-06,7.05719e-06,7.11679e-06,7.00951e-06,7.06911e-06
0.02,7.16448e-06,7.05719e-06,7.06911e-06,6.87838e-06,7.04527e-06,6.92606e-06,6.90222e-06
0.03,7.09295e-06,7.05719e-06,7.04527e-06,6.81877e-06,6.97374e-06,6.86646e-06,6.8903e-06
0.04,7.02143e-06,6.99759e-06,7.05719e-06,6.96182e-06,6.96182e-06,6.8903e-06,6.90222e-06
0.05,6.96182e-06,6.99759e-06,6.99759e-06,6.87838e-06,6.96182e-06,6.8903e-06,6.80685e-06
0.06,6.97374e-06,7.00951e-06,7.03335e-06,6.93798e-06,6.87838e-06,6.96182e-06,6.90222e-06
0.07,6.91414e-06,7.03335e-06,6.99759e-06,6.98566e-06,6.83069e-06,6.92606e-06,6.85453e-06
0.08,7.00951e-06,6.99759e-06,6.96182e-06,6.96182e-06,6.87838e-06,6.8903e-06,6.8903e-06
0.09,7.00951e-06,7.05719e-06,6.9499e-06,6.90222e-06,6.87838e-06,6.84261e-06,6.86646e-06
0.1,7.06911e-06,6.98566e-06,6.97374e-06,6.8903e-06,6.86646e-06,6.80685e-06,6.90222e-06
0.11,7.09295e-06,7.05719e-06,6.96182e-06,6.97374e-06,6.87838e-06,6.78301e-06,6.9499e-06
0.12,6.96182e-06,6.98566e-06,7.02143e-06,6.90222e-06,6.86646e-06,6.84261e-06,6.81877e-06
0.13,7.08103e-06,6.97374e-06,7.00951e-06,6.85453e-06,6.93798e-06,6.90222e-06,6.78301e-06
0.14,7.14064e-06,7.02143e-06,6.96182e-06,6.80685e-06,6.90222e-06,6.81877e-06,6.93798e-06
0.15,7.10487e-06,7.05719e-06,6.96182e-06,6.97374e-06,6.92606e-06,6.80685e-06,6.90222e-06
0.16,7.03335e-06,7.02143e-06,6.99759e-06,6.87838e-06,6.86646e-06,6.84261e-06,6.85453e-06
0.17,7.02143e-06,7.02143e-06,7.00951e-06,6.90222e-06,6.90222e-06,6.90222e-06,6.81877e-06
0.18,6.99759e-06,6.99759e-06,7.02143e-06,6.92606e-06,6.92606e-06,6.87838e-06,6.81877e-06
0.19,7.00951e-06,7.04527e-06,7.02143e-06,6.90222e-06,6.87838e-06,6.91414e-06,6.8903e-06
0.2,6.96182e-06,6.98566e-06,6.96182e-06,6.87838e-06,6.92606e-06,6.96182e-06,6.93798e-06
0.21,6.96182e-06,6.99759e-06,7.02143e-06,6.96182e-06,6.93798e-06,6.90222e-06,6.9499e-06
0.22,7.02143e-06,7.00951e-06,6.96182e-06,6.99759e-06,6.90222e-06,6.84261e-06,6.85453e-06
0.23,6.99759e-06,7.06911e-06,7.03335e-06,6.90222e-06,6.96182e-06,6.87838e-06,6.80685e-06
0.24,6.98566e-06,7.03335e-06,6.92606e-06,6.9499e-06,6.96182e-06,6.90222e-06,6.90222e-06
0.25,6.96182e-06,7.00951e-06,7.00951e-06,6.84261e-06,6.96182e-06,6.87838e-06,6.91414e-06
0.26,7.03335e-06,7.02143e-06,6.99759e-06,6.90222e-06,6.91414e-06,6.84261e-06,6.92606e-06
0.27,7.08103e-06,7.04527e-06,6.9499e-06,6.8903e-06,6.91414e-06,6.77109e-06,6.90222e-06
0.28,7.03335e-06,6.99759e-06,6.98566e-06,6.90222e-06,6.96182e-06,6.86646e-06,6.84261e-06
0.29,7.12872e-06,7.02143e-06,6.97374e-06,6.8903e-06,6.90222e-06,6.85453e-06,6.79493e-06
0.3,7.02143e-06,6.97374e-06,6.99759e-06,6.97374e-06,6.81877e-06,6.90222e-06,6.90222e-06
0.31,7.03335e-06,7.09295e-06,6.99759e-06,7.05719e-06,6.93798e-06,6.99759e-06,6.90222e-06
