Time,Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A)
0.0,1.25885e-05,1.24574e-05,1.21951e-05,1.22428e-05,1.18136e-05,1.19448e-05,1.17302e-05
0.002,8.85725e-06,8.54731e-06,8.4281e-06,8.21352e-06,8.4281e-06,8.11815e-06,8.29697e-06
0.004,7.60555e-06,7.86781e-06,8.03471e-06,7.60555e-06,7.30753e-06,7.43866e-06,7.09295e-06
0.006,7.65324e-06,7.65324e-06,7.47442e-06,7.25985e-06,6.92606e-06,6.83069e-06,7.14064e-06
0.008,7.689e-06,7.689e-06,7.22408e-06,7.22408e-06,6.79493e-06,6.92606e-06,6.96182e-06
0.01,7.47442e-06,6.87838e-06,7.35521e-06,6.71148e-06,6.71148e-06,6.87838e-06,6.87838e-06
0.012,7.39098e-06,6.96182e-06,6.49691e-06,6.6638e-06,6.83069e-06,6.53267e-06,7.04527e-06
0.014,7.30753e-06,7.14064e-06,7.00951e-06,6.74725e-06,6.79493e-06,6.79493e-06,6.28233e-06
0.016,7.30753e-06,7.22408e-06,6.87838e-06,6.83069e-06,6.61612e-06,6.40154e-06,6.49691e-06
0.018,7.22408e-06,7.09295e-06,6.92606e-06,6.87838e-06,6.71148e-06,6.49691e-06,6.44922e-06
0.02,6.87838e-06,7.04527e-06,6.96182e-06,6.87838e-06,6.44922e-06,6.87838e-06,6.49691e-06
0.022,7.25985e-06,7.09295e-06,6.74725e-06,6.87838e-06,6.58035e-06,6.74725e-06,6.83069e-06
0.024,7.1764e-06,7.14064e-06,7.00951e-06,6.71148e-06,6.87838e-06,6.31809e-06,6.58035e-06
0.026,7.30753e-06,7.14064e-06,6.61612e-06,6.74725e-06,6.96182e-06,6.6638e-06,6.40154e-06
0.028,7.09295e-06,6.58035e-06,6.96182e-06,6.96182e-06,6.61612e-06,6.40154e-06,6.40154e-06
0.03,6.92606e-06,7.1764e-06,6.96182e-06,7.00951e-06,6.74725e-06,6.49691e-06,6.36578e-06
0.032,7.1764e-06,7.09295e-06,6.71148e-06,6.6638e-06,6.6638e-06,6.53267e-06,6.83069e-06
0.034,7.09295e-06,7.09295e-06,6.87838e-06,6.61612e-06,6.49691e-06,6.49691e-06,6.74725e-06
0.036,7.22408e-06,6.87838e-06,6.87838e-06,6.79493e-06,6.79493e-06,6.49691e-06,6.36578e-06
0.038,7.30753e-06,6.92606e-06,7.00951e-06,6.83069e-06,6.61612e-06,6.61612e-06,6.53267e-06
0.04,7.00951e-06,7.1764e-06,6.96182e-06,6.49691e-06,6.61612e-06,6.58035e-06,6.44922e-06
0.042,7.04527e-06,7.14064e-06,6.61612e-06,6.53267e-06,6.58035e-06,6.61612e-06,6.61612e-06
0.044,7.04527e-06,6.87838e-06,6.92606e-06,6.74725e-06,6.71148e-06,6.36578e-06,6.49691e-06
0.046,7.1764e-06,6.58035e-06,6.6638e-06,6.87838e-06,6.79493e-06,6.06775e-06,6.44922e-06
0.048,7.1764e-06,7.04527e-06,6.87838e-06,6.87838e-06,6.10352e-06,6.53267e-06,6.58035e-06
0.05,6.87838e-06,6.92606e-06,6.58035e-06,6.28233e-06,6.61612e-06,6.40154e-06,6.58035e-06
0.052,7.30753e-06,7.09295e-06,6.79493e-06,6.74725e-06,6.44922e-06,6.44922e-06,6.6638e-06
0.054,7.14064e-06,7.00951e-06,6.71148e-06,6.6638e-06,6.40154e-06,6.61612e-06,6.1512e-06
0.056,7.30753e-06,6.87838e-06,6.79493e-06,6.74725e-06,6.71148e-06,6.58035e-06,6.19888e-06
0.058,6.92606e-06,6.96182e-06,7.1764e-06,6.83069e-06,6.83069e-06,6.49691e-06,6.49691e-06
0.06,7.04527e-06,7.09295e-06,6.61612e-06,6.6638e-06,6.53267e-06,6.61612e-06,6.40154e-06
0.062,7.22408e-06,7.00951e-06,6.87838e-06,6.96182e-06,6.49691e-06,6.49691e-06,6.44922e-06
0.064,7.22408e-06,6.79493e-06,6.6638e-06,6.49691e-06,6.49691e-06,6.53267e-06,6.40154e-06
0.066,7.47442e-06,7.22408e-06,6.92606e-06,6.79493e-06,6.53267e-06,6.83069e-06,6.31809e-06
0.068,7.00951e-06,7.04527e-06,7.09295e-06,7.04527e-06,6.87838e-06,6.79493e-06,6.19888e-06
0.07,6.92606e-06,7.09295e-06,6.61612e-06,6.53267e-06,6.83069e-06,6.58035e-06,6.28233e-06
0.072,7.09295e-06,7.00951e-06,6.83069e-06,6.61612e-06,6.49691e-06,6.36578e-06,6.44922e-06
