Time,Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A)
0.0,7.08103e-06,6.96182e-06,7.00951e-06,6.99759e-06,6.9499e-06,6.96182e-06,7.08103e-06
0.100001,6.79493e-06,6.71148e-06,6.79493e-06,6.74725e-06,6.73532e-06,6.68764e-06,6.86646e-06
0.200002,6.80685e-06,6.77109e-06,6.77109e-06,6.78301e-06,6.74725e-06,6.69956e-06,6.87838e-06
0.300003,6.84261e-06,6.79493e-06,6.79493e-06,6.78301e-06,6.75917e-06,6.73532e-06,6.90222e-06
0.400004,6.83069e-06,6.79493e-06,6.75917e-06,6.75917e-06,6.74725e-06,6.71148e-06,6.91414e-06
0.500005,6.84261e-06,6.80685e-06,6.78301e-06,6.80685e-06,6.74725e-06,6.75917e-06,6.9499e-06
0.600006,6.87838e-06,6.81877e-06,6.83069e-06,6.81877e-06,6.79493e-06,6.75917e-06,6.91414e-06
0.700007,6.87838e-06,6.81877e-06,6.86646e-06,6.86646e-06,6.77109e-06,6.75917e-06,6.91414e-06
0.800008,6.85453e-06,6.81877e-06,6.81877e-06,6.84261e-06,6.75917e-06,6.79493e-06,6.92606e-06
0.900009,6.85453e-06,6.77109e-06,6.83069e-06,6.85453e-06,6.78301e-06,6.79493e-06,6.91414e-06
1.00001,6.85453e-06,6.81877e-06,6.81877e-06,6.85453e-06,6.83069e-06,6.79493e-06,6.9499e-06
1.10001,6.84261e-06,6.81877e-06,6.80685e-06,6.83069e-06,6.80685e-06,6.80685e-06,6.9499e-06
1.20001,6.85453e-06,6.81877e-06,6.81877e-06,6.8903e-06,6.79493e-06,6.81877e-06,6.93798e-06
1.30001,6.85453e-06,6.83069e-06,6.80685e-06,6.87838e-06,6.81877e-06,6.79493e-06,6.9499e-06
1.40001,6.84261e-06,6.86646e-06,6.81877e-06,6.87838e-06,6.85453e-06,6.80685e-06,6.93798e-06
1.50001,6.87838e-06,6.86646e-06,6.81877e-06,6.86646e-06,6.83069e-06,6.78301e-06,6.93798e-06
1.60002,6.87838e-06,6.85453e-06,6.81877e-06,6.87838e-06,6.84261e-06,6.78301e-06,6.96182e-06
1.70002,6.87838e-06,6.87838e-06,6.84261e-06,6.84261e-06,6.81877e-06,6.80685e-06,6.93798e-06
1.80002,6.87838e-06,6.87838e-06,6.81877e-06,6.86646e-06,6.85453e-06,6.79493e-06,6.98566e-06
1.90002,6.8903e-06,6.8903e-06,6.84261e-06,6.87838e-06,6.84261e-06,6.80685e-06,6.97374e-06
2.00002,6.90222e-06,6.8903e-06,6.83069e-06,6.87838e-06,6.84261e-06,6.81877e-06,6.9499e-06
2.10002,6.8903e-06,6.90222e-06,6.83069e-06,6.8903e-06,6.81877e-06,6.83069e-06,6.9499e-06
2.20002,6.85453e-06,6.90222e-06,6.87838e-06,6.86646e-06,6.83069e-06,6.83069e-06,6.96182e-06
2.30002,6.86646e-06,6.91414e-06,6.84261e-06,6.85453e-06,6.83069e-06,6.84261e-06,6.98566e-06
2.40002,6.87838e-06,6.90222e-06,6.86646e-06,6.84261e-06,6.79493e-06,6.85453e-06,6.98566e-06
2.50002,6.91414e-06,6.8903e-06,6.84261e-06,6.85453e-06,6.80685e-06,6.84261e-06,6.97374e-06
2.60003,6.90222e-06,6.90222e-06,6.84261e-06,6.86646e-06,6.83069e-06,6.85453e-06,6.97374e-06
2.70003,6.90222e-06,6.8903e-06,6.85453e-06,6.86646e-06,6.83069e-06,6.85453e-06,6.97374e-06
2.80003,6.90222e-06,6.92606e-06,6.85453e-06,6.83069e-06,6.81877e-06,6.85453e-06,6.9499e-06
2.90003,6.8903e-06,6.91414e-06,6.85453e-06,6.85453e-06,6.81877e-06,6.84261e-06,6.98566e-06
3.00003,6.91414e-06,6.91414e-06,6.83069e-06,6.85453e-06,6.84261e-06,6.83069e-06,6.98566e-06
3.10003,6.91414e-06,6.97374e-06,6.83069e-06,6.8903e-06,6.79493e-06,6.85453e-06,7.00951e-06
3.20003,6.90222e-06,6.92606e-06,6.83069e-06,6.87838e-06,6.79493e-06,6.85453e-06,6.99759e-06
3.30003,6.91414e-06,6.91414e-06,6.83069e-06,6.86646e-06,6.78301e-06,6.85453e-06,7.02143e-06
3.40003,6.93798e-06,6.92606e-06,6.84261e-06,6.90222e-06,6.80685e-06,6.83069e-06,7.00951e-06
3.50004,6.90222e-06,6.9499e-06,6.87838e-06,6.90222e-06,6.83069e-06,6.83069e-06,7.02143e-06
3.60004,6.90222e-06,6.93798e-06,6.85453e-06,6.90222e-06,6.83069e-06,6.83069e-06,7.02143e-06
3.70004,6.91414e-06,6.91414e-06,6.87838e-06,6.90222e-06,6.81877e-06,6.86646e-06,7.04527e-06
3.80004,6.91414e-06,6.90222e-06,6.86646e-06,6.8903e-06,6.81877e-06,6.84261e-06,7.02143e-06
3.90004,6.91414e-06,6.87838e-06,6.87838e-06,6.87838e-06,6.85453e-06,6.87838e-06,7.05719e-06
4.00004,6.87838e-06,6.90222e-06,6.90222e-06,6.86646e-06,6.84261e-06,6.83069e-06,7.03335e-06
4.10004,6.91414e-06,6.8903e-06,6.86646e-06,6.86646e-06,6.86646e-06,6.86646e-06,7.02143e-06
4.20004,6.93798e-06,6.92606e-06,6.92606e-06,6.86646e-06,6.85453e-06,6.8903e-06,6.99759e-06
4.30004,6.91414e-06,6.91414e-06,6.8903e-06,6.83069e-06,6.85453e-06,6.8903e-06,7.03335e-06
4.40004,6.92606e-06,6.91414e-06,6.86646e-06,6.84261e-06,6.85453e-06,6.85453e-06,7.03335e-06
4.50005,6.92606e-06,6.90222e-06,6.87838e-06,6.84261e-06,6.86646e-06,6.86646e-06,7.03335e-06
4.60005,6.93798e-06,6.90222e-06,6.8903e-06,6.86646e-06,6.85453e-06,6.84261e-06,7.02143e-06
4.70005,6.9499e-06,6.93798e-06,6.87838e-06,6.83069e-06,6.8903e-06,6.86646e-06,6.98566e-06
4.80005,6.93798e-06,6.91414e-06,6.85453e-06,6.85453e-06,6.90222e-06,6.87838e-06,6.99759e-06
4.90005,6.93798e-06,6.91414e-06,6.86646e-06,6.86646e-06,6.8903e-06,6.8903e-06,6.99759e-06
5.00005,6.97374e-06,6.91414e-06,6.86646e-06,6.90222e-06,6.85453e-06,6.8903e-06,7.02143e-06
5.10005,6.96182e-06,6.91414e-06,6.85453e-06,6.87838e-06,6.85453e-06,6.86646e-06,7.02143e-06
5.20005,6.93798e-06,6.8903e-06,6.84261e-06,6.86646e-06,6.86646e-06,6.87838e-06,7.03335e-06
5.30005,6.93798e-06,6.8903e-06,6.81877e-06,6.85453e-06,6.86646e-06,6.8903e-06,7.00951e-06
5.40005,6.91414e-06,6.91414e-06,6.83069e-06,6.81877e-06,6.86646e-06,6.90222e-06,7.03335e-06
5.50005,6.91414e-06,6.90222e-06,6.84261e-06,6.86646e-06,6.84261e-06,6.86646e-06,7.02143e-06
5.60006,6.92606e-06,6.90222e-06,6.83069e-06,6.86646e-06,6.84261e-06,6.86646e-06,7.03335e-06
5.70006,6.91414e-06,6.90222e-06,6.86646e-06,6.87838e-06,6.85453e-06,6.85453e-06,7.05719e-06
5.80006,6.9499e-06,6.91414e-06,6.83069e-06,6.87838e-06,6.87838e-06,6.84261e-06,7.03335e-06
5.90006,6.93798e-06,6.91414e-06,6.85453e-06,6.85453e-06,6.86646e-06,6.83069e-06,7.03335e-06
6.00006,6.92606e-06,6.92606e-06,6.85453e-06,6.8903e-06,6.8903e-06,6.85453e-06,7.03335e-06
6.10006,6.93798e-06,6.92606e-06,6.85453e-06,6.8903e-06,6.90222e-06,6.84261e-06,7.04527e-06
6.20006,6.9499e-06,6.92606e-06,6.87838e-06,6.87838e-06,6.8903e-06,6.86646e-06,6.99759e-06
6.30006,6.91414e-06,6.92606e-06,6.86646e-06,6.8903e-06,6.90222e-06,6.84261e-06,7.03335e-06
6.40006,6.90222e-06,6.92606e-06,6.87838e-06,6.8903e-06,6.8903e-06,6.85453e-06,7.04527e-06
6.50006,6.8903e-06,6.91414e-06,6.87838e-06,6.91414e-06,6.86646e-06,6.85453e-06,7.05719e-06
6.60007,6.91414e-06,6.93798e-06,6.85453e-06,6.8903e-06,6.91414e-06,6.86646e-06,7.04527e-06
6.70007,6.91414e-06,6.93798e-06,6.86646e-06,6.90222e-06,6.90222e-06,6.83069e-06,7.06911e-06
6.80007,6.92606e-06,6.91414e-06,6.8903e-06,6.92606e-06,6.8903e-06,6.85453e-06,7.09295e-06
6.90007,6.91414e-06,6.91414e-06,6.86646e-06,6.8903e-06,6.8903e-06,6.87838e-06,7.05719e-06
7.00007,6.9499e-06,6.90222e-06,6.87838e-06,6.91414e-06,6.86646e-06,6.90222e-06,7.05719e-06
7.10007,6.96182e-06,6.93798e-06,6.85453e-06,6.93798e-06,6.87838e-06,6.90222e-06,7.02143e-06
7.20007,6.96182e-06,6.91414e-06,6.87838e-06,6.9499e-06,6.8903e-06,6.87838e-06,7.06911e-06
7.30007,6.96182e-06,6.91414e-06,6.90222e-06,6.98566e-06,6.85453e-06,6.8903e-06,7.03335e-06
7.40007,6.9499e-06,6.8903e-06,6.8903e-06,6.9499e-06,6.91414e-06,6.8903e-06,7.03335e-06
7.50007,6.9499e-06,6.91414e-06,6.90222e-06,6.9499e-06,6.90222e-06,6.8903e-06,7.00951e-06
7.60008,6.97374e-06,6.93798e-06,6.90222e-06,6.9499e-06,6.90222e-06,6.90222e-06,7.02143e-06
7.70008,6.98566e-06,6.90222e-06,6.91414e-06,6.92606e-06,6.9499e-06,6.86646e-06,7.00951e-06
7.80008,6.96182e-06,6.92606e-06,6.8903e-06,6.92606e-06,6.92606e-06,6.8903e-06,7.03335e-06
7.90008,6.98566e-06,6.93798e-06,6.8903e-06,6.92606e-06,6.8903e-06,6.87838e-06,7.00951e-06
8.00008,6.96182e-06,6.9499e-06,6.86646e-06,6.92606e-06,6.86646e-06,6.84261e-06,7.04527e-06
8.10008,6.96182e-06,6.93798e-06,6.87838e-06,6.9499e-06,6.8903e-06,6.86646e-06,7.04527e-06
8.20008,6.99759e-06,6.93798e-06,6.87838e-06,6.9499e-06,6.8903e-06,6.87838e-06,7.04527e-06
8.30008,6.99759e-06,6.96182e-06,6.86646e-06,6.96182e-06,6.91414e-06,6.83069e-06,7.04527e-06
8.40008,6.9499e-06,6.91414e-06,6.8903e-06,6.93798e-06,6.91414e-06,6.83069e-06,7.04527e-06
8.50009,6.98566e-06,6.9499e-06,6.91414e-06,6.92606e-06,6.87838e-06,6.87838e-06,7.02143e-06
8.60009,6.97374e-06,6.9499e-06,6.8903e-06,6.93798e-06,6.90222e-06,6.87838e-06,6.99759e-06
8.70009,6.97374e-06,6.93798e-06,6.8903e-06,6.9499e-06,6.90222e-06,6.86646e-06,7.03335e-06
8.80009,6.9499e-06,6.96182e-06,6.90222e-06,6.9499e-06,6.87838e-06,6.86646e-06,6.99759e-06
8.90009,6.9499e-06,6.98566e-06,6.90222e-06,6.9499e-06,6.91414e-06,6.8903e-06,7.03335e-06
9.00009,6.9499e-06,6.97374e-06,6.85453e-06,6.92606e-06,6.87838e-06,6.87838e-06,7.05719e-06
9.10009,6.98566e-06,6.97374e-06,6.86646e-06,6.93798e-06,6.87838e-06,6.8903e-06,7.06911e-06
9.20009,6.96182e-06,6.98566e-06,6.8903e-06,6.93798e-06,6.8903e-06,6.91414e-06,7.05719e-06
9.30009,6.9499e-06,6.98566e-06,6.87838e-06,6.93798e-06,6.90222e-06,6.8903e-06,7.06911e-06
9.40009,6.93798e-06,6.9499e-06,6.86646e-06,6.92606e-06,6.91414e-06,6.91414e-06,7.04527e-06
9.50009,6.92606e-06,6.92606e-06,6.86646e-06,6.91414e-06,6.91414e-06,6.8903e-06,7.05719e-06
9.6001,6.92606e-06,6.99759e-06,6.87838e-06,6.87838e-06,6.91414e-06,6.90222e-06,7.05719e-06
9.7001,6.96182e-06,6.96182e-06,6.8903e-06,6.90222e-06,6.8903e-06,6.91414e-06,7.04527e-06
9.8001,6.9499e-06,6.96182e-06,6.91414e-06,6.90222e-06,6.85453e-06,6.8903e-06,7.04527e-06
9.9001,6.98566e-06,6.99759e-06,6.87838e-06,6.90222e-06,6.8903e-06,6.90222e-06,7.05719e-06
10.0001,6.99759e-06,6.97374e-06,6.86646e-06,6.91414e-06,6.87838e-06,6.90222e-06,7.03335e-06
10.1001,6.96182e-06,6.97374e-06,6.90222e-06,6.92606e-06,6.86646e-06,6.8903e-06,7.02143e-06
10.2001,6.99759e-06,6.92606e-06,6.91414e-06,6.93798e-06,6.84261e-06,6.87838e-06,7.05719e-06
10.3001,6.98566e-06,6.93798e-06,6.90222e-06,6.90222e-06,6.85453e-06,6.86646e-06,7.06911e-06
10.4001,6.98566e-06,6.9499e-06,6.91414e-06,6.92606e-06,6.85453e-06,6.86646e-06,7.04527e-06
10.5001,7.02143e-06,6.93798e-06,6.91414e-06,6.92606e-06,6.83069e-06,6.91414e-06,7.08103e-06
10.6001,6.99759e-06,6.98566e-06,6.8903e-06,6.90222e-06,6.83069e-06,6.8903e-06,7.03335e-06
10.7001,6.97374e-06,6.98566e-06,6.8903e-06,6.93798e-06,6.85453e-06,6.87838e-06,7.06911e-06
10.8001,6.99759e-06,6.98566e-06,6.91414e-06,6.93798e-06,6.84261e-06,6.86646e-06,7.06911e-06
10.9001,6.98566e-06,6.99759e-06,6.8903e-06,6.96182e-06,6.84261e-06,6.86646e-06,7.05719e-06
11.0001,7.00951e-06,6.97374e-06,6.91414e-06,6.93798e-06,6.86646e-06,6.87838e-06,7.06911e-06
11.1001,7.02143e-06,6.93798e-06,6.9499e-06,6.91414e-06,6.8903e-06,6.8903e-06,7.04527e-06
11.2001,7.03335e-06,6.93798e-06,6.92606e-06,6.90222e-06,6.8903e-06,6.90222e-06,7.09295e-06
11.3001,7.04527e-06,6.96182e-06,6.91414e-06,6.90222e-06,6.84261e-06,6.86646e-06,7.06911e-06
11.4001,7.02143e-06,6.96182e-06,6.91414e-06,6.92606e-06,6.84261e-06,6.86646e-06,7.05719e-06
11.5001,7.02143e-06,6.93798e-06,6.87838e-06,6.93798e-06,6.8903e-06,6.85453e-06,7.03335e-06
11.6001,7.02143e-06,6.96182e-06,6.87838e-06,6.93798e-06,6.86646e-06,6.8903e-06,7.05719e-06
11.7001,7.03335e-06,6.99759e-06,6.86646e-06,6.92606e-06,6.84261e-06,6.8903e-06,7.05719e-06
11.8001,7.00951e-06,6.98566e-06,6.85453e-06,6.93798e-06,6.84261e-06,6.87838e-06,7.00951e-06
11.9001,7.02143e-06,6.98566e-06,6.86646e-06,6.9499e-06,6.85453e-06,6.8903e-06,7.02143e-06
12.0001,7.02143e-06,6.98566e-06,6.86646e-06,6.93798e-06,6.87838e-06,6.87838e-06,7.00951e-06
12.1001,6.98566e-06,6.97374e-06,6.86646e-06,6.92606e-06,6.86646e-06,6.8903e-06,7.05719e-06
12.2001,6.98566e-06,6.97374e-06,6.86646e-06,6.91414e-06,6.86646e-06,6.91414e-06,7.04527e-06
12.3001,7.00951e-06,6.98566e-06,6.85453e-06,6.90222e-06,6.83069e-06,6.87838e-06,7.06911e-06
12.4001,6.97374e-06,6.96182e-06,6.86646e-06,6.87838e-06,6.8903e-06,6.8903e-06,7.04527e-06
12.5001,6.97374e-06,6.96182e-06,6.85453e-06,6.90222e-06,6.8903e-06,6.8903e-06,7.02143e-06
12.6001,7.00951e-06,6.97374e-06,6.86646e-06,6.8903e-06,6.86646e-06,6.8903e-06,7.03335e-06
12.7001,7.00951e-06,6.9499e-06,6.87838e-06,6.90222e-06,6.8903e-06,6.8903e-06,7.05719e-06
12.8001,6.99759e-06,6.97374e-06,6.8903e-06,6.87838e-06,6.85453e-06,6.90222e-06,7.03335e-06
12.9001,6.99759e-06,6.96182e-06,6.8903e-06,6.90222e-06,6.86646e-06,6.90222e-06,7.05719e-06
13.0001,6.98566e-06,6.93798e-06,6.87838e-06,6.90222e-06,6.84261e-06,6.87838e-06,7.06911e-06
13.1001,6.98566e-06,6.96182e-06,6.87838e-06,6.90222e-06,6.85453e-06,6.91414e-06,7.06911e-06
13.2001,6.98566e-06,6.9499e-06,6.86646e-06,6.8903e-06,6.83069e-06,6.91414e-06,7.03335e-06
13.3001,6.97374e-06,6.97374e-06,6.8903e-06,6.90222e-06,6.83069e-06,6.90222e-06,7.06911e-06
13.4001,6.98566e-06,6.98566e-06,6.86646e-06,6.8903e-06,6.84261e-06,6.8903e-06,7.02143e-06
13.5001,6.99759e-06,6.98566e-06,6.87838e-06,6.90222e-06,6.84261e-06,6.91414e-06,7.05719e-06
13.6001,6.97374e-06,6.96182e-06,6.8903e-06,6.90222e-06,6.86646e-06,6.92606e-06,7.05719e-06
13.7001,6.96182e-06,7.00951e-06,6.86646e-06,6.8903e-06,6.90222e-06,6.96182e-06,7.03335e-06
13.8001,7.00951e-06,6.98566e-06,6.87838e-06,6.92606e-06,6.90222e-06,6.92606e-06,7.06911e-06
13.9001,6.99759e-06,6.96182e-06,6.87838e-06,6.9499e-06,6.90222e-06,6.93798e-06,7.05719e-06
14.0001,6.97374e-06,6.98566e-06,6.86646e-06,6.92606e-06,6.8903e-06,6.91414e-06,7.04527e-06
14.1001,6.97374e-06,6.99759e-06,6.85453e-06,6.92606e-06,6.85453e-06,6.91414e-06,7.03335e-06
14.2001,7.03335e-06,6.98566e-06,6.8903e-06,6.93798e-06,6.85453e-06,6.91414e-06,7.02143e-06
14.3001,7.00951e-06,6.99759e-06,6.87838e-06,6.92606e-06,6.8903e-06,6.87838e-06,7.03335e-06
14.4001,7.02143e-06,6.97374e-06,6.8903e-06,6.90222e-06,6.8903e-06,6.90222e-06,7.04527e-06
