Time,Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A)
0.0,7.14064e-06,7.04527e-06,7.03335e-06,7.06911e-06,7.29561e-06,7.71284e-06,8.38041e-06
0.04,6.56843e-06,6.44922e-06,6.4373e-06,6.46114e-06,6.63996e-06,7.11679e-06,7.86781e-06
0.08,6.52075e-06,6.40154e-06,6.41346e-06,6.44922e-06,6.63996e-06,7.10487e-06,7.83205e-06
0.12,6.53267e-06,6.41346e-06,6.41346e-06,6.46114e-06,6.62804e-06,7.15256e-06,7.89166e-06
0.16,6.54459e-06,6.44922e-06,6.38962e-06,6.46114e-06,6.60419e-06,7.18832e-06,7.90358e-06
0.2,6.54459e-06,6.46114e-06,6.4373e-06,6.47306e-06,6.58035e-06,7.15256e-06,7.92742e-06
0.24,6.56843e-06,6.47306e-06,6.44922e-06,6.46114e-06,6.65188e-06,7.18832e-06,7.95126e-06
0.28,6.58035e-06,6.47306e-06,6.41346e-06,6.48499e-06,6.63996e-06,7.21216e-06,7.98702e-06
0.32,6.59227e-06,6.47306e-06,6.38962e-06,6.49691e-06,6.69956e-06,7.18832e-06,7.99894e-06
0.36,6.59227e-06,6.48499e-06,6.36578e-06,6.48499e-06,6.7234e-06,7.21216e-06,7.99894e-06
0.4,6.53267e-06,6.49691e-06,6.41346e-06,6.50883e-06,6.68764e-06,7.25985e-06,7.98702e-06
0.44,6.61612e-06,6.46114e-06,6.41346e-06,6.52075e-06,6.69956e-06,7.28369e-06,7.99894e-06
0.48,6.59227e-06,6.46114e-06,6.42538e-06,6.52075e-06,6.6638e-06,7.22408e-06,7.99894e-06
0.52,6.54459e-06,6.42538e-06,6.44922e-06,6.52075e-06,6.67572e-06,7.18832e-06,7.98702e-06
0.56,6.59227e-06,6.52075e-06,6.44922e-06,6.50883e-06,6.67572e-06,7.20024e-06,7.95126e-06
0.6,6.56843e-06,6.48499e-06,6.46114e-06,6.49691e-06,6.65188e-06,7.25985e-06,7.98702e-06
0.64,6.62804e-06,6.4373e-06,6.4373e-06,6.50883e-06,6.68764e-06,7.25985e-06,7.99894e-06
0.68,6.60419e-06,6.52075e-06,6.49691e-06,6.53267e-06,6.67572e-06,7.24792e-06,8.02279e-06
0.72,6.58035e-06,6.48499e-06,6.49691e-06,6.50883e-06,6.63996e-06,7.27177e-06,8.07047e-06
0.76,6.60419e-06,6.48499e-06,6.47306e-06,6.52075e-06,6.68764e-06,7.30753e-06,8.03471e-06
0.8,6.58035e-06,6.47306e-06,6.47306e-06,6.54459e-06,6.65188e-06,7.27177e-06,8.05855e-06
0.84,6.61612e-06,6.48499e-06,6.47306e-06,6.53267e-06,6.68764e-06,7.31945e-06,8.07047e-06
0.88,6.58035e-06,6.53267e-06,6.49691e-06,6.52075e-06,6.67572e-06,7.29561e-06,8.04663e-06
0.92,6.60419e-06,6.48499e-06,6.42538e-06,6.53267e-06,6.73532e-06,7.25985e-06,8.02279e-06
0.96,6.63996e-06,6.52075e-06,6.46114e-06,6.53267e-06,6.69956e-06,7.29561e-06,8.07047e-06
1.0,6.60419e-06,6.48499e-06,6.47306e-06,6.54459e-06,6.69956e-06,7.30753e-06,8.07047e-06
1.04,6.65188e-06,6.52075e-06,6.47306e-06,6.50883e-06,6.68764e-06,7.29561e-06,8.10623e-06
1.08,6.63996e-06,6.58035e-06,6.49691e-06,6.50883e-06,6.69956e-06,7.31945e-06,8.07047e-06
1.12,6.59227e-06,6.52075e-06,6.49691e-06,6.52075e-06,6.7234e-06,7.29561e-06,8.08239e-06
1.16,6.61612e-06,6.53267e-06,6.49691e-06,6.50883e-06,6.69956e-06,7.31945e-06,8.09431e-06
