Time,Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A)
0.0,7.24792e-06,7.09295e-06,7.05719e-06,7.00951e-06,6.99759e-06,7.12872e-06,7.28369e-06
0.04,6.58035e-06,6.46114e-06,6.47306e-06,6.33001e-06,6.31809e-06,6.46114e-06,6.60419e-06
0.08,6.59227e-06,6.47306e-06,6.4373e-06,6.3777e-06,6.28233e-06,6.46114e-06,6.56843e-06
0.12,6.58035e-06,6.44922e-06,6.41346e-06,6.38962e-06,6.28233e-06,6.42538e-06,6.58035e-06
0.16,6.58035e-06,6.47306e-06,6.41346e-06,6.38962e-06,6.30617e-06,6.4373e-06,6.61612e-06
0.2,6.61612e-06,6.48499e-06,6.3777e-06,6.38962e-06,6.31809e-06,6.42538e-06,6.58035e-06
0.24,6.60419e-06,6.48499e-06,6.42538e-06,6.40154e-06,6.29425e-06,6.4373e-06,6.58035e-06
0.28,6.62804e-06,6.48499e-06,6.42538e-06,6.41346e-06,6.30617e-06,6.42538e-06,6.60419e-06
0.32,6.60419e-06,6.50883e-06,6.4373e-06,6.36578e-06,6.29425e-06,6.42538e-06,6.55651e-06
0.36,6.68764e-06,6.48499e-06,6.44922e-06,6.31809e-06,6.30617e-06,6.4373e-06,6.59227e-06
0.4,6.6638e-06,6.47306e-06,6.42538e-06,6.35386e-06,6.27041e-06,6.4373e-06,6.54459e-06
0.44,6.62804e-06,6.50883e-06,6.4373e-06,6.36578e-06,6.33001e-06,6.40154e-06,6.55651e-06
0.48,6.68764e-06,6.49691e-06,6.4373e-06,6.35386e-06,6.33001e-06,6.4373e-06,6.59227e-06
0.52,6.63996e-06,6.49691e-06,6.41346e-06,6.38962e-06,6.34193e-06,6.42538e-06,6.60419e-06
0.56,6.61612e-06,6.54459e-06,6.38962e-06,6.38962e-06,6.30617e-06,6.4373e-06,6.62804e-06
0.6,6.62804e-06,6.52075e-06,6.44922e-06,6.34193e-06,6.29425e-06,6.36578e-06,6.63996e-06
0.64,6.67572e-06,6.50883e-06,6.46114e-06,6.36578e-06,6.33001e-06,6.44922e-06,6.59227e-06
0.68,6.63996e-06,6.50883e-06,6.4373e-06,6.41346e-06,6.31809e-06,6.4373e-06,6.61612e-06
0.72,6.61612e-06,6.49691e-06,6.44922e-06,6.40154e-06,6.34193e-06,6.42538e-06,6.62804e-06
0.76,6.60419e-06,6.50883e-06,6.47306e-06,6.4373e-06,6.33001e-06,6.42538e-06,6.58035e-06
0.8,6.62804e-06,6.53267e-06,6.50883e-06,6.40154e-06,6.31809e-06,6.42538e-06,6.63996e-06
0.84,6.63996e-06,6.47306e-06,6.49691e-06,6.40154e-06,6.34193e-06,6.40154e-06,6.63996e-06
0.88,6.62804e-06,6.46114e-06,6.52075e-06,6.40154e-06,6.28233e-06,6.42538e-06,6.65188e-06
0.92,6.60419e-06,6.52075e-06,6.50883e-06,6.36578e-06,6.35386e-06,6.42538e-06,6.63996e-06
0.96,6.6638e-06,6.49691e-06,6.50883e-06,6.38962e-06,6.34193e-06,6.41346e-06,6.6638e-06
1.0,6.62804e-06,6.53267e-06,6.49691e-06,6.41346e-06,6.30617e-06,6.42538e-06,6.68764e-06
1.04,6.62804e-06,6.55651e-06,6.49691e-06,6.3777e-06,6.31809e-06,6.41346e-06,6.68764e-06
1.08,6.65188e-06,6.48499e-06,6.47306e-06,6.3777e-06,6.29425e-06,6.41346e-06,6.69956e-06
1.12,6.68764e-06,6.52075e-06,6.47306e-06,6.36578e-06,6.29425e-06,6.42538e-06,6.68764e-06
1.16,6.63996e-06,6.53267e-06,6.47306e-06,6.38962e-06,6.31809e-06,6.46114e-06,6.65188e-06
1.2,6.63996e-06,6.49691e-06,6.48499e-06,6.3777e-06,6.31809e-06,6.4373e-06,6.63996e-06
1.24,6.62804e-06,6.54459e-06,6.48499e-06,6.35386e-06,6.34193e-06,6.40154e-06,6.6638e-06
1.28,6.6638e-06,6.54459e-06,6.44922e-06,6.34193e-06,6.36578e-06,6.47306e-06,6.67572e-06
1.32,6.67572e-06,6.55651e-06,6.44922e-06,6.40154e-06,6.30617e-06,6.4373e-06,6.59227e-06
1.36,6.6638e-06,6.58035e-06,6.41346e-06,6.38962e-06,6.33001e-06,6.44922e-06,6.63996e-06
1.4,6.6638e-06,6.54459e-06,6.42538e-06,6.41346e-06,6.33001e-06,6.47306e-06,6.65188e-06
1.44,6.6638e-06,6.56843e-06,6.4373e-06,6.44922e-06,6.34193e-06,6.46114e-06,6.6638e-06
1.48,6.67572e-06,6.56843e-06,6.47306e-06,6.41346e-06,6.30617e-06,6.44922e-06,6.65188e-06
1.52,6.7234e-06,6.58035e-06,6.47306e-06,6.40154e-06,6.30617e-06,6.47306e-06,6.62804e-06
1.56,6.67572e-06,6.56843e-06,6.44922e-06,6.41346e-06,6.31809e-06,6.4373e-06,6.67572e-06
1.6,6.68764e-06,6.56843e-06,6.49691e-06,6.42538e-06,6.34193e-06,6.4373e-06,6.65188e-06
1.64,6.68764e-06,6.54459e-06,6.46114e-06,6.40154e-06,6.34193e-06,6.44922e-06,6.65188e-06
1.68,6.69956e-06,6.55651e-06,6.44922e-06,6.41346e-06,6.36578e-06,6.42538e-06,6.6638e-06
1.72,6.7234e-06,6.59227e-06,6.47306e-06,6.38962e-06,6.3777e-06,6.44922e-06,6.63996e-06
1.76,6.69956e-06,6.53267e-06,6.41346e-06,6.44922e-06,6.3777e-06,6.46114e-06,6.61612e-06
1.8,6.71148e-06,6.55651e-06,6.50883e-06,6.3777e-06,6.36578e-06,6.48499e-06,6.67572e-06
1.84,6.68764e-06,6.55651e-06,6.44922e-06,6.38962e-06,6.38962e-06,6.48499e-06,6.63996e-06
1.88,6.67572e-06,6.56843e-06,6.49691e-06,6.41346e-06,6.34193e-06,6.48499e-06,6.6638e-06
1.92,6.69956e-06,6.58035e-06,6.49691e-06,6.3777e-06,6.34193e-06,6.4373e-06,6.65188e-06
1.96,6.67572e-06,6.59227e-06,6.47306e-06,6.4373e-06,6.34193e-06,6.44922e-06,6.63996e-06
2.0,6.7234e-06,6.54459e-06,6.49691e-06,6.40154e-06,6.36578e-06,6.4373e-06,6.62804e-06
2.04,6.68764e-06,6.58035e-06,6.49691e-06,6.4373e-06,6.36578e-06,6.44922e-06,6.63996e-06
2.08,6.73532e-06,6.54459e-06,6.52075e-06,6.42538e-06,6.35386e-06,6.41346e-06,6.6638e-06
2.12,6.68764e-06,6.55651e-06,6.46114e-06,6.41346e-06,6.33001e-06,6.42538e-06,6.61612e-06
2.16,6.67572e-06,6.56843e-06,6.48499e-06,6.41346e-06,6.30617e-06,6.4373e-06,6.65188e-06
2.2,6.65188e-06,6.53267e-06,6.44922e-06,6.42538e-06,6.34193e-06,6.47306e-06,6.6638e-06
2.24,6.65188e-06,6.55651e-06,6.44922e-06,6.40154e-06,6.40154e-06,6.42538e-06,6.63996e-06
2.28,6.6638e-06,6.56843e-06,6.41346e-06,6.38962e-06,6.38962e-06,6.47306e-06,6.6638e-06
2.32,6.67572e-06,6.55651e-06,6.44922e-06,6.40154e-06,6.34193e-06,6.49691e-06,6.68764e-06
2.36,6.68764e-06,6.60419e-06,6.4373e-06,6.41346e-06,6.30617e-06,6.47306e-06,6.6638e-06
2.4,6.69956e-06,6.55651e-06,6.44922e-06,6.40154e-06,6.34193e-06,6.48499e-06,6.61612e-06
2.44,6.6638e-06,6.56843e-06,6.46114e-06,6.42538e-06,6.3777e-06,6.48499e-06,6.59227e-06
2.48,6.6638e-06,6.52075e-06,6.44922e-06,6.38962e-06,6.36578e-06,6.46114e-06,6.65188e-06
2.52,6.6638e-06,6.54459e-06,6.48499e-06,6.40154e-06,6.36578e-06,6.47306e-06,6.6638e-06
2.56,6.67572e-06,6.55651e-06,6.47306e-06,6.40154e-06,6.30617e-06,6.47306e-06,6.61612e-06
2.6,6.68764e-06,6.53267e-06,6.49691e-06,6.41346e-06,6.35386e-06,6.47306e-06,6.65188e-06
2.64,6.6638e-06,6.56843e-06,6.46114e-06,6.40154e-06,6.38962e-06,6.46114e-06,6.6638e-06
2.68,6.6638e-06,6.56843e-06,6.46114e-06,6.44922e-06,6.36578e-06,6.44922e-06,6.6638e-06
2.72,6.68764e-06,6.56843e-06,6.42538e-06,6.41346e-06,6.36578e-06,6.49691e-06,6.63996e-06
2.76,6.62804e-06,6.55651e-06,6.47306e-06,6.41346e-06,6.36578e-06,6.46114e-06,6.62804e-06
2.8,6.68764e-06,6.56843e-06,6.48499e-06,6.42538e-06,6.31809e-06,6.47306e-06,6.63996e-06
2.84,6.69956e-06,6.58035e-06,6.46114e-06,6.3777e-06,6.36578e-06,6.42538e-06,6.65188e-06
2.88,6.71148e-06,6.61612e-06,6.52075e-06,6.33001e-06,6.36578e-06,6.4373e-06,6.60419e-06
2.92,6.67572e-06,6.58035e-06,6.48499e-06,6.31809e-06,6.3777e-06,6.47306e-06,6.62804e-06
2.96,6.69956e-06,6.62804e-06,6.50883e-06,6.31809e-06,6.31809e-06,6.44922e-06,6.65188e-06
3.0,6.69956e-06,6.55651e-06,6.47306e-06,6.38962e-06,6.34193e-06,6.42538e-06,6.63996e-06
3.04,6.69956e-06,6.58035e-06,6.50883e-06,6.36578e-06,6.35386e-06,6.4373e-06,6.65188e-06
3.08,6.67572e-06,6.60419e-06,6.49691e-06,6.31809e-06,6.34193e-06,6.4373e-06,6.65188e-06
3.12,6.6638e-06,6.59227e-06,6.47306e-06,6.34193e-06,6.34193e-06,6.47306e-06,6.62804e-06
3.16,6.67572e-06,6.58035e-06,6.48499e-06,6.38962e-06,6.34193e-06,6.46114e-06,6.61612e-06
3.2,6.67572e-06,6.58035e-06,6.49691e-06,6.38962e-06,6.34193e-06,6.50883e-06,6.63996e-06
3.24,6.62804e-06,6.59227e-06,6.49691e-06,6.3777e-06,6.36578e-06,6.48499e-06,6.69956e-06
3.28,6.63996e-06,6.60419e-06,6.49691e-06,6.38962e-06,6.31809e-06,6.49691e-06,6.68764e-06
3.32,6.6638e-06,6.58035e-06,6.50883e-06,6.36578e-06,6.35386e-06,6.50883e-06,6.67572e-06
3.36,6.71148e-06,6.61612e-06,6.49691e-06,6.36578e-06,6.35386e-06,6.50883e-06,6.65188e-06
3.4,6.67572e-06,6.56843e-06,6.52075e-06,6.35386e-06,6.35386e-06,6.50883e-06,6.69956e-06
3.44,6.6638e-06,6.63996e-06,6.47306e-06,6.38962e-06,6.31809e-06,6.49691e-06,6.63996e-06
3.48,6.6638e-06,6.60419e-06,6.50883e-06,6.41346e-06,6.33001e-06,6.46114e-06,6.6638e-06
3.52,6.65188e-06,6.61612e-06,6.47306e-06,6.38962e-06,6.31809e-06,6.47306e-06,6.6638e-06
3.56,6.69956e-06,6.61612e-06,6.49691e-06,6.41346e-06,6.35386e-06,6.46114e-06,6.6638e-06
3.6,6.67572e-06,6.61612e-06,6.4373e-06,6.41346e-06,6.34193e-06,6.46114e-06,6.63996e-06
3.64,6.68764e-06,6.63996e-06,6.46114e-06,6.38962e-06,6.35386e-06,6.46114e-06,6.68764e-06
3.68,6.68764e-06,6.61612e-06,6.46114e-06,6.3777e-06,6.3777e-06,6.46114e-06,6.67572e-06
3.72,6.67572e-06,6.61612e-06,6.46114e-06,6.41346e-06,6.34193e-06,6.47306e-06,6.69956e-06
3.76,6.67572e-06,6.56843e-06,6.4373e-06,6.42538e-06,6.35386e-06,6.47306e-06,6.71148e-06
