Time,Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A)
0.0,4.3273e-06,4.1604e-06,4.1008e-06,4.14848e-06,4.22001e-06,4.07696e-06,4.18425e-06,4.33922e-06
0.01,3.92199e-06,3.88622e-06,3.96967e-06,3.85046e-06,3.93391e-06,3.88622e-06,3.93391e-06,4.1008e-06
0.02,3.89814e-06,3.93391e-06,3.86238e-06,3.82662e-06,3.91006e-06,3.95775e-06,4.06504e-06,3.96967e-06
0.03,3.88622e-06,3.94583e-06,3.89814e-06,3.76701e-06,3.89814e-06,3.92199e-06,3.82662e-06,3.94583e-06
0.04,3.96967e-06,3.94583e-06,3.82662e-06,3.75509e-06,3.79086e-06,3.75509e-06,3.96967e-06,4.0412e-06
0.05,3.98159e-06,3.98159e-06,3.75509e-06,3.74317e-06,3.74317e-06,3.76701e-06,4.00543e-06,4.1008e-06
0.06,3.91006e-06,3.95775e-06,3.76701e-06,3.82662e-06,3.86238e-06,3.85046e-06,3.96967e-06,3.89814e-06
0.07,3.88622e-06,3.96967e-06,3.88622e-06,3.79086e-06,3.75509e-06,3.79086e-06,3.94583e-06,4.01735e-06
0.08,3.88622e-06,3.96967e-06,3.82662e-06,3.79086e-06,3.76701e-06,3.8147e-06,3.96967e-06,3.99351e-06
0.09,3.91006e-06,3.80278e-06,3.8147e-06,3.80278e-06,3.76701e-06,3.91006e-06,3.96967e-06,4.11272e-06
0.1,3.92199e-06,3.83854e-06,3.80278e-06,3.86238e-06,3.73125e-06,3.83854e-06,4.00543e-06,4.06504e-06
0.11,3.91006e-06,3.98159e-06,3.79086e-06,3.82662e-06,3.80278e-06,3.75509e-06,3.95775e-06,3.93391e-06
0.12,3.93391e-06,3.85046e-06,3.88622e-06,3.86238e-06,3.8147e-06,3.82662e-06,4.0412e-06,3.96967e-06
0.13,3.86238e-06,3.86238e-06,3.79086e-06,3.85046e-06,3.85046e-06,3.89814e-06,3.94583e-06,4.06504e-06
0.14,3.96967e-06,3.85046e-06,3.82662e-06,3.88622e-06,3.80278e-06,3.82662e-06,4.05312e-06,4.08888e-06
0.15,3.88622e-06,3.88622e-06,3.8743e-06,3.75509e-06,3.76701e-06,3.82662e-06,4.11272e-06,4.13656e-06
0.16,3.93391e-06,3.8743e-06,3.85046e-06,3.85046e-06,3.75509e-06,3.86238e-06,4.0412e-06,3.95775e-06
0.17,3.96967e-06,3.92199e-06,3.77893e-06,3.73125e-06,3.73125e-06,3.88622e-06,3.95775e-06,3.96967e-06
0.18,3.94583e-06,3.83854e-06,3.82662e-06,3.77893e-06,3.79086e-06,3.76701e-06,3.99351e-06,4.06504e-06
0.19,3.85046e-06,3.94583e-06,3.8743e-06,3.8147e-06,3.86238e-06,3.86238e-06,3.94583e-06,4.11272e-06
0.2,3.88622e-06,3.93391e-06,3.80278e-06,3.75509e-06,3.82662e-06,3.71933e-06,3.92199e-06,4.01735e-06
0.21,3.94583e-06,3.96967e-06,3.88622e-06,3.79086e-06,3.88622e-06,3.80278e-06,3.96967e-06,3.99351e-06
0.22,3.88622e-06,3.85046e-06,3.85046e-06,3.89814e-06,3.83854e-06,3.82662e-06,4.06504e-06,3.99351e-06
0.23,3.96967e-06,3.89814e-06,3.95775e-06,3.77893e-06,3.86238e-06,3.88622e-06,3.96967e-06,4.02927e-06
0.24,4.01735e-06,3.92199e-06,3.77893e-06,3.74317e-06,3.89814e-06,3.83854e-06,4.01735e-06,4.0412e-06
0.25,3.96967e-06,3.91006e-06,3.82662e-06,3.75509e-06,3.88622e-06,3.91006e-06,4.01735e-06,3.99351e-06
0.26,3.92199e-06,3.92199e-06,3.8147e-06,3.92199e-06,3.86238e-06,3.91006e-06,4.01735e-06,3.96967e-06
0.27,3.82662e-06,3.91006e-06,3.85046e-06,3.85046e-06,3.82662e-06,3.88622e-06,4.02927e-06,3.89814e-06
0.28,3.96967e-06,3.95775e-06,3.85046e-06,3.89814e-06,3.76701e-06,3.77893e-06,4.00543e-06,4.07696e-06
0.29,3.95775e-06,3.91006e-06,3.74317e-06,3.79086e-06,3.80278e-06,3.8743e-06,3.98159e-06,4.12464e-06
0.3,4.0412e-06,3.8743e-06,3.83854e-06,3.82662e-06,3.86238e-06,3.82662e-06,3.99351e-06,4.0412e-06
0.31,3.95775e-06,3.85046e-06,3.79086e-06,3.8147e-06,3.83854e-06,3.83854e-06,4.00543e-06,3.96967e-06
0.32,3.96967e-06,3.93391e-06,3.77893e-06,3.88622e-06,3.77893e-06,3.85046e-06,4.14848e-06,3.96967e-06
0.33,3.98159e-06,3.89814e-06,3.82662e-06,3.79086e-06,3.8147e-06,3.82662e-06,4.02927e-06,4.08888e-06
0.34,3.82662e-06,3.96967e-06,3.79086e-06,3.8743e-06,3.75509e-06,3.83854e-06,3.95775e-06,4.00543e-06
0.35,3.94583e-06,3.91006e-06,3.82662e-06,3.80278e-06,3.80278e-06,3.85046e-06,3.99351e-06,3.99351e-06
0.36,3.94583e-06,3.92199e-06,3.75509e-06,3.8743e-06,3.8147e-06,3.79086e-06,3.96967e-06,4.02927e-06
0.37,3.95775e-06,3.89814e-06,3.80278e-06,3.75509e-06,3.82662e-06,3.79086e-06,4.02927e-06,3.98159e-06
0.38,3.91006e-06,3.93391e-06,3.77893e-06,3.88622e-06,3.8147e-06,3.8147e-06,4.02927e-06,4.1008e-06
0.39,3.93391e-06,3.96967e-06,3.73125e-06,3.89814e-06,3.75509e-06,3.85046e-06,3.94583e-06,3.99351e-06
0.4,3.94583e-06,4.05312e-06,3.79086e-06,3.85046e-06,3.82662e-06,3.82662e-06,3.94583e-06,3.98159e-06
0.41,3.89814e-06,3.94583e-06,3.79086e-06,3.75509e-06,3.75509e-06,3.88622e-06,3.94583e-06,4.06504e-06
