Time,Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A)
0.0,9.19104e-06,9.25064e-06,9.2268e-06,9.03606e-06,8.98838e-06,9.03606e-06,9.01222e-06
0.01,8.18968e-06,8.18968e-06,8.11815e-06,8.01086e-06,7.99894e-06,7.99894e-06,7.87973e-06
0.02,7.99894e-06,8.05855e-06,8.03471e-06,7.87973e-06,7.87973e-06,7.79629e-06,7.77245e-06
0.03,8.10623e-06,7.9751e-06,7.9751e-06,7.77245e-06,7.77245e-06,7.72476e-06,7.72476e-06
0.04,7.99894e-06,7.92742e-06,7.90358e-06,7.76052e-06,7.73668e-06,7.7486e-06,7.689e-06
0.05,7.92742e-06,8.01086e-06,7.84397e-06,7.82013e-06,7.66516e-06,7.56979e-06,7.64132e-06
0.06,7.89166e-06,7.9751e-06,7.82013e-06,7.72476e-06,7.77245e-06,7.64132e-06,7.67708e-06
0.07,7.98702e-06,7.86781e-06,7.76052e-06,7.66516e-06,7.66516e-06,7.66516e-06,7.56979e-06
0.08,7.9155e-06,7.89166e-06,7.80821e-06,7.72476e-06,7.64132e-06,7.64132e-06,7.64132e-06
0.09,7.90358e-06,7.95126e-06,7.70092e-06,7.76052e-06,7.67708e-06,7.66516e-06,7.64132e-06
0.1,7.9155e-06,7.99894e-06,7.80821e-06,7.66516e-06,7.65324e-06,7.59363e-06,7.54595e-06
0.11,7.9751e-06,7.86781e-06,7.84397e-06,7.59363e-06,7.72476e-06,7.64132e-06,7.54595e-06
0.12,7.87973e-06,7.79629e-06,7.76052e-06,7.72476e-06,7.58171e-06,7.42674e-06,7.51019e-06
0.13,7.84397e-06,7.87973e-06,7.79629e-06,7.66516e-06,7.71284e-06,7.51019e-06,7.56979e-06
0.14,7.86781e-06,7.89166e-06,7.80821e-06,7.67708e-06,7.71284e-06,7.53403e-06,7.55787e-06
0.15,7.93934e-06,7.87973e-06,7.79629e-06,7.82013e-06,7.66516e-06,7.55787e-06,7.58171e-06
0.16,7.86781e-06,7.82013e-06,7.72476e-06,7.72476e-06,7.65324e-06,7.55787e-06,7.56979e-06
0.17,7.86781e-06,7.89166e-06,7.87973e-06,7.56979e-06,7.54595e-06,7.54595e-06,7.47442e-06
0.18,7.85589e-06,7.86781e-06,7.86781e-06,7.71284e-06,7.689e-06,7.54595e-06,7.58171e-06
0.19,7.93934e-06,7.89166e-06,7.73668e-06,7.64132e-06,7.62939e-06,7.47442e-06,7.60555e-06
0.2,7.93934e-06,7.76052e-06,7.7486e-06,7.64132e-06,7.62939e-06,7.51019e-06,7.56979e-06
0.21,7.86781e-06,7.96318e-06,7.79629e-06,7.65324e-06,7.66516e-06,7.54595e-06,7.52211e-06
0.22,7.87973e-06,7.92742e-06,7.60555e-06,7.65324e-06,7.52211e-06,7.56979e-06,7.51019e-06
0.23,7.99894e-06,7.76052e-06,7.77245e-06,7.60555e-06,7.66516e-06,7.37906e-06,7.53403e-06
0.24,7.9751e-06,7.86781e-06,7.78437e-06,7.689e-06,7.64132e-06,7.4625e-06,7.56979e-06
0.25,7.87973e-06,7.83205e-06,7.78437e-06,7.66516e-06,7.62939e-06,7.58171e-06,7.60555e-06
0.26,7.85589e-06,7.93934e-06,7.77245e-06,7.61747e-06,7.61747e-06,7.54595e-06,7.60555e-06
0.27,7.96318e-06,7.78437e-06,7.76052e-06,7.70092e-06,7.49826e-06,7.61747e-06,7.60555e-06
0.28,7.9155e-06,7.84397e-06,7.77245e-06,7.60555e-06,7.64132e-06,7.53403e-06,7.56979e-06
0.29,7.89166e-06,7.87973e-06,7.82013e-06,7.66516e-06,7.60555e-06,7.60555e-06,7.54595e-06
0.3,7.9155e-06,7.82013e-06,7.92742e-06,7.60555e-06,7.60555e-06,7.48634e-06,7.59363e-06
0.31,7.89166e-06,7.76052e-06,7.76052e-06,7.64132e-06,7.62939e-06,7.54595e-06,7.53403e-06
0.32,7.87973e-06,7.78437e-06,7.77245e-06,7.67708e-06,7.48634e-06,7.56979e-06,7.58171e-06
0.33,7.82013e-06,7.87973e-06,7.78437e-06,7.66516e-06,7.62939e-06,7.4625e-06,7.56979e-06
0.34,7.84397e-06,7.82013e-06,7.87973e-06,7.59363e-06,7.66516e-06,7.59363e-06,7.51019e-06
0.35,7.86781e-06,7.83205e-06,7.78437e-06,7.58171e-06,7.61747e-06,7.53403e-06,7.53403e-06
0.36,7.89166e-06,7.78437e-06,7.84397e-06,7.65324e-06,7.54595e-06,7.67708e-06,7.54595e-06
0.37,7.87973e-06,7.85589e-06,7.86781e-06,7.53403e-06,7.58171e-06,7.49826e-06,7.60555e-06
0.38,7.9155e-06,7.86781e-06,7.76052e-06,7.70092e-06,7.64132e-06,7.59363e-06,7.58171e-06
0.39,7.95126e-06,7.82013e-06,7.72476e-06,7.64132e-06,7.59363e-06,7.56979e-06,7.65324e-06
