Time,Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A)
0.0,1.16348e-05,1.11699e-05,1.11222e-05,1.09553e-05,1.06931e-05,1.04785e-05,1.06931e-05
0.002,8.80957e-06,8.9407e-06,8.76188e-06,8.03471e-06,8.4281e-06,8.67844e-06,8.33273e-06
0.004,8.54731e-06,8.24928e-06,8.33273e-06,8.21352e-06,7.689e-06,8.11815e-06,8.33273e-06
0.006,8.21352e-06,8.03471e-06,7.689e-06,7.73668e-06,7.65324e-06,7.689e-06,7.60555e-06
0.008,8.29697e-06,8.11815e-06,7.73668e-06,7.78437e-06,7.78437e-06,7.73668e-06,7.82013e-06
0.01,8.11815e-06,8.08239e-06,7.86781e-06,7.60555e-06,7.689e-06,7.65324e-06,7.43866e-06
0.012,8.08239e-06,7.78437e-06,7.82013e-06,7.56979e-06,7.60555e-06,7.56979e-06,7.52211e-06
0.014,8.08239e-06,7.73668e-06,7.73668e-06,7.73668e-06,7.56979e-06,7.60555e-06,7.43866e-06
0.016,8.29697e-06,7.86781e-06,7.52211e-06,7.60555e-06,7.52211e-06,7.56979e-06,6.79493e-06
0.018,8.21352e-06,7.39098e-06,7.689e-06,7.56979e-06,7.73668e-06,7.35521e-06,7.47442e-06
0.02,7.78437e-06,7.52211e-06,7.56979e-06,7.56979e-06,7.60555e-06,7.60555e-06,7.47442e-06
0.022,8.03471e-06,7.78437e-06,7.689e-06,7.25985e-06,7.39098e-06,6.79493e-06,7.25985e-06
0.024,7.60555e-06,7.82013e-06,7.60555e-06,7.35521e-06,7.39098e-06,7.22408e-06,7.25985e-06
0.026,7.90358e-06,7.56979e-06,7.43866e-06,7.52211e-06,7.52211e-06,7.43866e-06,7.689e-06
0.028,7.90358e-06,7.82013e-06,7.56979e-06,7.04527e-06,7.22408e-06,7.14064e-06,7.1764e-06
0.03,7.86781e-06,7.78437e-06,7.82013e-06,7.25985e-06,7.43866e-06,7.35521e-06,7.47442e-06
0.032,7.86781e-06,7.78437e-06,7.39098e-06,7.56979e-06,7.39098e-06,7.43866e-06,7.25985e-06
0.034,8.03471e-06,7.56979e-06,7.52211e-06,7.35521e-06,7.25985e-06,7.39098e-06,7.35521e-06
0.036,7.99894e-06,7.86781e-06,7.52211e-06,7.35521e-06,7.35521e-06,7.30753e-06,7.30753e-06
0.038,7.82013e-06,7.47442e-06,7.689e-06,7.43866e-06,7.65324e-06,7.60555e-06,6.92606e-06
0.04,8.03471e-06,7.73668e-06,7.73668e-06,7.39098e-06,7.60555e-06,7.52211e-06,7.35521e-06
0.042,7.82013e-06,7.22408e-06,7.689e-06,7.30753e-06,7.30753e-06,7.39098e-06,7.1764e-06
0.044,7.86781e-06,7.43866e-06,7.52211e-06,7.689e-06,7.47442e-06,7.52211e-06,7.04527e-06
0.046,8.21352e-06,7.73668e-06,7.35521e-06,7.30753e-06,7.65324e-06,7.00951e-06,6.96182e-06
0.048,7.689e-06,7.689e-06,7.52211e-06,7.04527e-06,7.1764e-06,7.30753e-06,7.39098e-06
0.05,8.03471e-06,7.43866e-06,7.65324e-06,7.52211e-06,7.35521e-06,7.47442e-06,6.96182e-06
0.052,8.03471e-06,7.60555e-06,7.39098e-06,7.56979e-06,7.1764e-06,6.87838e-06,7.35521e-06
0.054,7.90358e-06,7.65324e-06,7.65324e-06,6.96182e-06,7.25985e-06,7.56979e-06,7.39098e-06
0.056,8.03471e-06,7.1764e-06,7.39098e-06,7.30753e-06,7.30753e-06,7.35521e-06,7.1764e-06
0.058,7.90358e-06,7.65324e-06,7.09295e-06,7.52211e-06,7.60555e-06,7.39098e-06,7.30753e-06
0.06,7.73668e-06,7.73668e-06,7.47442e-06,7.30753e-06,7.25985e-06,6.96182e-06,6.92606e-06
0.062,7.78437e-06,7.22408e-06,7.52211e-06,7.25985e-06,7.35521e-06,7.60555e-06,7.22408e-06
0.064,7.95126e-06,7.65324e-06,7.39098e-06,7.43866e-06,7.56979e-06,7.14064e-06,7.22408e-06
0.066,7.90358e-06,7.86781e-06,7.30753e-06,7.52211e-06,7.43866e-06,7.39098e-06,6.92606e-06
0.068,7.73668e-06,7.22408e-06,7.73668e-06,7.43866e-06,7.43866e-06,7.35521e-06,7.22408e-06
0.07,7.86781e-06,7.689e-06,7.82013e-06,7.52211e-06,7.30753e-06,7.09295e-06,7.25985e-06
0.072,7.60555e-06,7.65324e-06,7.43866e-06,7.39098e-06,7.25985e-06,7.47442e-06,6.83069e-06
0.074,7.65324e-06,7.52211e-06,7.52211e-06,7.30753e-06,7.56979e-06,7.04527e-06,7.43866e-06
0.076,7.86781e-06,7.56979e-06,7.78437e-06,7.35521e-06,6.96182e-06,7.09295e-06,7.35521e-06
0.078,7.90358e-06,7.90358e-06,7.39098e-06,7.56979e-06,7.39098e-06,7.47442e-06,6.83069e-06
0.08,7.82013e-06,7.30753e-06,7.60555e-06,6.74725e-06,7.35521e-06,7.30753e-06,7.30753e-06
0.082,7.65324e-06,7.52211e-06,7.39098e-06,7.43866e-06,7.52211e-06,6.96182e-06,7.09295e-06
0.084,7.99894e-06,7.60555e-06,7.04527e-06,7.43866e-06,7.09295e-06,7.39098e-06,7.35521e-06
0.086,8.03471e-06,7.56979e-06,7.60555e-06,7.14064e-06,7.39098e-06,7.30753e-06,7.25985e-06
0.088,7.82013e-06,7.65324e-06,7.43866e-06,7.14064e-06,7.35521e-06,7.25985e-06,7.00951e-06
0.09,7.90358e-06,7.65324e-06,7.43866e-06,7.52211e-06,7.35521e-06,7.39098e-06,7.00951e-06
0.092,7.689e-06,7.14064e-06,7.43866e-06,7.52211e-06,7.35521e-06,7.00951e-06,7.43866e-06
0.094,7.86781e-06,7.39098e-06,7.73668e-06,7.22408e-06,7.09295e-06,7.04527e-06,6.87838e-06
0.096,7.65324e-06,7.82013e-06,7.689e-06,7.35521e-06,7.30753e-06,7.22408e-06,7.22408e-06
0.098,7.65324e-06,7.39098e-06,7.60555e-06,7.25985e-06,7.35521e-06,7.00951e-06,7.1764e-06
0.1,7.73668e-06,7.52211e-06,7.56979e-06,7.22408e-06,7.30753e-06,7.1764e-06,6.96182e-06
0.102,7.689e-06,7.90358e-06,7.47442e-06,7.25985e-06,7.14064e-06,7.35521e-06,7.25985e-06
0.104,7.82013e-06,7.78437e-06,7.30753e-06,7.689e-06,7.30753e-06,7.14064e-06,6.74725e-06
0.106,7.78437e-06,7.78437e-06,7.43866e-06,6.92606e-06,7.35521e-06,7.00951e-06,7.09295e-06
0.108,7.78437e-06,7.47442e-06,7.22408e-06,7.39098e-06,7.25985e-06,7.35521e-06,7.14064e-06
0.11,7.99894e-06,7.47442e-06,7.22408e-06,7.25985e-06,7.25985e-06,7.43866e-06,7.1764e-06
0.112,7.73668e-06,7.78437e-06,7.43866e-06,7.25985e-06,7.52211e-06,7.30753e-06,6.96182e-06
0.114,7.689e-06,7.56979e-06,7.56979e-06,7.22408e-06,7.04527e-06,7.30753e-06,7.39098e-06
0.116,7.86781e-06,7.25985e-06,7.30753e-06,7.56979e-06,7.35521e-06,7.00951e-06,6.83069e-06
0.118,7.78437e-06,7.47442e-06,7.1764e-06,7.25985e-06,6.87838e-06,7.35521e-06,7.30753e-06
0.12,7.60555e-06,7.73668e-06,7.60555e-06,7.35521e-06,7.14064e-06,7.25985e-06,7.04527e-06
0.122,7.73668e-06,7.35521e-06,7.95126e-06,7.43866e-06,7.39098e-06,6.96182e-06,7.04527e-06
0.124,7.82013e-06,7.52211e-06,7.52211e-06,7.30753e-06,6.92606e-06,7.30753e-06,7.25985e-06
0.126,7.82013e-06,7.73668e-06,7.52211e-06,7.30753e-06,7.22408e-06,7.39098e-06,6.83069e-06
0.128,7.52211e-06,7.689e-06,7.82013e-06,7.30753e-06,7.39098e-06,7.09295e-06,7.30753e-06
0.13,7.82013e-06,7.60555e-06,7.60555e-06,6.83069e-06,7.47442e-06,7.14064e-06,7.09295e-06
0.132,7.99894e-06,7.73668e-06,7.60555e-06,6.74725e-06,7.1764e-06,7.43866e-06,7.09295e-06
0.134,7.82013e-06,7.47442e-06,7.25985e-06,7.25985e-06,7.39098e-06,7.1764e-06,6.79493e-06
0.136,7.90358e-06,7.56979e-06,7.56979e-06,7.35521e-06,7.25985e-06,7.09295e-06,7.22408e-06
0.138,7.56979e-06,7.52211e-06,7.39098e-06,7.14064e-06,7.30753e-06,7.25985e-06,7.1764e-06
0.14,7.65324e-06,7.39098e-06,7.25985e-06,7.22408e-06,7.47442e-06,7.25985e-06,7.35521e-06
0.142,7.95126e-06,7.47442e-06,7.35521e-06,7.60555e-06,7.1764e-06,7.43866e-06,7.14064e-06
