Time,Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A)
0.0,7.689e-06,7.67708e-06,7.59363e-06,7.70092e-06,7.66516e-06,7.70092e-06,7.7486e-06
0.100001,7.43866e-06,7.45058e-06,7.36713e-06,7.39098e-06,7.4029e-06,7.42674e-06,7.43866e-06
0.200002,7.41482e-06,7.4029e-06,7.34329e-06,7.42674e-06,7.34329e-06,7.41482e-06,7.47442e-06
0.300003,7.42674e-06,7.39098e-06,7.35521e-06,7.41482e-06,7.34329e-06,7.42674e-06,7.41482e-06
0.400004,7.39098e-06,7.4029e-06,7.39098e-06,7.43866e-06,7.39098e-06,7.41482e-06,7.42674e-06
0.500005,7.41482e-06,7.41482e-06,7.4029e-06,7.41482e-06,7.41482e-06,7.4029e-06,7.45058e-06
0.600006,7.39098e-06,7.4029e-06,7.42674e-06,7.43866e-06,7.36713e-06,7.41482e-06,7.47442e-06
0.700007,7.4029e-06,7.41482e-06,7.41482e-06,7.4625e-06,7.39098e-06,7.4029e-06,7.47442e-06
0.800008,7.43866e-06,7.41482e-06,7.37906e-06,7.4029e-06,7.4029e-06,7.42674e-06,7.43866e-06
0.900009,7.43866e-06,7.37906e-06,7.4029e-06,7.42674e-06,7.41482e-06,7.47442e-06,7.42674e-06
1.00001,7.45058e-06,7.4029e-06,7.4029e-06,7.41482e-06,7.41482e-06,7.45058e-06,7.45058e-06
1.10001,7.47442e-06,7.42674e-06,7.37906e-06,7.43866e-06,7.39098e-06,7.47442e-06,7.42674e-06
1.20001,7.45058e-06,7.42674e-06,7.37906e-06,7.43866e-06,7.42674e-06,7.45058e-06,7.41482e-06
1.30001,7.4625e-06,7.43866e-06,7.4029e-06,7.4625e-06,7.45058e-06,7.42674e-06,7.45058e-06
1.40001,7.4625e-06,7.42674e-06,7.36713e-06,7.45058e-06,7.41482e-06,7.4625e-06,7.41482e-06
1.50001,7.43866e-06,7.43866e-06,7.37906e-06,7.43866e-06,7.42674e-06,7.4625e-06,7.42674e-06
1.60002,7.49826e-06,7.41482e-06,7.36713e-06,7.45058e-06,7.39098e-06,7.43866e-06,7.45058e-06
1.70002,7.4625e-06,7.43866e-06,7.39098e-06,7.45058e-06,7.42674e-06,7.43866e-06,7.43866e-06
1.80002,7.4625e-06,7.47442e-06,7.39098e-06,7.43866e-06,7.42674e-06,7.43866e-06,7.4625e-06
1.90002,7.47442e-06,7.43866e-06,7.43866e-06,7.43866e-06,7.4029e-06,7.4625e-06,7.43866e-06
2.00002,7.47442e-06,7.47442e-06,7.4029e-06,7.45058e-06,7.41482e-06,7.4625e-06,7.45058e-06
2.10002,7.43866e-06,7.4625e-06,7.4029e-06,7.45058e-06,7.45058e-06,7.45058e-06,7.47442e-06
2.20002,7.48634e-06,7.48634e-06,7.4029e-06,7.42674e-06,7.42674e-06,7.42674e-06,7.47442e-06
2.30002,7.45058e-06,7.4625e-06,7.43866e-06,7.41482e-06,7.43866e-06,7.45058e-06,7.49826e-06
2.40002,7.43866e-06,7.45058e-06,7.39098e-06,7.42674e-06,7.43866e-06,7.4625e-06,7.52211e-06
2.50002,7.4029e-06,7.4625e-06,7.42674e-06,7.47442e-06,7.43866e-06,7.4625e-06,7.51019e-06
2.60003,7.42674e-06,7.45058e-06,7.43866e-06,7.48634e-06,7.42674e-06,7.4625e-06,7.48634e-06
2.70003,7.43866e-06,7.47442e-06,7.42674e-06,7.4625e-06,7.42674e-06,7.47442e-06,7.49826e-06
2.80003,7.42674e-06,7.47442e-06,7.43866e-06,7.45058e-06,7.4029e-06,7.52211e-06,7.48634e-06
2.90003,7.42674e-06,7.45058e-06,7.41482e-06,7.47442e-06,7.41482e-06,7.49826e-06,7.51019e-06
3.00003,7.43866e-06,7.4625e-06,7.45058e-06,7.45058e-06,7.4029e-06,7.47442e-06,7.48634e-06
3.10003,7.4625e-06,7.48634e-06,7.4625e-06,7.4625e-06,7.39098e-06,7.49826e-06,7.51019e-06
3.20003,7.47442e-06,7.4625e-06,7.43866e-06,7.43866e-06,7.42674e-06,7.51019e-06,7.54595e-06
3.30003,7.4029e-06,7.4625e-06,7.43866e-06,7.45058e-06,7.43866e-06,7.48634e-06,7.53403e-06
3.40003,7.45058e-06,7.4625e-06,7.42674e-06,7.45058e-06,7.41482e-06,7.52211e-06,7.53403e-06
3.50004,7.45058e-06,7.45058e-06,7.41482e-06,7.42674e-06,7.45058e-06,7.51019e-06,7.51019e-06
3.60004,7.45058e-06,7.4625e-06,7.4029e-06,7.42674e-06,7.42674e-06,7.54595e-06,7.52211e-06
3.70004,7.49826e-06,7.43866e-06,7.43866e-06,7.42674e-06,7.43866e-06,7.54595e-06,7.53403e-06
3.80004,7.47442e-06,7.4625e-06,7.41482e-06,7.41482e-06,7.43866e-06,7.49826e-06,7.55787e-06
3.90004,7.4625e-06,7.4625e-06,7.39098e-06,7.4625e-06,7.43866e-06,7.49826e-06,7.53403e-06
4.00004,7.45058e-06,7.43866e-06,7.41482e-06,7.4625e-06,7.45058e-06,7.51019e-06,7.54595e-06
4.10004,7.47442e-06,7.4625e-06,7.42674e-06,7.47442e-06,7.4625e-06,7.52211e-06,7.52211e-06
4.20004,7.47442e-06,7.42674e-06,7.41482e-06,7.47442e-06,7.4625e-06,7.54595e-06,7.49826e-06
4.30004,7.4625e-06,7.4625e-06,7.4029e-06,7.48634e-06,7.47442e-06,7.55787e-06,7.52211e-06
4.40004,7.49826e-06,7.47442e-06,7.4029e-06,7.51019e-06,7.43866e-06,7.54595e-06,7.51019e-06
4.50005,7.4625e-06,7.47442e-06,7.45058e-06,7.53403e-06,7.4625e-06,7.56979e-06,7.48634e-06
4.60005,7.47442e-06,7.4625e-06,7.43866e-06,7.51019e-06,7.4625e-06,7.54595e-06,7.49826e-06
4.70005,7.47442e-06,7.51019e-06,7.4625e-06,7.51019e-06,7.47442e-06,7.51019e-06,7.49826e-06
4.80005,7.47442e-06,7.49826e-06,7.4625e-06,7.49826e-06,7.4625e-06,7.49826e-06,7.54595e-06
4.90005,7.48634e-06,7.47442e-06,7.47442e-06,7.48634e-06,7.49826e-06,7.48634e-06,7.53403e-06
5.00005,7.48634e-06,7.51019e-06,7.43866e-06,7.51019e-06,7.49826e-06,7.52211e-06,7.55787e-06
5.10005,7.48634e-06,7.51019e-06,7.48634e-06,7.49826e-06,7.52211e-06,7.51019e-06,7.52211e-06
5.20005,7.49826e-06,7.49826e-06,7.45058e-06,7.52211e-06,7.47442e-06,7.51019e-06,7.53403e-06
5.30005,7.53403e-06,7.47442e-06,7.47442e-06,7.51019e-06,7.51019e-06,7.49826e-06,7.51019e-06
5.40005,7.51019e-06,7.45058e-06,7.4625e-06,7.52211e-06,7.49826e-06,7.49826e-06,7.52211e-06
5.50005,7.52211e-06,7.48634e-06,7.45058e-06,7.54595e-06,7.47442e-06,7.51019e-06,7.53403e-06
5.60006,7.53403e-06,7.51019e-06,7.45058e-06,7.52211e-06,7.48634e-06,7.52211e-06,7.53403e-06
5.70006,7.54595e-06,7.48634e-06,7.47442e-06,7.55787e-06,7.48634e-06,7.52211e-06,7.53403e-06
5.80006,7.49826e-06,7.47442e-06,7.47442e-06,7.54595e-06,7.4625e-06,7.51019e-06,7.52211e-06
5.90006,7.48634e-06,7.4625e-06,7.51019e-06,7.58171e-06,7.47442e-06,7.54595e-06,7.51019e-06
6.00006,7.52211e-06,7.48634e-06,7.47442e-06,7.55787e-06,7.4625e-06,7.52211e-06,7.53403e-06
6.10006,7.51019e-06,7.52211e-06,7.49826e-06,7.56979e-06,7.47442e-06,7.52211e-06,7.53403e-06
