Time,Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A)
0.0,1.47104e-05,1.46627e-05,1.46389e-05,1.46627e-05,1.46389e-05
0.100001,1.4019e-05,1.39475e-05,1.39475e-05,1.39356e-05,1.39594e-05
0.200002,1.39594e-05,1.38879e-05,1.38402e-05,1.38521e-05,1.38521e-05
0.300003,1.39117e-05,1.3876e-05,1.38164e-05,1.38521e-05,1.38164e-05
0.400004,1.39117e-05,1.38879e-05,1.38044e-05,1.38521e-05,1.38164e-05
0.500005,1.38998e-05,1.3864e-05,1.38283e-05,1.38044e-05,1.38164e-05
0.600006,1.39356e-05,1.3876e-05,1.38283e-05,1.38283e-05,1.38521e-05
0.700007,1.39356e-05,1.38998e-05,1.38402e-05,1.38283e-05,1.37925e-05
0.800008,1.38998e-05,1.38998e-05,1.38521e-05,1.38402e-05,1.38283e-05
0.900009,1.39833e-05,1.38998e-05,1.38521e-05,1.3864e-05,1.38402e-05
1.00001,1.39713e-05,1.39117e-05,1.3876e-05,1.3864e-05,1.38879e-05
1.10001,1.39952e-05,1.39117e-05,1.3864e-05,1.38521e-05,1.3876e-05
1.20001,1.40071e-05,1.38998e-05,1.38998e-05,1.39117e-05,1.38879e-05
1.30001,1.40071e-05,1.39236e-05,1.39117e-05,1.3864e-05,1.38879e-05
1.40001,1.39713e-05,1.39594e-05,1.38998e-05,1.38879e-05,1.3876e-05
1.50001,1.40071e-05,1.39356e-05,1.38879e-05,1.38998e-05,1.39117e-05
1.60002,1.40667e-05,1.39356e-05,1.39356e-05,1.39356e-05,1.39117e-05
1.70002,1.4019e-05,1.39236e-05,1.39356e-05,1.39356e-05,1.39356e-05
1.80002,1.40309e-05,1.39356e-05,1.39475e-05,1.39236e-05,1.39236e-05
1.90002,1.40429e-05,1.39475e-05,1.39475e-05,1.39117e-05,1.39594e-05
2.00002,1.40548e-05,1.39236e-05,1.39594e-05,1.39475e-05,1.39594e-05
2.10002,1.40429e-05,1.39356e-05,1.39475e-05,1.39236e-05,1.39356e-05
2.20002,1.40786e-05,1.39356e-05,1.39833e-05,1.39356e-05,1.39475e-05
2.30002,1.40548e-05,1.39236e-05,1.39952e-05,1.39594e-05,1.39952e-05
2.40002,1.40786e-05,1.39833e-05,1.39833e-05,1.39952e-05,1.39833e-05
2.50002,1.40905e-05,1.39833e-05,1.40071e-05,1.39594e-05,1.39833e-05
2.60003,1.40429e-05,1.39833e-05,1.40071e-05,1.40071e-05,1.39713e-05
2.70003,1.40429e-05,1.39713e-05,1.4019e-05,1.39952e-05,1.39952e-05
2.80003,1.40309e-05,1.39833e-05,1.39952e-05,1.40071e-05,1.39952e-05
2.90003,1.40429e-05,1.39713e-05,1.39952e-05,1.40548e-05,1.40071e-05
3.00003,1.40786e-05,1.39833e-05,1.4019e-05,1.40548e-05,1.39952e-05
3.10003,1.41025e-05,1.39952e-05,1.4019e-05,1.40786e-05,1.4019e-05
3.20003,1.40667e-05,1.40071e-05,1.40309e-05,1.40548e-05,1.4019e-05
3.30003,1.40786e-05,1.39952e-05,1.40071e-05,1.4019e-05,1.4019e-05
3.40003,1.41263e-05,1.40429e-05,1.39833e-05,1.40667e-05,1.40429e-05
