Time,Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A)
0.0,2.37226e-06,2.26498e-06,2.22921e-06,2.16961e-06,2.28882e-06,2.36034e-06,2.25306e-06,2.22921e-06
0.01,2.19345e-06,2.08616e-06,2.09808e-06,2.00272e-06,2.00272e-06,2.0504e-06,2.08616e-06,2.02656e-06
0.02,2.15769e-06,2.09808e-06,2.02656e-06,1.96695e-06,2.0504e-06,2.09808e-06,1.95503e-06,1.96695e-06
0.03,2.11e-06,2.12193e-06,2.14577e-06,1.94311e-06,2.07424e-06,1.90735e-06,1.9908e-06,2.11e-06
0.04,2.08616e-06,2.15769e-06,2.09808e-06,1.94311e-06,2.02656e-06,1.96695e-06,2.02656e-06,2.06232e-06
0.05,2.11e-06,2.09808e-06,2.02656e-06,1.91927e-06,1.96695e-06,1.94311e-06,2.01464e-06,2.07424e-06
0.06,2.08616e-06,2.20537e-06,2.08616e-06,1.9908e-06,2.01464e-06,1.95503e-06,1.95503e-06,1.95503e-06
0.07,2.16961e-06,2.12193e-06,2.06232e-06,1.89543e-06,2.06232e-06,2.02656e-06,2.02656e-06,2.06232e-06
0.08,2.09808e-06,2.15769e-06,2.02656e-06,1.93119e-06,2.0504e-06,2.07424e-06,1.96695e-06,2.03848e-06
0.09,2.12193e-06,2.19345e-06,2.09808e-06,1.9908e-06,2.0504e-06,2.12193e-06,2.0504e-06,2.00272e-06
0.1,2.08616e-06,2.08616e-06,2.08616e-06,2.02656e-06,1.9908e-06,1.97887e-06,2.01464e-06,2.0504e-06
0.11,2.13385e-06,2.18153e-06,2.11e-06,1.9908e-06,1.97887e-06,2.07424e-06,1.87159e-06,2.16961e-06
0.12,2.13385e-06,2.11e-06,2.14577e-06,2.08616e-06,1.97887e-06,2.06232e-06,1.93119e-06,1.9908e-06
0.13,2.14577e-06,2.18153e-06,2.06232e-06,2.0504e-06,2.03848e-06,1.95503e-06,2.02656e-06,2.11e-06
0.14,2.14577e-06,2.11e-06,2.07424e-06,2.00272e-06,2.0504e-06,2.01464e-06,1.91927e-06,2.0504e-06
0.15,2.15769e-06,2.00272e-06,2.08616e-06,2.02656e-06,2.0504e-06,2.0504e-06,1.97887e-06,2.0504e-06
0.16,2.0504e-06,2.15769e-06,2.12193e-06,2.00272e-06,2.00272e-06,1.95503e-06,2.03848e-06,2.09808e-06
0.17,2.06232e-06,2.16961e-06,2.02656e-06,2.11e-06,2.06232e-06,2.02656e-06,2.08616e-06,1.9908e-06
0.18,2.14577e-06,2.12193e-06,2.01464e-06,2.09808e-06,2.00272e-06,2.02656e-06,1.9908e-06,2.12193e-06
0.19,2.02656e-06,2.13385e-06,2.11e-06,1.97887e-06,2.06232e-06,2.02656e-06,2.0504e-06,1.9908e-06
0.2,2.11e-06,2.09808e-06,2.11e-06,1.9908e-06,1.95503e-06,2.00272e-06,1.9908e-06,2.08616e-06
0.21,2.12193e-06,2.03848e-06,2.14577e-06,2.02656e-06,2.07424e-06,2.02656e-06,2.15769e-06,2.06232e-06
0.22,2.11e-06,2.02656e-06,2.15769e-06,1.94311e-06,1.97887e-06,1.9908e-06,2.02656e-06,2.12193e-06
0.23,2.21729e-06,2.12193e-06,2.08616e-06,1.95503e-06,1.9908e-06,2.08616e-06,2.02656e-06,2.06232e-06
0.24,2.12193e-06,2.09808e-06,2.02656e-06,2.0504e-06,2.02656e-06,2.0504e-06,1.95503e-06,2.08616e-06
0.25,2.12193e-06,2.12193e-06,2.11e-06,2.02656e-06,2.01464e-06,2.08616e-06,2.02656e-06,2.08616e-06
0.26,2.03848e-06,2.14577e-06,2.22921e-06,2.02656e-06,2.06232e-06,2.00272e-06,2.00272e-06,2.02656e-06
0.27,2.16961e-06,2.08616e-06,2.08616e-06,1.9908e-06,1.9908e-06,2.02656e-06,1.93119e-06,2.09808e-06
0.28,2.22921e-06,2.14577e-06,1.96695e-06,2.0504e-06,2.06232e-06,1.95503e-06,2.00272e-06,2.11e-06
0.29,2.12193e-06,2.14577e-06,2.24113e-06,2.06232e-06,2.02656e-06,1.97887e-06,1.97887e-06,2.08616e-06
0.3,2.18153e-06,2.14577e-06,2.12193e-06,1.95503e-06,1.93119e-06,2.03848e-06,1.95503e-06,1.9908e-06
0.31,2.0504e-06,2.08616e-06,2.0504e-06,2.02656e-06,2.0504e-06,1.9908e-06,1.95503e-06,2.11e-06
0.32,2.13385e-06,2.14577e-06,2.14577e-06,2.08616e-06,2.09808e-06,2.09808e-06,1.9908e-06,2.12193e-06
0.33,2.08616e-06,2.0504e-06,2.16961e-06,2.0504e-06,2.06232e-06,1.9908e-06,2.06232e-06,2.13385e-06
0.34,2.16961e-06,2.02656e-06,2.13385e-06,1.95503e-06,2.06232e-06,2.14577e-06,2.12193e-06,2.09808e-06
0.35,2.20537e-06,2.16961e-06,2.11e-06,2.08616e-06,2.11e-06,2.01464e-06,1.90735e-06,2.08616e-06
0.36,2.08616e-06,2.08616e-06,2.13385e-06,2.07424e-06,1.89543e-06,2.0504e-06,1.95503e-06,2.0504e-06
0.37,2.09808e-06,2.09808e-06,2.07424e-06,1.9908e-06,2.01464e-06,1.9908e-06,2.01464e-06,1.95503e-06
0.38,2.11e-06,2.14577e-06,2.11e-06,2.11e-06,2.02656e-06,2.00272e-06,1.94311e-06,2.02656e-06
0.39,2.20537e-06,2.0504e-06,2.21729e-06,2.15769e-06,2.02656e-06,2.06232e-06,1.96695e-06,2.12193e-06
0.4,2.02656e-06,2.21729e-06,2.14577e-06,2.16961e-06,2.14577e-06,2.09808e-06,2.01464e-06,2.18153e-06
0.41,2.12193e-06,2.14577e-06,2.13385e-06,2.01464e-06,2.02656e-06,2.09808e-06,2.00272e-06,2.01464e-06
0.42,2.16961e-06,2.14577e-06,2.08616e-06,2.06232e-06,1.9908e-06,1.93119e-06,1.91927e-06,2.06232e-06
0.43,2.0504e-06,2.16961e-06,2.16961e-06,2.08616e-06,1.93119e-06,2.0504e-06,1.87159e-06,2.0504e-06
0.44,2.08616e-06,2.07424e-06,2.11e-06,2.11e-06,1.93119e-06,2.02656e-06,1.88351e-06,2.11e-06
0.45,2.12193e-06,2.16961e-06,2.06232e-06,2.03848e-06,1.94311e-06,1.9908e-06,2.0504e-06,2.02656e-06
0.46,2.14577e-06,2.0504e-06,2.18153e-06,2.03848e-06,2.0504e-06,2.0504e-06,1.95503e-06,2.11e-06
0.47,2.21729e-06,2.14577e-06,2.14577e-06,2.06232e-06,2.02656e-06,1.95503e-06,1.96695e-06,2.0504e-06
0.48,2.15769e-06,2.11e-06,2.11e-06,2.0504e-06,2.00272e-06,2.08616e-06,2.02656e-06,2.02656e-06
