V,IGS 150,IGS 151,IGS 152
-0.6,-0.00010315659999999999,-0.0003021107,-0.00011566469999999999
-0.58,-4.63561e-05,-0.0001511607,-5.217233e-05
-0.56,-2.9303230000000003e-05,-9.948860000000001e-05,-3.2852100000000003e-05
-0.54,-2.019407e-05,-7.086517e-05,-2.269743e-05
-0.52,-1.445453e-05,-5.280813e-05,-1.637063e-05
-0.5,-1.05508e-05,-4.015923e-05,-1.20612e-05
-0.48,-7.590057e-06,-3.10703e-05,-8.815127e-06
-0.46,-5.425217e-06,-2.410847e-05,-6.378093e-06
-0.44,-4.1524569999999995e-06,-1.8723e-05,-4.4624e-06
-0.42,-2.26299e-06,-1.4460069999999999e-05,-2.836783e-06
-0.4,-7.955233e-07,-1.116437e-05,-1.227855e-06
-0.38,6.318097e-08,-8.401077e-06,-1.994767e-07
-0.36,6.961827e-07,-6.094773e-06,4.871698e-07
-0.34,1.381238e-06,-4.0912630000000006e-06,1.107057e-06
-0.32,1.931983e-06,-2.13782e-06,1.811183e-06
-0.3,2.4791569999999998e-06,-5.841267e-07,2.4271e-06
-0.28,2.97109e-06,4.9472e-07,3.02434e-06
-0.26,3.430047e-06,1.484554e-06,3.522633e-06
-0.24,3.843703e-06,2.42273e-06,4.05391e-06
-0.22,4.260937e-06,3.350577e-06,4.4751199999999994e-06
-0.2,4.615786999999999e-06,4.149277000000001e-06,4.923343e-06
-0.18,4.87566e-06,5.02904e-06,5.3890570000000005e-06
-0.16,5.234477e-06,5.7852230000000005e-06,5.741913e-06
-0.14,5.5066730000000005e-06,6.603003e-06,6.071723e-06
-0.12,5.6521070000000005e-06,7.37985e-06,6.5024700000000004e-06
-0.1,5.95093e-06,8.039873e-06,6.861287e-06
-0.08,6.184977e-06,8.79407e-06,7.2789170000000006e-06
-0.06,6.5175700000000005e-06,9.564567e-06,7.58648e-06
-0.04,6.78778e-06,1.0267090000000001e-05,7.991393e-06
-0.02,7.0401030000000004e-06,1.0981570000000001e-05,8.528237e-06
0.0,7.4176e-06,1.1654699999999999e-05,8.993542999999999e-06
0.02,7.734697e-06,1.2262269999999999e-05,9.562186999999999e-06
0.04,8.166630000000001e-06,1.275263e-05,1.026471e-05
0.06,8.64029e-06,1.299063e-05,1.094977e-05
0.08,9.15925e-06,1.333873e-05,1.1574e-05
0.1,9.700863e-06,1.38414e-05,1.23791e-05
0.12,1.0297689999999999e-05,1.42451e-05,1.3266e-05
0.14,9.870943e-06,1.4914699999999998e-05,1.4184299999999999e-05
0.16,1.09446e-05,1.362163e-05,1.320243e-05
0.18,1.20616e-05,1.506607e-05,1.5397870000000002e-05
0.2,1.30542e-05,1.621603e-05,1.6855e-05
0.22,1.3860870000000001e-05,1.72675e-05,1.81941e-05
0.24,1.460233e-05,1.829943e-05,1.9577730000000003e-05
0.26,1.5707e-05,1.93469e-05,2.102457e-05
0.28,1.65669e-05,2.0322799999999998e-05,2.25282e-05
0.3,1.7497530000000002e-05,2.1406e-05,2.4001230000000002e-05
0.32,1.842537e-05,2.2534930000000002e-05,2.556843e-05
0.34,1.94748e-05,2.3747300000000002e-05,2.6046429999999997e-05
0.36,2.044e-05,2.488257e-05,2.86921e-05
0.38,2.1683369999999998e-05,2.6099669999999998e-05,3.07961e-05
0.4,2.2993869999999998e-05,2.7283430000000002e-05,3.290333e-05
0.42,2.43036e-05,2.860187e-05,3.539403e-05
0.44,2.59296e-05,2.982457e-05,3.80552e-05
0.46,2.78624e-05,3.1078669999999996e-05,4.1076729999999995e-05
0.48,2.97908e-05,3.228863e-05,4.450203e-05
0.5,3.231287e-05,3.349227e-05,4.7945600000000004e-05
0.52,3.526287e-05,3.488223e-05,5.19923e-05
0.54,3.880263e-05,3.6409300000000004e-05,5.68227e-05
0.56,4.29233e-05,3.8030930000000004e-05,6.239017e-05
0.58,4.7989670000000004e-05,3.997207e-05,6.884613000000001e-05
0.6,5.368787e-05,4.24524e-05,7.598837e-05
-0.6,-0.0002229487,-0.0003492177,-0.000260412
-0.58,-8.315483e-05,-0.0001456483,-9.561730000000001e-05
-0.56,-4.817327e-05,-9.08196e-05,-5.57526e-05
-0.54,-3.18893e-05,-6.334383e-05,-3.718097e-05
-0.52,-2.244153e-05,-4.65262e-05,-2.640127e-05
-0.5,-1.633087e-05,-3.5195369999999996e-05,-1.934013e-05
-0.48,-1.20286e-05,-2.697587e-05,-1.4358729999999999e-05
-0.46,-8.822279999999999e-06,-2.076503e-05,-1.0652169999999999e-05
-0.44,-6.401937e-06,-1.613537e-05,-7.882913000000001e-06
-0.42,-4.36743e-06,-1.234213e-05,-5.672377e-06
-0.4,-2.656383e-06,-9.339253e-06,-3.7833029999999997e-06
-0.38,-1.102287e-06,-6.839833e-06,-2.045235e-06
-0.36,-7.430733e-08,-4.8760570000000005e-06,-7.466481e-07
-0.34,6.123382e-07,-3.000097e-06,2.5272370000000003e-07
-0.32,3.2027569999999997e-07,-2.642473e-06,1.366933e-07
-0.3,1.469456e-06,-4.6650470000000006e-07,1.28905e-06
-0.28,2.29478e-06,6.743287e-07,2.2013970000000003e-06
-0.26,2.864997e-06,1.657807e-06,3.036657e-06
-0.24,3.354153e-06,2.621017e-06,3.6350900000000003e-06
-0.22,3.778937e-06,3.441173e-06,4.249017e-06
-0.2,4.173917e-06,4.142123e-06,4.809697e-06
-0.18,4.6559199999999995e-06,4.8395e-06,5.22534e-06
-0.16,5.07315e-06,5.61595e-06,5.70496e-06
-0.14,5.404947e-06,6.238223e-06,6.186567000000001e-06
-0.12,5.758602999999999e-06,6.909373e-06,6.58035e-06
-0.1,5.98391e-06,7.5185300000000005e-06,7.014273e-06
-0.08,6.20842e-06,8.186496999999999e-06,7.365146999999999e-06
-0.06,6.578367e-06,8.844533e-06,7.871783e-06
-0.04,7.042487e-06,9.438196999999999e-06,8.424920000000001e-06
-0.02,7.346473e-06,9.9798e-06,8.963743e-06
0.0,7.707277e-06,1.0567100000000001e-05,9.327337e-06
0.02,7.954436999999999e-06,1.0931499999999999e-05,9.923777e-06
0.04,8.37286e-06,1.137417e-05,1.041374e-05
0.06,8.742013000000001e-06,1.1780270000000001e-05,1.099827e-05
0.08,9.247067e-06,1.2257469999999999e-05,1.17417e-05
0.1,9.702827e-06,1.2756599999999999e-05,1.2342929999999999e-05
0.12,1.023135e-05,1.33296e-05,1.30741e-05
0.14,1.081505e-05,1.395503e-05,1.370987e-05
0.16,1.14405e-05,1.4635329999999999e-05,1.437507e-05
0.18,1.1980930000000001e-05,1.53776e-05,1.5157100000000001e-05
0.2,1.27562e-05,1.613537e-05,1.60388e-05
0.22,1.3289870000000001e-05,1.701793e-05,1.69166e-05
0.24,1.4018230000000001e-05,1.796683e-05,1.7951329999999997e-05
0.26,1.471003e-05,1.888393e-05,1.889903e-05
0.28,1.556517e-05,1.994293e-05,1.9843570000000002e-05
0.3,1.626093e-05,2.0984800000000003e-05,2.0825869999999998e-05
0.32,1.706403e-05,2.200127e-05,2.20561e-05
0.34,1.811583e-05,2.3088030000000002e-05,2.33098e-05
0.36,1.89396e-05,2.423643e-05,2.453047e-05
0.38,1.97657e-05,2.54305e-05,2.6107230000000002e-05
0.4,2.0703869999999998e-05,2.639927e-05,2.786993e-05
0.42,2.0169029999999998e-05,2.50371e-05,2.96752e-05
0.44,2.22246e-05,2.71829e-05,2.887687e-05
0.46,2.42853e-05,2.90064e-05,3.28688e-05
0.48,2.61891e-05,3.054103e-05,3.64407e-05
0.5,2.7505169999999997e-05,3.2132869999999996e-05,4.006903e-05
0.52,3.108263e-05,3.40219e-05,4.4434469999999994e-05
0.54,3.483453e-05,3.583233e-05,4.951437e-05
0.56,3.911773e-05,3.80655e-05,5.5249529999999995e-05
0.58,4.423893e-05,4.0774329999999996e-05,6.192963e-05
0.6,5.03055e-05,4.392423e-05,6.949663e-05
-0.6,-0.000221666,-0.000319362,-0.000257431
-0.58,-8.268353e-05,-0.0001313957,-9.573393e-05
-0.56,-4.819233e-05,-8.116682999999999e-05,-5.639513e-05
-0.54,-3.2109429999999997e-05,-5.647817e-05,-3.7659e-05
-0.52,-2.2570670000000002e-05,-4.141727e-05,-2.685747e-05
-0.5,-1.6431e-05,-3.114463e-05,-1.9749399999999998e-05
-0.48,-1.209893e-05,-2.37914e-05,-1.46961e-05
-0.46,-8.937517e-06,-1.8203669999999998e-05,-1.09176e-05
-0.44,-6.391607e-06,-1.404367e-05,-8.005697e-06
-0.42,-4.505317e-06,-1.071096e-05,-5.691847e-06
-0.4,-2.6973100000000003e-06,-8.04504e-06,-3.979603e-06
-0.38,-1.188517e-06,-5.871452999999999e-06,-2.1465619999999997e-06
-0.36,-7.430733e-08,-3.8754970000000005e-06,-7.760524e-07
-0.34,5.368399000000001e-07,-1.99795e-06,1.8437699999999998e-07
-0.32,1.243747e-06,-5.865099e-07,8.817513e-07
-0.3,1.87834e-06,5.642572e-07,1.7054869999999999e-06
-0.28,2.5582300000000003e-06,1.3665360000000001e-06,2.37942e-06
-0.26,3.0048700000000003e-06,2.160073e-06,3.045797e-06
-0.24,3.46144e-06,2.999307e-06,3.7495300000000003e-06
-0.22,3.864763e-06,3.78529e-06,4.272857e-06
-0.2,4.435383e-06,4.473527e-06,4.839897e-06
-0.18,4.82043e-06,5.1101029999999994e-06,5.24481e-06
-0.16,5.1685199999999994e-06,5.829337000000001e-06,5.752247e-06
-0.14,5.50548e-06,6.466707e-06,6.26127e-06
-0.12,5.900857e-06,7.005927e-06,6.664593e-06
-0.1,6.1961030000000006e-06,7.582900000000001e-06,7.044077e-06
-0.08,6.419023e-06,8.13961e-06,7.481973e-06
-0.06,6.755193e-06,8.74718e-06,7.932583e-06
-0.04,5.80112e-06,7.768867e-06,7.087787e-06
-0.02,6.769893e-06,9.017389999999999e-06,8.061329999999999e-06
0.0,7.39177e-06,9.694087e-06,8.800030000000001e-06
0.02,7.811387e-06,1.025518e-05,9.415163e-06
0.04,8.298560000000001e-06,1.0772530000000001e-05,9.990537e-06
0.06,8.707047e-06,1.125293e-05,9.862993e-06
0.08,9.19302e-06,1.1742899999999999e-05,1.096843e-05
0.1,9.742566999999999e-06,1.2363600000000001e-05,1.1796930000000001e-05
0.12,1.015625e-05,1.30443e-05,1.24379e-05
0.14,1.0707e-05,1.353463e-05,1.31901e-05
0.16,1.134397e-05,1.424113e-05,1.409927e-05
0.18,1.199443e-05,1.5018e-05,1.478513e-05
0.2,1.26684e-05,1.59037e-05,1.569073e-05
0.22,1.3357e-05,1.673977e-05,1.654423e-05
0.24,1.391447e-05,1.7602830000000002e-05,1.7420430000000002e-05
0.26,1.4733100000000001e-05,1.858193e-05,1.82708e-05
0.28,1.535333e-05,1.9455330000000002e-05,1.915697e-05
0.3,1.595977e-05,2.04758e-05,2.03081e-05
0.32,1.673697e-05,2.158243e-05,2.12439e-05
0.34,1.755077e-05,2.2602869999999998e-05,2.2374e-05
0.36,1.841187e-05,2.372263e-05,2.36682e-05
0.38,1.929483e-05,2.476973e-05,2.503437e-05
0.4,2.0323569999999998e-05,2.5797700000000002e-05,2.659123e-05
0.42,2.1588e-05,2.690873e-05,2.82657e-05
0.44,2.27209e-05,2.817947e-05,3.036737e-05
0.46,2.4302799999999997e-05,2.943473e-05,3.283063e-05
0.48,2.61434e-05,3.06964e-05,3.55164e-05
0.5,2.84616e-05,3.235103e-05,3.8855070000000005e-05
0.52,3.0996e-05,3.42675e-05,4.273653e-05
0.54,3.427983e-05,3.640373e-05,4.73094e-05
0.56,3.836473e-05,3.8980669999999996e-05,5.282523e-05
0.58,4.329083e-05,4.1881399999999995e-05,5.9074970000000004e-05
0.6,4.900417e-05,4.540643e-05,6.640157e-05
-0.6,-0.0002217183,-0.00030280869999999997,-0.000256966
-0.58,-8.24793e-05,-0.00012183900000000001,-9.586853e-05
-0.56,-4.8333799999999995e-05,-7.479943e-05,-5.63359e-05
-0.54,-3.2278300000000006e-05,-5.1782529999999996e-05,-3.786203e-05
-0.52,-2.29633e-05,-3.787917e-05,-2.695043e-05
-0.5,-1.616793e-05,-2.770027e-05,-1.9197470000000002e-05
-0.48,-1.18637e-05,-2.1202170000000003e-05,-1.4201e-05
-0.46,-8.874732999999999e-06,-1.611787e-05,-1.0587e-05
-0.44,-6.4297530000000004e-06,-1.2253499999999999e-05,-7.785953e-06
-0.42,-4.493393e-06,-9.21885e-06,-5.55555e-06
-0.4,-2.768833e-06,-6.747647000000001e-06,-3.647803e-06
-0.38,-1.210772e-06,-4.763207e-06,-1.931589e-06
-0.36,-7.8281e-08,-2.81771e-06,-7.220097e-07
-0.34,5.070378e-07,-1.287062e-06,1.855692e-07
-0.32,1.267193e-06,-8.543333e-08,9.798997000000001e-07
-0.3,1.8775429999999997e-06,7.458509999999999e-07,1.7333029999999999e-06
-0.28,2.432267e-06,1.640319e-06,2.4664369999999998e-06
-0.26,2.942087e-06,2.477567e-06,3.074803e-06
-0.24,3.458657e-06,3.222623e-06,3.698667e-06
-0.22,3.832577e-06,3.930727e-06,4.245443e-06
-0.2,4.223983e-06,4.606643e-06,4.8319470000000005e-06
-0.18,4.774333e-06,5.209843000000001e-06,5.3207100000000004e-06
-0.16,5.14547e-06,5.8035029999999994e-06,5.806687e-06
-0.14,5.432763e-06,6.314913e-06,6.173453e-06
-0.12,5.70814e-06,6.859700000000001e-06,6.592273e-06
-0.1,6.11027e-06,7.43707e-06,7.09176e-06
-0.08,6.42697e-06,7.941719999999999e-06,7.434683e-06
-0.06,6.764733e-06,8.51194e-06,7.890063e-06
-0.04,7.128713e-06,8.918840000000001e-06,8.20915e-06
-0.02,7.459717e-06,9.322960000000001e-06,8.726517e-06
0.0,7.704897e-06,9.746567e-06,9.12706e-06
0.02,7.944503e-06,1.021227e-05,9.66588e-06
0.04,8.415777e-06,1.0670820000000001e-05,1.019316e-05
0.06,8.843737000000001e-06,1.114727e-05,1.07499e-05
0.08,9.413963e-06,1.173653e-05,1.13086e-05
0.1,9.846297e-06,1.234333e-05,1.19209e-05
0.12,1.04495e-05,1.291353e-05,1.254797e-05
0.14,1.1032830000000001e-05,1.3555299999999999e-05,1.325847e-05
0.16,1.156967e-05,1.418037e-05,1.399757e-05
0.18,1.21955e-05,1.4923429999999999e-05,1.47462e-05
0.2,1.2714099999999999e-05,1.567603e-05,1.56315e-05
0.22,1.125533e-05,1.495917e-05,1.455707e-05
0.24,1.288057e-05,1.6461600000000002e-05,1.613617e-05
0.26,1.397013e-05,1.78659e-05,1.7505899999999998e-05
0.28,1.48241e-05,1.895387e-05,1.867533e-05
0.3,1.5687929999999998e-05,1.996957e-05,1.9787169999999997e-05
0.32,1.654783e-05,2.108017e-05,2.088983e-05
0.34,1.74109e-05,2.20982e-05,2.203743e-05
0.36,1.810987e-05,2.314607e-05,2.324143e-05
0.38,1.921493e-05,2.422373e-05,2.46195e-05
0.4,2.015273e-05,2.545357e-05,2.6106070000000002e-05
0.42,2.1289970000000002e-05,2.66512e-05,2.785127e-05
0.44,2.2550430000000002e-05,2.77845e-05,2.971807e-05
0.46,2.40254e-05,2.920947e-05,3.219243e-05
