V,IGS 150,IGS 151,IGS 152
-0.6,-9.086783e-05,-0.0001903067,-0.0001053209
-0.58,-4.2460769999999996e-05,-9.43736e-05,-4.91023e-05
-0.56,-2.742767e-05,-6.217837e-05,-3.1764099999999996e-05
-0.54,-1.937467e-05,-4.445673e-05,-2.2474970000000002e-05
-0.52,-1.4295599999999999e-05,-3.317673e-05,-1.6605829999999998e-05
-0.5,-1.08115e-05,-2.5272329999999997e-05,-1.25567e-05
-0.48,-8.15908e-06,-1.9613499999999998e-05,-9.667463e-06
-0.46,-6.131727e-06,-1.51535e-05,-7.33932e-06
-0.44,-4.561343e-06,-1.18196e-05,-5.58535e-06
-0.42,-3.2579899999999997e-06,-9.075403e-06,-4.135767e-06
-0.4,-1.8946319999999999e-06,-6.8736099999999996e-06,-2.8069800000000003e-06
-0.38,-8.801613e-07,-5.0469229999999995e-06,-1.506807e-06
-0.36,-1.060963e-07,-3.451507e-06,-5.479654e-07
-0.34,3.4173340000000003e-07,-1.8652260000000002e-06,1.386803e-07
-0.32,8.543323e-07,-5.976368e-07,7.518127000000001e-07
-0.3,1.4150140000000002e-06,2.4000800000000004e-07,1.367726e-06
-0.28,1.8827130000000001e-06,9.719547e-07,1.944303e-06
-0.26,2.394517e-06,1.6955529999999999e-06,2.52247e-06
-0.24,2.787907e-06,2.3973e-06,2.9150630000000003e-06
-0.22,3.1737500000000003e-06,3.019173e-06,3.48568e-06
-0.2,3.510717e-06,3.621577e-06,3.88662e-06
-0.18,3.88702e-06,4.1588130000000005e-06,4.278023e-06
-0.16,4.280803e-06,4.640023e-06,4.802147e-06
-0.14,4.61936e-06,5.131563e-06,5.211036999999999e-06
-0.12,4.81367e-06,5.651316999999999e-06,5.523363e-06
-0.1,5.1649430000000004e-06,6.01967e-06,5.929073e-06
-0.08,5.411307e-06,6.475447e-06,6.364187e-06
-0.06,5.73397e-06,6.976920000000001e-06,6.6721469999999994e-06
-0.04,5.973977e-06,7.39217e-06,7.07507e-06
-0.02,6.283127e-06,7.85311e-06,7.5471399999999995e-06
0.0,6.558896999999999e-06,8.319217e-06,7.9453e-06
0.02,6.939173e-06,8.47578e-06,8.400677e-06
0.04,7.2646170000000005e-06,9.130637e-06,8.949439999999999e-06
0.06,7.674297e-06,9.67822e-06,9.471187e-06
0.08,8.028349999999999e-06,1.017968e-05,1.00565e-05
0.1,8.479757e-06,1.0593330000000001e-05,1.060208e-05
0.12,9.015797e-06,1.11826e-05,1.1290300000000001e-05
0.14,9.470766999999999e-06,1.1710329999999999e-05,1.207313e-05
0.16,9.92299e-06,1.1290300000000001e-05,1.275457e-05
0.18,9.043217e-06,1.220067e-05,1.194953e-05
0.2,1.051426e-05,1.30975e-05,1.3785769999999999e-05
0.22,1.14413e-05,1.398603e-05,1.5025129999999998e-05
0.24,1.221977e-05,1.481613e-05,1.619577e-05
0.26,1.303313e-05,1.561323e-05,1.7310000000000002e-05
0.28,1.3745630000000001e-05,1.65081e-05,1.8484199999999998e-05
0.3,1.461507e-05,1.7480429999999998e-05,1.968503e-05
0.32,1.535217e-05,1.85867e-05,2.0955769999999998e-05
0.34,1.617193e-05,1.949747e-05,2.235173e-05
0.36,1.710933e-05,2.050163e-05,2.37199e-05
0.38,1.80574e-05,2.15443e-05,2.50995e-05
0.4,1.8923700000000003e-05,2.264143e-05,2.643863e-05
0.42,1.987537e-05,2.37441e-05,2.7950600000000003e-05
0.44,2.0986e-05,2.500257e-05,2.9549199999999998e-05
0.46,2.212403e-05,2.61537e-05,3.109213e-05
0.48,2.330103e-05,2.728383e-05,3.297927e-05
0.5,2.4659630000000002e-05,2.8550999999999998e-05,3.4743169999999994e-05
