V,IGS 150,IGS 151,IGS 152
-0.6,-8.716147000000001e-05,-0.000185422,-0.0001004079
-0.58,-4.110973e-05,-9.21893e-05,-4.66887e-05
-0.56,-2.69083e-05,-6.105539999999999e-05,-3.051837e-05
-0.54,-1.9262230000000002e-05,-4.39298e-05,-2.1768e-05
-0.52,-1.435597e-05,-3.297407e-05,-1.62816e-05
-0.5,-1.1026069999999999e-05,-2.53137e-05,-1.241527e-05
-0.48,-8.55446e-06,-1.969817e-05,-9.565746999999999e-06
-0.46,-6.592273e-06,-1.54833e-05,-7.402103e-06
-0.44,-5.1109029999999995e-06,-1.21383e-05,-5.733573e-06
-0.42,-3.890593e-06,-9.509737e-06,-4.291533e-06
-0.4,-2.747773e-06,-7.376273e-06,-3.128053e-06
-0.38,-1.6888009999999999e-06,-5.582173e-06,-1.862449e-06
-0.36,-7.816147e-07,-4.024903e-06,-8.877127e-07
-0.34,-9.735432999999999e-08,-2.53558e-06,-1.0132799999999999e-07
-0.32,3.182888e-07,-1.282295e-06,4.076956e-07
-0.3,7.41086e-07,-3.03984e-07,8.869173e-07
-0.28,1.217127e-06,3.604093e-07,1.465879e-06
-0.26,1.66416e-06,1.0220219999999999e-06,2.033313e-06
-0.24,1.930793e-06,1.619657e-06,2.490283e-06
-0.22,2.35756e-06,2.245503e-06,2.95758e-06
-0.2,2.82486e-06,2.8395669999999996e-06,3.441177e-06
-0.18,3.1685829999999998e-06,3.430443e-06,3.88702e-06
-0.16,3.497997e-06,3.899337e-06,4.316173e-06
-0.14,3.782113e-06,4.3873e-06,4.69923e-06
-0.12,4.12663e-06,4.904269999999999e-06,5.152223e-06
-0.1,4.400413e-06,5.327463e-06,5.511043e-06
-0.08,4.711947e-06,5.855957e-06,5.90841e-06
-0.06,5.0139430000000005e-06,6.257293e-06,6.3554469999999996e-06
-0.04,5.304019999999999e-06,6.6347900000000006e-06,6.75718e-06
-0.02,5.562703e-06,7.103287e-06,7.1799769999999994e-06
0.0,5.850393e-06,7.629396999999999e-06,7.696547e-06
0.02,6.1209999999999995e-06,8.031923000000001e-06,8.119743e-06
0.04,6.49929e-06,8.44598e-06,8.650620000000001e-06
0.06,6.830297e-06,8.905726999999999e-06,9.108383e-06
