V,IGS 150,IGS 151,IGS 152
-0.6,-7.73875e-05,-0.0001050418,-8.862213e-05
-0.58,-3.662543e-05,-5.265513e-05,-4.161437e-05
-0.56,-2.38931e-05,-3.513693e-05,-2.714e-05
-0.54,-1.7035369999999997e-05,-2.53999e-05,-1.93922e-05
-0.52,-1.2788e-05,-1.909217e-05,-1.451533e-05
-0.5,-9.798203e-06,-1.464723e-05,-1.1130570000000001e-05
-0.48,-7.5860799999999995e-06,-1.13316e-05,-8.60294e-06
-0.46,-5.8341030000000005e-06,-8.758703000000001e-06,-6.674923e-06
-0.44,-4.46359e-06,-6.81758e-06,-5.120037e-06
-0.42,-3.376007e-06,-5.102557e-06,-3.849667e-06
-0.4,-2.39253e-06,-3.7384e-06,-2.7322769999999997e-06
-0.38,-1.326006e-06,-2.356373e-06,-1.601379e-06
-0.36,-4.875664e-07,-1.246532e-06,-6.739302999999999e-07
-0.34,6.834637e-08,-3.715358e-07,-2.304693e-08
-0.32,4.450482e-07,2.320607e-07,4.371008e-07
-0.3,8.40822e-07,7.394960000000001e-07,9.81491e-07
-0.28,1.242162e-06,1.293024e-06,1.445215e-06
-0.26,1.6661500000000001e-06,1.8870830000000003e-06,2.034503e-06
-0.24,2.05318e-06,2.366703e-06,2.4588930000000003e-06
-0.22,2.354387e-06,2.826453e-06,2.910693e-06
-0.2,2.721153e-06,3.288983e-06,3.295343e-06
-0.18,3.039837e-06,3.794433e-06,3.6831699999999998e-06
-0.16,3.35773e-06,4.1830529999999996e-06,4.134973e-06
-0.14,3.655353e-06,4.53313e-06,4.508493e-06
-0.12,3.935893e-06,4.9535399999999995e-06,4.8963230000000005e-06
-0.1,4.2518e-06,5.39263e-06,5.2909029999999995e-06
-0.08,4.507703e-06,5.728007e-06,5.731183e-06
-0.06,4.80453e-06,6.094377e-06,6.10868e-06
-0.04,5.09143e-06,6.475843e-06,6.474253e-06
-0.02,5.375147e-06,6.855727e-06,6.877183e-06
0.0,5.7796629999999995e-06,7.238387e-06,7.3822330000000005e-06
0.02,6.084837e-06,7.740657e-06,7.835627e-06
0.04,6.42578e-06,8.161863e-06,8.27074e-06
0.06,6.828703e-06,8.577107e-06,8.780957e-06
0.08,7.220113e-06,9.088517e-06,9.336076999999999e-06
0.1,7.689793e-06,9.593557000000001e-06,9.944423e-06
0.12,7.948476999999999e-06,1.018803e-05,1.0559940000000001e-05
0.14,8.553667e-06,1.074713e-05,1.126767e-05
0.16,7.86066e-06,1.010775e-05,1.038949e-05
0.18,9.087327e-06,1.147787e-05,1.20461e-05
0.2,9.906673e-06,1.240213e-05,1.3040699999999999e-05
0.22,1.063623e-05,1.336577e-05,1.41239e-05
0.24,1.131257e-05,1.422763e-05,1.5084330000000001e-05
0.26,1.199403e-05,1.5064870000000002e-05,1.60758e-05
0.28,1.2589300000000002e-05,1.602373e-05,1.70088e-05
0.3,1.3337530000000001e-05,1.6970630000000002e-05,1.796407e-05
0.32,1.40063e-05,1.791277e-05,1.909137e-05
0.34,1.4804200000000001e-05,1.8988870000000002e-05,2.014873e-05
0.36,1.553453e-05,1.99302e-05,2.12693e-05
0.38,1.6361869999999998e-05,2.0928800000000002e-05,2.2419699999999998e-05
0.4,1.728057e-05,2.20541e-05,2.373217e-05
0.42,1.816353e-05,2.305947e-05,2.4912769999999998e-05
0.44,1.915177e-05,2.42555e-05,2.6397300000000002e-05
0.46,2.019327e-05,2.53272e-05,2.7476169999999998e-05
0.48,2.136907e-05,2.647163e-05,2.8922569999999998e-05
0.5,2.270617e-05,2.753617e-05,3.065583e-05
0.52,2.408583e-05,2.865593e-05,3.259063e-05
0.54,2.567093e-05,3.0027629999999996e-05,3.468273e-05
0.56,2.749367e-05,3.1430700000000004e-05,3.69799e-05
0.58,2.961713e-05,3.294623e-05,3.956717e-05
0.6,3.2090729999999996e-05,3.445267e-05,4.262447e-05
-0.6,-0.00016274170000000001,-0.0002153247,-0.000194471
-0.58,-6.149533e-05,-8.410413e-05,-7.30924e-05
-0.56,-3.6999e-05,-5.129573e-05,-4.3835669999999996e-05
-0.54,-2.549133e-05,-3.56003e-05,-3.014883e-05
-0.52,-1.8701970000000003e-05,-2.6221669999999998e-05,-2.215703e-05
-0.5,-1.4289600000000001e-05,-1.9957999999999998e-05,-1.682163e-05
-0.48,-1.10805e-05,-1.5492470000000002e-05,-1.308877e-05
-0.46,-8.724533000000001e-06,-1.21832e-05,-1.0322740000000001e-05
-0.44,-6.9379830000000005e-06,-9.510113e-06,-8.192063e-06
-0.42,-5.446277e-06,-7.477600000000001e-06,-6.40432e-06
-0.4,-4.2215970000000005e-06,-5.802313e-06,-4.99884e-06
-0.38,-3.213087e-06,-4.396833e-06,-3.778933e-06
-0.36,-2.188683e-06,-3.20633e-06,-2.63174e-06
-0.34,-1.3502420000000001e-06,-1.964569e-06,-1.554093e-06
-0.32,-1.4011040000000001e-06,-9.814887000000001e-07,-1.647474e-06
-0.3,-2.03053e-07,-1.35263e-06,-2.8689729999999995e-07
-0.28,2.710026e-07,6.119403e-08,3.091497e-07
-0.26,7.081039999999999e-07,6.059813e-07,8.205563e-07
-0.24,1.1316940000000002e-06,1.197657e-06,1.359385e-06
-0.22,1.573163e-06,1.772243e-06,1.89662e-06
-0.2,1.92682e-06,2.30511e-06,2.413987e-06
-0.18,2.4135929999999997e-06,2.73466e-06,2.89758e-06
-0.16,2.768037e-06,3.220237e-06,3.4272670000000004e-06
-0.14,3.184873e-06,3.61681e-06,3.955763e-06
-0.12,3.5027670000000003e-06,4.084907e-06,4.27723e-06
-0.1,3.84887e-06,4.531143000000001e-06,4.681347e-06
-0.08,4.181067e-06,4.91182e-06,5.112490000000001e-06
-0.06,4.516047e-06,4.921757e-06,5.5797900000000005e-06
-0.04,4.824797e-06,5.6048230000000005e-06,5.982713e-06
-0.02,5.095002999999999e-06,6.17226e-06,6.41028e-06
0.0,5.449057e-06,6.6936030000000005e-06,6.964207e-06
0.02,5.81503e-06,7.174013e-06,7.300777e-06
0.04,6.1512e-06,7.567807e-06,7.809002999999999e-06
0.06,6.58512e-06,7.987820000000001e-06,8.33551e-06
0.08,6.943943e-06,8.512337000000001e-06,8.884273e-06
0.1,7.40687e-06,9.022953000000001e-06,9.42271e-06
