V,IGS 150,IGS 151,IGS 152
-0.6,-9.725477e-05,-0.0002750017,-0.0001090089
-0.58,-4.40558e-05,-0.00013799300000000002,-4.9237400000000004e-05
-0.56,-2.821403e-05,-9.156263e-05,-3.1573000000000004e-05
-0.54,-1.973433e-05,-6.579557e-05,-2.218963e-05
-0.52,-1.439413e-05,-4.93113e-05,-1.63265e-05
-0.5,-1.077137e-05,-3.780363e-05,-1.23481e-05
-0.48,-8.158287e-06,-2.9466129999999998e-05,-9.346007e-06
-0.46,-6.057027e-06,-2.3086100000000002e-05,-7.0258000000000006e-06
-0.44,-4.453663e-06,-1.809677e-05,-5.247193e-06
-0.42,-3.217457e-06,-1.418113e-05,-3.76741e-06
-0.4,-1.871984e-06,-1.102767e-05,-2.29319e-06
-0.38,-8.86121e-07,-8.471013e-06,-1.131692e-06
-0.36,-9.298333e-08,-6.284317e-06,-2.209347e-07
-0.34,3.46899e-07,-4.545053e-06,3.4371999999999996e-07
-0.32,8.491673e-07,-2.8638030000000003e-06,9.0003e-07
-0.3,1.309711e-06,-1.389581e-06,1.322428e-06
-0.28,1.763107e-06,-1.0291769999999999e-07,1.8568799999999998e-06
-0.26,2.14974e-06,6.492948000000001e-07,2.4624629999999998e-06
-0.24,2.5173030000000003e-06,1.4905140000000001e-06,3.0875200000000002e-06
-0.22,2.8141329999999997e-06,2.3138529999999997e-06,3.424883e-06
-0.2,3.150303e-06,3.1173229999999998e-06,3.896160000000001e-06
-0.18,3.4825e-06,3.80198e-06,4.2696769999999995e-06
-0.16,3.8127130000000005e-06,4.61817e-06,4.63843e-06
-0.14,4.093647e-06,5.27382e-06,5.040963e-06
-0.12,4.366636999999999e-06,5.831323e-06,5.45025e-06
-0.1,4.596313e-06,6.504057e-06,5.85e-06
-0.08,4.860163e-06,7.17799e-06,6.21001e-06
-0.06,5.12481e-06,7.929403e-06,6.665787e-06
-0.04,5.402563e-06,8.594990000000001e-06,7.025e-06
-0.02,5.726017e-06,9.219643e-06,7.437073e-06
0.0,6.087623e-06,9.775149999999999e-06,8.000927e-06
0.02,6.47028e-06,1.01912e-05,8.584657e-06
0.04,6.8597030000000004e-06,1.045306e-05,9.094887e-06
0.06,7.317062999999999e-06,1.080752e-05,9.657957e-06
0.08,7.822513e-06,1.117387e-05,1.036285e-05
0.1,8.393922999999999e-06,1.1479870000000001e-05,1.119177e-05
0.12,8.969307e-06,1.19233e-05,1.211047e-05
0.14,9.673823e-06,1.250507e-05,1.30558e-05
0.16,9.19064e-06,1.18939e-05,1.231273e-05
0.18,1.0225789999999999e-05,1.2807429999999999e-05,1.4221670000000001e-05
0.2,1.1257699999999999e-05,1.381637e-05,1.5696270000000002e-05
0.22,1.219077e-05,1.482687e-05,1.701233e-05
0.24,1.310627e-05,1.58254e-05,1.83916e-05
0.26,1.40079e-05,1.68387e-05,1.966437e-05
0.28,1.489003e-05,1.78345e-05,2.1061499999999998e-05
0.3,1.573917e-05,1.8783029999999998e-05,2.2571500000000002e-05
0.32,1.665113e-05,1.98559e-05,2.402503e-05
0.34,1.764617e-05,2.094867e-05,2.5693169999999998e-05
0.36,1.8794130000000002e-05,2.2094630000000002e-05,2.74825e-05
0.38,1.992583e-05,2.3250970000000003e-05,2.930203e-05
0.4,2.119147e-05,2.30801e-05,3.1208200000000004e-05
0.42,2.25874e-05,2.506453e-05,3.349583e-05
0.44,2.40894e-05,2.65161e-05,3.598967e-05
0.46,2.5883129999999998e-05,2.777457e-05,3.855543e-05
0.48,2.7981999999999997e-05,2.9267430000000002e-05,4.13954e-05
0.5,3.017387e-05,3.0768299999999995e-05,4.45016e-05
0.52,3.280957e-05,3.225723e-05,4.80807e-05
0.54,3.6040930000000005e-05,3.38761e-05,5.2403999999999995e-05
0.56,3.98306e-05,3.5740170000000005e-05,5.732777e-05
0.58,4.425643e-05,3.770433e-05,6.264093e-05
0.6,4.955213e-05,4.001183e-05,6.854653e-05
-0.6,-0.0002068023,-0.0003192003,-0.0002508953
-0.58,-7.746937e-05,-0.0001348803,-9.14808e-05
-0.56,-4.524787e-05,-8.47717e-05,-5.336643e-05
-0.54,-3.0256870000000003e-05,-5.947747e-05,-3.5807269999999996e-05
-0.52,-2.1572100000000003e-05,-4.39342e-05,-2.566813e-05
-0.5,-1.59327e-05,-3.3412000000000005e-05,-1.9073469999999997e-05
-0.48,-1.20469e-05,-2.5770269999999997e-05,-1.4431100000000001e-05
-0.46,-9.1362e-06,-2.0113400000000003e-05,-1.1016529999999999e-05
-0.44,-6.896257e-06,-1.5708230000000002e-05,-8.361737e-06
-0.42,-5.155007000000001e-06,-1.22158e-05,-6.3471e-06
-0.4,-3.760257e-06,-9.45727e-06,-4.593133e-06
-0.38,-2.4282929999999997e-06,-7.197063e-06,-3.1689830000000002e-06
-0.36,-1.217525e-06,-5.303223000000001e-06,-1.747213e-06
-0.34,-3.8623829999999997e-07,-3.703437e-06,-6.242605999999999e-07
-0.32,1.577535e-07,-2.063911e-06,1.498065e-07
-0.3,6.934013e-07,-1.807212e-06,1.2437480000000002e-07
-0.28,2.7577080000000003e-07,-1.446407e-07,9.86655e-07
-0.26,1.2719640000000001e-06,6.866452999999999e-07,1.804827e-06
-0.24,1.846153e-06,1.542567e-06,2.44101e-06
-0.22,2.3647129999999997e-06,2.4008769999999997e-06,3.043013e-06
-0.2,2.7589e-06,3.108183e-06,3.521443e-06
-0.18,3.100237e-06,3.714563e-06,4.008213000000001e-06
-0.16,3.545283e-06,4.359087e-06,4.450083e-06
-0.14,3.7487330000000005e-06,4.89195e-06,4.94639e-06
-0.12,4.053513e-06,5.579787e-06,5.3604430000000005e-06
-0.1,4.406372999999999e-06,6.063777e-06,5.824167e-06
-0.08,4.736983e-06,6.611743e-06,6.17663e-06
-0.06,5.067983e-06,7.17481e-06,6.67135e-06
-0.04,5.37475e-06,7.771653e-06,7.115603e-06
-0.02,5.704163e-06,8.323990000000001e-06,7.536012999999999e-06
0.0,6.096762999999999e-06,8.732083e-06,8.103453000000001e-06
0.02,6.469487e-06,9.076989999999999e-06,8.519490000000001e-06
0.04,6.87202e-06,9.427467e-06,9.12547e-06
0.06,7.238787e-06,9.839137e-06,9.650007e-06
0.08,7.797879999999999e-06,1.0301249999999999e-05,1.0246439999999998e-05
0.1,8.27074e-06,1.07161e-05,1.096207e-05
0.12,8.783737e-06,1.1274800000000001e-05,1.16845e-05
0.14,9.413973000000001e-06,1.184783e-05,1.238623e-05
0.16,1.005451e-05,1.243393e-05,1.325767e-05
0.18,1.069587e-05,1.31154e-05,1.398247e-05
0.2,1.13094e-05,1.3891469999999999e-05,1.48495e-05
0.22,1.20139e-05,1.475493e-05,1.57869e-05
0.24,1.269183e-05,1.5525830000000002e-05,1.671037e-05
0.26,1.33546e-05,1.644773e-05,1.766843e-05
0.28,1.40798e-05,1.7392669999999998e-05,1.872023e-05
0.3,1.482923e-05,1.8327630000000003e-05,1.9687799999999998e-05
0.32,1.562553e-05,1.937867e-05,2.085207e-05
0.34,1.6568099999999998e-05,2.048057e-05,2.2155070000000002e-05
0.36,1.74467e-05,2.1469570000000003e-05,2.354067e-05
0.38,1.849927e-05,2.25981e-05,2.4928230000000002e-05
0.4,1.95682e-05,2.371987e-05,2.65161e-05
0.42,2.074443e-05,2.49815e-05,2.8272470000000002e-05
0.44,2.219083e-05,2.620893e-05,3.0117430000000003e-05
0.46,2.372027e-05,2.549927e-05,3.0363369999999996e-05
0.48,2.274277e-05,2.738557e-05,3.342867e-05
0.5,2.623877e-05,2.9257930000000002e-05,3.713487e-05
0.52,2.931353e-05,3.1311529999999995e-05,4.1000830000000004e-05
0.54,3.2688400000000004e-05,3.344297e-05,4.538577e-05
0.56,3.670257e-05,3.574093e-05,5.0266199999999997e-05
0.58,4.1410929999999996e-05,3.81998e-05,5.59942e-05
0.6,4.6863569999999994e-05,4.1006e-05,6.254753e-05
-0.6,-0.000206803,-0.0002940433,-0.0002438643
-0.58,-7.795253e-05,-0.00012127970000000001,-8.786997000000001e-05
-0.56,-4.58213e-05,-7.556917e-05,-5.170463e-05
-0.54,-3.071267e-05,-5.277477e-05,-3.525417e-05
-0.52,-2.2017570000000002e-05,-3.887173e-05,-2.546587e-05
-0.5,-1.62697e-05,-2.94614e-05,-1.905563e-05
-0.48,-1.225073e-05,-2.278047e-05,-1.44482e-05
-0.46,-9.344420000000001e-06,-1.76692e-05,-1.1045929999999999e-05
-0.44,-7.0683129999999995e-06,-1.3752e-05,-8.38995e-06
-0.42,-5.2917e-06,-1.06132e-05,-6.30379e-06
-0.4,-3.854037e-06,-8.16504e-06,-4.653927e-06
-0.38,-2.492267e-06,-6.1106669999999995e-06,-3.20236e-06
-0.36,-1.2290489999999999e-06,-4.4707429999999995e-06,-1.7646960000000001e-06
-0.34,-3.0040730000000003e-07,-2.90076e-06,-6.731349e-07
-0.32,2.15769e-07,-1.441637e-06,8.861206e-08
-0.3,7.037333e-07,-2.8848630000000004e-07,6.914150000000001e-07
-0.28,1.1539470000000001e-06,4.764392e-07,1.3077259999999999e-06
-0.26,1.7011170000000002e-06,1.244941e-06,1.9319869999999997e-06
-0.24,2.1477529999999998e-06,1.92086e-06,2.548293e-06
-0.22,2.581673e-06,2.587237e-06,3.0505670000000002e-06
-0.2,2.9246e-06,3.246863e-06,3.5735e-06
-0.18,3.360113e-06,3.844892999999999e-06,4.047157e-06
