V,IGS 150,IGS 151,IGS 152
-0.6,-6.18855e-05,-0.0001691913,-6.527463e-05
-0.58,-2.715867e-05,-7.832687e-05,-2.9080670000000002e-05
-0.56,-1.7039399999999998e-05,-5.096753e-05,-1.83471e-05
-0.54,-1.16392e-05,-3.5764770000000005e-05,-1.26636e-05
-0.52,-8.238553e-06,-2.61259e-05,-9.098053e-06
-0.5,-5.836883e-06,-1.944383e-05,-6.58274e-06
-0.48,-4.121463e-06,-1.46834e-05,-4.7246600000000004e-06
-0.46,-2.76049e-06,-1.107217e-05,-3.3314999999999998e-06
-0.44,-1.439649e-06,-8.268753000000001e-06,-2.01702e-06
-0.42,-4.235904e-07,-6.052257e-06,-8.972493e-07
-0.4,1.2954069999999998e-07,-4.321733e-06,-1.3868e-07
-0.38,6.139289999999999e-07,-2.7700270000000003e-06,3.802778e-07
-0.36,1.1758e-06,-1.326797e-06,9.115530000000001e-07
-0.34,1.625617e-06,-2.43982e-07,1.452767e-06
-0.32,2.06113e-06,3.941851e-07,1.95384e-06
-0.3,2.398493e-06,1.06295e-06,2.36352e-06
-0.28,2.765653e-06,1.7384669999999999e-06,2.8081699999999997e-06
-0.26,3.051757e-06,2.359943e-06,3.179313e-06
-0.24,3.394283e-06,2.9011569999999997e-06,3.5353500000000004e-06
-0.22,3.61244e-06,3.40303e-06,3.881057e-06
-0.2,3.854037e-06,3.90331e-06,4.1608e-06
-0.18,4.11908e-06,4.33286e-06,4.4624e-06
-0.16,4.359487e-06,4.79261e-06,4.802543e-06
-0.14,4.611013e-06,5.141893e-06,5.0556669999999994e-06
-0.12,4.78506e-06,5.497933e-06,5.40336e-06
-0.1,5.075533e-06,5.874233e-06,5.71092e-06
-0.08,5.30561e-06,6.24776e-06,6.0629829999999995e-06
-0.06,5.57224e-06,6.570417e-06,6.412663e-06
-0.04,5.82258e-06,6.88791e-06,6.765523e-06
-0.02,6.126167e-06,7.22885e-06,7.113613e-06
0.0,6.41187e-06,7.571377e-06,7.595617e-06
0.02,6.650687e-06,7.890863e-06,7.96914e-06
0.04,7.009507e-06,8.295777e-06,8.27074e-06
0.06,7.336537e-06,8.529423000000001e-06,8.613266999999999e-06
0.08,7.638533e-06,8.895797e-06,9.01818e-06
0.1,7.566212999999999e-06,9.29157e-06,9.373023e-06
0.12,8.308093e-06,9.6786e-06,9.819263e-06
0.14,8.714196999999999e-06,1.013122e-05,1.0327120000000001e-05
0.16,8.024373e-06,9.61541e-06,9.738197e-06
0.18,9.14534e-06,1.055517e-05,1.0816669999999999e-05
0.2,9.80418e-06,1.129033e-05,1.1670600000000001e-05
0.22,1.039149e-05,1.206753e-05,1.25146e-05
0.24,1.103083e-05,1.27546e-05,1.3215170000000001e-05
0.26,1.157643e-05,1.349647e-05,1.416247e-05
0.28,1.2224129999999999e-05,1.413347e-05,1.48956e-05
0.3,1.2871800000000001e-05,1.5095500000000001e-05,1.572333e-05
0.32,1.34508e-05,1.5898129999999998e-05,1.653987e-05
0.34,1.40679e-05,1.65856e-05,1.752373e-05
0.36,1.480977e-05,1.73521e-05,1.8515969999999998e-05
0.38,1.5570329999999998e-05,1.826843e-05,1.9540799999999998e-05
0.4,1.625813e-05,1.915773e-05,2.063077e-05
0.42,1.7037e-05,2.020953e-05,2.179107e-05
0.44,1.789333e-05,2.12574e-05,2.297203e-05
0.46,1.8667770000000002e-05,2.22071e-05,2.4233670000000003e-05
0.48,1.9701330000000003e-05,2.321243e-05,2.573133e-05
0.5,2.0697129999999997e-05,2.44033e-05,2.723617e-05
0.52,2.194087e-05,2.54623e-05,2.881803e-05
0.54,2.329033e-05,2.65785e-05,3.07222e-05
0.56,2.4896069999999998e-05,2.762993e-05,3.2721329999999997e-05
0.58,2.66961e-05,2.872507e-05,3.5103170000000004e-05
0.6,2.87191e-05,2.997677e-05,3.78446e-05
-0.6,-0.000123587,-0.000195999,-0.00013745400000000002
-0.58,-4.413843e-05,-7.78826e-05,-4.914367e-05
-0.56,-2.578733e-05,-4.735313e-05,-2.860747e-05
-0.54,-1.72619e-05,-3.233233e-05,-1.92074e-05
-0.52,-1.233693e-05,-2.3307000000000002e-05,-1.378177e-05
-0.5,-9.093680000000001e-06,-1.72905e-05,-1.018525e-05
-0.48,-6.773073e-06,-1.305103e-05,-7.66158e-06
-0.46,-5.0656e-06,-9.895973e-06,-5.811053e-06
-0.44,-3.7348270000000003e-06,-7.431903e-06,-4.363457e-06
