V,IGS 150,IGS 151,IGS 152
-0.6,-5.7406e-05,-0.0001845277,-5.71537e-05
-0.58,-2.522907e-05,-8.714513e-05,-2.488933e-05
-0.56,-1.553217e-05,-5.57049e-05,-1.5392299999999998e-05
-0.54,-1.034063e-05,-3.86226e-05,-1.03585e-05
-0.52,-7.120767e-06,-2.7895e-05,-7.370317e-06
-0.5,-4.850227e-06,-2.0444e-05,-4.965467e-06
-0.48,-3.229777e-06,-1.514753e-05,-3.38912e-06
-0.46,-1.771447e-06,-1.121917e-05,-2.0309300000000003e-06
-0.44,-7.557867000000001e-07,-8.097490000000001e-06,-8.710216999999999e-07
-0.42,-7.788333e-08,-5.762973e-06,-1.27554e-07
-0.4,4.5577669999999996e-07,-3.847677e-06,4.30743e-07
-0.38,9.067853e-07,-2.3210029999999998e-06,1.008112e-06
-0.36,1.33316e-06,-8.352592999999999e-07,1.5246869999999998e-06
-0.34,1.753967e-06,4.64916e-08,1.97013e-06
-0.32,2.10722e-06,8.090343e-07,2.32458e-06
-0.3,2.437033e-06,1.512368e-06,2.693733e-06
-0.28,2.7135999999999997e-06,2.1572929999999997e-06,3.018773e-06
-0.26,2.967913e-06,2.681813e-06,3.320773e-06
-0.24,3.265937e-06,3.231763e-06,3.6807829999999997e-06
-0.22,3.22024e-06,3.619193e-06,3.985567e-06
-0.2,3.6223729999999997e-06,4.01219e-06,4.222397e-06
-0.18,3.881453e-06,4.427833e-06,4.5228e-06
-0.16,4.110733e-06,4.7544630000000004e-06,4.806913e-06
-0.14,4.34995e-06,5.02467e-06,5.09421e-06
-0.12,4.537103e-06,5.37753e-06,5.35806e-06
-0.1,4.760423e-06,5.67476e-06,5.72721e-06
-0.08,4.960297e-06,5.96126e-06,6.022057e-06
-0.06,5.1947430000000006e-06,6.212393e-06,6.2719969999999995e-06
-0.04,5.39422e-06,6.5116099999999995e-06,6.54459e-06
-0.02,5.635817e-06,6.7710899999999996e-06,6.92129e-06
0.0,5.896093e-06,7.140637e-06,7.299187e-06
0.02,6.134907e-06,7.5077999999999995e-06,7.676682999999999e-06
0.04,6.385643e-06,7.80066e-06,8.0506e-06
0.06,6.73612e-06,8.111793e-06,8.416573e-06
0.08,7.041693e-06,8.400283e-06,8.868377e-06
0.1,7.348457e-06,8.800427e-06,9.398467000000001e-06
0.12,7.683833e-06,9.147727e-06,9.880857e-06
0.14,7.371503e-06,8.85566e-06,9.43781e-06
0.16,8.166630000000001e-06,9.39528e-06,1.062116e-05
0.18,8.744797e-06,1.00696e-05,1.1377329999999999e-05
0.2,9.33091e-06,1.064497e-05,1.220743e-05
0.22,9.85542e-06,1.12327e-05,1.304627e-05
0.24,1.0402990000000001e-05,1.186013e-05,1.386327e-05
0.26,1.104437e-05,1.248717e-05,1.469177e-05
0.28,1.158437e-05,1.3214370000000001e-05,1.55763e-05
0.3,1.2133930000000001e-05,1.381713e-05,1.639643e-05
0.32,1.28011e-05,1.448393e-05,1.73382e-05
0.34,1.35084e-05,1.52274e-05,1.826803e-05
0.36,1.42002e-05,1.6049129999999997e-05,1.93977e-05
0.38,1.5016369999999999e-05,1.679897e-05,2.057153e-05
0.4,1.568873e-05,1.77165e-05,2.16945e-05
0.42,1.643817e-05,1.8605369999999998e-05,2.316593e-05
0.44,1.7291299999999998e-05,1.95706e-05,2.45023e-05
0.46,1.8275170000000002e-05,2.0611269999999998e-05,2.593797e-05
0.48,1.9243970000000002e-05,2.163373e-05,2.7536930000000003e-05
0.5,2.037407e-05,2.2677570000000002e-05,2.9443469999999998e-05
0.52,2.171953e-05,2.372027e-05,3.160437e-05
0.54,2.320967e-05,2.4971970000000002e-05,3.41765e-05
0.56,2.49958e-05,2.603887e-05,3.70582e-05
0.58,2.72266e-05,2.7120500000000002e-05,4.054707e-05
0.6,2.972483e-05,2.83754e-05,4.446347e-05
-0.6,-0.0001158621,-0.0001928603,-0.000132986
