V,IGS 150,IGS 151,IGS 152
-0.6,-0.0001543133,-0.00024841500000000004,-0.00018024770000000002
-0.58,-7.718363e-05,-0.000134249,-8.864880000000001e-05
-0.56,-5.148927e-05,-9.33365e-05,-5.8492e-05
-0.54,-3.6676729999999996e-05,-6.97148e-05,-4.166523e-05
-0.52,-2.6889230000000002e-05,-5.38842e-05,-3.065983e-05
-0.5,-1.9766099999999997e-05,-4.239637e-05,-2.267957e-05
-0.48,-1.4387770000000001e-05,-3.3674630000000007e-05,-1.660903e-05
-0.46,-1.015942e-05,-2.678153e-05,-1.195233e-05
-0.44,-6.739696999999999e-06,-2.11068e-05,-8.299349999999999e-06
-0.42,-3.92874e-06,-1.645367e-05,-5.189973e-06
-0.4,-1.2528870000000002e-06,-1.25567e-05,-2.365908e-06
-0.38,4.267693e-07,-9.126266999999999e-06,-3.2186669999999996e-08
-0.36,1.8386040000000002e-06,-6.286303e-06,1.479386e-06
-0.34,3.2770599999999997e-06,-3.54131e-06,2.9293700000000003e-06
-0.32,4.463989999999999e-06,-1.045864e-06,4.247823e-06
-0.3,5.551573e-06,6.763127e-07,5.45303e-06
-0.28,6.48538e-06,2.108017e-06,6.490946999999999e-06
-0.26,7.311107e-06,3.652177e-06,7.452967e-06
-0.24,8.059343e-06,5.0556669999999994e-06,8.25445e-06
-0.22,8.59221e-06,6.219147e-06,8.940303e-06
-0.2,9.187873e-06,7.379453e-06,9.61224e-06
-0.18,9.72667e-06,8.436442999999999e-06,1.026193e-05
-0.16,1.023929e-05,9.36668e-06,1.0833349999999999e-05
-0.14,1.065495e-05,1.019321e-05,1.137137e-05
-0.12,1.1095600000000001e-05,1.104833e-05,1.190943e-05
-0.1,1.143773e-05,1.17882e-05,1.2355229999999999e-05
-0.08,1.175043e-05,1.248477e-05,1.294457e-05
-0.06,1.2108500000000001e-05,1.325327e-05,1.3337530000000001e-05
-0.04,1.2567829999999999e-05,1.38402e-05,1.383463e-05
-0.02,1.211447e-05,1.4547500000000001e-05,1.43226e-05
0.0,1.283683e-05,1.5072429999999999e-05,1.482803e-05
0.02,1.337327e-05,1.561997e-05,1.5384729999999997e-05
0.04,1.390893e-05,1.633803e-05,1.600583e-05
0.06,1.433257e-05,1.698493e-05,1.658637e-05
0.08,1.483043e-05,1.758377e-05,1.7223769999999997e-05
0.1,1.533707e-05,1.83491e-05,1.803913e-05
0.12,1.589777e-05,1.9027799999999998e-05,1.889983e-05
0.14,1.65061e-05,1.9778e-05,1.99028e-05
0.16,1.5235730000000001e-05,1.8483000000000002e-05,1.8712670000000003e-05
0.18,1.678747e-05,2.010387e-05,2.08958e-05
0.2,1.7739929999999998e-05,2.134563e-05,2.275667e-05
0.22,1.8527500000000002e-05,2.24173e-05,2.42428e-05
