V,IGS 150,IGS 151,IGS 152
-0.6,-0.000134398,-0.00019044370000000001,-0.0001543597
-0.58,-6.38596e-05,-9.682417e-05,-7.274547e-05
-0.56,-4.1365230000000004e-05,-6.49738e-05,-4.685203e-05
-0.54,-2.89921e-05,-4.695257e-05,-3.27253e-05
-0.52,-2.08203e-05,-3.5066229999999995e-05,-2.3623700000000002e-05
-0.5,-1.5107000000000001e-05,-2.6570930000000002e-05,-1.718563e-05
-0.48,-1.0923969999999999e-05,-2.021273e-05,-1.235643e-05
-0.46,-7.570186999999999e-06,-1.528143e-05,-8.662543e-06
-0.44,-4.923743e-06,-1.1241e-05,-5.652113e-06
-0.42,-2.261002e-06,-8.058946999999999e-06,-2.768042e-06
-0.4,-2.6186299999999997e-07,-5.311173e-06,-8.090333e-07
-0.38,8.76983e-07,-2.630156e-06,6.906178e-07
-0.36,2.051197e-06,-6.37372e-07,2.083777e-06
-0.34,3.1956030000000002e-06,6.985677e-07,3.310047e-06
-0.32,4.283583e-06,2.0174199999999997e-06,4.462797e-06
-0.3,5.162557e-06,3.316003e-06,5.444687e-06
-0.28,5.982716999999999e-06,4.431403e-06,6.350677e-06
-0.26,6.72857e-06,5.366407e-06,7.232823e-06
-0.24,7.3723000000000005e-06,6.28948e-06,7.834037e-06
-0.22,8.091527000000001e-06,7.082623e-06,8.563992999999999e-06
-0.2,8.566777e-06,7.852317e-06,9.17831e-06
-0.18,9.15089e-06,8.459887e-06,9.838739999999999e-06
-0.16,9.66629e-06,9.140157e-06,1.0342180000000001e-05
-0.14,9.996887e-06,9.680193e-06,1.083572e-05
-0.12,1.0432410000000001e-05,1.022021e-05,1.137293e-05
-0.1,1.091083e-05,1.0823800000000001e-05,1.1816e-05
-0.08,1.1256930000000001e-05,1.133203e-05,1.22722e-05
-0.06,1.160143e-05,1.184303e-05,1.2739129999999998e-05
-0.04,1.189313e-05,1.2344900000000001e-05,1.3184170000000001e-05
-0.02,1.22432e-05,1.283207e-05,1.28762e-05
0.0,1.25698e-05,1.34122e-05,1.3792530000000001e-05
0.02,1.289847e-05,1.4021400000000001e-05,1.437343e-05
0.04,1.328587e-05,1.4458070000000001e-05,1.490277e-05
0.06,1.3587470000000001e-05,1.493053e-05,1.53474e-05
0.08,1.398523e-05,1.53736e-05,1.581907e-05
0.1,1.42932e-05,1.5879869999999998e-05,1.637777e-05
0.12,1.4802229999999999e-05,1.6373e-05,1.67942e-05
0.14,1.523373e-05,1.69428e-05,1.750747e-05
0.16,1.40675e-05,1.57297e-05,1.625777e-05
0.18,1.549797e-05,1.71995e-05,1.8006599999999998e-05
0.2,1.6266900000000002e-05,1.814007e-05,1.90874e-05
0.22,1.70028e-05,1.8984069999999998e-05,2.0141999999999998e-05
0.24,1.7745070000000002e-05,1.973587e-05,2.1137400000000002e-05
0.26,1.842617e-05,2.04615e-05,2.21165e-05
0.28,1.8392e-05,2.12447e-05,2.326967e-05
0.3,1.96715e-05,2.2157830000000002e-05,2.4308769999999998e-05
0.32,2.05485e-05,2.292593e-05,2.554573e-05
0.34,2.13774e-05,2.384387e-05,2.6862200000000002e-05
0.36,2.23108e-05,2.47526e-05,2.824583e-05
0.38,2.330263e-05,2.5736899999999997e-05,2.9560300000000002e-05
0.4,2.422213e-05,2.6621429999999998e-05,3.104687e-05
0.42,2.5332729999999998e-05,2.7613629999999998e-05,3.250957e-05
0.44,2.64287e-05,2.882877e-05,3.408987e-05
0.46,2.74825e-05,2.9925099999999996e-05,3.573337e-05
0.48,2.86444e-05,3.10131e-05,3.721e-05
0.5,2.978123e-05,3.215113e-05,3.8963930000000004e-05
0.52,3.108147e-05,3.350217e-05,4.06575e-05
0.54,3.24114e-05,3.457863e-05,4.2495329999999995e-05
0.56,3.38419e-05,3.58216e-05,4.4406630000000005e-05
0.58,3.55144e-05,3.715473e-05,4.6320770000000003e-05
0.6,3.726243e-05,3.8522469999999994e-05,4.822133e-05
-0.6,-0.00028791829999999996,-0.00033245,-0.0003295753
-0.58,-0.0001036186,-0.00012649029999999998,-0.000117447
-0.56,-6.107052999999999e-05,-7.664640000000001e-05,-6.895703e-05
-0.54,-4.1126029999999994e-05,-5.255103e-05,-4.621903e-05
-0.52,-2.922497e-05,-3.810167e-05,-3.2855300000000004e-05
-0.5,-2.13007e-05,-2.8398429999999998e-05,-2.3908999999999998e-05
-0.48,-1.569073e-05,-2.136033e-05,-1.748283e-05
-0.46,-1.139243e-05,-1.5958569999999998e-05,-1.27562e-05
-0.44,-8.036693e-06,-1.181087e-05,-8.977257e-06
-0.42,-5.301237e-06,-8.600157e-06,-5.98669e-06
-0.4,-2.8041999999999998e-06,-6.626843e-06,-3.257193e-06
-0.38,-8.952604e-07,-3.33548e-06,-1.083612e-06
-0.36,4.784263000000001e-07,-1.996753e-06,4.339203e-07
-0.34,1.720192e-06,-1.271533e-08,1.773039e-06
-0.32,1.6820419999999998e-06,-2.2649770000000002e-07,3.02394e-06
-0.3,3.39667e-06,2.066293e-06,2.503e-06
-0.28,4.537503e-06,3.40859e-06,4.620553e-06
-0.26,5.409717e-06,4.05709e-06,5.805097e-06
-0.24,6.343127e-06,5.42005e-06,6.735323e-06
-0.22,6.9661929999999995e-06,6.24259e-06,7.538797000000001e-06
-0.2,7.682243e-06,6.905396999999999e-06,8.254847e-06
-0.18,8.161863e-06,7.674693e-06,8.94148e-06
-0.16,8.729697e-06,8.300147e-06,9.574907e-06
-0.14,9.256617e-06,8.624793e-06,1.017254e-05
-0.12,9.72749e-06,9.386137e-06,1.074671e-05
-0.1,1.019279e-05,1.024762e-05,1.126927e-05
-0.08,1.058061e-05,1.0224980000000001e-05,1.170753e-05
-0.06,1.095333e-05,1.131657e-05,1.222173e-05
-0.04,1.1312970000000001e-05,1.1959470000000001e-05,1.2679099999999999e-05
-0.02,1.176637e-05,1.242877e-05,1.322467e-05
0.0,1.213707e-05,1.295287e-05,1.3721e-05
0.02,1.24542e-05,1.3401499999999999e-05,1.417e-05
0.04,1.29183e-05,1.392247e-05,1.459993e-05
0.06,1.333393e-05,1.44903e-05,1.52214e-05
0.08,1.371383e-05,1.4882069999999999e-05,1.567283e-05
0.1,1.40643e-05,1.539863e-05,1.617353e-05
0.12,1.45169e-05,1.58747e-05,1.670557e-05
0.14,1.49512e-05,1.6423870000000002e-05,1.72313e-05
0.16,1.544993e-05,1.713513e-05,1.787663e-05
0.18,1.59665e-05,1.761277e-05,1.850763e-05
0.2,1.64958e-05,1.8195300000000002e-05,1.918833e-05
0.22,1.710773e-05,1.895427e-05,1.987933e-05
0.24,1.761597e-05,1.9463270000000002e-05,2.060333e-05
0.26,1.831213e-05,2.018053e-05,2.129513e-05
0.28,1.885413e-05,2.08354e-05,2.2224570000000002e-05
0.3,1.954473e-05,2.1595569999999998e-05,2.303877e-05
0.32,2.012293e-05,2.2317169999999998e-05,2.39313e-05
0.34,2.086917e-05,2.32196e-05,2.486987e-05
0.36,2.16913e-05,2.40274e-05,2.5959030000000002e-05
0.38,2.25389e-05,2.49545e-05,2.6898e-05
0.4,2.338167e-05,2.59884e-05,2.7992730000000003e-05
0.42,2.43294e-05,2.461193e-05,2.927503e-05
0.44,2.307217e-05,2.673707e-05,2.871077e-05
0.46,2.511937e-05,2.815167e-05,3.0506469999999998e-05
0.48,2.660353e-05,2.9523e-05,3.242293e-05
0.5,2.800623e-05,3.082313e-05,3.421663e-05
0.52,2.922933e-05,3.207367e-05,3.5912200000000005e-05
0.54,3.058947e-05,3.34688e-05,3.78418e-05
0.56,3.22676e-05,3.48099e-05,3.982263e-05
0.58,3.394683e-05,3.63652e-05,4.193543e-05
0.6,3.574293e-05,3.785727e-05,4.412053e-05
-0.6,-0.0002949833,-0.0003248503,-0.0003342463
-0.58,-0.0001044856,-0.0001230577,-0.000117805
-0.56,-6.15899e-05,-7.385093e-05,-6.89499e-05
-0.54,-4.143793e-05,-5.045453e-05,-4.6252000000000004e-05
-0.52,-2.950427e-05,-3.64367e-05,-3.28501e-05
-0.5,-2.144097e-05,-2.699813e-05,-2.3272030000000002e-05
-0.48,-1.57046e-05,-2.016187e-05,-1.744147e-05
-0.46,-1.13654e-05,-1.50764e-05,-1.262783e-05
-0.44,-7.980267e-06,-1.1053470000000001e-05,-8.90334e-06
-0.42,-5.307597e-06,-7.697343e-06,-5.841653e-06
-0.4,-2.7306870000000002e-06,-5.120833e-06,-3.095863e-06
-0.38,-7.414807999999999e-07,-2.5777009999999997e-06,-7.71284e-07
-0.36,5.475677e-07,-5.114063e-07,6.043903000000001e-07
-0.34,1.7563489999999999e-06,6.822745e-07,1.909335e-06
-0.32,2.928573e-06,2.04921e-06,3.161827e-06
-0.3,3.828207e-06,3.203947e-06,4.211263e-06
-0.28,4.806519999999999e-06,4.257757e-06,5.301237e-06
-0.26,5.631846999999999e-06,5.203087e-06,6.060203000000001e-06
-0.24,6.3355769999999995e-06,6.1015270000000005e-06,6.94513e-06
-0.22,7.04606e-06,6.91414e-06,7.703699999999999e-06
-0.2,6.9375830000000005e-06,7.64926e-06,8.387563e-06
-0.18,8.096697e-06,8.23617e-06,8.976853e-06
-0.16,8.713403e-06,8.910893e-06,9.527216999999999e-06
-0.14,9.189437e-06,9.485893000000001e-06,1.017412e-05
-0.12,9.641240000000001e-06,1.004736e-05,1.0717710000000001e-05
-0.1,1.011848e-05,1.0693069999999999e-05,1.11918e-05
-0.08,1.058498e-05,1.111707e-05,1.16408e-05
-0.06,1.0935900000000001e-05,1.04801e-05,1.22309e-05
-0.04,1.1259299999999999e-05,1.1389230000000001e-05,1.262147e-05
