V,IGS 150,IGS 151,IGS 152
-0.6,-0.0001408117,-0.000197419,-0.0001552747
-0.58,-6.841067e-05,-0.0001018066,-7.441043e-05
-0.56,-4.4716569999999996e-05,-6.884733e-05,-4.83024e-05
-0.54,-3.16942e-05,-5.016527e-05,-3.4043770000000006e-05
-0.52,-2.317547e-05,-3.779013e-05,-2.48583e-05
-0.5,-1.720943e-05,-2.890943e-05,-1.840197e-05
-0.48,-1.265127e-05,-2.229493e-05,-1.367607e-05
-0.46,-9.27092e-06,-1.707077e-05,-9.732637e-06
-0.44,-6.46114e-06,-1.299543e-05,-6.714263e-06
-0.42,-4.196167e-06,-9.558197e-06,-4.295907e-06
-0.4,-1.972517e-06,-6.8255230000000005e-06,-1.921257e-06
-0.38,-2.8888499999999996e-07,-4.6316770000000005e-06,-6.9936e-08
-0.36,7.899597000000001e-07,-2.226433e-06,1.0144719999999998e-06
-0.34,1.916487e-06,-3.675637e-07,2.271733e-06
-0.32,2.891227e-06,8.249295e-07,3.3314999999999998e-06
-0.3,3.790063e-06,2.020997e-06,4.239083e-06
-0.28,4.5776369999999996e-06,3.0950729999999997e-06,5.197923e-06
-0.26,5.340577e-06,4.184643000000001e-06,5.894103e-06
-0.24,5.957683e-06,5.11686e-06,6.72738e-06
-0.22,6.6832700000000005e-06,5.95967e-06,7.38104e-06
-0.2,7.214547e-06,6.521543e-06,7.954837e-06
-0.18,7.69337e-06,7.260243e-06,8.547307000000001e-06
-0.16,8.242527e-06,7.898807e-06,9.153677e-06
-0.14,8.637107e-06,8.631943e-06,9.709600000000001e-06
-0.12,9.103602999999999e-06,9.228787e-06,1.019082e-05
-0.1,9.512123000000001e-06,9.687327e-06,1.062153e-05
-0.08,9.88363e-06,1.027863e-05,1.116197e-05
-0.06,1.03144e-05,1.078565e-05,1.161337e-05
-0.04,1.064937e-05,1.131817e-05,1.205683e-05
-0.02,1.095813e-05,1.18343e-05,1.24852e-05
0.0,1.1334799999999999e-05,1.234053e-05,1.295763e-05
0.02,1.167217e-05,1.2826899999999999e-05,1.337883e-05
0.04,1.207947e-05,1.3362570000000001e-05,1.388587e-05
0.06,1.2428369999999999e-05,1.382033e-05,1.434843e-05
0.08,1.278957e-05,1.446207e-05,1.49e-05
0.1,1.3169830000000001e-05,1.5065670000000002e-05,1.5442e-05
0.12,1.365817e-05,1.547973e-05,1.604953e-05
0.14,1.40957e-05,1.6055099999999998e-05,1.5397870000000002e-05
0.16,1.2963599999999999e-05,1.4838769999999999e-05,1.6530369999999998e-05
0.18,1.4350829999999999e-05,1.62983e-05,1.75174e-05
0.2,1.5244500000000001e-05,1.717887e-05,1.8643969999999998e-05
0.22,1.592437e-05,1.7255900000000002e-05,1.95817e-05
0.24,1.667183e-05,1.857797e-05,2.067407e-05
0.26,1.743197e-05,1.94323e-05,2.18455e-05
0.28,1.816833e-05,2.0263999999999998e-05,2.2927530000000002e-05
0.3,1.8913330000000003e-05,2.111317e-05,2.4058430000000002e-05
0.32,1.96727e-05,2.1996500000000002e-05,2.5301e-05
0.34,2.058467e-05,2.299667e-05,2.657013e-05
0.36,2.162973e-05,2.384143e-05,2.809483e-05
0.38,2.2506700000000003e-05,2.482093e-05,2.943513e-05
0.4,2.357683e-05,2.5914899999999998e-05,3.1009899999999996e-05
0.42,2.4522170000000002e-05,2.69516e-05,3.261127e-05
0.44,2.56924e-05,2.806343e-05,3.4372800000000004e-05
0.46,2.683163e-05,2.9057270000000002e-05,3.6112869999999996e-05
0.48,2.79812e-05,3.029467e-05,3.758907e-05
0.5,2.9123630000000002e-05,3.1545569999999996e-05,3.94344e-05
0.52,3.0590700000000005e-05,3.27885e-05,4.1140330000000005e-05
0.54,3.178717e-05,3.40148e-05,4.3010300000000004e-05
0.56,3.3318199999999996e-05,3.534e-05,4.50305e-05
0.58,3.497403e-05,3.673553e-05,4.6940230000000004e-05
0.6,3.66342e-05,3.8201e-05,4.90546e-05
-0.6,-0.0003085357,-0.000352344,-0.00034666499999999996
-0.58,-0.00011275869999999999,-0.0001363547,-0.000125306
-0.56,-6.67286e-05,-8.263707e-05,-7.361092999999999e-05
-0.54,-4.516087e-05,-5.681913e-05,-4.949807e-05
-0.52,-3.23816e-05,-4.140617e-05,-3.5402000000000004e-05
-0.5,-2.39444e-05,-3.105087e-05,-2.6077829999999998e-05
-0.48,-1.78635e-05,-2.3543429999999998e-05,-1.9431500000000002e-05
-0.46,-1.333797e-05,-1.797757e-05,-1.444937e-05
-0.44,-9.812107e-06,-1.36018e-05,-1.055203e-05
-0.42,-6.982483e-06,-1.002548e-05,-7.47442e-06
-0.4,-4.642403e-06,-7.224083e-06,-4.9742070000000006e-06
-0.38,-2.371071e-06,-4.787443e-06,-2.512931e-06
-0.36,-6.34195e-07,-2.440212e-06,-7.140633e-07
-0.34,4.796196999999999e-07,-6.18299e-07,6.254513e-07
-0.32,2.1815129999999998e-07,-9.60031e-07,3.453097e-07
-0.3,1.768273e-06,1.225869e-06,2.309483e-06
-0.28,3.080367e-06,2.5916099999999997e-06,3.524623e-06
-0.26,4.053113e-06,3.682377e-06,4.672603e-06
-0.24,4.80533e-06,4.598697e-06,5.527337e-06
-0.22,5.54323e-06,5.488e-06,6.230670000000001e-06
-0.2,6.18378e-06,6.223917e-06,7.055997e-06
-0.18,6.804467e-06,6.858907e-06,7.667543e-06
-0.16,7.290443e-06,7.48396e-06,8.367697e-06
-0.14,7.869403e-06,8.236963e-06,8.92639e-06
-0.12,8.40664e-06,8.756717e-06,9.415143e-06
-0.1,8.978843e-06,9.246677e-06,9.914633e-06
-0.08,9.235553e-06,9.918207e-06,1.048127e-05
-0.06,9.73026e-06,1.0492830000000001e-05,1.102723e-05
-0.04,1.00708e-05,1.096407e-05,1.1491370000000001e-05
-0.02,1.047372e-05,1.140433e-05,1.196107e-05
0.0,1.086117e-05,1.198097e-05,1.256347e-05
0.02,1.12947e-05,1.24077e-05,1.3031170000000001e-05
0.04,1.1638e-05,1.289687e-05,1.353027e-05
0.06,1.200757e-05,1.3422170000000001e-05,1.4025729999999999e-05
0.08,1.240017e-05,1.3955070000000001e-05,1.4510929999999999e-05
0.1,1.289803e-05,1.439213e-05,1.510423e-05
0.12,1.3337499999999999e-05,1.4945269999999999e-05,1.56347e-05
0.14,1.377863e-05,1.544473e-05,1.6350729999999998e-05
0.16,1.4261429999999999e-05,1.605233e-05,1.6942830000000002e-05
0.18,1.4681830000000001e-05,1.667297e-05,1.7615130000000002e-05
