V,IGS 150,IGS 151,IGS 152
-0.6,-0.000135712,-0.0001938303,-0.00015452699999999998
-0.58,-6.54145e-05,-9.88133e-05,-7.320883e-05
-0.56,-4.28053e-05,-6.656527e-05,-4.7398800000000004e-05
-0.54,-3.0285129999999998e-05,-4.834373e-05,-3.334957e-05
-0.52,-2.211177e-05,-3.63517e-05,-2.42734e-05
-0.5,-1.631737e-05,-2.771257e-05,-1.785277e-05
-0.48,-1.190623e-05,-2.1280029999999998e-05,-1.28984e-05
-0.46,-8.550483e-06,-1.614967e-05,-9.244687000000001e-06
-0.44,-5.780857e-06,-1.214347e-05,-6.294650000000001e-06
-0.42,-3.354947e-06,-8.803207e-06,-3.552433e-06
-0.4,-1.231433e-06,-6.076893e-06,-1.224279e-06
-0.38,1.8437690000000002e-07,-3.3267329999999997e-06,2.570933e-07
-0.36,1.353024e-06,-1.349052e-06,1.602175e-06
-0.34,2.571343e-06,1.7642970000000002e-07,2.901553e-06
-0.32,3.7336369999999997e-06,1.4682600000000002e-06,4.04318e-06
-0.3,4.6173729999999995e-06,2.6722770000000002e-06,5.137123e-06
-0.28,5.54204e-06,3.804367e-06,6.037553e-06
-0.26,6.30498e-06,4.181067e-06,6.920097e-06
-0.24,7.03573e-06,5.64535e-06,7.742243000000001e-06
-0.22,7.72675e-06,6.57439e-06,8.505582999999999e-06
-0.2,8.2318e-06,7.36475e-06,9.228793e-06
-0.18,8.957787e-06,8.129279999999999e-06,9.839137e-06
-0.16,9.471963e-06,8.789697e-06,1.043199e-05
-0.14,9.961126999999999e-06,9.437803e-06,1.10821e-05
-0.12,1.038989e-05,1.0036620000000001e-05,1.154103e-05
-0.1,1.077733e-05,1.059532e-05,1.20632e-05
-0.08,1.129747e-05,1.13062e-05,1.255077e-05
-0.06,1.159787e-05,1.180767e-05,1.3084029999999999e-05
-0.04,1.202347e-05,1.23056e-05,1.3560069999999999e-05
-0.02,1.2281330000000001e-05,1.284637e-05,1.408617e-05
0.0,1.27117e-05,1.3430899999999999e-05,1.456143e-05
0.02,1.308043e-05,1.3992000000000001e-05,1.4902730000000001e-05
0.04,1.339953e-05,1.452883e-05,1.544317e-05
0.06,1.382947e-05,1.4971499999999999e-05,1.60277e-05
0.08,1.41855e-05,1.550597e-05,1.650813e-05
0.1,1.455507e-05,1.601933e-05,1.7062e-05
0.12,1.500207e-05,1.671513e-05,1.773513e-05
0.14,1.547693e-05,1.72158e-05,1.8354629999999997e-05
0.16,1.4320629999999998e-05,1.60253e-05,1.718047e-05
0.18,1.573043e-05,1.75158e-05,1.902143e-05
0.2,1.654307e-05,1.849213e-05,2.01897e-05
0.22,1.7354070000000002e-05,1.932147e-05,2.12586e-05
0.24,1.80185e-05,2.013327e-05,2.2374799999999998e-05
0.26,1.870037e-05,2.0897370000000002e-05,2.3498929999999998e-05
0.28,1.943903e-05,2.1801800000000002e-05,2.459167e-05
0.3,2.02489e-05,2.258063e-05,2.591647e-05
0.32,2.105473e-05,2.349453e-05,2.713283e-05
0.34,2.184987e-05,2.447527e-05,2.8493e-05
0.36,2.275587e-05,2.544563e-05,2.9941399999999998e-05
0.38,2.363443e-05,2.64581e-05,3.137867e-05
0.4,2.461237e-05,2.7432429999999997e-05,3.29431e-05
0.42,2.5657e-05,2.847513e-05,3.449083e-05
0.44,2.6723969999999998e-05,2.970417e-05,3.625987e-05
0.46,2.797007e-05,3.09026e-05,3.801903e-05
0.48,2.917687e-05,3.210583e-05,3.976307e-05
0.5,3.037173e-05,3.324823e-05,4.16116e-05
0.52,3.173987e-05,3.45103e-05,4.3631e-05
0.54,3.3254629999999994e-05,3.5845830000000004e-05,4.5647200000000006e-05
0.56,3.48258e-05,3.725333e-05,4.75784e-05
0.58,3.662627e-05,3.865997e-05,4.97635e-05
0.6,3.854437e-05,4.009167e-05,5.144277e-05
-0.6,-0.0002821053,-0.0003322337,-0.0003310513
-0.58,-0.00010377260000000001,-0.00012813,-0.0001205663
-0.56,-6.19312e-05,-7.81691e-05,-7.1189e-05
-0.54,-4.2076900000000004e-05,-5.390803e-05,-4.799683e-05
-0.52,-3.025213e-05,-3.9352170000000004e-05,-3.428857e-05
-0.5,-2.228417e-05,-2.949557e-05,-2.5135670000000002e-05
-0.48,-1.66166e-05,-2.2400229999999998e-05,-1.86404e-05
-0.46,-1.232263e-05,-1.69448e-05,-1.378773e-05
-0.44,-8.90136e-06,-1.263023e-05,-9.868133e-06
-0.42,-6.221533e-06,-9.230363000000001e-06,-6.85215e-06
-0.4,-3.758273e-06,-6.445647e-06,-4.28438e-06
-0.38,-2.425907e-06,-3.832183e-06,-1.824697e-06
-0.36,-1.426537e-07,-1.617672e-06,-3.2583669999999997e-08
