V,IGS 150,IGS 151,IGS 152
-0.6,-0.000615067,-0.000550916,-0.0005608247
-0.58,-0.000283967,-0.00025949569999999996,-0.000252777
-0.56,-0.000180358,-0.0001688257,-0.0001591137
-0.54,-0.0001257177,-0.0001201183,-0.0001103053
-0.52,-9.266137e-05,-8.892773e-05,-7.95599e-05
-0.5,-6.723283e-05,-6.677747000000001e-05,-5.847693e-05
-0.48,-4.941267e-05,-5.0323e-05,-4.274127e-05
-0.46,-3.5653529999999995e-05,-3.7141230000000005e-05,-3.0436500000000002e-05
-0.44,-2.46318e-05,-2.663057e-05,-2.094787e-05
-0.42,-1.59649e-05,-1.799303e-05,-1.280822e-05
-0.4,-8.24173e-06,-1.0803140000000001e-05,-5.596873e-06
-0.38,-1.5068080000000001e-06,-4.218817e-06,4.430613e-07
-0.36,3.357729e-06,1.172621e-06,4.931687e-06
-0.34,7.720400000000002e-06,5.30958e-06,9.018577e-06
-0.32,1.151681e-05,9.120307e-06,1.282534e-05
-0.3,1.484673e-05,1.31198e-05,1.614013e-05
-0.28,1.799503e-05,1.6127799999999998e-05,1.9185130000000002e-05
-0.26,2.0176529999999998e-05,1.869957e-05,2.1586e-05
-0.24,2.2643799999999998e-05,2.081157e-05,2.35546e-05
-0.22,2.517143e-05,2.31127e-05,2.585887e-05
-0.2,2.7037029999999998e-05,2.482573e-05,2.778293e-05
-0.18,2.827763e-05,2.699377e-05,2.93791e-05
-0.16,2.97157e-05,2.8414330000000002e-05,3.102977e-05
-0.14,3.09054e-05,2.9522570000000002e-05,3.2408629999999995e-05
-0.12,3.173987e-05,3.044803e-05,3.3679e-05
-0.1,3.2670469999999996e-05,3.145733e-05,3.47972e-05
-0.08,3.36973e-05,3.249727e-05,3.6034999999999996e-05
-0.06,3.4714529999999996e-05,3.347637e-05,3.730417e-05
-0.04,3.552397e-05,3.40434e-05,3.8543129999999996e-05
-0.02,3.62694e-05,3.504357e-05,3.93363e-05
0.0,3.718337e-05,3.60155e-05,4.059433e-05
0.02,3.8341300000000005e-05,3.6813030000000004e-05,4.1656099999999996e-05
0.04,3.9366499999999997e-05,3.785253e-05,4.289747e-05
