V,IGS 150,IGS 151,IGS 152
-0.6,-0.0006006733,-0.0006198303,-0.0005407897
-0.58,-0.0002655997,-0.0002902283,-0.0002357937
-0.56,-0.0001689937,-0.00018926029999999998,-0.00014560470000000002
-0.54,-0.0001179747,-0.0001348557,-9.924053e-05
-0.52,-8.55728e-05,-9.97083e-05,-7.052183e-05
-0.5,-6.304543e-05,-7.560613e-05,-5.076687e-05
-0.48,-4.623017e-05,-5.7188669999999995e-05,-3.623603e-05
-0.46,-3.3800599999999996e-05,-4.291097e-05,-2.51623e-05
-0.44,-2.345363e-05,-3.211857e-05,-1.627207e-05
-0.42,-1.526553e-05,-2.2609230000000002e-05,-8.599767e-06
-0.4,-7.987023e-06,-1.3363749999999999e-05,-2.194246e-06
-0.38,-1.68721e-06,-7.631377e-06,2.458492e-06
-0.36,2.9830130000000002e-06,-2.078615e-06,7.0540070000000005e-06
-0.34,6.8545499999999994e-06,2.3448470000000002e-06,1.068355e-05
-0.32,1.07793e-05,5.793967e-06,1.413543e-05
-0.3,1.36924e-05,9.293957e-06,1.699407e-05
-0.28,1.668533e-05,1.257699e-05,2.005737e-05
-0.26,1.912993e-05,1.506527e-05,2.219083e-05
-0.24,2.1183499999999998e-05,1.732903e-05,2.441487e-05
-0.22,2.32025e-05,1.941127e-05,2.637627e-05
-0.2,2.489967e-05,2.1170369999999998e-05,2.816597e-05
-0.18,2.6296e-05,2.3012530000000002e-05,2.967953e-05
-0.16,2.7749569999999997e-05,2.42543e-05,3.12261e-05
-0.14,2.9061630000000002e-05,2.543843e-05,3.2481369999999995e-05
-0.12,2.992353e-05,2.67748e-05,3.364087e-05
-0.1,3.133493e-05,2.752107e-05,3.4790870000000004e-05
-0.08,3.22942e-05,2.856137e-05,3.595987e-05
-0.06,3.323317e-05,2.9438769999999998e-05,3.7022829999999996e-05
-0.04,3.403027e-05,3.036937e-05,3.80794e-05
-0.02,3.4693869999999994e-05,3.1034530000000005e-05,3.931203e-05
0.0,3.54278e-05,3.18217e-05,4.064837e-05
0.02,3.620067e-05,3.26216e-05,4.179397e-05
0.04,3.71488e-05,3.3636499999999996e-05,4.32026e-05
0.06,3.790457e-05,3.4492e-05,4.451633e-05
0.08,3.862497e-05,3.550053e-05,4.61233e-05
0.1,3.961443e-05,3.661193e-05,4.8076300000000006e-05
0.12,4.11312e-05,3.8169270000000005e-05,5.0291600000000005e-05
0.14,4.2612970000000005e-05,3.6063200000000004e-05,5.29635e-05
0.16,3.9012e-05,3.844817e-05,5.00516e-05
0.18,4.320183e-05,4.078547e-05,5.577803e-05
0.2,4.600923e-05,4.2797729999999994e-05,6.0202300000000005e-05
0.22,4.894693e-05,4.5156100000000006e-05,6.456653e-05
0.24,5.197923e-05,4.7696829999999996e-05,6.90603e-05
0.26,5.5052029999999996e-05,5.02487e-05,7.369877e-05
0.28,5.58996e-05,5.32162e-05,7.884307000000001e-05
0.3,6.083963e-05,5.609153e-05,8.440692999999999e-05
0.32,6.471037e-05,5.92963e-05,8.98691e-05
0.34,6.903173000000001e-05,6.265123e-05,9.616280000000001e-05
0.36,7.369083e-05,6.594777e-05,0.0001024775
0.38,7.851127e-05,6.984313e-05,0.0001093907
0.4,8.337577000000001e-05,7.400393e-05,0.0001161943
0.42,8.898773e-05,7.843533e-05,0.00012396899999999998
0.44,9.478847e-05,8.319496999999999e-05,0.0001316803
0.46,0.0001010604,8.826097e-05,0.000139844
0.48,0.0001079807,9.31728e-05,0.00014859499999999998
0.5,0.0001156063,9.872570000000001e-05,0.00015776670000000002
0.52,0.00012359100000000002,0.0001044773,0.0001672217
0.54,0.00013186169999999998,0.000110952,0.0001767877
0.56,0.0001415023,0.00011757300000000001,0.00018621730000000002
0.58,0.0001509603,0.0001243997,0.0001968917
0.6,0.000161244,0.0001322237,0.0002077863
-0.6,-0.00110375,-0.001091215,-0.001150398
-0.58,-0.0003915183,-0.0003952663,-0.0004008783
-0.56,-0.000224945,-0.0002318067,-0.0002277717
-0.54,-0.00014938,-0.0001565483,-0.000150572
-0.52,-0.000105886,-0.0001126663,-0.0001063427
-0.5,-7.707237e-05,-8.353709999999999e-05,-7.743157e-05
-0.48,-5.667053e-05,-6.222287000000001e-05,-5.714857e-05
-0.46,-4.1340999999999996e-05,-4.669787e-05,-4.16426e-05
-0.44,-2.954283e-05,-3.428937e-05,-2.9846029999999997e-05
-0.42,-1.98893e-05,-2.4299999999999998e-05,-2.04392e-05
-0.4,-1.1984510000000001e-05,-1.61171e-05,-1.2495940000000001e-05
-0.38,-5.20706e-06,-9.03566e-06,-5.38111e-06
-0.36,3.282217e-07,-3.114937e-06,1.41462e-07
-0.34,4.787843e-06,1.6872090000000002e-06,4.809303e-06
-0.32,3.7153570000000003e-06,7.402887e-07,4.513663e-06
-0.3,1.016774e-05,6.9610299999999995e-06,1.01932e-05
-0.28,1.4195030000000001e-05,1.0962870000000001e-05,1.443187e-05
-0.26,1.698853e-05,1.409927e-05,1.764693e-05
-0.24,1.945813e-05,1.664123e-05,2.039273e-05
-0.22,2.1994900000000002e-05,1.9009499999999998e-05,2.280953e-05
-0.2,2.35319e-05,2.083897e-05,2.490043e-05
-0.18,2.52537e-05,2.247373e-05,2.70784e-05
-0.16,2.6778399999999998e-05,2.41514e-05,2.6189899999999998e-05
-0.14,2.825497e-05,2.542853e-05,2.97149e-05
-0.12,2.93386e-05,2.673347e-05,3.1081869999999996e-05
-0.1,3.044843e-05,2.78771e-05,3.256483e-05
-0.08,3.16012e-05,2.869487e-05,3.391543e-05
-0.06,3.24607e-05,2.980157e-05,3.493267e-05
-0.04,3.322957e-05,3.0736929999999996e-05,3.617207e-05
-0.02,3.421227e-05,3.159123e-05,3.769913e-05
0.0,3.511867e-05,3.2276330000000003e-05,3.81557e-05
0.02,3.5840669999999995e-05,3.3275700000000004e-05,3.891947e-05
0.04,3.6851970000000004e-05,3.418963e-05,4.0525199999999996e-05
0.06,3.75108e-05,3.4877069999999996e-05,4.22303e-05
0.08,3.840167e-05,3.591813e-05,4.275917e-05
0.1,3.93605e-05,3.680627e-05,4.53019e-05
0.12,4.060667e-05,3.80703e-05,4.7066570000000006e-05
0.14,4.204273e-05,3.9466200000000005e-05,4.93622e-05
0.16,4.364093e-05,4.0706e-05,5.188943e-05
0.18,4.532657e-05,4.239997e-05,5.452473e-05
0.2,4.708847e-05,4.440783e-05,5.731343e-05
0.22,4.9457970000000004e-05,4.633467e-05,6.0449869999999997e-05
0.24,5.199153e-05,4.8548800000000005e-05,6.37746e-05
0.26,5.475163e-05,5.104107e-05,6.74788e-05
0.28,5.784353e-05,5.378923e-05,6.999057e-05
0.3,6.115397e-05,5.639553e-05,7.496673e-05
0.32,6.528737e-05,5.9636430000000006e-05,8.006177e-05
0.34,6.922439999999999e-05,6.296117e-05,8.514047000000001e-05
0.36,7.354140000000001e-05,6.646993e-05,9.102623e-05
0.38,7.81703e-05,7.035177e-05,9.704943e-05
