V,IGS 150,IGS 151,IGS 152
-0.6,-5.5056400000000004e-05,-0.0001892557,-6.66229e-05
-0.58,-2.65658e-05,-9.08319e-05,-3.0165130000000002e-05
-0.56,-1.722733e-05,-5.8798e-05,-1.934053e-05
-0.54,-1.223247e-05,-4.140217e-05,-1.36463e-05
-0.52,-9.046396999999999e-06,-3.0417030000000002e-05,-1.012445e-05
-0.5,-6.83546e-06,-2.2834530000000002e-05,-7.668337e-06
-0.48,-5.202687e-06,-1.7483229999999998e-05,-5.91477e-06
-0.46,-4.04795e-06,-1.341183e-05,-4.606647e-06
-0.44,-3.08911e-06,-1.0302459999999999e-05,-3.49363e-06
-0.42,-2.1708e-06,-7.892847e-06,-2.578097e-06
-0.4,-1.471839e-06,-6.03636e-06,-1.63555e-06
-0.38,-6.798913e-07,-4.522403e-06,-9.04004e-07
-0.36,-1.728533e-07,-3.2186499999999997e-06,-2.7179720000000005e-07
-0.34,9.775187e-08,-1.9192710000000002e-06,7.23205e-08
-0.32,3.500777e-07,-8.428107000000001e-07,4.1683510000000003e-07
-0.3,7.116803e-07,-9.497e-08,7.279726999999999e-07
-0.28,9.405606999999999e-07,3.159048e-07,1.029571e-06
-0.26,1.1833509999999999e-06,8.12214e-07,1.47144e-06
-0.24,1.531043e-06,1.277528e-06,1.81516e-06
-0.22,1.740457e-06,1.764697e-06,2.074243e-06
-0.2,1.91649e-06,2.253453e-06,2.38458e-06
-0.18,2.2415299999999996e-06,2.509353e-06,2.7036629999999997e-06
-0.16,2.52247e-06,2.88089e-06,2.972287e-06
-0.14,2.6337329999999997e-06,3.23733e-06,3.25958e-06
-0.12,2.9142700000000002e-06,3.710193e-06,3.48568e-06
-0.1,3.0700370000000002e-06,3.9037069999999996e-06,3.810723e-06
-0.08,3.31362e-06,4.375377e-06,4.19577e-06
-0.06,3.414553e-06,4.5883630000000004e-06,4.494987e-06
-0.04,3.6982670000000004e-06,5.006393e-06,4.908243e-06
-0.02,3.982783e-06,5.2082529999999995e-06,5.18362e-06
0.0,4.18703e-06,5.547207e-06,5.5003169999999995e-06
0.02,4.539093e-06,6.150007e-06,5.88973e-06
0.04,4.86652e-06,6.41664e-06,6.405907e-06
0.06,5.200707e-06,6.85533e-06,6.797313e-06
0.08,5.558727e-06,7.31508e-06,7.280507e-06
0.1,5.60085e-06,7.781983e-06,7.790327000000001e-06
0.12,6.01371e-06,8.128087e-06,8.303323e-06
0.14,6.413857e-06,8.57671e-06,8.911687000000001e-06
0.16,6.87003e-06,8.229413e-06,9.379003e-06
0.18,6.21438e-06,8.978446999999999e-06,8.647043e-06
0.2,7.275343e-06,9.7982e-06,1.014871e-05
0.22,8.025567e-06,1.04197e-05,1.124343e-05
0.24,8.62638e-06,1.100103e-05,1.2182e-05
0.26,9.17673e-06,1.18792e-05,1.3028e-05
0.28,9.798996999999999e-06,1.25587e-05,1.388667e-05
0.3,1.041571e-05,1.322347e-05,1.4894430000000001e-05
0.32,1.158757e-05,1.408337e-05,1.593667e-05
0.34,1.1914199999999999e-05,1.4838769999999999e-05,1.68999e-05
0.36,1.288493e-05,1.563787e-05,1.796403e-05
0.38,1.34802e-05,1.656813e-05,1.913587e-05
0.4,1.4259400000000001e-05,1.7482470000000002e-05,2.02477e-05
0.42,1.5256000000000001e-05,1.848497e-05,2.16468e-05
0.44,1.59645e-05,1.9516969999999998e-05,2.285323e-05
0.46,1.6778700000000003e-05,2.03415e-05,2.432427e-05
0.48,1.78198e-05,2.1541129999999998e-05,2.5749199999999997e-05
0.5,1.91506e-05,2.247097e-05,2.7285e-05
0.52,2.035857e-05,2.361857e-05,2.9173299999999997e-05
0.54,2.190153e-05,2.46628e-05,3.127613e-05
0.56,2.358517e-05,2.57047e-05,3.37724e-05
0.58,2.568403e-05,2.684473e-05,3.6598069999999996e-05
0.6,2.826373e-05,2.805513e-05,3.9953e-05
-0.6,-0.00012078209999999999,-0.0002088853,-0.0001389647
-0.58,-4.365877e-05,-8.421977e-05,-5.042553e-05
-0.56,-2.59745e-05,-5.177777e-05,-2.978403e-05
-0.54,-1.782457e-05,-3.5775130000000005e-05,-2.02934e-05
-0.52,-1.294533e-05,-2.600157e-05,-1.480657e-05
-0.5,-9.907882999999999e-06,-1.953283e-05,-1.129667e-05
-0.48,-7.661977000000001e-06,-1.48503e-05,-8.807977e-06
-0.46,-5.7295969999999994e-06,-1.143493e-05,-6.885527e-06
-0.44,-4.790623e-06,-8.853677e-06,-5.4721029999999995e-06
-0.42,-3.788867e-06,-6.861687e-06,-4.3296800000000005e-06
-0.4,-3.0597069999999997e-06,-5.289317e-06,-3.3879299999999998e-06
-0.38,-1.9602e-06,-4.0260970000000004e-06,-2.5892270000000002e-06
-0.36,-1.1758e-06,-3.37402e-06,-1.6351559999999999e-06
-0.34,-1.038312e-06,-1.8807250000000001e-06,-1.0689110000000001e-06
-0.32,-5.76974e-07,-9.405603e-07,-4.553795e-07
-0.3,-1.83185e-07,-9.425470000000001e-07,-2.34445e-08
-0.28,-5.177663e-07,-5.7617700000000004e-08,-3.842511e-07
-0.26,8.50361e-08,4.263719e-07,3.433228e-07
-0.24,5.809480000000001e-07,9.075787e-07,8.201607e-07
-0.22,8.0029e-07,1.320439e-06,1.178981e-06
-0.2,1.15792e-06,1.72496e-06,1.597403e-06
-0.18,1.422565e-06,2.10484e-06,1.930793e-06
-0.16,1.441637e-06,2.43465e-06,2.2069630000000003e-06
-0.14,1.7730399999999998e-06,2.806187e-06,2.553067e-06
-0.12,1.846153e-06,3.16421e-06,2.882083e-06
-0.1,2.080997e-06,3.486077e-06,3.248453e-06
-0.08,2.333323e-06,3.778537e-06,3.6199900000000002e-06
-0.06,2.669097e-06,4.10835e-06,3.93073e-06
-0.04,2.876123e-06,4.463993e-06,4.322126999999999e-06
-0.02,3.192027e-06,4.8077100000000004e-06,4.626913e-06
0.0,3.80357e-06,5.1788499999999996e-06,5.035403e-06
0.02,4.1385470000000005e-06,5.51502e-06,5.420843e-06
0.04,4.645983e-06,5.855163e-06,5.912387000000001e-06
0.06,4.5820069999999995e-06,6.22193e-06,6.283520000000001e-06
0.08,4.958707e-06,6.607373e-06,6.5914830000000005e-06
0.1,5.351307e-06,6.9121499999999995e-06,7.129113e-06
0.12,5.7705230000000005e-06,7.41402e-06,7.730323e-06
0.14,6.1555700000000004e-06,7.853903e-06,8.284646999999999e-06
0.16,6.729363e-06,8.320807000000001e-06,8.736053e-06
0.18,7.41601e-06,8.855263e-06,9.23277e-06
0.2,7.905162999999999e-06,9.391707e-06,1.000047e-05
0.22,8.302927e-06,9.926557e-06,1.041611e-05
0.24,8.810357e-06,1.0696629999999999e-05,1.095893e-05
0.26,9.221633e-06,1.138847e-05,1.157007e-05
0.28,9.748927e-06,1.206477e-05,1.2270630000000001e-05
0.3,1.026154e-05,1.283047e-05,1.289047e-05
0.32,1.092393e-05,1.357477e-05,1.345553e-05
0.34,1.188477e-05,1.4310300000000001e-05,1.42002e-05
0.36,1.21196e-05,1.5083129999999998e-05,1.502553e-05
0.38,1.267353e-05,1.6029669999999998e-05,1.5711e-05
0.4,1.341063e-05,1.681327e-05,1.658797e-05
0.42,1.416047e-05,1.778563e-05,1.769343e-05
0.44,1.488843e-05,1.873653e-05,1.873177e-05
0.46,1.5802000000000002e-05,1.82851e-05,1.99715e-05
0.48,1.518687e-05,1.968583e-05,2.0016799999999998e-05
0.5,1.693487e-05,2.11569e-05,2.20418e-05
0.52,1.86173e-05,2.257307e-05,2.42726e-05
0.54,2.032e-05,2.38613e-05,2.663377e-05
0.56,2.22659e-05,2.516867e-05,2.934653e-05
0.58,2.447287e-05,2.640447e-05,3.2328729999999996e-05
0.6,2.7229370000000002e-05,2.776067e-05,3.602463e-05
-0.6,-0.0001220513,-0.000191051,-0.0001384147
-0.58,-4.38555e-05,-7.597167e-05,-5.0352030000000004e-05
-0.56,-2.586843e-05,-4.635967e-05,-3.00173e-05
-0.54,-1.749e-05,-3.1937769999999996e-05,-2.05024e-05
-0.52,-1.264057e-05,-2.318463e-05,-1.4947229999999999e-05
-0.5,-9.433426999999999e-06,-1.7401e-05,-1.13865e-05
-0.48,-7.282497e-06,-1.3285900000000001e-05,-8.8652e-06
-0.46,-5.6330370000000005e-06,-1.02671e-05,-7.072687e-06
-0.44,-4.380943e-06,-7.931786999999999e-06,-5.643367e-06
-0.42,-3.392697e-06,-6.129343e-06,-4.516443000000001e-06
-0.4,-2.55267e-06,-4.7238669999999995e-06,-3.60807e-06
-0.38,-1.652638e-06,-3.53376e-06,-2.8463200000000003e-06
-0.36,-1.129708e-06,-2.49823e-06,-1.9109229999999998e-06
-0.34,-5.586933e-07,-1.535414e-06,-1.286664e-06
-0.32,-1.4980630000000001e-07,-6.969767e-07,-6.84262e-07
-0.3,1.414615e-07,-8.463833e-08,-1.95503e-07
-0.28,4.359087e-07,2.5828669999999996e-07,7.708883e-08
-0.26,7.541973e-07,6.520753e-07,3.496806e-07
-0.24,1.0311590000000001e-06,1.107055e-06,6.647916999999999e-07
-0.22,1.326799e-06,1.3748799999999998e-06,1.133283e-06
-0.2,1.664557e-06,1.8080069999999999e-06,1.4058729999999998e-06
-0.18,1.8294629999999998e-06,2.1294769999999997e-06,1.7619099999999999e-06
-0.16,2.09371e-06,2.52843e-06,2.040467e-06
-0.14,2.345243e-06,2.80738e-06,2.355577e-06
-0.12,2.56022e-06,3.0922899999999997e-06,2.491873e-06
-0.1,2.825263e-06,3.4530969999999997e-06,2.8816899999999996e-06
-0.08,3.0148e-06,3.746353e-06,3.1173229999999998e-06
-0.06,3.2722929999999996e-06,4.0411929999999995e-06,3.450313e-06
-0.04,3.548063e-06,4.3181569999999995e-06,3.859603e-06
-0.02,3.79801e-06,4.732213e-06,4.28915e-06
0.0,4.219613e-06,4.381337e-06,4.64837e-06
0.02,3.788867e-06,4.92573e-06,4.297497e-06
0.04,4.5077e-06,5.470513e-06,5.073547e-06
0.06,4.9920869999999995e-06,5.923113e-06,5.759793e-06
0.08,5.41051e-06,6.254517000000001e-06,6.267627e-06
0.1,5.808673e-06,6.7118799999999995e-06,6.723407e-06
0.12,6.275577e-06,7.085403e-06,7.342497e-06
0.14,6.664197e-06,7.5984e-06,7.695357e-06
0.16,7.00116e-06,8.11855e-06,8.291003e-06
0.18,7.4589229999999994e-06,8.589027e-06,8.80877e-06
0.2,7.867813e-06,9.220040000000001e-06,9.45649e-06
0.22,8.452337e-06,9.829196999999999e-06,9.912643e-06
0.24,8.93633e-06,1.045545e-05,1.044593e-05
0.26,9.356737e-06,1.116793e-05,1.116753e-05
0.28,9.831203e-06,1.185933e-05,1.16372e-05
0.3,1.0265900000000001e-05,1.2584899999999999e-05,1.232227e-05
0.32,1.091837e-05,1.348257e-05,1.295687e-05
0.34,1.1572829999999999e-05,1.4261429999999999e-05,1.36161e-05
