V,IGS 150,IGS 151,IGS 152
-0.6,-5.68831e-05,-0.0001778563,-6.163912999999999e-05
-0.58,-2.54953e-05,-8.55609e-05,-2.74209e-05
-0.56,-1.598437e-05,-5.521537e-05,-1.7382700000000002e-05
-0.54,-9.936097e-06,-3.8763299999999995e-05,-1.20743e-05
-0.52,-7.012287e-06,-2.8524800000000002e-05,-8.750359999999999e-06
-0.5,-5.034603e-06,-2.100073e-05,-6.39876e-06
-0.48,-3.5305830000000003e-06,-1.592757e-05,-4.716317e-06
-0.46,-2.331337e-06,-1.200673e-05,-3.3907100000000003e-06
-0.44,-1.138845e-06,-9.025333e-06,-2.170403e-06
-0.42,-2.968312e-07,-6.700757e-06,-1.1003020000000001e-06
-0.4,1.533827e-07,-4.905063e-06,-2.6981030000000003e-07
-0.38,5.96444e-07,-3.3267329999999997e-06,1.808009e-07
-0.36,1.0708980000000001e-06,-1.8509220000000001e-06,6.814783e-07
-0.34,1.490517e-06,-7.633363e-07,1.070101e-06
-0.32,1.870393e-06,7.947277e-08,1.56919e-06
-0.3,2.2272269999999997e-06,6.51679e-07,2.014237e-06
-0.28,2.549093e-06,1.307328e-06,2.4008769999999997e-06
-0.26,2.780357e-06,1.8914529999999998e-06,2.7704270000000003e-06
-0.24,3.118913e-06,2.432663e-06,3.11613e-06
-0.22,3.36925e-06,2.943273e-06,3.41654e-06
-0.2,3.6184e-06,3.475347e-06,3.70145e-06
-0.18,3.820263e-06,3.86278e-06,4.028083e-06
-0.16,4.032453e-06,4.26769e-06,4.3269e-06
-0.14,4.267297e-06,4.64837e-06,4.632473e-06
-0.12,4.474719999999999e-06,5.054477e-06,4.91301e-06
-0.1,4.698037e-06,5.3823e-06,5.2917e-06
-0.08,4.88321e-06,5.738737e-06,5.64138e-06
-0.06,5.1252029999999995e-06,6.065766999999999e-06,5.956090000000001e-06
-0.04,5.3743529999999995e-06,6.382463e-06,6.3268370000000005e-06
-0.02,5.637407e-06,6.712277e-06,6.757973e-06
0.0,5.8945e-06,6.9948069999999995e-06,7.180373e-06
0.02,6.21279e-06,7.294813e-06,6.349883e-06
0.04,6.501277e-06,7.725157000000001e-06,7.173617e-06
0.06,6.893477e-06,8.061727e-06,7.8094e-06
0.08,7.223687e-06,8.37485e-06,8.403063e-06
0.1,7.554687e-06,8.79725e-06,8.984803e-06
0.12,8.041062999999999e-06,9.138187000000001e-06,9.602327e-06
0.14,8.50161e-06,9.616217e-06,1.014987e-05
0.16,7.751387000000001e-06,1.01022e-05,9.508523e-06
0.18,9.12309e-06,9.370253e-06,1.08246e-05
0.2,9.535947e-06,1.0488060000000001e-05,1.179377e-05
0.22,1.0199929999999999e-05,1.132327e-05,1.2636200000000001e-05
0.24,1.0734769999999999e-05,1.1980930000000001e-05,1.34341e-05
0.26,1.129547e-05,1.2724370000000001e-05,1.420897e-05
0.28,1.183033e-05,1.350683e-05,1.5109e-05
0.3,1.25265e-05,1.42328e-05,1.591167e-05
0.32,1.30741e-05,1.49512e-05,1.687607e-05
0.34,1.375397e-05,1.576463e-05,1.780907e-05
0.36,1.43667e-05,1.661817e-05,1.889943e-05
0.38,1.51527e-05,1.743473e-05,1.99008e-05
0.4,1.585363e-05,1.8348700000000003e-05,2.096417e-05
0.42,1.66301e-05,1.9243569999999998e-05,2.20565e-05
0.44,1.75055e-05,2.01881e-05,2.334437e-05
0.46,1.85005e-05,2.114813e-05,2.467713e-05
0.48,1.953443e-05,2.212087e-05,2.6031730000000002e-05
