V,IGS 150,IGS 151,IGS 152
-0.6,-0.00017350369999999998,-0.0003438737,-0.0002036207
-0.58,-7.16249e-05,-0.0001568963,-8.457303000000001e-05
-0.56,-4.3951670000000006e-05,-9.953353e-05,-5.175113e-05
-0.54,-2.948603e-05,-6.852827e-05,-3.472167e-05
-0.52,-2.03522e-05,-4.8918330000000004e-05,-2.4056429999999998e-05
-0.5,-1.413623e-05,-3.549893e-05,-1.66893e-05
-0.48,-9.55223e-06,-2.57234e-05,-1.2373929999999999e-05
-0.46,-5.964437e-06,-1.834947e-05,-7.359983e-06
-0.44,-2.886453e-06,-1.274943e-05,-3.6438299999999997e-06
-0.42,-5.034593e-07,-8.265573e-06,-1.1948729999999999e-06
-0.4,1.012484e-06,-4.23948e-06,8.277107000000001e-07
-0.38,2.415577e-06,-1.22269e-06,2.40008e-06
-0.36,3.729663e-06,9.10758e-07,3.6637e-06
-0.34,4.848640000000001e-06,2.6524069999999998e-06,5.07315e-06
-0.32,5.819003e-06,4.429817e-06,6.293057e-06
-0.3,6.813207e-06,5.86748e-06,7.222493e-06
-0.28,7.5077999999999995e-06,7.214547e-06,8.065703000000001e-06
-0.26,8.305707e-06,8.334323e-06,8.87116e-06
-0.24,7.940930000000001e-06,9.25422e-06,9.621763e-06
-0.22,9.394497e-06,1.022415e-05,1.02822e-05
-0.2,1.001993e-05,1.100502e-05,1.0921170000000001e-05
-0.18,1.0664469999999999e-05,1.18212e-05,1.155137e-05
-0.16,1.106739e-05,1.262427e-05,1.212797e-05
-0.14,1.1636430000000001e-05,1.33129e-05,1.2747029999999999e-05
-0.12,1.210333e-05,1.3895829999999999e-05,1.328427e-05
-0.1,1.254957e-05,1.4690129999999999e-05,1.397333e-05
-0.08,1.313647e-05,1.522023e-05,1.442673e-05
-0.06,1.3506800000000001e-05,1.605353e-05,1.501957e-05
-0.04,1.3794099999999999e-05,1.666587e-05,1.56176e-05
-0.02,1.40564e-05,1.725397e-05,1.62411e-05
0.0,1.471127e-05,1.8016500000000003e-05,1.6929299999999997e-05
0.02,1.511177e-05,1.86348e-05,1.752933e-05
0.04,1.554687e-05,1.947523e-05,1.8126569999999998e-05
0.06,1.59327e-05,2.012413e-05,1.8929629999999998e-05
0.08,1.6375400000000002e-05,2.0982829999999997e-05,1.979113e-05
0.1,1.6940030000000003e-05,2.174897e-05,2.071263e-05
0.12,1.75945e-05,2.2615999999999998e-05,2.153673e-05
0.14,1.815717e-05,2.3550599999999998e-05,2.251623e-05
0.16,1.61135e-05,2.131183e-05,2.15169e-05
0.18,1.844127e-05,2.3998e-05,2.36587e-05
0.2,1.968307e-05,2.563237e-05,2.5659799999999998e-05
0.22,2.0738470000000003e-05,2.699813e-05,2.75123e-05
0.24,2.183637e-05,2.822913e-05,2.9281370000000002e-05
0.26,2.284087e-05,2.9521399999999998e-05,3.1224870000000005e-05
0.28,2.39877e-05,3.089587e-05,3.308017e-05
0.3,2.527e-05,3.220877e-05,3.5225530000000006e-05
0.32,2.657217e-05,3.358997e-05,3.74548e-05
0.34,2.7869130000000003e-05,3.518343e-05,4.00543e-05
0.36,2.937313e-05,3.67701e-05,4.24838e-05
0.38,3.102263e-05,3.842987e-05,4.542867e-05
0.4,3.269037e-05,4.0116699999999995e-05,4.812833e-05
0.42,3.47245e-05,4.18095e-05,5.108e-05
0.44,3.630677e-05,4.418017e-05,5.38933e-05
0.46,3.8398499999999995e-05,4.603307e-05,5.71958e-05
0.48,4.0497399999999996e-05,4.8060000000000004e-05,6.03231e-05
0.5,4.27103e-05,5.007663e-05,6.358029999999999e-05
0.52,4.4924e-05,5.263207e-05,6.73886e-05
0.54,4.764437e-05,5.480253e-05,7.09987e-05
0.56,5.025823e-05,5.680283e-05,7.424473e-05
0.58,5.3387099999999996e-05,5.9347930000000004e-05,7.80459e-05
0.6,5.643923e-05,6.159227e-05,8.217217e-05
-0.6,-0.000400388,-0.000608845,-0.00047481629999999997
-0.58,-0.000114691,-0.000179691,-0.00013876130000000002
-0.56,-6.251373e-05,-0.0001022807,-7.558823e-05
-0.54,-4.01636e-05,-6.765723e-05,-4.856587e-05
-0.52,-2.761163e-05,-4.742223e-05,-3.33206e-05
-0.5,-1.9316670000000002e-05,-3.41618e-05,-2.3505699999999998e-05
-0.48,-1.35394e-05,-2.4636970000000003e-05,-1.658123e-05
-0.46,-9.191030000000001e-06,-1.779237e-05,-1.145086e-05
-0.44,-5.8388730000000004e-06,-1.238507e-05,-7.59125e-06
-0.42,-2.8502929999999996e-06,-7.962387e-06,-3.874303e-06
-0.4,-6.5446e-07,-3.8365500000000006e-06,-1.518725e-06
-0.38,7.994963000000001e-07,-1.2743469999999998e-06,4.947173e-07
-0.36,2.159675e-06,6.667787e-07,1.908941e-06
-0.34,3.394683e-06,2.28564e-06,3.607667e-06
-0.32,2.8733430000000002e-06,4.031657e-06,4.8697e-06
-0.3,4.84109e-06,2.749363e-06,3.352167e-06
-0.28,5.92828e-06,5.681513e-06,6.068943e-06
-0.26,6.84301e-06,7.081033e-06,7.0699030000000006e-06
-0.24,7.565417000000001e-06,8.17895e-06,8.038280000000001e-06
-0.22,8.339087e-06,9.16877e-06,8.888247e-06
-0.2,8.89739e-06,1.0105749999999999e-05,9.545867000000001e-06
-0.18,9.642847e-06,1.085241e-05,1.025918e-05
-0.16,1.011569e-05,1.15347e-05,1.094103e-05
-0.14,1.071136e-05,1.226467e-05,1.1640400000000001e-05
-0.12,1.12001e-05,1.29064e-05,1.22074e-05
-0.1,1.172383e-05,1.36717e-05,1.282173e-05
-0.08,1.21383e-05,1.42022e-05,1.3368499999999999e-05
-0.06,1.24975e-05,1.495203e-05,1.4065099999999999e-05
-0.04,1.307767e-05,1.556993e-05,1.4550299999999999e-05
-0.02,1.35112e-05,1.6140099999999998e-05,1.529497e-05
0.0,1.4068670000000001e-05,1.698177e-05,1.5925529999999997e-05
0.02,1.45717e-05,1.7548e-05,1.65546e-05
0.04,1.49425e-05,1.828787e-05,1.752813e-05
0.06,1.55139e-05,1.90532e-05,1.8110300000000002e-05
0.08,1.59959e-05,1.975653e-05,1.890977e-05
0.1,1.654747e-05,2.0493669999999998e-05,1.972753e-05
0.12,1.72893e-05,2.1327299999999998e-05,2.05612e-05
0.14,1.792907e-05,2.207877e-05,2.1479899999999997e-05
0.16,1.8570430000000003e-05,2.310397e-05,2.2333070000000003e-05
0.18,1.92694e-05,2.406397e-05,2.33992e-05
0.2,2.013127e-05,2.49704e-05,2.45587e-05
0.22,2.089937e-05,2.60353e-05,2.570827e-05
0.24,2.173223e-05,2.705137e-05,2.6631370000000002e-05
0.26,2.2724070000000003e-05,2.83289e-05,2.783577e-05
0.28,2.3616530000000002e-05,2.9392229999999998e-05,2.937157e-05
0.3,2.476613e-05,3.061893e-05,3.08009e-05
0.32,2.585133e-05,3.204387e-05,3.2734900000000004e-05
0.34,2.697587e-05,3.334123e-05,3.442963e-05
0.36,2.8373400000000002e-05,3.5053870000000005e-05,3.634493e-05
0.38,2.964377e-05,3.6759e-05,3.83882e-05
0.4,3.0909000000000005e-05,3.847243e-05,4.05395e-05
0.42,3.2519069999999996e-05,4.005233e-05,4.257877e-05
0.44,3.033043e-05,3.878353e-05,4.18194e-05
0.46,3.452737e-05,4.208723e-05,4.5971469999999996e-05
0.48,3.722947e-05,4.4845730000000005e-05,4.9188169999999996e-05
0.5,4.0623329999999997e-05,4.727283e-05,5.2315e-05
0.52,4.197437e-05,4.97655e-05,5.58615e-05
0.54,4.448057e-05,5.236027e-05,5.9427e-05
0.56,4.713733e-05,5.50826e-05,6.32759e-05
0.58,5.0293599999999996e-05,5.785347e-05,6.80232e-05
0.6,5.3562730000000003e-05,6.090323e-05,7.20751e-05
-0.6,-0.00040154830000000005,-0.0004931823,-0.000469684
-0.58,-0.00011369430000000001,-0.00015828769999999998,-0.0001366183
-0.56,-6.20389e-05,-9.112837e-05,-7.470687e-05
-0.54,-3.99506e-05,-6.0501069999999994e-05,-4.814783e-05
-0.52,-2.747057e-05,-4.220287e-05,-3.32304e-05
-0.5,-1.9341699999999998e-05,-3.0333200000000003e-05,-2.343377e-05
-0.48,-1.349843e-05,-2.17358e-05,-1.6617370000000002e-05
-0.46,-9.272877000000001e-06,-1.552263e-05,-1.1607e-05
-0.44,-5.86589e-06,-1.063903e-05,-7.712443e-06
-0.42,-2.851486e-06,-6.77625e-06,-4.211267e-06
-0.4,-6.445253e-07,-3.3795819999999997e-06,-1.525083e-06
-0.38,8.726119999999999e-07,-7.975093e-07,2.745779e-07
-0.36,2.0968889999999997e-06,1.05103e-06,1.673698e-06
-0.34,3.293753e-06,2.4704130000000002e-06,3.0597069999999997e-06
-0.32,4.6718130000000005e-06,4.25259e-06,4.315773e-06
-0.3,5.600453e-06,5.414487e-06,5.460183e-06
-0.28,6.22034e-06,6.56684e-06,6.341933e-06
-0.26,7.0051329999999995e-06,7.447403e-06,7.24554e-06
-0.24,7.702113e-06,8.459893e-06,8.031527e-06
-0.22,8.356970000000001e-06,9.262963e-06,8.753130000000001e-06
-0.2,9.227197e-06,1.0075959999999999e-05,9.523613e-06
-0.18,9.559393e-06,1.067796e-05,1.008947e-05
-0.16,1.010538e-05,1.1517999999999999e-05,1.075505e-05
-0.14,1.0569899999999999e-05,1.23207e-05,1.139243e-05
-0.12,1.111345e-05,1.28865e-05,1.206157e-05
-0.1,1.1510469999999999e-05,1.342813e-05,1.2614299999999999e-05
-0.08,1.204413e-05,1.4115170000000001e-05,1.327633e-05
-0.06,1.252253e-05,1.465203e-05,1.3664570000000001e-05
-0.04,1.1449229999999999e-05,1.5353370000000002e-05,1.4361130000000001e-05
-0.02,1.2707300000000001e-05,1.329743e-05,1.24045e-05
0.0,1.36701e-05,1.56327e-05,1.4774800000000001e-05
0.02,1.416803e-05,1.6729429999999998e-05,1.5753900000000002e-05
0.04,1.47867e-05,1.7595670000000003e-05,1.66249e-05
0.06,1.538597e-05,1.846233e-05,1.7397399999999997e-05
0.08,1.5942270000000003e-05,1.922647e-05,1.839957e-05
0.1,1.6544670000000002e-05,2.00987e-05,1.905563e-05
0.12,1.723567e-05,2.015593e-05,2.0031529999999998e-05
0.14,1.791277e-05,2.137187e-05,2.0887429999999998e-05
0.16,1.8641570000000003e-05,2.239067e-05,2.182683e-05
0.18,1.926977e-05,2.331933e-05,2.280433e-05
0.2,2.0069299999999998e-05,2.43815e-05,2.374453e-05
0.22,2.0910869999999998e-05,2.540073e-05,2.482177e-05
0.24,2.18062e-05,2.653043e-05,2.61414e-05
0.26,2.2627530000000002e-05,2.7820669999999997e-05,2.7413330000000003e-05
0.28,2.350887e-05,2.891777e-05,2.858957e-05
0.3,2.4568269999999998e-05,3.01997e-05,3.0166699999999997e-05
0.32,2.5638729999999998e-05,3.14343e-05,3.167547e-05
0.34,2.6748970000000002e-05,3.28199e-05,3.31835e-05
0.36,2.8074570000000002e-05,3.4314800000000006e-05,3.47817e-05
0.38,2.93672e-05,3.57799e-05,3.672043e-05
0.4,3.082233e-05,3.7478199999999996e-05,3.84625e-05
0.42,3.21412e-05,3.9128869999999995e-05,4.0537900000000004e-05
0.44,3.3950000000000005e-05,4.103103e-05,4.2691669999999994e-05
0.46,3.56257e-05,4.32702e-05,4.488627e-05
0.48,3.746033e-05,4.52733e-05,4.7250200000000004e-05
0.5,3.9339469999999996e-05,4.753233e-05,5.0005930000000004e-05
0.52,4.1681130000000005e-05,4.97937e-05,5.322697e-05
0.54,4.40816e-05,5.211277e-05,5.641063e-05
0.56,4.671217e-05,5.480963e-05,5.9857770000000006e-05
0.58,4.963357e-05,5.77251e-05,6.379883e-05
0.6,5.289713e-05,6.080467e-05,6.795327e-05
-0.6,-0.0004100127,-0.00047722229999999996,-0.0004633243
-0.58,-0.00011413100000000001,-0.0001493563,-0.000133459
-0.56,-6.196657000000001e-05,-8.538803e-05,-7.27439e-05
-0.54,-3.98938e-05,-5.64138e-05,-4.693747e-05
-0.52,-2.736013e-05,-3.946263e-05,-3.239473e-05
-0.5,-2.0682e-05,-2.972683e-05,-2.404097e-05
-0.48,-1.329383e-05,-2.003513e-05,-1.595023e-05
-0.46,-8.90453e-06,-1.393793e-05,-1.092471e-05
-0.44,-5.4526329999999995e-06,-9.35714e-06,-7.108847e-06
-0.42,-2.673467e-06,-5.804303e-06,-3.7988e-06
-0.4,-4.93525e-07,-2.562605e-06,-1.3395159999999999e-06
-0.38,9.997673e-07,-4.927333e-08,5.05846e-07
-0.36,2.2284179999999998e-06,1.467866e-06,1.8417849999999999e-06
-0.34,3.44197e-06,2.9285770000000002e-06,3.32316e-06
-0.32,4.607043e-06,4.400413e-06,4.4957800000000005e-06
-0.3,5.49356e-06,5.635817e-06,5.4721029999999995e-06
-0.28,6.5072370000000005e-06,6.798507e-06,6.4229969999999994e-06
-0.26,7.060763e-06,7.861059999999999e-06,7.357993e-06
-0.24,7.839203e-06,8.629953e-06,7.043279999999999e-06
-0.22,8.507577e-06,9.34322e-06,6.042717e-06
-0.2,9.14296e-06,1.005212e-05,7.876556999999999e-06
-0.18,9.62852e-06,1.072803e-05,9.303503e-06
-0.16,1.0263519999999999e-05,1.1421059999999999e-05,1.026751e-05
-0.14,1.076819e-05,1.199403e-05,1.104475e-05
-0.12,1.116434e-05,1.268943e-05,1.196583e-05
-0.1,1.157047e-05,1.32382e-05,1.270017e-05
-0.08,1.204333e-05,1.388033e-05,1.335183e-05
-0.06,1.266523e-05,1.44271e-05,1.391093e-05
-0.04,1.30836e-05,1.5205569999999998e-05,1.452603e-05
-0.02,1.3580729999999999e-05,1.5763830000000002e-05,1.5223e-05
0.0,1.3064130000000001e-05,1.64783e-05,1.6042e-05
0.02,1.442593e-05,1.707273e-05,1.66118e-05
0.04,1.5076769999999999e-05,1.7824199999999998e-05,1.71061e-05
0.06,1.5601300000000003e-05,1.850883e-05,1.796563e-05
0.08,1.6154429999999998e-05,1.9208599999999998e-05,1.86221e-05
0.1,1.671393e-05,1.985787e-05,1.935087e-05
0.12,1.7418469999999997e-05,2.093873e-05,2.02481e-05
0.14,1.80117e-05,2.20223e-05,2.100667e-05
0.16,1.867693e-05,2.2875070000000002e-05,2.184153e-05
0.18,1.93751e-05,2.3458e-05,2.267123e-05
0.2,2.0238529999999998e-05,2.429603e-05,2.3703169999999998e-05
0.22,2.12852e-05,2.5297799999999997e-05,2.16611e-05
0.24,1.9391e-05,2.409973e-05,2.46465e-05
0.26,2.165117e-05,2.6052e-05,2.63389e-05
0.28,2.300063e-05,2.791643e-05,2.764303e-05
0.3,2.416293e-05,2.935967e-05,2.917963e-05
0.32,2.529143e-05,3.086927e-05,3.0651900000000004e-05
0.34,2.6334930000000003e-05,3.225683e-05,3.2261199999999995e-05
0.36,2.770583e-05,3.37374e-05,3.383957e-05
0.38,2.918323e-05,3.52371e-05,3.5473500000000005e-05
0.4,3.043847e-05,3.707887e-05,3.721477e-05
0.42,3.198623e-05,3.8650429999999994e-05,3.914593e-05
0.44,3.352443e-05,4.06631e-05,4.122657e-05
0.46,3.53066e-05,4.243493e-05,4.3238e-05
0.48,3.727393e-05,4.4693170000000006e-05,4.5578900000000005e-05
0.5,3.91515e-05,4.6798799999999997e-05,4.834733e-05
0.52,4.127187e-05,4.888377e-05,5.12417e-05
0.54,4.35058e-05,5.145033e-05,5.4277600000000004e-05
0.56,4.6294530000000004e-05,5.43936e-05,5.7753730000000004e-05
0.58,4.919093e-05,5.7286029999999995e-05,6.155413000000001e-05
0.6,5.241513e-05,6.049153e-05,6.598473000000001e-05
