V,IGS 150,IGS 151,IGS 152
-0.6,-0.0001850607,-0.0004614927,-0.0002228283
-0.58,-7.974943e-05,-0.00022070070000000002,-9.55653e-05
-0.56,-4.871167e-05,-0.0001411373,-5.74692e-05
-0.54,-3.237723e-05,-9.775556999999999e-05,-3.816923e-05
-0.52,-2.225993e-05,-7.041653000000001e-05,-2.5995600000000002e-05
-0.5,-1.516343e-05,-5.1737230000000005e-05,-1.782057e-05
-0.48,-9.9222e-06,-3.819107e-05,-1.160343e-05
-0.46,-5.82099e-06,-2.803963e-05,-7.00275e-06
-0.44,-2.106825e-06,-2.01118e-05,-2.93096e-06
-0.42,4.891563e-07,-1.398243e-05,2.860867e-08
-0.4,2.451737e-06,-8.933553e-06,2.0909299999999997e-06
-0.38,4.3197470000000006e-06,-4.4989569999999995e-06,4.227163e-06
-0.36,5.9648370000000004e-06,-7.017450000000001e-07,5.839663e-06
-0.34,7.369123e-06,1.92682e-06,7.107653e-06
-0.32,8.609297e-06,4.390877e-06,8.437637e-06
-0.3,9.586000000000001e-06,6.61691e-06,9.835973e-06
-0.28,1.0576620000000001e-05,8.700277e-06,1.096806e-05
-0.26,1.143973e-05,1.0615170000000001e-05,1.194757e-05
-0.24,1.2176829999999999e-05,1.2051230000000001e-05,1.27431e-05
-0.22,1.285193e-05,1.3558870000000001e-05,1.35346e-05
-0.2,1.34067e-05,1.491947e-05,1.4224430000000001e-05
-0.18,1.38795e-05,1.608173e-05,1.491583e-05
-0.16,1.442747e-05,1.733737e-05,1.56232e-05
-0.14,1.48523e-05,1.829067e-05,1.61616e-05
-0.12,1.5287e-05,1.925267e-05,1.681567e-05
-0.1,1.553493e-05,2.052783e-05,1.7457799999999997e-05
-0.08,1.587073e-05,2.138577e-05,1.7997829999999998e-05
-0.06,1.633403e-05,2.211093e-05,1.867417e-05
-0.04,1.677553e-05,2.328037e-05,1.921853e-05
-0.02,1.7218599999999998e-05,2.390783e-05,1.992427e-05
0.0,1.7728e-05,2.474267e-05,2.059777e-05
0.02,1.812457e-05,2.548217e-05,2.13762e-05
0.04,1.870157e-05,2.6406070000000002e-05,2.2341429999999998e-05
0.06,1.91784e-05,2.72993e-05,2.324223e-05
0.08,1.974343e-05,2.816323e-05,2.43191e-05
