V,IGS 150,IGS 151,IGS 152
-0.6,-0.0001604067,-0.0003206313,-0.00019373800000000002
-0.58,-6.95165e-05,-0.0001523707,-8.343933000000001e-05
-0.56,-4.315097e-05,-9.786449999999999e-05,-5.1412599999999996e-05
-0.54,-2.921307e-05,-6.812453e-05,-3.462237e-05
-0.52,-2.056873e-05,-4.924653e-05,-2.424557e-05
-0.5,-1.434647e-05,-3.618237e-05,-1.704893e-05
-0.48,-9.882033e-06,-2.65924e-05,-1.178303e-05
-0.46,-6.408693e-06,-1.936593e-05,-7.81576e-06
-0.44,-3.30329e-06,-1.37909e-05,-4.29988e-06
-0.42,-1.076858e-06,-9.290773e-06,-1.545351e-06
-0.4,7.4943e-07,-5.604427e-06,4.108753e-07
-0.38,2.091327e-06,-2.1819300000000002e-06,1.92682e-06
-0.36,3.41813e-06,2.125885e-07,3.2973299999999997e-06
-0.34,4.515647e-06,2.0805969999999997e-06,4.601477e-06
-0.32,5.531707000000001e-06,3.8353599999999995e-06,5.841253e-06
-0.3,6.524323e-06,5.398987e-06,6.7909530000000005e-06
-0.28,7.31826e-06,6.5306799999999994e-06,7.687803000000001e-06
-0.26,8.07325e-06,7.745423e-06,8.574326999999999e-06
-0.24,8.732479999999998e-06,8.826657e-06,9.369843e-06
-0.22,9.315407e-06,9.73027e-06,1.0046570000000001e-05
-0.2,9.969060000000001e-06,1.072246e-05,1.079839e-05
-0.18,1.055044e-05,1.147587e-05,1.126766e-05
-0.16,1.115836e-05,1.232227e-05,1.191217e-05
-0.14,1.15486e-05,1.300217e-05,1.24697e-05
-0.12,1.200993e-05,1.379927e-05,1.30383e-05
-0.1,1.241407e-05,1.457933e-05,1.377743e-05
-0.08,1.297357e-05,1.525003e-05,1.42817e-05
-0.06,1.327713e-05,1.58747e-05,1.4864999999999999e-05
-0.04,1.36153e-05,1.657843e-05,1.53315e-05
-0.02,1.411917e-05,1.7228129999999997e-05,1.594187e-05
0.0,1.4638900000000001e-05,1.796047e-05,1.6646370000000002e-05
0.02,1.496593e-05,1.870033e-05,1.716577e-05
0.04,1.546223e-05,1.9274530000000002e-05,1.79875e-05
0.06,1.583297e-05,2.01412e-05,1.8800899999999998e-05
0.08,1.62963e-05,2.0765870000000002e-05,1.939417e-05
0.1,1.682203e-05,2.154193e-05,2.009907e-05
0.12,1.7366000000000003e-05,2.235057e-05,2.1059899999999998e-05
0.14,1.794933e-05,2.309283e-05,2.201397e-05
0.16,1.60893e-05,2.105313e-05,2.0125700000000003e-05
0.18,1.843137e-05,2.375167e-05,2.3076500000000002e-05
0.2,1.9594430000000002e-05,2.5190900000000003e-05,2.46966e-05
0.22,2.06578e-05,2.642353e-05,2.64009e-05
0.24,2.1649999999999998e-05,2.75918e-05,2.8074200000000003e-05
0.26,2.242803e-05,2.8667830000000002e-05,2.982617e-05
0.28,2.371033e-05,3.010633e-05,3.1566199999999996e-05
0.3,2.483807e-05,3.1542e-05,3.3661099999999995e-05
0.32,2.60786e-05,3.260293e-05,3.5791800000000005e-05
0.34,2.731083e-05,3.25962e-05,3.7920869999999996e-05
0.36,2.888283e-05,3.506503e-05,4.02506e-05
