V,IGS 150,IGS 151,IGS 152
-0.6,-0.00018912199999999998,-0.0004735947,-0.000230654
-0.58,-8.052387000000001e-05,-0.000222757,-9.549537e-05
-0.56,-4.8815e-05,-0.0001416413,-5.756897e-05
-0.54,-3.2312470000000004e-05,-9.75172e-05,-3.7850929999999996e-05
-0.52,-2.2010829999999998e-05,-6.985547e-05,-2.571227e-05
-0.5,-1.4805399999999999e-05,-5.077083e-05,-1.732347e-05
-0.48,-9.433813e-06,-3.7162699999999996e-05,-1.12188e-05
-0.46,-5.201497e-06,-2.690753e-05,-6.415047e-06
-0.44,-1.432896e-06,-1.92519e-05,-2.288819e-06
-0.42,1.0963269999999999e-06,-1.2305569999999999e-05,5.650537e-07
-0.4,3.22143e-06,-6.895067e-06,2.93215e-06
-0.38,5.00083e-06,-2.239146e-06,5.009573000000001e-06
-0.36,6.615717e-06,1.176596e-06,6.655453000000001e-06
-0.34,7.995766999999999e-06,3.892583e-06,8.248487e-06
-0.32,9.177526999999999e-06,6.641547e-06,9.721517e-06
-0.3,1.025675e-05,8.89897e-06,1.083453e-05
-0.28,1.11592e-05,1.068234e-05,1.174807e-05
-0.26,1.1998e-05,1.24252e-05,1.284083e-05
-0.24,1.2648500000000001e-05,1.41553e-05,1.3610929999999999e-05
-0.22,1.3441269999999999e-05,1.5629169999999997e-05,1.444023e-05
-0.2,1.39749e-05,1.675527e-05,1.5078800000000002e-05
-0.18,1.44275e-05,1.78019e-05,1.573643e-05
-0.16,1.504223e-05,1.891493e-05,1.649383e-05
-0.14,1.539273e-05,1.987257e-05,1.7075529999999998e-05
-0.12,1.5891400000000002e-05,2.0646229999999998e-05,1.7759800000000002e-05
-0.1,1.621723e-05,2.149147e-05,1.803757e-05
-0.08,1.6639199999999998e-05,2.24817e-05,1.8620500000000002e-05
-0.06,1.7011170000000002e-05,2.346277e-05,1.934173e-05
-0.04,1.7480469999999998e-05,2.432067e-05,2.005257e-05
-0.02,1.7792799999999997e-05,2.515117e-05,2.0711029999999997e-05
0.0,1.832483e-05,2.605833e-05,2.162697e-05
0.02,1.8645930000000003e-05,2.6928199999999997e-05,2.2331069999999998e-05
0.04,1.8990430000000002e-05,2.7889e-05,2.33757e-05
0.06,1.953287e-05,2.8702e-05,2.424637e-05
0.08,2.007007e-05,2.97292e-05,2.5427730000000003e-05
0.1,2.0669300000000002e-05,3.0727e-05,2.665757e-05
0.12,2.140123e-05,2.851803e-05,2.803683e-05
0.14,2.212487e-05,3.168977e-05,2.7058130000000003e-05
0.16,2.046187e-05,3.36917e-05,2.942563e-05
