V,IGS 150,IGS 151,IGS 152
-0.6,-0.00011670430000000001,-0.000125583,-0.000127403
-0.58,-7.445732999999999e-05,-8.42063e-05,-8.157573e-05
-0.56,-5.391077e-05,-6.375153e-05,-5.908967e-05
-0.54,-4.0520400000000006e-05,-5.026617e-05,-4.46991e-05
-0.52,-3.1184370000000004e-05,-4.046677e-05,-3.448803e-05
-0.5,-2.43064e-05,-3.297607e-05,-2.6890830000000002e-05
-0.48,-1.900793e-05,-2.698063e-05,-2.105077e-05
-0.46,-1.485267e-05,-2.212763e-05,-1.64441e-05
-0.44,-1.1423830000000001e-05,-1.800497e-05,-1.2696199999999999e-05
-0.42,-8.691947e-06,-1.45495e-05,-9.675820000000001e-06
-0.4,-6.347497e-06,-1.1614970000000001e-05,-7.152957e-06
-0.38,-4.283986999999999e-06,-9.09209e-06,-5.0028199999999995e-06
-0.36,-2.46366e-06,-6.88116e-06,-3.15825e-06
-0.34,-4.871702000000001e-07,-4.904269999999999e-06,-1.181761e-06
-0.32,7.375083000000001e-07,-3.11176e-06,2.320607e-07
-0.3,1.997153e-06,-1.151164e-06,1.417401e-06
-0.28,3.2683200000000002e-06,3.004072e-07,2.673467e-06
-0.26,4.3932600000000005e-06,1.583893e-06,3.8886069999999995e-06
-0.24,5.30521e-06,2.90513e-06,5.07871e-06
-0.22,6.22749e-06,4.208483e-06,6.14683e-06
-0.2,6.95427e-06,5.40058e-06,7.1128200000000005e-06
-0.18,7.76688e-06,6.47108e-06,8.025166999999999e-06
-0.16,8.3522e-06,7.484757000000001e-06,8.83579e-06
-0.14,8.865197e-06,8.337897e-06,9.604693e-06
-0.12,9.363097e-06,9.123479999999999e-06,1.031794e-05
-0.1,9.254613e-06,9.863779999999999e-06,1.087747e-05
-0.08,9.917032999999999e-06,1.0499950000000001e-05,1.146317e-05
-0.06,1.0370409999999999e-05,1.1057030000000001e-05,1.19829e-05
-0.04,1.0738770000000001e-05,1.156647e-05,1.242953e-05
-0.02,1.107533e-05,1.204887e-05,1.29112e-05
0.0,1.135387e-05,1.245657e-05,1.33157e-05
0.02,1.16078e-05,1.28492e-05,1.37087e-05
0.04,1.187523e-05,1.325767e-05,1.40969e-05
0.06,1.2149e-05,1.3629970000000001e-05,1.4528799999999999e-05
0.08,1.239497e-05,1.392843e-05,1.491743e-05
0.1,1.2691e-05,1.42805e-05,1.53116e-05
0.12,1.29505e-05,1.457333e-05,1.573283e-05
0.14,1.3350270000000001e-05,1.49135e-05,1.61298e-05
0.16,1.2295670000000001e-05,1.413903e-05,1.5480929999999998e-05
0.18,1.304983e-05,1.459953e-05,1.617153e-05
0.2,1.3736470000000001e-05,1.5288199999999997e-05,1.7003230000000002e-05
0.22,1.432617e-05,1.587587e-05,1.780587e-05
0.24,1.488803e-05,1.64473e-05,1.854023e-05
