V,IGS 150,IGS 151,IGS 152
-0.6,-0.0001304383,-0.0001414167,-0.0001415583
-0.58,-7.829387000000001e-05,-9.163340000000001e-05,-8.655907e-05
-0.56,-5.464473e-05,-6.787776999999999e-05,-6.103633e-05
-0.54,-4.017193e-05,-5.280773e-05,-4.505873e-05
-0.52,-3.036857e-05,-4.202407e-05,-3.411133e-05
-0.5,-2.3304229999999998e-05,-3.389793e-05,-2.617437e-05
-0.48,-1.800417e-05,-2.7490069999999998e-05,-2.0178169999999997e-05
-0.46,-1.39161e-05,-2.2354130000000002e-05,-1.558183e-05
-0.44,-1.06446e-05,-1.81031e-05,-1.1980930000000001e-05
-0.42,-7.874963e-06,-1.465403e-05,-8.970897e-06
-0.4,-5.495943e-06,-1.164833e-05,-6.5211469999999995e-06
-0.38,-3.414553e-06,-9.132627e-06,-4.50055e-06
-0.36,-1.227456e-06,-6.881953e-06,-2.63254e-06
-0.34,3.8703280000000004e-07,-4.87566e-06,-6.763147e-07
-0.32,1.829863e-06,-3.040233e-06,5.833314999999999e-07
-0.3,3.2424930000000003e-06,-9.24668e-07,1.835427e-06
-0.28,4.462797e-06,5.169705e-07,3.1097729999999997e-06
-0.26,5.25713e-06,1.9836399999999998e-06,4.3976300000000004e-06
-0.24,6.31531e-06,3.50038e-06,5.6091930000000005e-06
-0.22,7.296403e-06,4.820027e-06,6.628833e-06
-0.2,8.119343e-06,6.020863e-06,7.622240000000001e-06
-0.18,8.851687e-06,7.1005e-06,8.645057e-06
-0.16,9.369067e-06,8.071262999999999e-06,9.392897e-06
-0.14,9.726296999999999e-06,8.93672e-06,1.0152239999999999e-05
-0.12,1.0072000000000001e-05,9.71079e-06,1.07467e-05
-0.1,1.051624e-05,1.03728e-05,1.1444900000000001e-05
-0.08,1.091283e-05,1.09621e-05,1.1951530000000001e-05
-0.06,1.114487e-05,1.1522800000000001e-05,1.239377e-05
-0.04,1.1450869999999999e-05,1.196387e-05,1.276257e-05
-0.02,1.16126e-05,1.2512600000000001e-05,1.3132470000000001e-05
0.0,1.187523e-05,1.2938169999999999e-05,1.358987e-05
0.02,1.210493e-05,1.331647e-05,1.39908e-05
0.04,1.24172e-05,1.369197e-05,1.43655e-05
0.06,1.26644e-05,1.410883e-05,1.478513e-05
0.08,1.2822570000000001e-05,1.436433e-05,1.5331899999999998e-05
0.1,1.318653e-05,1.46838e-05,1.5789669999999997e-05
0.12,1.353263e-05,1.5048200000000001e-05,1.63448e-05
0.14,1.38454e-05,1.542133e-05,1.668693e-05
0.16,1.267113e-05,1.473387e-05,1.61632e-05
0.18,1.36324e-05,1.505653e-05,1.66277e-05
0.2,1.4417170000000001e-05,1.57972e-05,1.755953e-05
0.22,1.511257e-05,1.647113e-05,1.840393e-05
0.24,1.5722899999999998e-05,1.7023069999999998e-05,1.9246769999999998e-05
0.26,1.630627e-05,1.756747e-05,1.99771e-05
0.28,1.684427e-05,1.80785e-05,2.08016e-05
0.3,1.74626e-05,1.86634e-05,2.159873e-05
0.32,1.80896e-05,1.9257870000000002e-05,2.240973e-05
0.34,1.8764769999999998e-05,1.987617e-05,2.3394030000000002e-05
0.36,1.95185e-05,2.048293e-05,2.421377e-05
0.38,2.018333e-05,2.114493e-05,2.5153969999999998e-05
0.4,2.081753e-05,2.187847e-05,2.610087e-05
0.42,2.152087e-05,2.261757e-05,2.7081170000000002e-05
0.44,2.2268270000000003e-05,2.330023e-05,2.8184670000000003e-05
0.46,2.308927e-05,2.4060030000000002e-05,2.91896e-05
0.48,2.386887e-05,2.48551e-05,3.0165130000000002e-05
0.5,2.468187e-05,2.565067e-05,3.1224870000000005e-05
0.52,2.55402e-05,2.646527e-05,3.16755e-05
0.54,2.64307e-05,2.72409e-05,3.31064e-05
0.56,2.73621e-05,2.80102e-05,3.43247e-05
0.58,2.83567e-05,2.896943e-05,3.5525169999999994e-05
0.6,2.934177e-05,2.985277e-05,3.679557e-05
-0.6,-0.0002861643,-0.00029035899999999996,-0.00029998670000000005
-0.58,-0.0001621423,-0.00016535969999999998,-0.00017178269999999998
