V,IGS 150,IGS 151,IGS 152
-0.6,-6.07399e-05,-0.00019893099999999998,-7.464486999999999e-05
-0.58,-2.76772e-05,-9.59766e-05,-2.94308e-05
-0.56,-1.746577e-05,-6.116667e-05,-1.778003e-05
-0.54,-1.173577e-05,-4.209917e-05,-1.197853e-05
-0.52,-8.306503e-06,-2.955357e-05,-8.424122999999999e-06
-0.5,-5.935827e-06,-2.180297e-05,-6.01252e-06
-0.48,-3.996687e-06,-1.607737e-05,-4.1238470000000005e-06
-0.46,-2.695717e-06,-1.179457e-05,-2.732673e-06
-0.44,-1.396732e-06,-8.685987e-06,-1.4499829999999998e-06
-0.42,-3.858407e-07,-6.2116e-06,-6.008157e-07
-0.4,1.1920940000000001e-07,-4.27882e-06,1.426538e-07
-0.38,7.18038e-07,-2.586047e-06,9.099637e-08
-0.36,1.2652050000000001e-06,-1.3796480000000002e-06,1.1146079999999999e-06
-0.34,1.7527770000000002e-06,-2.03848e-07,1.7432369999999998e-06
-0.32,2.202593e-06,6.143233e-07,2.1561e-06
-0.3,2.60035e-06,1.2997769999999998e-06,2.6567769999999997e-06
-0.28,3.02275e-06,1.91649e-06,3.1781200000000002e-06
-0.26,3.31998e-06,2.622203e-06,3.4964069999999997e-06
-0.24,2.948047e-06,3.13759e-06,3.846887e-06
-0.22,3.003673e-06,3.625553e-06,4.228753e-06
-0.2,3.12726e-06,4.032853e-06,4.510483e-06
-0.18,3.2389170000000003e-06,4.213253e-06,4.804927e-06
-0.16,3.47535e-06,4.764e-06,5.2328900000000005e-06
-0.14,3.717343e-06,5.199510000000001e-06,5.646547e-06
-0.12,3.8031729999999997e-06,5.578599999999999e-06,5.88258e-06
-0.1,3.908473e-06,5.902847e-06,6.268423e-06
-0.08,4.086497e-06,6.316503e-06,6.61254e-06
-0.06,4.88202e-06,6.520349999999999e-06,6.955067e-06
-0.04,5.24203e-06,6.6634e-06,7.36912e-06
-0.02,5.778473e-06,6.910563e-06,7.612306999999999e-06
0.0,6.124977e-06,7.379057e-06,8.098683e-06
0.02,6.421407e-06,7.727543e-06,8.583467e-06
0.04,6.26405e-06,8.294583e-06,8.966127e-06
0.06,7.139447e-06,8.656979999999999e-06,9.333687000000001e-06
0.08,7.568992999999999e-06,9.085733e-06,9.861793e-06
0.1,8.203983e-06,7.567007e-06,1.027904e-05
0.12,8.602937000000001e-06,7.742643e-06,1.094223e-05
0.14,8.990367e-06,7.920263e-06,1.1499700000000001e-05
0.16,9.898747000000001e-06,8.171793000000001e-06,1.22122e-05
0.18,1.00267e-05,8.54055e-06,1.293143e-05
0.2,1.0651369999999999e-05,8.852483e-06,1.3614899999999999e-05
0.22,1.124143e-05,9.495402999999999e-06,1.419543e-05
0.24,1.1809670000000001e-05,9.966693e-06,1.4938530000000001e-05
0.26,1.235287e-05,1.038511e-05,1.58767e-05
0.28,1.3046230000000001e-05,1.0722500000000001e-05,1.690587e-05
0.3,1.379807e-05,1.12474e-05,1.68868e-05
0.32,1.429437e-05,1.1926100000000001e-05,1.810907e-05
0.34,1.51535e-05,1.298667e-05,1.954157e-05
0.36,1.584887e-05,1.390617e-05,1.8599029999999998e-05
0.38,1.669327e-05,1.490633e-05,2.057433e-05
0.4,1.77014e-05,1.689713e-05,2.222897e-05
0.42,1.83789e-05,1.81834e-05,2.396983e-05
0.44,1.937827e-05,1.94955e-05,2.556403e-05
0.46,2.035257e-05,2.082823e-05,2.72155e-05
0.48,2.161107e-05,2.234457e-05,2.911647e-05
0.5,2.303957e-05,2.384027e-05,3.203987e-05
0.52,2.45901e-05,2.488137e-05,3.41646e-05
0.54,2.653837e-05,2.61263e-05,3.688373e-05
0.56,2.87509e-05,2.736013e-05,4.037937e-05
0.58,3.16926e-05,2.91896e-05,4.45334e-05
0.6,3.469747e-05,3.08172e-05,4.8587330000000004e-05
-0.6,-0.000131239,-0.00022270970000000002,-0.000148697
-0.58,-4.671377e-05,-8.889197e-05,-5.3455399999999996e-05
-0.56,-2.697707e-05,-5.2058700000000004e-05,-3.0815199999999996e-05
-0.54,-1.7737570000000002e-05,-3.454727e-05,-2.046507e-05
-0.52,-1.24244e-05,-2.45841e-05,-1.450973e-05
