V,IGS 150,IGS 151,IGS 152
-0.6,-6.688993e-05,-0.00019325170000000002,-7.055242999999999e-05
-0.58,-3.160873e-05,-9.483697e-05,-3.296377e-05
-0.56,-2.08207e-05,-6.215453000000001e-05,-2.1697269999999998e-05
-0.54,-1.5015970000000001e-05,-4.430253e-05,-1.5703830000000002e-05
-0.52,-1.1353499999999999e-05,-3.29403e-05,-1.195867e-05
-0.5,-8.855263e-06,-2.50566e-05,-9.348787e-06
-0.48,-7.01944e-06,-1.941083e-05,-7.362363e-06
-0.46,-5.658867e-06,-1.518167e-05,-5.928277e-06
-0.44,-4.51525e-06,-1.199523e-05,-4.80612e-06
-0.42,-3.61681e-06,-9.549063e-06,-3.80397e-06
-0.4,-2.895593e-06,-7.501442999999999e-06,-3.039043e-06
-0.38,-2.1445769999999998e-06,-5.90523e-06,-2.259813e-06
-0.36,-1.4328940000000001e-06,-4.531543000000001e-06,-1.412232e-06
-0.34,-8.594993e-07,-3.426073e-06,-8.408230000000001e-07
-0.32,-4.1087460000000004e-07,-2.402863e-06,-2.817312e-07
-0.3,-7.6294e-08,-1.425345e-06,7.470453000000001e-08
-0.28,2.010664e-07,-6.119424e-07,3.707408e-07
-0.26,4.5498199999999996e-07,-4.609427e-08,6.918127e-07
-0.24,7.025393e-07,3.568331e-07,1.0399000000000002e-06
-0.22,9.01221e-07,8.221483e-07,1.349844e-06
-0.2,1.222691e-06,1.242558e-06,1.6888e-06
-0.18,1.480183e-06,1.615287e-06,2.036493e-06
-0.16,1.7213830000000001e-06,2.013443e-06,2.417167e-06
-0.14,1.981657e-06,2.385773e-06,2.750557e-06
-0.12,2.2292130000000003e-06,2.723133e-06,3.0922870000000003e-06
-0.1,2.515713e-06,2.853473e-06,3.475743e-06
-0.08,2.780757e-06,3.292163e-06,3.835757e-06
-0.06,3.138383e-06,3.672837e-06,4.214447e-06
-0.04,3.459853e-06,4.015763e-06,4.654723e-06
-0.02,3.772977e-06,4.3443830000000004e-06,5.088647e-06
0.0,4.109147e-06,4.739363e-06,5.5797900000000005e-06
0.02,4.425447e-06,5.0803e-06,6.009343e-06
0.04,4.8466529999999995e-06,5.467733e-06,6.5128e-06
0.06,5.2217669999999994e-06,5.884173e-06,7.030963e-06
0.08,5.65807e-06,6.212793e-06,7.536012999999999e-06
0.1,5.986293e-06,6.652277e-06,8.092323e-06
0.12,6.519553e-06,7.14064e-06,8.728503000000001e-06
0.14,7.009507e-06,6.855327e-06,9.337663000000001e-06
0.16,6.280743e-06,7.616676999999999e-06,8.582673e-06
0.18,7.418793e-06,8.31723e-06,1.00986e-05
0.2,8.14239e-06,9.106400000000001e-06,1.11282e-05
0.22,8.889437e-06,9.83556e-06,1.2044899999999999e-05
0.24,9.593187000000001e-06,1.061121e-05,1.2908769999999999e-05
0.26,1.020432e-05,1.130423e-05,1.386803e-05
0.28,1.0796399999999999e-05,1.2243170000000001e-05,1.472157e-05
0.3,1.15021e-05,1.30125e-05,1.573883e-05
0.32,1.212003e-05,1.394113e-05,1.6686530000000002e-05
0.34,1.2868630000000001e-05,1.478633e-05,1.776973e-05
0.36,1.379843e-05,1.56804e-05,1.885373e-05
0.38,1.449627e-05,1.660703e-05,2.001883e-05
0.4,1.53029e-05,1.750073e-05,2.1291570000000003e-05
0.42,1.624227e-05,1.857953e-05,2.2644999999999997e-05
0.44,1.725873e-05,1.9653230000000002e-05,2.41844e-05
0.46,1.835743e-05,2.070587e-05,2.595783e-05
0.48,1.953443e-05,2.17827e-05,2.784847e-05
0.5,2.098877e-05,2.277373e-05,2.9994629999999998e-05
0.52,2.254603e-05,2.398807e-05,3.236453e-05
0.54,2.442557e-05,2.521913e-05,3.51679e-05
0.56,2.652607e-05,2.65658e-05,3.8441429999999996e-05
0.58,2.90704e-05,2.783893e-05,4.220407e-05
0.6,3.111203e-05,2.9277800000000003e-05,4.662037e-05
-0.6,-0.0001336837,-0.00021413630000000002,-0.000156231
-0.58,-4.974087e-05,-8.86003e-05,-5.623577e-05
-0.56,-2.998073e-05,-5.5439869999999995e-05,-3.3562969999999995e-05
-0.54,-2.0815530000000003e-05,-3.88086e-05,-2.322593e-05
-0.52,-1.5440769999999998e-05,-2.8670229999999997e-05,-1.720787e-05
-0.5,-1.192727e-05,-2.1886030000000002e-05,-1.334073e-05
-0.48,-9.479127000000001e-06,-1.70414e-05,-1.051703e-05
-0.46,-7.701313e-06,-1.338323e-05,-8.473793000000001e-06
-0.44,-6.253323e-06,-1.067123e-05,-6.9657969999999996e-06
-0.42,-5.1649400000000006e-06,-8.54969e-06,-5.7137e-06
-0.4,-4.27365e-06,-6.87639e-06,-4.6797569999999995e-06
-0.38,-3.48012e-06,-5.50548e-06,-3.816287e-06
-0.36,-2.8502969999999998e-06,-4.332063e-06,-3.0934769999999997e-06
-0.34,-2.242723e-06,-3.379983e-06,-2.355577e-06
