V,gm 150,gm 151,gm 152
-0.6,3.073000000000027e-05,1.2948499999999819e-05,2.551199999999981e-05
-0.58,1.5541500000000163e-05,4.165000000000418e-06,1.3031000000000154e-05
-0.56,2.116000000000357e-06,5.977500000000063e-06,1.4410000000008964e-06
-0.54,5.982499999999599e-06,8.262499999999937e-06,4.607499999999959e-06
-0.52,8.070749999999818e-06,9.74249999999982e-06,6.568999999999672e-06
-0.5,9.255000000000114e-06,1.0728250000000081e-05,7.7934999999996e-06
-0.48,1.0169999999999884e-05,1.135925000000015e-05,8.461750000000445e-06
-0.46,1.0969999999999903e-05,1.1928499999999762e-05,9.061500000000482e-06
-0.44,1.1436750000000124e-05,1.2370000000000263e-05,9.53074999999982e-06
-0.42,1.1672500000000068e-05,1.2642500000000379e-05,9.941749999999895e-06
-0.4,1.1970749999999641e-05,1.2931749999999919e-05,1.0292500000000458e-05
-0.38,1.233325000000009e-05,1.3347499999999662e-05,1.0360750000000096e-05
-0.36,1.2484249999999975e-05,1.3688999999999889e-05,1.0541749999999801e-05
-0.34,1.252500000000021e-05,1.3694999999999766e-05,1.073924999999993e-05
-0.32,1.2603249999999788e-05,1.3805999999999888e-05,1.0799250000000007e-05
-0.3,1.2684250000000088e-05,1.385400000000021e-05,1.0973250000000361e-05
-0.28,1.2732499999999845e-05,1.3879999999999969e-05,1.0947500000000037e-05
-0.26,1.2714999999999949e-05,1.4099250000000358e-05,1.0834249999999799e-05
-0.24,1.2542500000000106e-05,1.4422499999999783e-05,1.0807499999999134e-05
-0.22,1.2365749999999898e-05,1.446674999999991e-05,1.0716750000000063e-05
-0.2,1.2334249999999998e-05,1.4329999999999898e-05,1.0585750000000494e-05
-0.18,1.211424999999957e-05,1.4469999999999934e-05,1.0289999999999605e-05
-0.16,1.171324999999987e-05,1.4644000000000289e-05,1.0126750000000097e-05
-0.14,1.1380000000000504e-05,1.462574999999992e-05,1.0181500000000336e-05
-0.12,1.1173249999999607e-05,1.4659249999999634e-05,9.924999999999604e-06
-0.1,1.089249999999993e-05,1.4662500000000526e-05,9.524250000000206e-06
-0.08,1.0366000000000368e-05,1.4608250000000024e-05,9.020750000000247e-06
-0.06,9.705000000000043e-06,1.4525000000000041e-05,8.575750000000288e-06
-0.04,9.286500000000013e-06,1.440000000000035e-05,8.375749999999741e-06
-0.02,8.743999999999766e-06,1.4339999999999839e-05,7.82424999999946e-06
0.0,7.933500000000069e-06,1.4279999999999762e-05,7.376000000000344e-06
0.02,7.208500000000038e-06,1.3969250000000263e-05,6.908250000000216e-06
0.04,6.449999999999859e-06,1.3495999999999994e-05,6.36499999999993e-06
0.06,5.738999999999831e-06,1.3202499999999655e-05,5.918499999999893e-06
0.08,5.008249999999791e-06,1.277649999999967e-05,5.3632500000002845e-06
0.1,4.259250000000249e-06,1.2419000000000058e-05,4.8332499999999626e-06
0.12,3.643250000000091e-06,1.2157500000000224e-05,4.364250000000059e-06
0.14,2.975749999999718e-06,1.173174999999924e-05,3.926750000000055e-06
0.16,2.723499999999785e-06,1.2471000000000444e-05,3.800749999999589e-06
0.18,2.516750000000189e-06,1.1843250000000399e-05,3.8515000000001985e-06
0.2,1.5407500000000005e-06,9.883249999999896e-06,3.077499999999938e-06
0.22,6.10749999999452e-07,9.455000000000227e-06,2.2785000000002595e-06
0.24,4.0500000000019687e-07,9.125750000000057e-06,2.1224999999999716e-06
0.26,1.0000000000027348e-07,8.465999999999942e-06,1.918999999999966e-06
0.28,2.3674999999985166e-07,7.861749999999671e-06,1.747500000000464e-06
0.3,3.907499999998912e-07,7.4207500000002084e-06,1.6384999999992898e-06
0.32,6.53250000000067e-07,6.927500000000059e-06,1.3282499999995277e-06
0.34,1.1242500000002188e-06,6.4667500000001495e-06,9.757500000003201e-07
0.36,1.6582499999997363e-06,6.0992500000001636e-06,8.709999999999447e-07
0.38,1.8640000000002925e-06,5.6214999999996615e-06,8.025000000000046e-07
0.4,2.1367499999998436e-06,5.004999999999767e-06,5.450000000002328e-07
0.42,2.52999999999972e-06,4.4009999999997974e-06,2.2824999999998888e-07
0.44,2.8892499999997115e-06,3.7582499999998416e-06,3.825000000024989e-08
0.46,3.3225000000002176e-06,3.199000000000604e-06,1.1750000000016955e-07
0.48,3.6214999999998297e-06,2.8807499999998487e-06,3.632500000000545e-07
0.5,3.785000000000073e-06,2.4842499999999483e-06,6.139999999999098e-07
0.52,4.153499999999966e-06,1.7375000000000897e-06,9.849999999997881e-07
0.54,4.5584999999997294e-06,1.1842499999998625e-06,1.2760000000001416e-06
0.56,4.896500000000498e-06,6.817499999993773e-07,1.5485000000006917e-06
0.58,5.076499999999429e-06,1.0750000000022894e-07,1.9057499999995675e-06
0.6,5.221509039547569e-06,1.9171610169420964e-07,2.1232735875700723e-06
-0.6,4.6187271751413524e-05,6.0432733050847474e-05,4.399107019774015e-05
-0.58,2.8039000000000102e-05,3.6256750000000174e-05,2.7139000000000243e-05
-0.56,6.1042499999997e-06,7.814999999999992e-06,6.9057499999997975e-06
-0.54,6.875000000002539e-07,1.0074999999987871e-07,5.075000000004555e-07
-0.52,3.6032499999998947e-06,3.759999999999788e-06,2.977500000000098e-06
-0.5,5.901499999999733e-06,6.2557499999997546e-06,5.049000000000459e-06
-0.48,8.005999999999638e-06,7.947500000000073e-06,6.525749999999886e-06
-0.46,9.056749999999947e-06,9.116750000000024e-06,7.523499999999902e-06
-0.44,9.690750000000171e-06,1.0106749999999783e-05,8.08499999999969e-06
-0.42,1.0226749999999937e-05,1.0946500000000563e-05,8.699000000000033e-06
-0.4,1.080325000000007e-05,1.1434999999999744e-05,9.294249999999837e-06
-0.38,1.1207500000000228e-05,1.1821750000000006e-05,9.70599999999995e-06
-0.36,1.1519250000000068e-05,1.2112499999999624e-05,9.930750000000047e-06
-0.34,1.1583250000000208e-05,1.2482499999999595e-05,1.0144000000000125e-05
-0.32,1.1785000000000267e-05,1.2775750000000065e-05,1.0154249999999934e-05
