V,gm 150,gm 151,gm 152
-0.6,3.2000000000002374e-06,8.69649999999985e-06,3.8049999999998695e-06
-0.58,1.828999999999633e-06,4.872499999999686e-06,2.0857499999997996e-06
-0.56,4.290000000001411e-07,9.225000000003761e-07,3.3825000000020297e-07
-0.54,3.310000000001159e-07,6.51499999999687e-07,3.2500000000002145e-07
-0.52,2.7350000000024056e-07,5.642499999996414e-07,3.2500000000002145e-07
-0.5,2.5325000000005725e-07,5.700000000003012e-07,2.1599999999993152e-07
-0.48,3.239999999998973e-07,4.874999999999238e-07,2.517499999999794e-07
-0.46,3.824999999998968e-07,3.999999999997929e-07,2.915000000000903e-07
-0.44,3.2249999999981946e-07,3.990000000001024e-07,2.932500000002534e-07
-0.42,3.557499999998822e-07,4.000000000000097e-07,3.3425000000014e-07
-0.4,3.4349999999982485e-07,4.6750000000004253e-07,3.559999999997506e-07
-0.38,4.5750000000031876e-07,4.1850000000002996e-07,3.5249999999985814e-07
-0.36,3.615000000003251e-07,3.717499999999173e-07,2.2074999999981658e-07
-0.34,1.8599999999989285e-07,3.674999999999859e-07,1.9325000000019674e-07
-0.32,3.1674999999981024e-07,4.0674999999992627e-07,2.6000000000019063e-07
-0.3,2.924999999999976e-07,5.040000000001293e-07,3.649999999997839e-07
-0.28,2.1575000000006311e-07,4.864999999997996e-07,3.507499999999119e-07
-0.26,1.890000000000485e-07,4.5850000000000925e-07,2.842500000002201e-07
-0.24,3.1674999999981024e-07,4.0350000000011904e-07,2.8174999999980126e-07
-0.22,3.609999999997209e-07,4.6400000000015006e-07,2.392499999998368e-07
-0.2,1.9500000000014298e-07,4.1999999999989095e-07,2.507500000000721e-07
-0.18,1.7575000000008383e-07,3.3424999999992315e-07,1.2999999999987848e-07
-0.16,2.725000000001164e-07,3.8825000000012287e-07,7.675000000015135e-08
-0.14,2.2000000000021135e-07,4.7500000000021483e-07,1.3750000000026762e-07
-0.12,1.0999999999978041e-07,3.517500000002529e-07,2.2749999999973312e-07
-0.1,1.807499999998373e-07,3.099999999998937e-07,1.932499999999799e-07
-0.08,2.0574999999990566e-07,4.6649999999970153e-07,9.674999999981573e-08
-0.06,2.7500000000270364e-08,3.925000000002711e-07,1.842500000003803e-07
-0.04,1.3500000000483611e-08,3.292500000001697e-07,1.0900000000008993e-07
-0.02,1.4500000000000624e-07,3.1000000000011053e-07,8.074999999978065e-08
0.0,2.0399999999995942e-07,3.1500000000008084e-07,1.2600000000003234e-07
0.02,1.9425000000010406e-07,2.749999999998847e-07,3.5750000000264737e-08
0.04,9.349999999957483e-08,2.542499999999646e-07,5.175000000008298e-08
0.06,2.324999999968845e-08,2.667499999996735e-07,8.650000000000671e-08
0.08,3.9999999998461405e-09,3.139999999999567e-07,3.325000000006274e-08
0.1,1.1099999999990458e-07,2.9000000000001247e-07,1.23999999999784e-07
0.12,5.2500000000338734e-08,1.5499999999994685e-07,6.425000000022558e-08
0.14,8.499999999992888e-08,1.5399999999982268e-07,6.499999999983082e-08
0.16,6.650000000034233e-08,2.0425000000004467e-07,6.175000000024043e-08
0.18,2.149999999974221e-08,2.275000000001668e-07,1.89999999999739e-08
0.2,4.1500000000057116e-08,1.8499999999998552e-07,5.8250000000131114e-08
0.22,6.7500000001333854e-09,2.050000000000836e-07,7.749999999997342e-08
0.24,4.400000000004227e-08,1.8250000000000037e-07,3.67500000003889e-08
0.26,2.0000000000098064e-08,2.592499999999349e-07,1.749999999946239e-09
0.28,3.5750000000047896e-08,2.649999999999441e-07,5.324999999994397e-08
0.3,1.6175000000029707e-07,2.2500000000083217e-08,3.1749999999768075e-08
0.32,1.3499999999984878e-07,6.67499999999939e-08,3.1750000000201756e-08
0.34,6.899999999967696e-08,1.342500000000267e-07,4.174999999970869e-08
0.36,1.9174999999990207e-07,1.4749999999977455e-07,1.0599999999993427e-07
0.38,9.500000000030318e-08,2.899999999991451e-08,2.1749999999827463e-08
0.4,1.0424999999998803e-07,4.999999999970306e-09,5.0999999999827225e-08
0.42,7.075000000005688e-08,7.500000002557544e-10,1.9999999999881224e-08
0.44,8.749999999991404e-08,9.925000000001773e-08,1.4000000000003593e-08
0.46,6.750000000024965e-08,7.075000000005688e-08,1.0424999999977119e-07
0.48,2.1750000000044303e-08,1.124999999999824e-07,8.750000000013088e-08
0.5,2.7500000000053523e-08,1.1750000000016955e-07,2.4250000000029456e-08
0.52,9.350000000000851e-08,3.075000000007759e-08,3.0000000000038676e-08
0.54,1.5749999999971516e-07,5.900000000017003e-08,7.149999999987895e-08
0.56,1.2575000000016393e-07,1.9750000000034497e-07,1.2750000000011016e-07
0.58,7.500000000020511e-08,1.3924999999956333e-07,6.499999999983082e-08
0.6,1.2057344632737641e-07,4.071426553696538e-08,8.951553672251781e-09
-0.6,6.635528248587295e-06,8.718849858757594e-06,7.35376031073395e-06
-0.58,3.4532499999997014e-06,4.730750000000138e-06,3.9499999999999605e-06
-0.56,3.157499999999029e-07,7.532499999999068e-07,4.967500000002591e-07
-0.54,2.734999999998069e-07,4.74999999999998e-07,2.7425000000006264e-07
-0.52,3.167500000000271e-07,2.9424999999994386e-07,2.4399999999972187e-07
-0.5,3.6500000000000074e-07,3.9175000000001535e-07,2.5499999999978665e-07
-0.48,2.6249999999995895e-07,3.1500000000008084e-07,2.175000000002262e-07
-0.46,2.074999999998519e-07,2.532499999998404e-07,2.915000000000903e-07
-0.44,3.0824999999994745e-07,5.115000000003016e-07,2.800000000002887e-07
-0.42,3.00749999999992e-07,4.650000000000574e-07,2.325000000001371e-07
-0.4,3.567500000002232e-07,4.2750000000006325e-07,2.567499999997329e-07
-0.38,3.6500000000000074e-07,4.3000000000026524e-07,1.8250000000000037e-07
-0.36,2.0825000000010765e-07,3.8499999999988196e-07,2.6500000000016094e-07
-0.34,2.4324999999968296e-07,4.3924999999973326e-07,2.942500000001607e-07
-0.32,3.649999999997839e-07,3.560000000001843e-07,2.2749999999994996e-07
-0.3,2.942500000001607e-07,4.600000000000871e-07,2.3499999999990542e-07
-0.28,2.4000000000009257e-07,5.557499999999955e-07,2.5074999999985526e-07
-0.26,2.792499999998161e-07,4.4824999999976654e-07,2.4325000000011664e-07
-0.24,2.117499999997833e-07,3.424999999999175e-07,3.4349999999982485e-07
-0.22,2.649999999999441e-07,3.932500000000932e-07,2.949999999999828e-07
-0.2,2.0750000000006874e-07,5.092500000001849e-07,1.9500000000014298e-07
-0.18,2.1825000000004827e-07,3.184999999997565e-07,1.6924999999981885e-07
-0.16,3.324999999999769e-07,2.1650000000010203e-07,7.250000000000312e-08
-0.14,2.024999999998816e-07,2.89000000000322e-07,7.825000000022918e-08
-0.12,1.4750000000020823e-07,2.4924999999999427e-07,9.07499999999381e-08
-0.1,1.8425000000016345e-07,3.8250000000011365e-07,2.535000000001425e-07
-0.08,2.2749999999994996e-07,4.242500000000392e-07,3.4824999999992674e-07
-0.06,8.325000000019948e-08,3.0425000000031815e-07,1.5325000000021745e-07
-0.04,4.3250000000220196e-08,2.4400000000015555e-07,2.7500000000487204e-08
-0.02,8.174999999990482e-08,1.9574999999996505e-07,3.424999999997007e-08
0.0,1.9500000000014298e-07,3.110000000002347e-07,4.249999999996444e-08
0.02,1.965000000002208e-07,3.4675000000006576e-07,1.3824999999987285e-07
0.04,9.249999999684858e-09,2.039999999993089e-07,1.4849999999946503e-07
0.06,2.4249999999812616e-08,2.0324999999970367e-07,5.92499999998216e-08
0.08,2.0750000000136978e-08,1.8999999999995583e-07,7.649999999984926e-08
0.1,5.749999999987536e-08,2.3174999999988136e-07,5.749999999987536e-08
0.12,1.2249999999970618e-07,2.9924999999991417e-07,6.600000000017182e-08
0.14,3.0000000000038676e-08,1.6425000000006539e-07,1.0149999999991763e-07
0.16,2.2499999999866377e-08,1.8825000000022643e-07,4.749999999993475e-08
0.18,3.9249999999940374e-08,2.907500000000514e-07,1.4399999999988207e-07
0.2,1.0000000000157452e-08,1.999999999996796e-07,8.17500000003385e-08
0.22,6.249999999984567e-08,8.925000000029396e-08,2.7500000000053523e-08
0.24,7.500000002557544e-10,8.35000000000679e-08,2.2500000000300058e-08
0.26,5.8250000000131114e-08,8.399999999980472e-08,7.39999999998641e-08
0.28,9.07499999999381e-08,1.2400000000000085e-07,1.4250000000088844e-08
0.3,7.675000000015135e-08,1.792499999999763e-07,1.2499999999925765e-08
0.32,2.324999999990529e-08,1.550000000001637e-07,1.500000000012776e-08
0.34,2.675000000001461e-08,1.2500000000034185e-07,7.499999999998827e-08
0.36,1.025000000000418e-07,2.675000000023145e-08,5.000000000035358e-08
0.38,1.4999999999910918e-08,8.174999999990482e-08,2.499999999963469e-08
0.4,8.074999999978065e-08,1.9249999999994098e-07,2.5750000000324125e-08
0.42,2.5074999999985526e-07,2.949999999999828e-07,1.7249999999962608e-07
0.44,1.7250000000005976e-07,9.250000000010118e-08,6.249999999984567e-08
0.46,1.2499999999990817e-07,1.474999999999914e-07,1.8649999999962967e-07
0.48,9.750000000007149e-08,2.0000000000098064e-08,7.500000000020511e-08
0.5,1.0674999999997319e-07,1.7500000000329752e-08,8.85000000000382e-08
0.52,9.824999999989356e-08,4.3250000000003355e-08,8.825000000016979e-08
0.54,4.575000000020535e-08,1.749999999967923e-08,9.07499999999381e-08
0.56,8.350000000028474e-08,8.899999999999186e-08,1.2425000000030294e-07
0.58,4.1500000000273957e-08,1.3924999999956333e-07,1.292500000000564e-07
0.6,2.352937853108991e-07,1.2677217514122217e-07,1.0407005649711749e-07
-0.6,6.528683615818903e-06,8.332719350281816e-06,7.634912994349246e-06
-0.58,3.4567499999998107e-06,4.416749999999964e-06,3.989999999999723e-06
-0.56,3.7750000000014335e-07,5.250000000003516e-07,3.925000000002711e-07
-0.54,2.5000000000025e-07,3.3924999999989346e-07,3.932500000000932e-07
-0.52,2.8250000000027385e-07,2.9424999999994386e-07,3.2500000000002145e-07
-0.5,3.5749999999982844e-07,4.25750000000117e-07,2.1825000000004827e-07
-0.48,3.042499999998845e-07,4.5175000000030954e-07,2.99250000000131e-07
-0.46,2.842499999997864e-07,2.65749999999983e-07,2.5424999999974773e-07
-0.44,3.0149999999981407e-07,2.3074999999997403e-07,2.2150000000028917e-07
-0.42,3.0075000000020884e-07,4.117500000001134e-07,2.9000000000001247e-07
-0.4,3.1925000000022907e-07,3.6925000000014897e-07,3.192499999997954e-07
-0.38,3.767499999998876e-07,3.2750000000022345e-07,2.582500000002444e-07
-0.36,3.632500000000545e-07,4.5649999999997776e-07,1.932499999999799e-07
-0.34,2.782500000001256e-07,3.9250000000005426e-07,2.4349999999998505e-07
-0.32,3.092499999998548e-07,3.2674999999975085e-07,2.8249999999962333e-07
-0.3,2.849999999998253e-07,3.9749999999980773e-07,2.9749999999996793e-07
-0.28,2.2074999999981658e-07,3.5500000000006013e-07,1.817500000001783e-07
-0.26,2.2824999999998888e-07,3.467500000002826e-07,9.650000000016416e-08
-0.24,2.2249999999997966e-07,4.782499999998052e-07,1.5324999999978377e-07
-0.22,1.8599999999989285e-07,4.624999999998554e-07,1.5425000000012477e-07
-0.2,2.0100000000023745e-07,4.0500000000019687e-07,2.3000000000015196e-07
-0.18,2.290000000000278e-07,4.150000000001375e-07,2.9074999999983454e-07
-0.16,3.024999999997214e-07,3.859999999997893e-07,2.3099999999984244e-07
-0.14,2.3350000000004444e-07,3.724999999999562e-07,1.7000000000029145e-07
-0.12,1.7499999999982807e-07,3.7499999999994135e-07,1.215000000000157e-07
-0.1,1.3650000000014345e-07,3.7400000000003403e-07,1.784999999999374e-07
-0.08,9.574999999990841e-08,3.549999999998433e-07,2.1599999999993152e-07
-0.06,1.2100000000006203e-07,2.892500000001904e-07,1.2150000000023253e-07
-0.04,4.6750000000546355e-08,2.765000000001794e-07,4.5000000000383275e-08
-0.02,1.482500000000303e-07,2.5250000000001833e-07,1.6850000000043046e-07
0.0,1.3399999999994146e-07,2.9350000000033863e-07,2.432499999998998e-07
0.02,3.249999999980699e-08,3.042499999998845e-07,7.649999999984926e-08
0.04,1.3499999999963194e-07,2.3399999999956442e-07,9.249999999901698e-09
0.06,9.324999999992326e-08,2.6749999999992925e-07,5.349999999981238e-08
0.08,1.7500000001630794e-09,2.1675000000018728e-07,9.649999999994732e-08
0.1,3.0000000000038676e-08,2.3824999999971265e-07,5.4999999999673366e-08
0.12,1.075000000000121e-07,2.63249999999781e-07,4.674999999989583e-08
0.14,1.89999999999739e-08,1.2075000000041046e-07,5.6750000000053286e-08
0.16,1.2750000000011016e-07,6.000000000007735e-08,1.0175000000000288e-07
0.18,1.1000000000064777e-08,9.924999999980089e-08,6.175000000002359e-08
0.2,1.3575000000010454e-07,1.6849999999999678e-07,1.4999999999997654e-07
0.22,8.599999999983621e-08,1.3675000000001186e-07,1.750000000011291e-08
0.24,2.0750000000136978e-08,1.2899999999997115e-07,4.999999999970306e-08
0.26,4.000000000279821e-09,5.75000000000922e-08,4.9000000000012575e-08
0.28,6.074999999968259e-08,3.100000000016284e-08,3.3499999999931154e-08
0.3,2.5750000000107284e-08,1.5324999999978377e-07,4.000000000279821e-09
0.32,3.7500000000210976e-08,1.9075000000021158e-07,2.2499999999866377e-08
0.34,8.57499999999678e-08,1.2175000000010094e-07,0.0
0.36,6.099999999998468e-08,5.249999999968821e-08,9.175000000006227e-08
0.38,2.100000000022223e-08,1.049999999998101e-07,5.174999999986614e-08
0.4,3.900000000007196e-08,1.624999999999023e-07,3.32499999998459e-08
0.42,7.900000000026809e-08,1.124999999999824e-07,1.749999999989607e-08
0.44,1.350000000004993e-08,1.0749999999979526e-08,9.99999999998398e-08
0.46,3.0000000000038676e-08,1.500000000012776e-08,1.6675000000026738e-07
0.48,7.250000000000312e-08,6.7500000001333854e-09,5.350000000002922e-08
0.5,5.4999999999890206e-08,5.249999999990505e-08,2.100000000000539e-08
0.52,1.8249999999934985e-08,3.5749999999831056e-08,3.250000000024067e-08
0.54,1.1174999999994349e-07,7.649999999984926e-08,1.3350000000020464e-07
0.56,1.5000000000019338e-07,3.1500000000116504e-08,1.1150000000029192e-07
0.58,1.4924999999993763e-07,5.149999999956405e-08,1.1749999999930219e-07
0.6,2.411567796607791e-07,3.651977401118744e-08,1.7369152542317437e-07
-0.6,6.423419491524609e-06,7.982124293784594e-06,7.300884745761911e-06
-0.58,3.444999999999707e-06,4.2099999999997174e-06,3.8124999999999097e-06
-0.56,4.135000000002765e-07,4.432500000000131e-07,4.317500000002115e-07
-0.54,2.842500000002201e-07,4.082500000000041e-07,3.657499999998228e-07
-0.52,3.16499999999725e-07,5.050000000002535e-07,2.607500000000127e-07
