V,gm 150,gm 151,gm 152
-0.6,3.4900000000001957e-06,9.576999999999781e-06,3.7679999999999917e-06
-0.58,1.9242499999998046e-06,5.0717499999997605e-06,2.0215000000000077e-06
-0.56,3.075000000001254e-07,6.55750000000269e-07,3.385000000002882e-07
-0.54,3.239999999998973e-07,7.22500000000046e-07,3.542499999998044e-07
-0.52,3.0675000000008647e-07,5.707499999999064e-07,2.4074999999991464e-07
-0.5,2.749999999998847e-07,4.024999999999949e-07,1.7075000000011352e-07
-0.48,3.139999999999567e-07,3.860000000004398e-07,2.3575000000016118e-07
-0.46,2.659999999998514e-07,3.742499999996856e-07,3.1100000000001786e-07
-0.44,3.13500000000003e-07,4.624999999998554e-07,3.0100000000007725e-07
-0.42,3.7400000000025087e-07,4.150000000003543e-07,3.0575000000017914e-07
-0.4,2.6324999999999786e-07,3.3075000000003067e-07,2.649999999999441e-07
-0.38,3.184999999999733e-07,4.1824999999972787e-07,3.217499999999974e-07
-0.36,3.707499999997931e-07,4.1424999999988173e-07,2.3324999999995918e-07
-0.34,1.940000000000188e-07,4.0174999999995596e-07,1.6825000000012837e-07
-0.32,2.074999999998519e-07,3.407500000001881e-07,2.5424999999974773e-07
-0.3,3.7850000000005067e-07,3.4399999999999535e-07,2.1325000000007796e-07
-0.28,2.775000000000867e-07,3.6000000000003043e-07,2.6249999999995895e-07
-0.26,1.4824999999981346e-07,4.1250000000015233e-07,1.9174999999990207e-07
-0.24,2.79999999999855e-07,3.4824999999992674e-07,2.150000000000242e-07
-0.22,2.2575000000022057e-07,2.2749999999994996e-07,2.575000000002055e-07
-0.2,2.5000000000025e-07,3.167500000000271e-07,2.1149999999991488e-07
-0.18,2.79999999999855e-07,3.750000000001582e-07,2.0925000000001498e-07
-0.16,1.9174999999990207e-07,3.167500000002439e-07,1.860000000001097e-07
-0.14,2.692499999998755e-07,3.31749999999938e-07,1.9149999999981682e-07
-0.12,3.042499999998845e-07,4.782499999998052e-07,2.2074999999981658e-07
-0.1,1.6324999999994122e-07,4.767500000003779e-07,1.8000000000001522e-07
-0.08,8.250000000428054e-09,3.600000000002473e-07,1.4500000000000624e-07
-0.06,1.1350000000032341e-07,3.1500000000008084e-07,1.6000000000035083e-07
-0.04,1.7175000000023768e-07,2.9325000000003654e-07,2.499999999551472e-09
-0.02,1.6324999999994122e-07,2.915000000000903e-07,4.5000000000166435e-08
0.0,1.5574999999998576e-07,2.9250000000021446e-07,1.749999999989607e-08
0.02,1.7075000000011352e-07,3.6099999999993776e-07,2.0350000000000576e-07
0.04,1.0749999999979526e-07,3.6349999999970607e-07,1.1999999999972102e-07
0.06,1.6749999999857157e-08,2.3149999999957926e-07,6.175000000002359e-08
0.08,3.825000000003305e-08,2.1499999999980736e-07,4.175000000014237e-08
0.1,3.999999999997929e-08,1.9850000000003545e-07,4.575000000020535e-08
0.12,3.400000000010166e-08,2.3825000000014633e-07,7.850000000009759e-08
0.14,1.2999999999987848e-07,3.2500000000002145e-07,8.499999999992888e-08
0.16,1.0999999999999725e-07,3.267499999999677e-07,8.249999999994373e-08
0.18,7.500000000020511e-08,2.2900000000024463e-07,3.500000000022582e-08
0.2,7.674999999993451e-08,2.9074999999983454e-07,7.499999999977143e-08
0.22,1.3249999999964679e-08,1.6675000000026738e-07,1.2500000000359446e-08
0.24,1.1750000000103691e-08,1.749999999946239e-09,2.8249999999875597e-08
0.26,6.749999999981597e-08,1.5499999999994685e-07,2.499999999963469e-08
0.28,9.399999999974533e-08,9.399999999996217e-08,6.25000000000625e-08
0.3,2.8250000000092437e-08,5.325000000016081e-08,3.500000000000898e-08
0.32,1.1000000000064777e-08,8.675000000009196e-08,7.250000000000312e-08
0.34,1.0324999999986387e-07,6.749999999981597e-08,1.0925000000039202e-07
0.36,1.1749999999995271e-07,7.574999999981034e-08,5.75000000000922e-09
0.38,4.6750000000112674e-08,1.6099999999982448e-07,6.924999999976221e-08
0.4,1.5600000000028785e-07,1.4675000000016931e-07,1.0924999999995834e-07
0.42,2.192499999995219e-07,1.2400000000021769e-07,3.250000000024067e-09
0.44,1.940000000000188e-07,7.17499999999642e-08,2.7499999999836683e-08
0.46,3.099999999972916e-08,5.900000000017003e-08,4.3250000000003355e-08
0.48,1.1325000000023816e-07,2.5750000000324125e-08,3.250000000002383e-08
0.5,4.674999999989583e-08,2.2499999999866377e-08,4.749999999993475e-08
0.52,1.8174999999974462e-07,5.0749999999741974e-08,1.4999999999910918e-08
0.54,1.1750000000016955e-07,6.25000000000625e-08,8.499999999862784e-09
0.56,1.0750000000196366e-08,1.1249999999976557e-07,9.825000000032724e-08
0.58,3.999999999997929e-08,2.3250000000555812e-08,1.307499999999174e-07
0.6,4.940211864415221e-08,2.2067697740149836e-07,4.2896468926218186e-08
-0.6,6.808394491525458e-06,9.2547447740109e-06,7.999645903955174e-06
-0.58,3.593500000000256e-06,4.954249999999808e-06,4.139250000000094e-06
-0.56,4.107500000002061e-07,5.750000000002715e-07,3.7999999999991166e-07
-0.54,2.4149999999995356e-07,3.917499999997985e-07,2.6074999999979587e-07
-0.52,1.259999999998155e-07,3.640000000000934e-07,2.325000000001371e-07
-0.5,2.392499999998368e-07,3.564999999999211e-07,2.9100000000013664e-07
-0.48,3.350000000001789e-07,3.549999999998433e-07,3.3675000000012514e-07
-0.46,2.8999999999979563e-07,2.867499999999884e-07,3.6324999999983766e-07
-0.44,3.5824999999986736e-07,2.635000000000831e-07,2.0574999999968882e-07
-0.42,2.8750000000024416e-07,3.900000000000691e-07,1.2675000000007125e-07
-0.4,2.1574999999984627e-07,4.114999999998113e-07,1.0424999999998803e-07
-0.38,1.7250000000005976e-07,3.9924999999975397e-07,1.957499999997482e-07
-0.36,2.467500000000091e-07,3.8675000000004504e-07,3.3325000000023267e-07
-0.34,3.3825000000020297e-07,3.2999999999999176e-07,2.107500000000928e-07
-0.32,2.717500000000775e-07,3.542500000000212e-07,1.650000000001043e-07
-0.3,2.3599999999981275e-07,3.682500000000248e-07,1.4500000000022308e-07
-0.28,2.1075000000030965e-07,4.989999999999422e-07,1.474999999999914e-07
-0.26,2.907500000000514e-07,3.982500000000635e-07,2.0849999999997607e-07
-0.24,2.117499999997833e-07,2.5424999999974773e-07,2.1849999999969984e-07
-0.22,8.174999999990482e-08,4.034999999999022e-07,2.4649999999992386e-07
-0.2,1.6399999999998013e-07,4.025000000002117e-07,2.8750000000024416e-07
-0.18,2.775000000000867e-07,2.389999999999684e-07,2.8849999999993464e-07
-0.16,2.6925000000009233e-07,3.1750000000028283e-07,2.057500000001225e-07
-0.14,2.1899999999987034e-07,4.042500000003748e-07,1.6575000000014321e-07
-0.12,1.4000000000003593e-07,3.824999999998968e-07,9.924999999980089e-08
-0.1,2.199999999999945e-07,3.657499999998228e-07,9.999999999940612e-09
-0.08,1.5674999999989309e-07,2.767500000000478e-07,1.1150000000007508e-07
-0.06,7.000000000045165e-08,2.717500000002943e-07,2.0175000000005952e-07
-0.04,8.40000000002384e-08,2.940000000002923e-07,4.60000000002906e-08
-0.02,4.099999999988661e-08,2.507500000000721e-07,4.075000000023504e-08
0.0,1.124999999999824e-07,2.5250000000001833e-07,1.0074999999987871e-07
0.02,5.575000000014596e-08,3.0600000000004755e-07,9.249999999988434e-08
0.04,5.925000000003844e-08,2.267499999996942e-07,1.767499999997743e-07
0.06,9.999999999962296e-08,1.89999999999739e-07,1.7500000001630794e-09
0.08,1.6499999999988746e-07,2.2425000000014274e-07,6.850000000015698e-08
0.1,1.025000000000418e-07,2.032499999999205e-07,5.000000000187146e-09
0.12,5.750000000030904e-08,2.4074999999991464e-07,1.749999999989607e-08
0.14,6.825000000007173e-08,1.9999999999989644e-07,1.750000000011291e-08
0.16,6.425000000022558e-08,1.474999999999914e-07,4.4999999999949594e-08
0.18,3.674999999995522e-08,1.9574999999996505e-07,0.0
0.2,7.749999999997342e-08,2.524999999998015e-07,1.867500000001486e-07
0.22,5.5000000000107047e-08,2.2850000000007413e-07,1.5924999999987824e-07
0.24,1.2424999999986926e-07,1.3000000000031216e-07,1.8249999999934985e-08
0.26,5.824999999991427e-08,1.189999999998137e-07,1.5749999999949832e-08
0.28,6.175000000002359e-08,1.0999999999978041e-07,1.8500000000453917e-08
0.3,1.0175000000000288e-07,8.925000000007711e-08,1.0599999999971743e-07
0.32,1.749999999946239e-09,1.7325000000009867e-07,9.324999999970641e-08
0.34,8.749999999991404e-08,2.957500000000217e-07,9.750000000028833e-08
0.36,1.6749999999640316e-08,4.1000000000320294e-08,9.925000000001773e-08
0.38,4.4999999999949594e-08,2.3999999999944205e-08,6.000000000007735e-08
0.4,1.0999999999631097e-08,1.3499999999984878e-07,7.999999999995858e-08
0.42,3.250000000002383e-08,2.7499999999836683e-08,1.8249999999718144e-08
0.44,7.499999999977143e-08,1.2750000000011016e-07,8.500000000079624e-09
0.46,1.4925000000015447e-07,1.1750000000016955e-07,6.325000000010142e-08
0.48,1.1850000000007688e-07,4.575000000020535e-08,1.2924999999983956e-07
0.5,8.399999999958788e-08,5.4999999999890206e-08,1.767499999997743e-07
0.52,1.650000000001043e-07,1.7500000001630794e-09,7.075000000005688e-08
0.54,1.9425000000010406e-07,5.000000000187146e-09,7.50000000038914e-10
0.56,7.075000000005688e-08,5.249999999968821e-08,4.6750000000112674e-08
0.58,1.1249999999976557e-07,5.000000000187146e-09,3.250000000024067e-09
0.6,2.7822033898259286e-07,1.4650988700542384e-07,5.2179378531136935e-08
-0.6,6.825169491524348e-06,8.534168079095492e-06,7.87607768361516e-06
-0.58,3.674999999999642e-06,4.588249999999466e-06,4.079249999999583e-06
-0.56,4.1250000000036917e-07,4.785000000003242e-07,4.015000000003044e-07
-0.54,1.767499999997743e-07,2.667500000001072e-07,2.900000000002293e-07
-0.52,2.5500000000022033e-07,4.5899999999974607e-07,1.8749999999975384e-07
-0.5,3.4750000000010467e-07,4.849999999999386e-07,2.3074999999997403e-07
-0.48,3.699999999997542e-07,3.667500000001638e-07,1.8750000000018752e-07
-0.46,3.389999999998082e-07,3.132499999997009e-07,1.982499999999502e-07
-0.44,2.9750000000018477e-07,3.417500000003123e-07,3.7600000000028236e-07
-0.42,3.1000000000011053e-07,3.8325000000015257e-07,3.66749999999947e-07
-0.4,3.024999999997214e-07,4.1499999999992064e-07,2.4825000000008694e-07
-0.38,2.784999999997772e-07,4.024999999999949e-07,1.76750000000208e-07
-0.36,3.1925000000001223e-07,3.4899999999996566e-07,1.267499999998544e-07
-0.34,3.099999999998937e-07,2.735000000000237e-07,2.289999999995941e-07
-0.32,1.6250000000011915e-07,3.3175000000015484e-07,2.965000000000606e-07
-0.3,1.524999999999617e-07,4.4749999999972763e-07,2.1500000000024104e-07
-0.28,1.3399999999994146e-07,3.5424999999958753e-07,1.6599999999979478e-07
-0.26,2.139999999996832e-07,2.932500000002534e-07,3.192499999997954e-07
-0.24,2.835000000001812e-07,3.615000000003251e-07,2.507500000000721e-07
-0.22,1.4099999999994325e-07,4.392499999999501e-07,2.1175000000000013e-07
-0.2,9.399999999974533e-08,3.359999999998694e-07,3.2424999999998254e-07
-0.18,2.3075000000019087e-07,3.18999999999927e-07,2.3324999999995918e-07
-0.16,2.3750000000010742e-07,3.600000000002473e-07,2.057500000001225e-07
-0.14,9.824999999989356e-08,3.9925000000018765e-07,1.8575000000024128e-07
-0.12,2.074999999998519e-07,3.3499999999996206e-07,1.792499999999763e-07
-0.1,2.575000000002055e-07,1.974999999999113e-07,1.5349999999986902e-07
-0.08,2.100000000000539e-07,3.0575000000017914e-07,1.1575000000000647e-07
-0.06,2.0425000000026151e-07,3.600000000004641e-07,8.000000000039226e-08
