V,gm 150,gm 151,gm 152
-0.6,2.950349999999985e-05,1.3201499999999899e-05,1.9522000000000065e-05
-0.58,1.3094249999999876e-05,1.1174999999998686e-06,7.567499999999998e-06
-0.56,6.568500000000044e-06,1.3216749999999961e-05,6.805000000000027e-06
-0.54,1.1492499999999945e-05,1.658850000000006e-05,1.041325e-05
-0.52,1.4130749999999932e-05,1.8389000000000057e-05,1.2336749999999983e-05
-0.5,1.5682499999999943e-05,1.957899999999993e-05,1.3520749999999923e-05
-0.48,1.673675000000009e-05,2.0376000000000118e-05,1.4092500000000062e-05
-0.46,1.7401000000000005e-05,2.083674999999992e-05,1.4518499999999993e-05
-0.44,1.7717499999999947e-05,2.1057499999999952e-05,1.4947499999999972e-05
-0.42,1.788400000000002e-05,2.1171750000000098e-05,1.5061500000000032e-05
-0.4,1.7957499999999985e-05,2.1246499999999892e-05,1.5015000000000004e-05
-0.38,1.7868499999999993e-05,2.1230749999999997e-05,1.4926000000000013e-05
-0.36,1.7637499999999988e-05,2.1126000000000055e-05,1.4688249999999983e-05
-0.34,1.7371499999999974e-05,2.0946749999999916e-05,1.437824999999998e-05
-0.32,1.7018250000000023e-05,2.0726499999999945e-05,1.4125000000000032e-05
-0.3,1.6655000000000023e-05,2.049325000000004e-05,1.3813249999999975e-05
-0.28,1.6223250000000028e-05,2.0247499999999992e-05,1.3402499999999986e-05
-0.26,1.5719250000000007e-05,1.994749999999993e-05,1.2978500000000032e-05
-0.24,1.5196749999999966e-05,1.966099999999992e-05,1.2533500000000018e-05
-0.22,1.4624250000000005e-05,1.937925000000001e-05,1.2061499999999959e-05
-0.2,1.3988250000000074e-05,1.9042500000000047e-05,1.1580000000000021e-05
-0.18,1.3298999999999982e-05,1.8645750000000007e-05,1.1002499999999981e-05
-0.16,1.2591000000000002e-05,1.8248249999999982e-05,1.0407499999999991e-05
-0.14,1.1786750000000051e-05,1.7817500000000058e-05,9.802500000000007e-06
-0.12,1.0929999999999978e-05,1.7386749999999916e-05,9.11e-06
-0.1,1.0035000000000035e-05,1.6959250000000016e-05,8.373500000000004e-06
-0.08,9.104000000000013e-06,1.6425000000000033e-05,7.624999999999982e-06
-0.06,8.12425000000001e-06,1.582999999999999e-05,6.845749999999991e-06
-0.04,7.10925000000002e-06,1.5172500000000045e-05,6.048249999999957e-06
-0.02,6.06150000000003e-06,1.4510750000000007e-05,5.234999999999973e-06
0.0,4.976749999999999e-06,1.383749999999995e-05,4.366750000000044e-06
0.02,3.870000000000002e-06,1.300425000000003e-05,3.4317500000000133e-06
0.04,2.7519249999999914e-06,1.2110000000000018e-05,2.53899999999997e-06
0.06,1.6992499999999482e-06,1.123899999999991e-05,1.7264999999999707e-06
0.08,6.642500000000233e-07,1.0276500000000043e-05,8.734999999999841e-07
0.1,3.251750000000269e-07,9.302499999999994e-06,7.250000000005733e-08
0.12,1.2293500000000088e-06,8.399250000000003e-06,6.449999999999642e-07
0.14,1.9676499999999675e-06,7.655999999999928e-06,1.1225000000000557e-06
0.16,2.636075000000005e-06,6.807500000000012e-06,1.754250000000001e-06
0.18,3.425425000000025e-06,5.4140000000000264e-06,2.5274999999999517e-06
0.2,4.084250000000041e-06,4.180749999999989e-06,2.9592500000000005e-06
0.22,4.574999999999989e-06,3.2292500000000233e-06,3.3582499999999945e-06
0.24,5.058249999999927e-06,2.1725e-06,3.6614999999999716e-06
0.26,5.454250000000037e-06,1.2457499999999635e-06,3.8750000000000264e-06
0.28,5.763249999999969e-06,3.674999999999859e-07,4.139249999999986e-06
0.3,6.079999999999996e-06,4.582499999999782e-07,4.354999999999995e-06
0.32,6.340000000000024e-06,1.2224999999999498e-06,4.50575000000001e-06
0.34,6.566749999999989e-06,1.9707499999999946e-06,4.6250000000000176e-06
0.36,6.844249999999913e-06,2.6557500000000465e-06,4.770999999999931e-06
0.38,7.0282499999999915e-06,3.251749999999998e-06,4.901749999999957e-06
0.4,7.1967500000000425e-06,3.8174999999999884e-06,5.044000000000001e-06
0.42,7.410749999999997e-06,4.35425000000001e-06,5.179999999999974e-06
0.44,7.603249999999992e-06,4.843249999999957e-06,5.2875000000000404e-06
0.46,7.826000000000003e-06,5.295750000000035e-06,5.4449999999999724e-06
0.48,7.999249999999993e-06,5.72175000000002e-06,5.595000000000003e-06
0.5,8.212499999999962e-06,6.145749999999974e-06,5.7489999999999885e-06
0.52,8.45075e-06,6.51925e-06,5.9134999999999765e-06
0.54,8.67324999999998e-06,6.822500000000032e-06,6.0500000000000115e-06
0.56,8.899250000000069e-06,7.170000000000028e-06,6.208250000000091e-06
0.58,9.077499999999921e-06,7.537500000000014e-06,6.379999999999949e-06
0.6,9.38200381355925e-06,7.953202966101682e-06,6.6182053672314375e-06
-0.6,3.73750546610169e-05,5.411303347457614e-05,2.7662442655367134e-05
-0.58,2.1665750000000015e-05,2.8796750000000025e-05,1.361999999999994e-05
-0.56,1.1659999999999817e-06,1.7510000000000312e-06,3.369250000000005e-06
-0.54,7.05325000000006e-06,1.067924999999996e-05,8.527499999999935e-06
-0.52,1.1374999999999938e-05,1.4942499999999947e-05,1.1241750000000035e-05
-0.5,1.3747499999999942e-05,1.733500000000005e-05,1.2866750000000034e-05
-0.48,1.521500000000001e-05,1.873400000000007e-05,1.3847499999999945e-05
-0.46,1.621000000000001e-05,1.9641749999999968e-05,1.442574999999997e-05
-0.44,1.6729250000000026e-05,2.0175999999999896e-05,1.4714999999999997e-05
-0.42,1.705350000000001e-05,2.0466500000000025e-05,1.4848499999999985e-05
-0.4,1.718325000000002e-05,2.060324999999993e-05,1.4901500000000006e-05
-0.38,1.7129000000000005e-05,2.0688499999999997e-05,1.4854999999999979e-05
-0.36,1.702349999999997e-05,2.0577499999999984e-05,1.4671750000000048e-05
-0.34,1.6883500000000043e-05,2.058749999999998e-05,1.4625749999999974e-05
-0.32,1.6554000000000004e-05,2.0239249999999998e-05,1.4233249999999974e-05
-0.3,1.5890000000000012e-05,1.9596499999999988e-05,1.3561750000000026e-05
-0.28,1.5356750000000046e-05,1.9359000000000043e-05,1.321425000000003e-05
-0.26,1.5057500000000023e-05,1.912499999999999e-05,1.2910000000000037e-05
-0.24,1.4567499999999952e-05,1.881924999999992e-05,1.2509999999999973e-05
-0.22,1.3940749999999977e-05,1.8461749999999983e-05,1.2020000000000064e-05
-0.2,1.3330000000000037e-05,1.8035750000000052e-05,1.1565749999999987e-05
-0.18,1.267999999999994e-05,1.7609250000000004e-05,1.1012499999999922e-05
-0.16,1.1967499999999997e-05,1.7102500000000076e-05,1.0416000000000017e-05
-0.14,1.122500000000007e-05,1.659824999999997e-05,9.881500000000004e-06
-0.12,1.0401749999999982e-05,1.6122499999999932e-05,9.28649999999996e-06
-0.1,9.514250000000049e-06,1.5597500000000015e-05,8.616750000000012e-06
-0.08,8.64574999999998e-06,1.4953500000000012e-05,7.944249999999994e-06
-0.06,7.733999999999964e-06,1.4325750000000021e-05,7.2757500000000396e-06
-0.04,6.755000000000053e-06,1.3754000000000099e-05,6.565750000000028e-06
-0.02,5.7742499999999795e-06,1.2996749999999967e-05,5.841749999999958e-06
0.0,4.813249999999973e-06,1.226424999999998e-05,5.072499999999962e-06
0.02,3.825574999999977e-06,1.1538250000000042e-05,4.31075000000003e-06
0.04,2.8107500000000476e-06,1.068674999999997e-05,3.5510000000000207e-06
0.06,1.8759999999999393e-06,9.819999999999903e-06,2.802499999999999e-06
0.08,9.648249999999556e-07,8.978999999999942e-06,2.061499999999987e-06
