V,gm 150,gm 151,gm 152
-0.6,4.8284999999999955e-05,4.18585e-05,3.260499999999998e-05
-0.58,2.405749999999997e-05,1.5654250000000122e-05,1.4534999999999928e-05
-0.56,4.155000000000044e-06,1.3248250000000078e-05,6.186750000000023e-06
-0.54,9.941499999999972e-06,1.701424999999996e-05,9.922499999999999e-06
-0.52,1.2668999999999983e-05,1.859349999999997e-05,1.1606500000000005e-05
-0.5,1.4258499999999965e-05,1.9420000000000028e-05,1.2495749999999993e-05
-0.48,1.5228500000000005e-05,1.9939000000000068e-05,1.2943500000000023e-05
-0.46,1.5730750000000026e-05,2.0280000000000016e-05,1.3158499999999993e-05
-0.44,1.6062500000000018e-05,2.0494249999999893e-05,1.318399999999996e-05
-0.42,1.6150000000000094e-05,2.053500000000002e-05,1.3109999999999988e-05
-0.4,1.6093249999999987e-05,2.0458249999999976e-05,1.2979250000000016e-05
-0.38,1.603574999999995e-05,2.0324999999999965e-05,1.2750749999999996e-05
-0.36,1.5804999999999975e-05,2.0132499999999916e-05,1.2492499999999969e-05
-0.34,1.5545e-05,1.9938249999999975e-05,1.2270750000000028e-05
-0.32,1.5310749999999972e-05,1.972500000000006e-05,1.1988250000000025e-05
-0.3,1.4925000000000051e-05,1.9412500000000072e-05,1.1647499999999946e-05
-0.28,1.4512500000000007e-05,1.9083499999999988e-05,1.1311749999999945e-05
-0.26,1.4119249999999968e-05,1.882924999999997e-05,1.0987499999999962e-05
-0.24,1.361750000000001e-05,1.853075000000004e-05,1.061574999999999e-05
-0.22,1.3142500000000012e-05,1.81065e-05,1.0168500000000023e-05
-0.2,1.2679249999999955e-05,1.7888249999999952e-05,9.743499999999999e-06
-0.18,1.2155000000000022e-05,1.7689999999999948e-05,9.310000000000004e-06
-0.16,1.1575750000000036e-05,1.7227499999999984e-05,8.849999999999971e-06
-0.14,1.0933250000000057e-05,1.682600000000006e-05,8.384999999999968e-06
-0.12,1.0299249999999995e-05,1.649599999999996e-05,7.852499999999986e-06
-0.1,9.626749999999977e-06,1.6113250000000085e-05,7.273999999999985e-06
-0.08,8.885750000000019e-06,1.5665750000000032e-05,6.697500000000015e-06
