V,gm 150,gm 151,gm 152
-0.6,3.006500000000254e-06,9.726500000000075e-06,3.2365000000000803e-06
-0.58,1.631749999999807e-06,5.533249999999925e-06,1.8039999999995646e-06
-0.56,2.8425000000000325e-07,1.1957500000003146e-06,4.5825000000014084e-07
-0.54,3.857500000001377e-07,9.549999999999663e-07,4.900000000001258e-07
-0.52,6.067500000000395e-07,8.667500000000133e-07,4.499999999999296e-07
-0.5,6.249999999999745e-07,8.874999999997166e-07,4.5099999999983695e-07
-0.48,4.7400000000009067e-07,8.667499999997965e-07,4.4350000000031517e-07
-0.46,4.617499999998165e-07,5.999999999999062e-07,5.032499999998736e-07
-0.44,5.384999999999678e-07,5.540000000002661e-07,5.275000000001199e-07
-0.42,6.082500000003342e-07,6.982500000000166e-07,4.5425000000007786e-07
-0.4,6.039999999999691e-07,6.567499999997426e-07,3.7400000000003403e-07
-0.38,6.357500000001709e-07,6.834999999999741e-07,4.4650000000003714e-07
-0.36,5.910000000000897e-07,7.157499999999126e-07,3.8924999999981336e-07
-0.34,5.117499999999532e-07,7.257500000000701e-07,2.2850000000007413e-07
-0.32,4.5325000000017053e-07,6.685000000000631e-07,3.35750000000001e-07
-0.3,4.2074999999992986e-07,7.074999999999183e-07,5.050000000000367e-07
-0.28,4.032499999996001e-07,7.300000000002183e-07,5.542499999997008e-07
-0.26,4.7675000000016107e-07,6.267500000001376e-07,3.3999999999993237e-07
-0.24,5.117500000001701e-07,6.33999999999791e-07,2.1675000000018728e-07
-0.22,3.9175000000001535e-07,5.739999999997136e-07,3.657499999998228e-07
-0.2,3.682500000000248e-07,5.850000000002121e-07,3.607499999998525e-07
-0.18,4.114999999998113e-07,6.86000000000176e-07,3.3249999999976007e-07
-0.16,3.817499999998579e-07,6.70000000000141e-07,3.750000000001582e-07
-0.14,4.184999999998131e-07,6.164999999996781e-07,2.7825000000034246e-07
-0.12,3.849999999996651e-07,6.899999999995885e-07,2.2074999999981658e-07
-0.1,3.3400000000005474e-07,7.500000000000995e-07,2.459999999999702e-07
-0.08,3.117500000002736e-07,5.8425000000039e-07,2.842499999997864e-07
-0.06,2.1675000000040412e-07,5.867500000003752e-07,2.532500000002741e-07
-0.04,2.89000000000322e-07,6.124999999998319e-07,1.350000000004993e-07
-0.02,2.782499999999088e-07,5.342500000000364e-07,1.167499999999138e-07
0.0,2.1175000000021697e-07,4.867500000003185e-07,1.5074999999979861e-07
0.02,2.0425000000004467e-07,4.58249999999924e-07,1.2574999999994708e-07
0.04,1.4324999999962632e-07,5.099999999995733e-07,1.0099999999996397e-07
0.06,1.2424999999965242e-07,5.257499999999568e-07,6.749999999981597e-08
0.08,9.425000000004742e-08,4.890000000000016e-07,6.824999999985489e-08
0.1,4.250000000018128e-08,3.817499999998579e-07,4.249999999931392e-09
0.12,4.574999999998851e-08,2.6175000000013687e-07,2.5749999999890444e-08
0.14,8.600000000026989e-08,2.6574999999976617e-07,1.0999999999978041e-07
0.16,1.325000000002973e-07,4.2250000000009294e-07,1.1174999999994349e-07
0.18,9.850000000019565e-08,4.292500000002263e-07,5.600000000044805e-08
0.2,1.607500000001729e-07,4.1925000000006887e-07,8.249999999777533e-09
0.22,3.425000000018691e-08,3.8175000000007474e-07,4.9999999997534655e-09
0.24,8.249999999994373e-09,2.664999999998051e-07,6.82499999994212e-08
0.26,1.049999999998101e-07,3.4749999999988783e-07,6.349999999953615e-08
0.28,6.175000000002359e-08,2.9675000000014586e-07,4.249999999996444e-08
0.3,5.574999999971228e-08,2.2000000000021135e-07,4.174999999970869e-08
0.32,5.324999999994397e-08,2.5500000000022033e-07,7.749999999997342e-08
0.34,1.784999999999374e-07,2.6399999999981993e-07,1.2574999999994708e-07
0.36,2.0099999999980377e-07,2.2999999999971828e-07,7.500000000020511e-08
0.38,8.075000000021433e-08,1.025000000000418e-07,9.000000000033287e-09
0.4,1.049999999998101e-07,9.175000000006227e-08,7.50000000038914e-10
0.42,1.1424999999992864e-07,1.1424999999992864e-07,1.0399999999990278e-07
0.44,1.4325000000027684e-07,3.0000000000038676e-08,1.1749999999973587e-07
0.46,1.1575000000000647e-07,8.249999999994373e-08,7.849999999988075e-08
0.48,8.824999999995295e-08,3.5750000000264737e-08,1.3249999999747838e-08
0.5,1.1675000000013064e-07,5.0749999999958814e-08,2.3499999999990542e-08
0.52,1.1999999999993786e-07,2.499999999985153e-08,2.5750000000107284e-08
0.54,7.325000000004203e-08,1.3249999999986363e-07,1.2424999999986926e-07
0.56,2.7500000000053523e-08,9.000000000011603e-08,6.350000000040351e-08
0.58,7.674999999971767e-08,3.849999999990146e-08,1.2074999999997678e-07
0.6,1.135084745761969e-07,5.347259887012933e-08,7.143502824937621e-08
-0.6,6.149881355931811e-06,8.695849435028363e-06,6.912451977401229e-06
-0.58,3.1659999999995424e-06,4.717499999999739e-06,3.6309999999998167e-06
-0.56,3.2500000000045513e-07,6.940000000000852e-07,4.7500000000021483e-07
-0.54,3.774999999999265e-07,5.825000000002269e-07,4.565000000001946e-07
-0.52,3.6649999999986173e-07,5.685000000002233e-07,3.9750000000002457e-07
-0.5,4.3399999999989454e-07,5.357499999998974e-07,4.534999999998221e-07
-0.48,5.042500000002146e-07,5.289999999999809e-07,4.300000000000484e-07
-0.46,4.642500000002353e-07,6.242500000003693e-07,3.290000000003013e-07
-0.44,4.432500000002299e-07,6.867499999999981e-07,3.949999999998226e-07
-0.42,5.092499999997512e-07,6.564999999996574e-07,4.1174999999967973e-07
-0.4,5.025000000000515e-07,7.04250000000111e-07,3.724999999999562e-07
-0.38,4.525000000001316e-07,7.135000000002296e-07,3.8825000000012287e-07
-0.36,5.349999999998585e-07,6.699999999997073e-07,4.5400000000020944e-07
-0.34,4.807500000000072e-07,5.024999999998347e-07,5.267500000002978e-07
-0.32,3.960000000003804e-07,4.825000000001703e-07,4.899999999999089e-07
-0.3,4.042499999999411e-07,6.050000000000933e-07,3.599999999998136e-07
-0.28,3.2749999999978976e-07,6.164999999996781e-07,3.3174999999972116e-07
-0.26,4.1649999999999847e-07,6.432500000001264e-07,3.567500000002232e-07
-0.24,5.089999999998828e-07,6.117500000000099e-07,2.707499999999533e-07
-0.22,4.5675000000027985e-07,5.425000000000308e-07,2.3999999999987573e-07
-0.2,3.6425000000017867e-07,6.157500000000728e-07,3.66749999999947e-07
-0.18,3.35750000000001e-07,6.332499999997521e-07,3.7900000000000433e-07
-0.16,3.607499999998525e-07,6.599999999999835e-07,2.9325000000003654e-07
-0.14,2.599999999999738e-07,6.985000000001018e-07,3.359999999998694e-07
-0.12,3.610000000001546e-07,6.624999999997518e-07,2.3174999999966452e-07
-0.1,4.74999999999998e-07,5.590000000002364e-07,1.1075000000025301e-07
-0.08,3.1324999999991776e-07,4.39999999999989e-07,2.842499999997864e-07
-0.06,2.7849999999999403e-07,4.242500000000392e-07,3.35750000000001e-07
-0.04,3.1425000000025877e-07,5.710000000002085e-07,2.2400000000027433e-07
-0.02,2.2400000000005749e-07,5.407500000000846e-07,1.6100000000004132e-07
0.0,1.23999999999784e-07,3.932500000000932e-07,2.649999999999441e-07
0.02,1.025000000000418e-07,4.5000000000014646e-07,2.4074999999991464e-07
0.04,1.57499999999932e-07,4.842499999996829e-07,1.267499999998544e-07
0.06,1.9674999999965553e-07,4.884999999998311e-07,1.2499999999969133e-07
0.08,7.749999999997342e-08,4.732499999998349e-07,1.0925000000017518e-07
0.1,5.324999999994397e-08,4.4324999999979624e-07,1.3924999999999702e-07
0.12,6.67499999999939e-08,4.050000000004137e-07,1.882500000000096e-07
0.14,1.14999999998016e-08,2.8825000000028307e-07,1.4324999999962632e-07
0.16,1.1750000000103691e-08,3.607499999998525e-07,7.424999999973252e-08
0.18,7.400000000008095e-08,3.742500000001193e-07,3.500000000022582e-08
0.2,6.074999999989943e-08,2.79999999999855e-07,3.500000000000898e-08
0.22,7.849999999966391e-08,2.3424999999964967e-07,6.325000000010142e-08
0.24,2.1750000000261144e-08,1.750000000000449e-07,9.174999999984543e-08
0.26,7.924999999970282e-08,2.4400000000015555e-07,1.1900000000024738e-07
0.28,9.10000000002402e-08,2.509999999999405e-07,3.249999999980699e-08
0.3,9.925000000023457e-08,1.792499999999763e-07,3.250000000024067e-08
0.32,4.749999999993475e-08,1.4250000000002108e-07,3.425000000018691e-08
0.34,1.500000000077828e-09,2.2074999999981658e-07,3.9249999999940374e-08
0.36,2.1750000000044303e-08,1.674999999998726e-07,1.3599999999997295e-07
0.38,5.0999999999827225e-08,7.424999999994936e-08,1.8925000000013376e-07
0.4,9.000000000011603e-08,4.750000000015159e-08,3.250000000024067e-09
0.42,3.249999999980699e-08,5.925000000003844e-08,8.499999999992888e-08
0.44,6.325000000010142e-08,2.024999999998816e-07,6.425000000000874e-08
0.46,1.825000000002172e-07,9.574999999990841e-08,1.3899999999991176e-07
0.48,2.5924999999971804e-07,3.000000000025552e-08,1.932499999999799e-07
0.5,1.857499999998076e-07,2.7499999999836683e-08,1.767499999997743e-07
0.52,7.924999999991966e-08,6.649999999990865e-08,3.7500000000210976e-08
0.54,4.5000000000166435e-08,3.500000000000898e-08,7.499999999738619e-09
0.56,1.0324999999986387e-07,2.5749999999890444e-08,3.674999999995522e-08
0.58,2.074999999998519e-07,2.5749999999890444e-08,5.925000000003844e-08
0.6,2.3349999999982177e-07,4.580932203399608e-08,6.589830508472486e-08
-0.6,5.610398305084738e-06,7.984529661016811e-06,7.16816949152552e-06
-0.58,2.985749999999659e-06,4.193250000000077e-06,3.757499999999586e-06
-0.56,3.892500000000302e-07,6.165000000005454e-07,4.94250000000274e-07
-0.54,2.924999999999976e-07,6.84999999999835e-07,4.3750000000000386e-07
-0.52,4.1250000000015233e-07,6.242499999999356e-07,2.83999999999918e-07
-0.5,5.649999999998972e-07,5.232499999999717e-07,2.667500000001072e-07
-0.48,5.27499999999903e-07,5.375000000000605e-07,3.3175000000015484e-07
-0.46,4.835000000000776e-07,5.110000000001311e-07,3.657499999998228e-07
-0.44,5.082500000000607e-07,4.867499999998848e-07,4.407500000000279e-07
-0.42,4.815000000000461e-07,5.757499999998767e-07,4.842500000001165e-07
-0.4,4.4350000000009833e-07,6.900000000000222e-07,4.434999999998815e-07
-0.38,4.5249999999969794e-07,8.717499999999836e-07,3.5075000000012874e-07
-0.36,4.55749999999722e-07,7.440000000000051e-07,3.607500000002862e-07
-0.34,4.4099999999989634e-07,4.964999999997402e-07,3.8999999999985227e-07
-0.32,4.007500000002655e-07,5.475000000000011e-07,4.2675000000002433e-07
-0.3,4.83250000000426e-07,5.767500000000009e-07,4.1600000000026165e-07
-0.28,5.235000000000569e-07,5.342500000000364e-07,3.382499999997693e-07
-0.26,4.499999999999296e-07,6.007499999999451e-07,3.8074999999973373e-07
-0.24,4.374999999995702e-07,6.092499999998079e-07,4.007499999998318e-07
-0.22,3.599999999998136e-07,6.075000000000785e-07,3.999999999997929e-07
-0.2,3.9650000000011724e-07,5.490000000002958e-07,3.885000000002081e-07
-0.18,4.357500000000576e-07,5.674999999994487e-07,3.457499999999416e-07
-0.16,3.1350000000021985e-07,5.860000000001194e-07,2.4999999999981634e-07
-0.14,3.1175000000005677e-07,5.125000000004258e-07,2.717500000000775e-07
-0.12,3.4399999999999535e-07,5.674999999996655e-07,4.100000000001672e-07
-0.1,2.68250000000185e-07,5.224999999999327e-07,3.5925000000020836e-07
-0.08,3.092499999998548e-07,4.2075000000036354e-07,3.232500000000752e-07
-0.06,4.010000000001339e-07,5.600000000001437e-07,2.539999999998793e-07
-0.04,3.2250000000025314e-07,5.900000000001824e-07,8.67500000003088e-08
-0.02,1.5150000000005437e-07,4.6924999999998877e-07,2.050000000000836e-07
0.0,1.307499999999174e-07,5.425000000000308e-07,2.3499999999990542e-07
0.02,2.2749999999994996e-07,5.492500000001642e-07,1.1349999999988973e-07
0.04,6.099999999998468e-08,3.9499999999960574e-07,1.2249999999970618e-07
0.06,7.849999999966391e-08,3.2149999999947845e-07,1.0749999999979526e-07
0.08,2.3899999999975156e-07,5.224999999999327e-07,6.825000000007173e-08
0.1,1.2249999999992302e-07,5.067500000001997e-07,1.0825000000005101e-07
0.12,4.850000000005891e-08,3.532500000001139e-07,1.57499999999932e-07
0.14,3.85000000001183e-08,3.9175000000001535e-07,6.674999999977706e-08
0.16,4.099999999988661e-08,2.0350000000000576e-07,2.9249999999999762e-08
0.18,4.1000000000320294e-08,8.400000000002156e-08,8.57499999999678e-08
0.2,4.850000000005891e-08,3.0499999999970655e-07,6.749999999981597e-08
0.22,9.99999999998398e-08,3.9099999999997644e-07,4.9250000000097827e-08
0.24,4.000000000019613e-08,2.325000000001371e-07,1.5000000002946684e-09
0.26,2.7500000000053523e-08,1.840000000000782e-07,5.749999999987536e-08
0.28,6.175000000024043e-08,3.0500000000014023e-07,4.9000000000012575e-08
0.3,8.000000000017542e-08,3.0600000000004755e-07,9.99999999998398e-08
0.32,8.250000000016057e-08,8.90000000002087e-08,1.5650000000002467e-07
0.34,4.5000000000166435e-08,4.749999999993475e-08,3.424999999975323e-08
0.36,6.175000000002359e-08,1.76750000000208e-07,1.2575000000016393e-07
0.38,1.2600000000003234e-07,1.0399999999968594e-07,1.6074999999995607e-07
0.4,7.400000000008095e-08,4.4999999999732754e-08,1.142499999997118e-07
0.42,9.324999999970641e-08,7.175000000018104e-08,3.600000000013315e-08
0.44,5.8499999999999525e-08,8.000000000017542e-08,4.999999999970306e-09
0.46,5.2500000000338734e-08,7.499999999977143e-08,1.1000000000064777e-08
0.48,1.790000000001079e-07,1.5750000000166672e-08,8.575000000018464e-08
0.5,9.175000000006227e-08,3.500000000000898e-08,1.1675000000013064e-07
0.52,9.999999999940612e-09,7.674999999993451e-08,1.2249999999970618e-07
0.54,4.400000000004227e-08,2.4250000000029456e-08,1.0674999999997319e-07
0.56,1.1100000000012142e-07,1.2325000000017877e-07,2.1750000000261144e-08
0.58,2.1099999999974438e-07,8.09999999998659e-08,1.2574999999994708e-07
0.6,2.2853290960432515e-07,5.579618644118801e-08,2.7089872881338876e-07
-0.6,5.978416242937053e-06,7.559355508474086e-06,6.986558898304865e-06
-0.58,3.1032499999998284e-06,4.0667499999996574e-06,3.5732499999996392e-06
