V,gm 150,gm 151,gm 152
-0.6,4.9156499999999935e-05,7.327199999999997e-05,5.341149999999994e-05
-0.58,3.362749999999995e-05,5.149924999999986e-05,3.6008249999999894e-05
-0.56,1.7568250000000118e-05,2.8405000000000064e-05,1.77117500000001e-05
-0.54,1.6813249999999994e-05,2.6385750000000065e-05,1.637749999999999e-05
-0.52,1.6389249999999985e-05,2.5128249999999998e-05,1.5594999999999975e-05
-0.5,1.5998249999999955e-05,2.4096749999999965e-05,1.4891000000000004e-05
-0.48,1.562250000000003e-05,2.327325000000001e-05,1.4418250000000014e-05
-0.46,1.5287500000000012e-05,2.25375e-05,1.400749999999997e-05
-0.44,1.4935749999999976e-05,2.1723499999999976e-05,1.3483500000000014e-05
-0.42,1.4483499999999984e-05,2.094925000000001e-05,1.296825000000006e-05
-0.4,1.4117499999999968e-05,2.0336499999999984e-05,1.2479500000000035e-05
-0.38,1.3729749999999961e-05,1.973999999999997e-05,1.2039674999999998e-05
-0.36,1.3253825e-05,1.9082500000000026e-05,1.1566674999999977e-05
-0.34,1.2844075000000027e-05,1.8473999999999986e-05,1.1174900000000007e-05
-0.32,1.2374849999999965e-05,1.791850000000002e-05,1.0786149999999985e-05
-0.3,1.1940175000000003e-05,1.7410000000000038e-05,1.034092500000003e-05
-0.28,1.1583649999999938e-05,1.6911499999999996e-05,9.973175000000013e-06
-0.26,1.1056749999999995e-05,1.6327499999999962e-05,9.57917499999999e-06
-0.24,1.0639750000000016e-05,1.5896749999999983e-05,9.108674999999981e-06
-0.22,1.0212924999999993e-05,1.542850000000001e-05,8.699750000000018e-06
-0.2,9.587674999999988e-06,1.4879250000000008e-05,8.268574999999975e-06
-0.18,9.105075e-06,1.4440749999999989e-05,7.811149999999953e-06
-0.16,8.578425000000035e-06,1.3976500000000024e-05,7.361425000000036e-06
-0.14,7.973075000000039e-06,1.3519749999999961e-05,6.8651750000000016e-06
-0.12,7.352749999999978e-06,1.3001424999999989e-05,6.381499999999946e-06
-0.1,6.658600000000004e-06,1.2480750000000055e-05,5.881574999999986e-06
-0.08,5.954399999999992e-06,1.1975325000000009e-05,5.322149999999984e-06
-0.06,5.2298999999999954e-06,1.1404000000000042e-05,4.753600000000069e-06
-0.04,4.511425000000021e-06,1.0749000000000002e-05,4.151350000000046e-06
-0.02,3.7543500000000024e-06,1.0165675000000035e-05,3.515399999999997e-06
0.0,2.958250000000012e-06,9.57942500000002e-06,2.938649999999996e-06
0.02,2.170074999999986e-06,8.879074999999993e-06,2.3496750000000276e-06
0.04,1.3854249999999699e-06,8.19699999999999e-06,1.7486749999999702e-06
0.06,6.681750000000065e-07,7.487174999999956e-06,1.1976749999999953e-06
0.08,3.6600000000039596e-08,6.786149999999969e-06,6.744249999999965e-07
0.1,6.723499999999937e-07,6.1004999999999935e-06,1.9690000000000484e-07
0.12,1.237999999999977e-06,5.349500000000041e-06,2.600000000000009e-07
0.14,1.6551500000000345e-06,4.750324999999982e-06,6.641499999999892e-07
0.16,2.0370000000000078e-06,4.249175000000012e-06,8.397499999999948e-07
0.18,2.599499999999974e-06,3.3635750000000214e-06,1.1815999999999888e-06
0.2,3.0600750000000132e-06,2.494749999999978e-06,1.7405000000000014e-06
0.22,3.359849999999971e-06,1.8469999999999977e-06,1.9909999999999882e-06
0.24,3.690824999999997e-06,1.1761750000000362e-06,2.1509249999999882e-06
0.26,3.953250000000012e-06,5.734999999999768e-07,2.3669000000000196e-06
0.28,4.140250000000029e-06,1.6750000000019787e-09,2.5447500000000335e-06
0.3,4.337250000000013e-06,5.443249999999755e-07,2.7359250000000106e-06
0.32,4.55559999999996e-06,1.0563249999999869e-06,2.9348249999999927e-06
0.34,4.8133249999999985e-06,1.5508249999999937e-06,3.1001749999999995e-06
0.36,4.985750000000006e-06,2.0308499999999977e-06,3.2456749999999865e-06
0.38,5.136500000000021e-06,2.4492500000000206e-06,3.45282499999999e-06
0.4,5.371074999999998e-06,2.8864999999999935e-06,3.6536750000000138e-06
0.42,5.5790749999999666e-06,3.340500000000013e-06,3.7839250000000317e-06
0.44,5.778749999999996e-06,3.666325000000018e-06,3.961399999999999e-06
0.46,5.986750000000046e-06,3.965600000000022e-06,4.190074999999997e-06
0.48,6.185424999999978e-06,4.332000000000012e-06,4.385424999999989e-06
0.5,6.4012499999999855e-06,4.676899999999989e-06,4.584324999999998e-06
0.52,6.638750000000039e-06,4.961575000000002e-06,4.79649999999998e-06
0.54,6.903924999999988e-06,5.251674999999994e-06,4.980849999999988e-06
0.56,7.1272500000000324e-06,5.600850000000019e-06,5.160425000000021e-06
0.58,7.348999999999973e-06,5.919925000000026e-06,5.383749999999984e-06
0.6,7.686072033898209e-06,6.32891473163843e-06,5.6974143079095865e-06
-0.6,8.034933474576264e-05,0.00017043617001412392,9.137597552259877e-05
-0.58,4.770574999999987e-05,9.425424999999959e-05,5.440149999999983e-05
-0.56,1.5864250000000068e-05,2.0562500000000127e-05,1.7437500000000092e-05
-0.54,1.5326750000000007e-05,2.047325000000005e-05,1.5570000000000015e-05
-0.52,1.519999999999999e-05,2.053424999999998e-05,1.487849999999997e-05
-0.5,1.5015000000000004e-05,2.036249999999996e-05,1.4417499999999975e-05
-0.48,1.4752499999999991e-05,2.009825e-05,1.3912500000000047e-05
-0.46,1.4460750000000033e-05,1.973750000000004e-05,1.3364250000000007e-05
-0.44,1.4094999999999993e-05,1.9281749999999992e-05,1.2903999999999943e-05
-0.42,1.3671000000000039e-05,1.881099999999998e-05,1.244499999999998e-05
