V,gm 150,gm 151,gm 152
-0.6,1.747849999999992e-05,5.0096499999999956e-05,2.536300000000006e-05
-0.58,1.8893249999999947e-05,4.192924999999988e-05,2.2813249999999977e-05
-0.56,2.0255000000000056e-05,3.2528500000000046e-05,1.9474250000000096e-05
-0.54,2.01235000000001e-05,3.065575000000002e-05,1.828250000000006e-05
-0.52,2.0010749999999924e-05,2.9482500000000008e-05,1.7684249999999993e-05
-0.5,1.983249999999991e-05,2.8549249999999977e-05,1.718574999999995e-05
-0.48,1.9644250000000062e-05,2.7745749999999957e-05,1.676249999999998e-05
-0.46,1.94665e-05,2.702399999999995e-05,1.6429250000000073e-05
-0.44,1.9218250000000022e-05,2.6347499999999978e-05,1.6012500000000044e-05
-0.42,1.8883500000000037e-05,2.5788500000000067e-05,1.5670000000000018e-05
-0.4,1.848500000000005e-05,2.5330000000000057e-05,1.5310749999999972e-05
-0.38,1.8132499999999976e-05,2.4852499999999966e-05,1.4989250000000006e-05
-0.36,1.770824999999999e-05,2.4427499999999996e-05,1.4645000000000033e-05
-0.34,1.7268999999999987e-05,2.4038249999999966e-05,1.4233999999999959e-05
-0.32,1.683675000000004e-05,2.3621749999999967e-05,1.3878249999999968e-05
-0.3,1.6329250000000016e-05,2.3238249999999946e-05,1.3485000000000038e-05
-0.28,1.583174999999988e-05,2.289575000000003e-05,1.3101749999999994e-05
-0.26,1.5294999999999968e-05,2.247925000000003e-05,1.268599999999998e-05
-0.24,1.4705749999999987e-05,2.211574999999989e-05,1.223175000000001e-05
-0.22,1.4118250000000007e-05,2.1756749999999984e-05,1.1776499999999971e-05
-0.2,1.3484249999999999e-05,2.1346000000000104e-05,1.1290000000000009e-05
-0.18,1.2792499999999976e-05,2.0895750000000035e-05,1.0761749999999958e-05
-0.16,1.2140000000000057e-05,2.052149999999997e-05,1.022324999999999e-05
-0.14,1.1365000000000051e-05,2.0146750000000005e-05,9.653250000000015e-06
-0.12,1.0534000000000032e-05,1.9516750000000006e-05,9.046749999999952e-06
-0.1,9.737499999999959e-06,1.8787500000000043e-05,8.396750000000017e-06
-0.08,8.842500000000016e-06,1.814424999999997e-05,7.720000000000014e-06
-0.06,7.868500000000021e-06,1.7558250000000014e-05,7.035750000000001e-06
-0.04,6.862500000000065e-06,1.6854000000000066e-05,6.315750000000049e-06
-0.02,5.960749999999989e-06,1.6064250000000018e-05,5.50250000000001e-06
0.0,4.945999999999976e-06,1.5279249999999964e-05,4.74249999999997e-06
0.02,3.913250000000005e-06,1.444249999999999e-05,4.0484999999999935e-06
0.04,3.0140000000000223e-06,1.3647500000000048e-05,3.313250000000045e-06
0.06,2.2399999999999786e-06,1.2793250000000015e-05,2.6432500000000123e-06
0.08,1.4999999999999823e-06,1.1919999999999954e-05,2.0724999999999433e-06
0.1,7.009999999999785e-07,1.1039999999999976e-05,1.5567499999999813e-06
0.12,2.9999999999984466e-08,1.0107500000000038e-05,1.0760000000000825e-06
0.14,3.7850000000005067e-07,9.694999999999994e-06,8.2249999999994e-07
0.16,5.357500000000058e-07,9.29749999999997e-06,7.582500000000397e-07
0.18,1.2389999999999385e-06,7.877500000000055e-06,1.6000000000002557e-07
0.2,2.080000000000007e-06,6.514249999999976e-06,5.182500000000556e-07
0.22,2.457500000000042e-06,9.518250000000003e-06,7.310000000000172e-07
0.24,2.7857499999999792e-06,8.105000000000059e-06,9.242499999999429e-07
0.26,3.0442499999999836e-06,3.124999999999981e-06,1.0965000000000258e-06
0.28,3.364999999999911e-06,2.742499999999976e-06,1.2774999999999484e-06
0.3,3.7200000000000254e-06,2.3035000000000026e-06,1.4742499999999834e-06
0.32,3.97850000000003e-06,1.6700000000000026e-06,1.6442500000000038e-06
0.34,4.221750000000038e-06,1.1864999999999792e-06,1.8132500000000626e-06
0.36,4.508999999999926e-06,7.975000000000343e-07,2.0274999999999937e-06
0.38,4.857499999999992e-06,2.924999999999976e-07,2.2624999999999534e-06
0.4,5.198499999999994e-06,1.3174999999998735e-07,2.4574999999999337e-06
0.42,5.464999999999962e-06,5.332500000000207e-07,2.6117500000000043e-06
0.44,5.741499999999979e-06,1.0242499999999996e-06,2.8189999999999877e-06
0.46,6.073250000000025e-06,1.57425000000004e-06,3.0417499999999984e-06
0.48,6.440999999999988e-06,2.034999999999949e-06,3.309249999999982e-06
0.5,6.792499999999993e-06,2.397500000000019e-06,3.575000000000019e-06
0.52,7.130750000000033e-06,2.8364999999999922e-06,3.806750000000009e-06
0.54,7.427499999999962e-06,3.3414999999999747e-06,4.043999999999977e-06
0.56,7.64325000000008e-06,3.820000000000082e-06,4.268250000000011e-06
0.58,7.844250000000046e-06,4.3199999999999315e-06,4.539999999999926e-06
0.6,8.188948587570591e-06,4.842316949152487e-06,4.875804237288094e-06
-0.6,1.925850903954779e-05,1.1315479661017092e-05,2.6522500847457652e-05
-0.58,1.5629999999999876e-05,1.302499999999995e-05,2.1085999999999913e-05
-0.56,1.3843500000000207e-05,1.7094250000000027e-05,1.6402500000000167e-05
-0.54,1.6152499999999917e-05,2.0497500000000025e-05,1.6761499999999965e-05
-0.52,1.726575000000007e-05,2.2067499999999917e-05,1.6734249999999942e-05
-0.5,1.791900000000003e-05,2.2803499999999905e-05,1.663925000000002e-05
-0.48,1.8279999999999967e-05,2.3116500000000062e-05,1.6537500000000016e-05
-0.46,1.8442500000000032e-05,2.3203250000000046e-05,1.6455750000000002e-05
-0.44,1.8404999999999984e-05,2.310674999999999e-05,1.618399999999998e-05
-0.42,1.820599999999994e-05,2.303825000000005e-05,1.589174999999996e-05
-0.4,1.7981750000000015e-05,2.2933250000000023e-05,1.5605999999999986e-05
-0.38,1.7716500000000094e-05,2.264675000000001e-05,1.519999999999999e-05
-0.36,1.7350000000000015e-05,2.2514250000000148e-05,1.4799000000000073e-05
-0.34,1.6935999999999948e-05,2.2187499999999963e-05,1.4458249999999993e-05
-0.32,1.671149999999999e-05,2.1509999999999975e-05,1.428099999999994e-05
-0.3,1.6321500000000084e-05,2.107325000000001e-05,1.3938500000000022e-05
-0.28,1.5662500000000008e-05,2.0806750000000097e-05,1.3218249999999985e-05
-0.26,1.4942500000000001e-05,2.0450999999999998e-05,1.2664999999999974e-05
-0.24,1.4250999999999956e-05,2.0065749999999976e-05,1.2295000000000003e-05
-0.22,1.3762499999999962e-05,1.9644999999999992e-05,1.1898250000000072e-05
-0.2,1.3218250000000039e-05,1.9160749999999984e-05,1.1470000000000024e-05
-0.18,1.2638499999999991e-05,1.870075000000006e-05,1.0954250000000008e-05
-0.16,1.1965000000000066e-05,1.820750000000002e-05,1.0429250000000036e-05
-0.14,1.1263250000000048e-05,1.7680749999999937e-05,9.931500000000032e-06
-0.12,1.0533249999999938e-05,1.722999999999997e-05,9.438999999999975e-06
-0.1,9.751749999999993e-06,1.6655999999999984e-05,8.89850000000003e-06
-0.08,8.983500000000013e-06,1.604674999999996e-05,8.351750000000014e-06
-0.06,8.170750000000037e-06,1.5467500000000082e-05,7.818250000000016e-06
-0.04,7.295750000000083e-06,1.479500000000001e-05,7.222500000000041e-06
-0.02,6.372499999999994e-06,1.4108250000000012e-05,6.622499999999973e-06
0.0,5.589999999999979e-06,1.343675000000001e-05,5.981749999999994e-06
0.02,4.782500000000004e-06,1.2704250000000023e-05,5.360750000000028e-06
0.04,3.959999999999955e-06,1.1914999999999929e-05,4.781499999999988e-06
0.06,3.2242499999999446e-06,1.1178249999999903e-05,4.17350000000001e-06
0.08,2.4175000000000086e-06,1.0407499999999991e-05,3.568500000000025e-06
0.1,1.7239999999999313e-06,9.586749999999998e-06,3.039999999999944e-06
0.12,1.0882500000000315e-06,9.735750000000067e-06,2.5190000000000347e-06
0.14,4.7674999999999844e-07,8.762499999999949e-06,1.988249999999945e-06
0.16,5.000000000002832e-08,6.860749999999956e-06,1.5034999999999831e-06
0.18,5.832499999999948e-07,6.140750000000004e-06,1.0892500000000472e-06
0.2,1.080750000000076e-06,5.430999999999969e-06,6.832499999999972e-07
0.22,1.5717500000000007e-06,4.749249999999995e-06,2.4999999999997897e-07
0.24,2.01999999999993e-06,4.050000000000071e-06,1.350000000000114e-07
0.26,2.359249999999986e-06,3.4382500000000073e-06,5.310000000000124e-07
0.28,2.78425000000001e-06,2.8539999999999967e-06,8.482500000000473e-07
0.3,3.234000000000017e-06,2.124249999999972e-06,1.189999999999926e-06
0.32,3.6015000000000027e-06,1.4599999999999488e-06,1.5792500000000103e-06
0.34,3.938499999999996e-06,9.750000000000644e-07,1.887500000000012e-06
0.36,4.328500000000011e-06,4.7674999999999844e-07,2.239250000000048e-06
0.38,4.757500000000044e-06,8.749999999996825e-08,2.5939999999999687e-06
0.4,5.168249999999979e-06,1.567500000000015e-07,2.9532499999999602e-06
0.42,5.548999999999984e-06,9.774999999999953e-07,3.3492500000000154e-06
0.44,5.7549999999999745e-06,1.9289999999999607e-06,3.6457499999999676e-06
0.46,6.244249999999953e-06,2.3917500000000098e-06,3.7182499999999707e-06
0.48,6.934250000000029e-06,2.8259999999999895e-06,4.179250000000019e-06
0.5,7.31175000000001e-06,3.239249999999964e-06,4.7992500000000235e-06
0.52,7.593999999999982e-06,3.6475000000000223e-06,5.0742499999999625e-06
0.54,7.896500000000028e-06,4.117499999999996e-06,5.250750000000031e-06
0.56,8.157500000000018e-06,4.478250000000011e-06,5.425750000000076e-06
0.58,8.303499999999986e-06,4.817500000000013e-06,5.6567499999999726e-06
0.6,8.560633192090246e-06,5.28694152542366e-06,5.948237288135558e-06
-0.6,1.7914112570621395e-05,1.178102457627091e-05,2.4300915254237302e-05
-0.58,1.4764249999999987e-05,1.1987499999999932e-05,1.909424999999986e-05
-0.56,1.3426750000000123e-05,1.4507500000000037e-05,1.4834250000000005e-05
-0.54,1.5803249999999974e-05,1.832325000000008e-05,1.5668250000000017e-05
-0.52,1.7037500000000082e-05,2.044649999999998e-05,1.6037500000000058e-05
-0.5,1.7736749999999898e-05,2.1352499999999935e-05,1.6177499999999985e-05
-0.48,1.813825000000004e-05,2.1766000000000103e-05,1.613325000000002e-05
-0.46,1.8341500000000014e-05,2.2004999999999963e-05,1.6037500000000004e-05
-0.44,1.8306750000000036e-05,2.213149999999995e-05,1.5847500000000048e-05
-0.42,1.8201750000000063e-05,2.1973250000000086e-05,1.5573250000000094e-05
-0.4,1.7988250000000063e-05,2.180750000000005e-05,1.530575e-05
-0.38,1.7612499999999974e-05,2.1662499999999937e-05,1.4974249999999986e-05
-0.36,1.7260000000000008e-05,2.1341749999999955e-05,1.4587499999999995e-05
-0.34,1.6901749999999978e-05,2.102349999999996e-05,1.4258249999999988e-05
-0.32,1.6447500000000008e-05,2.0659249999999997e-05,1.3869250000000043e-05
-0.3,1.6003250000000034e-05,2.0176500000000067e-05,1.3462499999999955e-05
