V,gm 150,gm 151,gm 152
-0.6,3.280499999999999e-05,6.564000000000004e-05,4.069699999999997e-05
-0.58,2.614249999999995e-05,4.982500000000003e-05,2.9896749999999944e-05
-0.56,1.8460750000000076e-05,3.18657500000001e-05,1.7630750000000126e-05
-0.54,1.6932500000000055e-05,2.847574999999996e-05,1.537824999999995e-05
-0.52,1.6100999999999973e-05,2.6378500000000032e-05,1.4134250000000042e-05
-0.5,1.5548249999999917e-05,2.4787499999999918e-05,1.3331749999999983e-05
-0.48,1.5097500000000057e-05,2.3464999999999966e-05,1.2670000000000053e-05
-0.46,1.4681000000000058e-05,2.3327500000000024e-05,1.2105750000000032e-05
-0.44,1.4221499999999979e-05,2.2548999999999963e-05,1.1630749999999926e-05
-0.42,1.3794999999999986e-05,2.090000000000002e-05,1.112142500000004e-05
-0.4,1.3383500000000012e-05,2.014675000000006e-05,1.0670925000000049e-05
-0.38,1.2891249999999932e-05,1.943349999999997e-05,1.0307075000000007e-05
-0.36,1.2452424999999964e-05,1.8730000000000005e-05,9.938149999999996e-06
-0.34,1.2061325000000035e-05,1.8108999999999985e-05,9.569500000000024e-06
-0.32,1.1611324999999997e-05,1.752075000000002e-05,9.16759999999999e-06
-0.3,1.1140599999999993e-05,1.7005000000000004e-05,8.813425000000021e-06
-0.28,1.067599999999999e-05,1.6520999999999973e-05,8.472899999999991e-06
-0.26,1.0215899999999978e-05,1.6042499999999974e-05,8.09675000000001e-06
-0.24,9.775000000000007e-06,1.5561499999999936e-05,7.717174999999972e-06
-0.22,9.277100000000006e-06,1.5109249999999998e-05,7.343499999999995e-06
-0.2,8.753574999999995e-06,1.4675000000000018e-05,6.962075000000004e-06
-0.18,8.260324999999981e-06,1.422824999999995e-05,6.5406499999999795e-06
-0.16,7.720350000000025e-06,1.3799250000000025e-05,6.122924999999997e-06
-0.14,7.168925000000014e-06,1.3349249999999987e-05,5.6982500000000026e-06
-0.12,6.607999999999988e-06,1.2884999999999915e-05,5.271174999999976e-06
-0.1,5.971399999999988e-06,1.2334825000000031e-05,4.85592499999997e-06
-0.08,5.329249999999966e-06,1.1727250000000009e-05,4.336249999999998e-06
-0.06,4.672500000000034e-06,1.1152849999999969e-05,3.764825000000051e-06
-0.04,4.011325000000029e-06,1.0580924999999987e-05,3.2595750000000373e-06
-0.02,3.3716749999999917e-06,9.996250000000021e-06,2.790249999999996e-06
0.0,2.734674999999991e-06,9.39349999999999e-06,2.287824999999997e-06
0.02,2.152175000000008e-06,8.744574999999989e-06,1.8285999999999845e-06
0.04,1.5788999999999723e-06,8.12015000000002e-06,1.3999999999999798e-06
0.06,1.0087499999999723e-06,7.504999999999963e-06,9.902499999999792e-07
0.08,4.984249999999901e-07,6.8906749999999965e-06,6.386750000000028e-07
0.1,3.040000000001245e-08,6.492675000000045e-06,2.907499999999972e-07
0.12,3.654999999999815e-07,6.053575000000011e-06,2.692499999999297e-08
0.14,4.2390000000002825e-07,5.129149999999954e-06,1.1900000000000343e-07
0.16,7.601749999999914e-07,4.32542500000002e-06,1.6217500000000832e-07
0.18,1.3747499999999888e-06,3.841600000000021e-06,6.991750000000067e-07
0.2,1.6533250000000355e-06,3.374999999999987e-06,8.049249999999913e-07
