V,gm 150,gm 151,gm 152
-0.6,1.566999999999843e-06,1.0096499999999531e-05,1.466499999999589e-06
-0.58,1.1267499999997703e-06,6.254999999999716e-06,8.692499999995648e-07
-0.56,8.407500000004713e-07,2.067500000000732e-06,4.3350000000037456e-07
-0.54,1.0425000000000972e-06,1.7782500000001079e-06,7.349999999999718e-07
-0.52,1.0782499999999282e-06,1.4874999999998396e-06,9.557499999997884e-07
-0.5,1.0907500000000708e-06,1.3759999999999814e-06,1.0357500000001806e-06
-0.48,1.1759999999998681e-06,1.5092500000003176e-06,1.0700000000001507e-06
-0.46,1.2367500000002012e-06,1.4664999999998343e-06,1.0642499999999246e-06
-0.44,1.2775000000000026e-06,1.5774999999999557e-06,1.1917500000000348e-06
-0.42,1.3942499999999164e-06,1.5817500000003207e-06,1.2232499999999345e-06
-0.4,1.3314999999999855e-06,1.5742499999997148e-06,1.058999999999869e-06
-0.38,1.3175000000001987e-06,1.5517499999996315e-06,1.1142500000000614e-06
-0.36,1.4017500000000887e-06,1.5257500000003064e-06,1.1017499999999188e-06
-0.34,1.2740000000001101e-06,1.5065000000000304e-06,1.078250000000362e-06
-0.32,1.2325000000002698e-06,1.5367500000001543e-06,1.126750000000204e-06
-0.3,1.2392499999999695e-06,1.6467499999997179e-06,1.1367499999999277e-06
-0.28,1.1842499999998625e-06,1.643250000000259e-06,1.1189999999999464e-06
-0.26,1.1849999999999014e-06,1.6942499999998695e-06,1.0582499999998302e-06
-0.24,1.2557500000001751e-06,1.6700000000000569e-06,1.048499999999758e-06
-0.22,1.233249999999875e-06,1.5475000000001338e-06,9.717500000000403e-07
-0.2,1.1299999999997944e-06,1.5457499999999708e-06,8.715000000001152e-07
-0.18,1.1935000000001979e-06,1.536500000000069e-06,9.007499999998982e-07
-0.16,1.2017499999999754e-06,1.5885000000000205e-06,8.985000000002151e-07
-0.14,1.0750000000003378e-06,1.6217499999998664e-06,8.407500000000376e-07
-0.12,9.399999999998385e-07,1.5174999999996615e-06,7.732500000000048e-07
-0.1,8.732500000000615e-07,1.4707499999999825e-06,6.525000000002449e-07
-0.08,7.40749999999981e-07,1.4307500000000032e-06,7.099999999999034e-07
-0.06,7.482499999999365e-07,1.373500000000213e-06,7.88500000000001e-07
-0.04,7.650000000002273e-07,1.4875000000000565e-06,6.5500000000023e-07
-0.02,6.624999999999687e-07,1.532500000000006e-06,5.049999999998198e-07
0.0,5.642500000000751e-07,1.3624999999997146e-06,4.8924999999987e-07
0.02,4.825000000001703e-07,1.2974999999998838e-06,5.1400000000007e-07
0.04,4.74999999999998e-07,1.3082500000000802e-06,3.315000000000696e-07
0.06,4.2099999999979827e-07,1.2274999999998659e-06,2.5849999999989597e-07
0.08,3.8825000000012287e-07,1.1200000000000706e-06,3.2000000000005115e-07
0.1,3.765000000000192e-07,1.2400000000000085e-06,2.5899999999984963e-07
0.12,2.4675000000022596e-07,1.3035000000001951e-06,2.3499999999990542e-07
0.14,2.349999999955686e-08,1.1782500000002017e-06,2.1424999999976845e-07
0.16,1.1575000000000647e-07,1.1907499999999106e-06,1.9249999999994098e-07
0.18,1.4750000000042507e-07,1.1174999999998686e-06,1.3075000000035107e-07
0.2,1.1924999999946527e-07,9.457500000000646e-07,8.85000000000382e-08
0.22,9.149999999997702e-08,8.957500000001447e-07,9.175000000006227e-08
0.24,1.5000000005115088e-09,8.517499999998856e-07,1.8150000000030989e-07
0.26,1.349999999983309e-08,8.124999999999452e-07,2.1675000000018728e-07
0.28,3.0000000000038676e-08,8.375000000000136e-07,1.0750000000022894e-07
0.3,9.249999999901698e-09,7.067499999998793e-07,4.3250000000003355e-08
0.32,1.8500000000020236e-08,6.592500000001614e-07,8.174999999990482e-08
0.34,6.175000000002359e-08,6.450000000000726e-07,1.5499999999994685e-07
0.36,1.1999999999993786e-07,5.190000000000403e-07,1.1174999999994349e-07
0.38,1.314999999999563e-07,5.382500000000994e-07,2.5750000000107284e-08
0.4,1.5424999999990793e-07,4.2424999999982234e-07,6.675000000021074e-08
0.42,1.9174999999990207e-07,2.2425000000014274e-07,8.500000000014572e-08
0.44,2.0925000000001498e-07,2.832500000000959e-07,6.999999999980112e-08
0.46,2.4750000000004803e-07,3.067499999996528e-07,4.650000000024426e-08
0.48,2.5074999999985526e-07,2.94249999999727e-07,1.3249999999964679e-08
0.5,2.6000000000019063e-07,2.675000000001461e-07,7.825000000001234e-08
0.52,3.075000000001254e-07,1.474999999999914e-07,5.600000000023121e-08
0.54,2.974999999997511e-07,1.5749999999971516e-07,2.0750000000136978e-08
0.56,5.574999999992912e-08,1.617499999998634e-07,1.5750000000166672e-08
0.58,2.074999999998519e-07,1.29000000000188e-07,7.499999999738619e-09
0.6,8.445875706211169e-07,1.1239180791040626e-07,3.517175141305394e-08
-0.6,3.8160903954790985e-06,5.6801884180781095e-06,5.292798870056535e-06
-0.58,1.8842499999998253e-06,2.832499999999658e-06,2.477499999999598e-06
-0.56,2.459999999999702e-07,3.5750000000047896e-07,9.250000000118538e-09
-0.54,5.774999999996061e-07,7.432499999997493e-07,3.6500000000000074e-07
-0.52,7.582500000000939e-07,8.834999999996537e-07,5.249999999997011e-07
-0.5,9.015000000001539e-07,1.163250000000074e-06,7.499999999998827e-07
-0.48,9.107499999998388e-07,1.323249999999991e-06,8.800000000001949e-07
-0.46,1.0117500000000196e-06,1.2734999999999396e-06,9.200000000001742e-07
-0.44,1.1475000000001241e-06,1.428250000000018e-06,1.0682499999999876e-06
-0.42,1.21499999999994e-06,1.4465000000003867e-06,1.0350000000001417e-06
-0.4,1.2792499999999488e-06,1.4474999999998604e-06,9.950000000001624e-07
-0.38,1.2592499999998508e-06,1.511750000000086e-06,1.0959999999996927e-06
-0.36,1.2324999999998362e-06,1.5217500000000266e-06,1.159999999999833e-06
-0.34,1.163250000000074e-06,1.5942499999998128e-06,1.1057500000001986e-06
