V,gm 150,gm 151,gm 152
-0.6,2.8047999999999678e-05,4.999999999997407e-07,2.4948499999999692e-05
-0.58,1.2321500000000204e-05,5.392499999999634e-06,1.1989249999999878e-05
-0.56,5.385750000000151e-06,1.0975000000000307e-05,3.296750000000327e-06
-0.54,8.446500000000232e-06,1.1999999999999858e-05,6.562500000000058e-06
-0.52,1.0214250000000012e-05,1.248499999999958e-05,7.922500000000221e-06
-0.5,1.1187499999999913e-05,1.2917499999999613e-05,8.767499999999973e-06
-0.48,1.1740749999999706e-05,1.324324999999989e-05,9.20075000000048e-06
-0.46,1.2076000000000187e-05,1.343924999999994e-05,9.504249999999891e-06
-0.44,1.2184999999999627e-05,1.3425999999999976e-05,9.940749999999988e-06
-0.42,1.2263250000000073e-05,1.3527500000000327e-05,1.0012499999999952e-05
-0.4,1.2377499999999785e-05,1.3744999999999903e-05,9.970000000000204e-06
-0.38,1.2359250000000283e-05,1.3845750000000216e-05,9.980000000000145e-06
-0.36,1.2235750000000236e-05,1.4015000000000034e-05,1.0034250000000213e-05
-0.34,1.2208249999999966e-05,1.3910000000000224e-05,1.0072500000000463e-05
-0.32,1.2272499999999974e-05,1.3832499999999817e-05,1.008749999999994e-05
-0.3,1.2033250000000138e-05,1.392825000000016e-05,1.0050749999999768e-05
-0.28,1.1922499999999885e-05,1.404824999999988e-05,9.901749999999699e-06
-0.26,1.1831749999999946e-05,1.3918499999999653e-05,9.610000000000174e-06
-0.24,1.1549999999999928e-05,1.3873249999999619e-05,9.557499999999618e-06
-0.22,1.1441750000000094e-05,1.3978250000000296e-05,9.540000000000156e-06
-0.2,1.117349999999991e-05,1.3910000000000658e-05,9.308250000000275e-06
-0.18,1.0666500000000058e-05,1.3836749999999315e-05,9.134999999999525e-06
-0.16,1.0300750000000018e-05,1.3770000000000188e-05,8.827499999999617e-06
-0.14,1.039424999999981e-05,1.3577500000000464e-05,8.529250000000044e-06
-0.12,1.0171749999998963e-05,1.3254999999999777e-05,8.287499999999788e-06
-0.1,9.374250000000663e-06,1.310750000000022e-05,7.993250000000278e-06
-0.08,8.891500000000191e-06,1.2986750000000026e-05,7.698249999999861e-06
-0.06,8.693250000000458e-06,1.289575000000022e-05,7.3325000000002555e-06
-0.04,8.149250000000132e-06,1.2570749999999981e-05,6.9617500000002455e-06
-0.02,7.6057499999995434e-06,1.2156749999999751e-05,6.7817500000000135e-06
0.0,7.2542499999998095e-06,1.2135999999999831e-05,6.190749999999707e-06
0.02,6.545000000000162e-06,1.1853999999999944e-05,5.6207499999996226e-06
0.04,5.80324999999984e-06,1.1614999999999976e-05,5.362499999999812e-06
0.06,5.239999999999238e-06,1.1523499999999999e-05,4.864249999999692e-06
0.08,4.795750000000185e-06,1.125325e-05,4.535999999999863e-06
0.1,4.434999999999682e-06,1.1020750000000079e-05,4.278250000000223e-06
0.12,3.779250000000064e-06,1.063925000000009e-05,3.973250000000733e-06
0.14,3.879249999999904e-06,1.0779249999999692e-05,4.041749999999372e-06
0.16,3.4575000000002833e-06,1.1144000000000258e-05,4.214999999999688e-06
0.18,2.5175000000006616e-06,1.0163249999999967e-05,3.6700000000003223e-06
0.2,2.2199999999993926e-06,9.097500000000182e-06,3.004249999999896e-06
0.22,1.9057499999995675e-06,8.842499999999962e-06,2.942500000000306e-06
0.24,1.6825000000004163e-06,8.68500000000003e-06,2.9249999999999762e-06
0.26,1.4249999999997771e-06,8.490749999999925e-06,2.824000000000229e-06
0.28,1.34924999999975e-06,8.211750000000195e-06,2.6865000000001783e-06
0.3,1.163500000000376e-06,7.884249999999971e-06,2.6709999999992295e-06
0.32,7.425000000003609e-07,7.481750000000193e-06,2.8584999999998507e-06
0.34,5.939999999995949e-07,7.240749999999976e-06,2.703250000000469e-06
0.36,4.839999999998144e-07,6.965749999999875e-06,2.2649999999999927e-06
0.38,2.850000000017769e-08,6.500999999999903e-06,2.065000000000313e-06
0.4,2.68250000000185e-07,6.174250000000152e-06,1.9239999999995025e-06
