V,gm 150,gm 151,gm 152
-0.6,2.736500000000001e-05,2.439999999999995e-05,2.290000000000005e-05
-0.58,1.4219250000000513e-05,1.1635000000000291e-05,1.2096750000000107e-05
-0.56,1.148250000000163e-06,3.0500000000001012e-06,5.33250000000346e-07
-0.54,4.710999999999691e-06,5.992500000000407e-06,3.417500000000087e-06
-0.52,6.794999999999978e-06,7.650000000000538e-06,5.137499999999847e-06
-0.5,8.055000000000302e-06,8.867499999999813e-06,6.1642499999997775e-06
-0.48,8.88600000000005e-06,9.607500000000189e-06,6.939999999999984e-06
-0.46,9.457500000000212e-06,1.0150000000000003e-05,7.5782500000001404e-06
-0.44,9.945749999999958e-06,1.0642500000000114e-05,7.835750000000346e-06
-0.42,1.0462499999999448e-05,1.0914999999999796e-05,8.236750000000046e-06
-0.4,1.079750000000006e-05,1.1132499999999806e-05,8.677500000000074e-06
-0.38,1.0773250000000248e-05,1.14424999999997e-05,8.82750000000005e-06
-0.36,1.0873250000000088e-05,1.1717500000000235e-05,8.924249999999866e-06
-0.34,1.1099999999999999e-05,1.1682500000000009e-05,8.92749999999989e-06
-0.32,1.1144250000000126e-05,1.1764999999999953e-05,8.972500000000057e-06
-0.3,1.1204250000000204e-05,1.1842499999999926e-05,9.124000000000111e-06
-0.28,1.1354999999999352e-05,1.1905749999999594e-05,9.11174999999962e-06
-0.26,1.1225749999999729e-05,1.225425000000004e-05,9.173499999999644e-06
-0.24,1.117174999999953e-05,1.2176750000000066e-05,9.191500000000144e-06
-0.22,1.1238250000000088e-05,1.1954000000000218e-05,9.178999999999785e-06
-0.2,1.1072500000000162e-05,1.203675000000003e-05,8.911750000000374e-06
-0.18,1.0690999999999739e-05,1.2332499999999618e-05,8.582499999999771e-06
-0.16,1.0472500000000256e-05,1.2491500000000062e-05,8.813249999999745e-06
-0.14,1.0479000000000304e-05,1.229750000000026e-05,8.686749999999976e-06
-0.12,1.016999999999945e-05,1.2283500000000256e-05,8.493499999999779e-06
-0.1,9.741000000000177e-06,1.2267500000000004e-05,8.3567500000002e-06
-0.08,9.507499999999915e-06,1.210075000000017e-05,7.906500000000403e-06
-0.06,9.089000000000753e-06,1.1877500000000586e-05,7.5490000000003575e-06
-0.04,8.463250000000522e-06,1.1842499999999926e-05,7.309999999999955e-06
-0.02,7.903500000000247e-06,1.1991749999999864e-05,7.100000000000335e-06
0.0,7.453250000000015e-06,1.1793250000000262e-05,6.716749999999966e-06
0.02,6.984999999999717e-06,1.1419999999999833e-05,6.2360000000001754e-06
0.04,6.244999999999341e-06,1.1268499999999779e-05,5.880749999999813e-06
0.06,5.689999999999602e-06,1.1184999999999494e-05,5.445749999999361e-06
0.08,5.194250000000334e-06,1.0889000000000038e-05,4.970999999999882e-06
0.1,4.617499999999466e-06,1.042499999999967e-05,4.657499999999662e-06
0.12,4.113250000000335e-06,1.01992500000001e-05,4.400000000000324e-06
0.14,3.7765000000002102e-06,1.0464999999999867e-05,4.214999999999688e-06
0.16,3.566749999999591e-06,1.0730750000000067e-05,4.2325000000000175e-06
0.18,2.813500000000118e-06,9.816750000000204e-06,3.736750000000316e-06
0.2,1.8282500000004615e-06,8.816749999999637e-06,3.130749999999665e-06
0.22,1.5589999999999354e-06,8.601500000000178e-06,2.954999999999798e-06
0.24,1.4659999999998806e-06,8.405000000000391e-06,2.693250000000095e-06
0.26,1.0299999999999546e-06,8.014250000000066e-06,2.6124999999996637e-06
0.28,6.282499999997818e-07,7.603249999999992e-06,2.461000000000043e-06
0.3,4.260000000004191e-07,7.393249999999938e-06,2.2049999999999154e-06
0.32,1.775000000002469e-07,6.966000000000177e-06,2.2132499999999097e-06
0.34,1.4250000000305685e-08,6.634250000000022e-06,2.0565000000000166e-06
0.36,2.2749999999951628e-07,6.619999999999716e-06,1.795749999999787e-06
0.38,5.957499999999748e-07,6.319250000000158e-06,1.4724999999999287e-06
0.4,8.65750000000106e-07,5.883250000000232e-06,1.2975000000001007e-06
0.42,1.2817499999997171e-06,5.489999999999922e-06,1.435999999999625e-06
0.44,1.6960000000002494e-06,5.085749999999764e-06,1.199250000000207e-06
0.46,1.8757500000001794e-06,4.785749999999811e-06,1.1440000000002316e-06
0.48,2.199999999999945e-06,4.295999999999987e-06,8.692499999995648e-07
0.5,2.4184999999998617e-06,3.7775000000001176e-06,4.674999999998257e-07
0.52,2.625000000000023e-06,3.4465000000004353e-06,4.0500000000019687e-07
0.54,3.034000000000283e-06,2.939250000000282e-06,5.175000000051666e-08
0.56,3.2907500000004496e-06,2.4467499999993036e-06,2.1750000000044303e-07
0.58,3.4160000000000093e-06,1.984000000000447e-06,5.174999999999624e-07
0.6,3.5477776836148106e-06,1.5823145480235171e-06,8.278644067793292e-07
-0.6,4.2012353954802226e-05,5.6476837994349875e-05,3.9824305084746464e-05
-0.58,2.536750000000027e-05,3.4322499999999995e-05,2.494325000000023e-05
-0.56,5.6864999999992755e-06,8.300000000000148e-06,6.715749999999191e-06
-0.54,1.7399999999992075e-07,1.0175000000000288e-06,9.067500000002095e-07
-0.52,3.485749999999725e-06,2.742499999999759e-06,1.8964999999996658e-06
-0.5,5.6399999999998986e-06,4.960000000000034e-06,3.766750000000138e-06
-0.48,7.074250000000011e-06,6.407499999999677e-06,5.086750000000105e-06
-0.46,7.885999999999917e-06,7.700000000000241e-06,5.903250000000113e-06
-0.44,8.363250000000249e-06,8.6000000000001e-06,6.592500000000313e-06
-0.42,8.95899999999979e-06,9.099999999999733e-06,7.265000000000223e-06
-0.4,9.404249999999618e-06,9.567499999999993e-06,7.686749999999843e-06
-0.38,9.61850000000047e-06,9.957499999999845e-06,7.932499999999728e-06
-0.36,9.900000000000186e-06,1.0355750000000125e-05,8.11749999999993e-06
-0.34,1.012399999999981e-05,1.0561749999999683e-05,8.311750000000034e-06
-0.32,1.0313999999999983e-05,1.0821749999999873e-05,8.363250000000249e-06
-0.3,1.0382500000000357e-05,1.0861500000000201e-05,8.341499999999988e-06
-0.28,1.0465999999999774e-05,1.0823249999999951e-05,8.492499999999872e-06
-0.26,1.0228500000000317e-05,1.1052499999999847e-05,8.734250000000127e-06
-0.24,1.0098999999999525e-05,1.1309250000000014e-05,8.779999999999899e-06
-0.22,1.0408249999999813e-05,1.1273499999999749e-05,8.795749999999849e-06
-0.2,1.0362500000000042e-05,1.1219249999999681e-05,8.811749999999667e-06
-0.18,1.0269249999999685e-05,1.1331500000000445e-05,8.761749999999964e-06
-0.16,1.0211750000000026e-05,1.1379000000000163e-05,8.643249999999887e-06
-0.14,9.900000000000186e-06,1.1499249999999753e-05,8.414999999999898e-06
-0.12,9.662499999999428e-06,1.1561750000000249e-05,8.395749999999622e-06
-0.1,9.52750000000023e-06,1.138075000000011e-05,8.325749999999604e-06
-0.08,9.268250000000512e-06,1.1295749999999747e-05,8.240999999999978e-06
-0.06,8.95750000000058e-06,1.1671000000000858e-05,8.11600000000072e-06
-0.04,8.534250000000014e-06,1.1524250000000038e-05,7.796500000000189e-06
-0.02,8.054999999999434e-06,1.0910749999999865e-05,7.519000000000102e-06
0.0,7.549249999999792e-06,1.0838250000000296e-05,7.427500000000125e-06
0.02,7.036500000000365e-06,1.093575000000015e-05,7.2035000000000675e-06
0.04,6.658249999999966e-06,1.0852499999999734e-05,6.78174999999958e-06
0.06,6.2842499999994986e-06,1.0597499999999947e-05,6.3582499999995795e-06
0.08,5.67574999999973e-06,1.0420000000000134e-05,5.935750000000354e-06
0.1,5.034249999999983e-06,1.0241750000000282e-05,5.68750000000005e-06
0.12,4.594250000000428e-06,9.807500000000302e-06,5.361000000000168e-06
0.14,3.990749999999762e-06,9.57924999999988e-06,5.0567499999998496e-06
0.16,3.5807500000000284e-06,9.319250000000123e-06,4.9324999999997635e-06
0.18,3.3149999999998285e-06,9.009999999999834e-06,4.764999999999891e-06
0.2,2.897499999999706e-06,8.758249999999638e-06,4.301500000000128e-06
0.22,2.566749999999892e-06,8.430749999999848e-06,3.927500000000094e-06
0.24,2.1134999999999383e-06,7.961750000000378e-06,3.622499999999737e-06
0.26,1.3865000000000925e-06,7.57325000000017e-06,3.2357500000003425e-06
0.28,1.0664999999998245e-06,7.343249999999368e-06,2.9417499999998334e-06
0.3,9.31750000000061e-07,6.899249999999749e-06,2.7667500000000053e-06
0.32,4.6100000000021124e-07,6.579999999999954e-06,2.433250000000338e-06
0.34,0.0,6.2575000000001345e-06,2.0507499999995737e-06
0.36,3.8925000000024704e-07,5.690999999999943e-06,1.916749999999849e-06
0.38,5.892500000003603e-07,5.3775000000001565e-06,1.6275000000003093e-06
0.4,8.732500000000615e-07,4.7282500000001525e-06,1.231750000000014e-06
0.42,1.000749999999738e-06,4.100749999999542e-06,1.2125000000001718e-06
0.44,1.4934999999997173e-06,4.788249999999796e-06,7.775000000001531e-07
0.46,2.3042499999997162e-06,4.3250000000003355e-06,1.3575000000010454e-07
0.48,2.629000000000086e-06,2.849999999999988e-06,4.3250000000003355e-07
